Ilmo	Ilustríssimo	AQSMS0	ilustre
ele	ele	PP3MS000	ele
se	se	P00CN000	se
disculpa	desculpa	VMIP3S0	desculpar
com	com	SPS00	com
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Primo	primo	NCMS000	primo
Bento	Bento	NP00000	bento
a	a	SPS00	a
qm	quem	PR0CN000	quem
fizera	fizera	VMIM0S0	fazer
Procuraçam	procuração	NCFS000	procuração
	.	Fp	.
e	E	CC	e
como	como	SPS00	como
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
Bento	Bento	NP00000	bento
anda	anda	VMIP3S0	andar
em	em	SPS00	em
inemizade	inimizade	NCFS000	inimizade
com	com	SPS00	com
estes	estes	DD0MP0	este
Cavadas	Cavadas	NP00000	Cavadas
por	por	SPS00	por
motivos	motivos	NCMP000	motivo
de	de	SPS00	de
intrigas	intrigas	NCMS000	intri
e	e	CC	e
outras	outras	DI0FP0	outro
Couzas	coisas	NCFP000	coisa
que	que	PR0CN000	que
entre	entre	SPS00	entre
eles	eles	PP3MP000	ele
tem	tem	VAIP3S0	ter
avido	havido	VMP0000	haver
	,	Fc	,
nam	não	RN	não
hé	é	VSIP3S0	ser
posivel	possível	AQ0CS0	possível
obter	obter	VMN0000	obter
o	o	DA0MS0	o
Consentimto	consentimento	NCMS000	consentimento
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Bento	Bento	NP00000	bento
pa	para	SPS00	para
que	que	PR0CN000	que
se	se	P00CN000	se
dé	dê	VMSP0S0	dar
o	o	DA0MS0	o
perdam	perdão	NCMS000	perdão
	.	Fp	.
eu	Eu	PP1CSN00	eu
sei	sei	VMIP1S0	saber
a	a	DA0FS0	o
amizade	amizade	NCFS000	amizade
que	que	CS	que
tu	tu	PP2CSN00	tu
tens	tens	VMIP2S0	ter
com	com	SPS00	com
o	o	DA0MS0	o
Bento	Bento	NP00000	bento
	,	Fc	,
e	e	CC	e
se	se	CS	se
te	te	PP2CS000	te
empinhares	empenhares	VMN0000	empenhar
nisto	nisto	SPS00+PD0NN000	em+isto
	,	Fc	,
ele	ele	PP3MS000	ele
	,	Fc	,
com	com	SPS00	com
vontade	vontade	NCFS000	vontade
ou	ou	CC	ou
sem	sem	SPS00	sem
ela	ela	PP3FS000	ele
	,	Fc	,
a	há	VMIP3S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
e	e	CC	e
consentir	consentir	VMN0000	consentir
que	que	CS	que
se	se	P00CN000	se
dé	dê	VMSP0S0	dar
o	o	DA0MS0	o
perdom	perdão	NCMS000	perdão
porque	porque	SPS00	por
te	te	X	X
hé	é	VSIP3S0	ser
mto	muito	RQ	muito
obrigado	obrigado	VMP00SM	obrigar
,	.	Fp	.
e	E	CC	e
finalmte	finalmente	RG	finalmente
	,	Fc	,
Joze	José	NP00000	josé
	,	Fc	,
empinhado	empenhado	VMP00SM	empenhar
nisto	nisto	SPS00+PD0NN000	em+isto
	,	Fc	,
Rogote	rogo-te	VMIP1S0+PP2CS000	rogar+te
que	que	CS	que
deveras	deveras	RG	deveras
te	te	PP2CS000	te
metas	metas	NCFP000	meta
neste	neste	SPS00+DD0MS0	em+este
negosio	negócio	NCMS000	negócio
	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
Bento	Bento	NP00000	bento
terá	terá	VMIF3S0	ter
outra	outra	DI0FS0	outro
oCaziam	ocasião	NCFS000	ocasião
de	de	SPS00	de
se	se	CS	se
despicar	despicar	VMN0000	despicar
destes	destes	SPS00+DD0MP0	de+este
sogeitos	sujeitos	NCMP000	sujeito
que	que	CS	que
	,	Fc	,
apezar	apesar	SPS00	apesar
de	de	SPS00	de
eu	eu	PP1CSN00	eu
conheser	conhecer	VMN0000	conhecer
que	que	CS	que
eles	eles	SPS00+PP3MP000	de+ele
sam	são	VSIP3P0	ser
maos	maus	NCMP000	mau
	,	Fc	,
Comtudo	contudo	RG	contudo
empenhame	empenha-me	RG	contudo
nisto	nisto	SPS00+PD0NN000	em+isto
pesoa	pessoa	NCFS000	pessoa
a	a	SPS00	a
qm	quem	PR0CN000	quem
sou	sou	VSIP1S0	ser
mto	muito	RQ	muito
obrigdo	obrigado	VMP00SM	obrigar
e	e	CC	e
dezejo	desejo	VMIP1S0	desejar
servir	servir	VMN0000	servir
,	.	Fp	.
e	E	CC	e
por	por	SPS00	por
isto	isto	PD0NN000	isto
hé	é	VSIP3S0	ser
que	que	CS	que
deveras	deveras	RG	deveras
me	me	PP1CS000	me
empenho	empenho	NCMS000	empenho
e	e	CC	e
eu	eu	PP1CSN00	eu
farei	farei	VMIF1S0	fazer
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
por	por	SPS00	por
ti	ti	PP2CSO00	ti
qdo	quando	CS	quando
te	te	PP2CS000	te
queiras	queiras	VMSP2S0	querer
servir	servir	VMN0000	servir
da	da	SPS00+DA0FS0	de+o
ma	minha	DP1FSS	meu
vonte	vontade	NCFS000	vontade
	.	Fp	.
Ds	Deus	NP00000	deus
te	te	PP2CS000	te
goarde	guarde	VMSP0S0	guardar
Como	como	SPS00	como
dezejo	desejo	NCMS000	desejo
	.	Fp	.
Fians	Fiães	NP00000	fiães
	,	Fc	,
20	20	Z	20
de	de	SPS00	de
Mco	março	NCMS000	março
1818	1818	Z	1818
Pro	Primo	NCMS000	primo
amte	amante	AQ0CS0	amante
do	do	SPS00+DA0MS0	de+o
Coracao	coração	NCMS000	coração
e	e	CC	e
obro	obrigado	VMP00SM	obrigar
	,	Fc	,
Joze	José	NP00000	josé
Ignaçio	Inácio	NP00000	inácio
Pera	Pereira	NP00000	pereira
e	e	CC	e
Castro	Castro	NP00000	castro
Couto	Couto	NP00000	couto
de	de	SPS00	de
Vascos	Vasconcelos	NP00000	vasconcelos
