ID,Archive,Year,Type,Topic,Origin,Destination,Author,Addressee,Keywords
PSCR0052,Arquivo Nacional da Torre do Tombo,1588,familiar,notícias,"Portugal, Évora","Portugal, Beja, Serpa",Leonor de Sousa,Isabel Mendes,"Prisión,Inquisición,Clausura"
PSCR0053,Arquivo Nacional da Torre do Tombo,1588,familiar,notícias,"Portugal, Évora","Portugal, Beja, Serpa",Leonor de Sousa,Isabel Mendes,"Prisión,Inquisición,Clausura"
PSCR0054,Arquivo Nacional da Torre do Tombo,1594,particular,notícias,"Portugal, Évora","Portugal, Coimbra",Catarina Nunes,Manuel do Quintal,"Recomendación,Amistad,Bienes,Amistad,Herencia"
PSCR0055,Arquivo Nacional da Torre do Tombo,1544,familiar,notícias,"Portugal, Évora","Portugal, Beja, Odemira",João Dias,Francisca Nunes,"Fuga,Prisión"
PSCR0056,Arquivo Nacional da Torre do Tombo,1565-1577,particular,notícias,S.l.,S.l.,Anónimo314,Mécia Mendes,"Comunicación,Secretos,Carlismo"
PSCR0057,Arquivo Nacional da Torre do Tombo,1500-1599,particular,informação,S.l.,S.l.,Filipe Vaz Lobo,Anónimo315,"Denuncia,Prisión,Judaísmo"
PSCR0058,Arquivo Nacional da Torre do Tombo,1591,particular,notícias,"América, Brasil, Olinda","América, Brasil, Salvador da Bahia",Francisco Madeira,João Nunes,"Brasil,Comercio,Religiosidad popular,Esclavos,Justicia,Viajes"
PSCR0059,Arquivo Nacional da Torre do Tombo,1557,particular,denúncia,S.l.,S.l.,Nuno Albergaria,Marcos Ferreira,"Denuncia,Familia,Adulterio"
PSCR0060,Arquivo Nacional da Torre do Tombo,1544,familiar,notícias,"Alemanha, Speyer","Portugal, Santarém",Álvaro da Costa,Maria Borges,"Guerra,Familia,Ejército"
PSCR0061,Arquivo Nacional da Torre do Tombo,1554,familiar,queixa,S.l.,S.l.,Isabel Moniz,Cristina,"Familia,Monarquía,Pobreza,Fautoría,Merced"
PSCR0062,Arquivo Nacional da Torre do Tombo,1554,particular,pedido,S.l.,S.l.,Isabel Moniz,Pedro de Alcáçova Carneiro,"Merced,Monarquía,Pobreza,Fautoría"
PSCR0063,Arquivo Nacional da Torre do Tombo,1500,particular,notícias,"Portugal, Lisboa",S.l.,Beatriz Carneira,Francisco de Figueiredo,"Comercio,Adulterio,Viajes"
PSCR0064,Arquivo Nacional da Torre do Tombo,1549,particular,pedido,"África, Congo, Pinda","África, São Tomé e Príncipe",Jorge Vaz,Francisco de Barros de Paiva,"Jesuitas,Africa,Ejército,Monarquía"
PSCR0065,Arquivo Nacional da Torre do Tombo,1582-1584,particular,pedido,"Portugal, Lisboa","Portugal, Viseu, Santa Comba Dão",Manuel Leitão,[João de Oliveira],Familia
PSCR0067,Arquivo Nacional da Torre do Tombo,1504,particular,instruções,S.l.,S.l.,Leão Sardinha,Bastião,"Familia,Criados,Monarquía,Justicia"
PSCR0068,Arquivo Nacional da Torre do Tombo,1575,particular,notícias,"Portugal, Viana, Ponte de Lima, Refóios","Portugal, Coimbra",Dom Afonso,Diogo de Sousa,"Robo,Correo,Documentación,Justicia"
PSCR0069,Arquivo Nacional da Torre do Tombo,1573,particular,denúncia,"Portugal, Viana, Ponte de Lima, Refóios","Portugal, Coimbra",Anónimo395,Diogo de Sousa,"Documentación,Religiosidad popular,Adulterio,Fiesta religiosa,Inquisición"
PSCR0070,Arquivo Nacional da Torre do Tombo,1535-1542,familiar,promessa,"Portugal, Guimarães, Santa Marinha da Costa","Portugal, Guarda",Dom Duarte de Portugal,Isabel Moniz,"Salud,Promesas,Merced"
PSCR0071,Arquivo Nacional da Torre do Tombo,1500-1599,particular,pedido,"Portugal, Lisboa",S.l.,Jerónimo Gonçalves,Anónimo381,"Inquisición,Justicia,Prisión,Comunicación,Correspondencia"
PSCR0072,Arquivo Nacional da Torre do Tombo,1595,familiar,notícias,"Portugal, Lisboa","América, Brasil, Pernambuco, Olinda",Henrique Pereira Tenório,Afonso Fidalgo,"Comercio,Marítimo,Familia,Alimentos"
PSCR0073,Arquivo Nacional da Torre do Tombo,1571,particular,pedido,"Italia, Milano","Italia, Roma",Fernão Rodrigues de Trancoso,Dom João Telo de Meneses,"Correspondencia,Denuncia,Judaísmo,Inquisición"
PSCR0074,Arquivo Nacional da Torre do Tombo,1571,particular,denúncia,"Italia, Milano","Portugal, Lisboa",Fernão Rodrigues de Trancoso,Inquisidores Santo Ofício,"Correspondencia,Denuncia,Viajes,Judaísmo"
PSCR0075,Arquivo Nacional da Torre do Tombo,1571,familiar,notícias,"Italia, Venezia","Portugal, Lisboa",Mira Chavarola,António Rodrigues,"Correspondencia,Viajes,Familia,Judaísmo"
PSCR0076,Arquivo Nacional da Torre do Tombo,1559,familiar,notícias,"Portugal, Lisboa","Portugal, Tavira",Jorge Pinto,Catarina Lourenço,"Matrimonio,Amor,Ropa"
PSCR0077,Arquivo Nacional da Torre do Tombo,1559,familiar,notícias,"Portugal, Lisboa","Portugal, Tavira",Jorge Pinto,Catarina Lourenço,"Matrimonio,Enfermedad,Familia,Amor"
PSCR0078,Arquivo Nacional da Torre do Tombo,1558,familiar,notícias,"Portugal, Lisboa","Portugal, Tavira",Inês Batista,Jorge Pinto,"Familia,Matrimonio,Consejos,Correspondencia"
PSCR0079,Arquivo Nacional da Torre do Tombo,1558,particular,agradecimento,"Índia, Cochim","Índia, Goa",Frei Filipe Soares,Diogo Soares,"Correspondencia,Amistad"
PSCR0080,Arquivo Nacional da Torre do Tombo,1591,particular,denúncia,"Portugal, Beja, Pias","Portugal, Lisboa",Brás Folgado Raposo,Jorge Martins,"Denuncia,Testigos,Blasfemia,Inquisición"
PSCR0081,Arquivo Nacional da Torre do Tombo,1550,particular,pedido,"Portugal, Coimbra","Portugal, Lisboa",António Ribeiro,Gonçalo Álvares,"Correspondencia,Familia,Justicia,Instrumentos"
PSCR0082,Arquivo Nacional da Torre do Tombo,1593,particular,declaração,"Portugal, Porto","Portugal, Porto",Francisco Fernandes,Anónimo435,"Justicia,Confesión,Blasfemia,Defunción,Rechazo"
PSCR0083,Arquivo Nacional da Torre do Tombo,1593,particular,aviso,"Portugal, Porto","Portugal, Porto",António de Andrade,Anónimo435,"Justicia,Confesión,Blasfemia,Defunción,Correspondencia"
PSCR0084,Arquivo Nacional da Torre do Tombo,1578,familiar,notícias,"Portugal, Lisboa","Portugal, Coimbra",Fernão de Álvares,Álvaro Vaz,"Denuncia,Matrimonio,Familia,Promesas"
PSCR0086,Arquivo Nacional da Torre do Tombo,1589,familiar,pedido,"Portugal, Vila Viçosa","Portugal, Tomar, Abrantes",Miguel Rodrigues,Ana Mendes,"Familia,Dinero,Justicia,Mediador,Correspondencia,Ayuda"
PSCR0087,Arquivo Nacional da Torre do Tombo,1589,familiar,notícias,"Portugal, Vila Viçosa","Portugal, Tomar, Abrantes",Miguel Rodrigues,Diogo Castanho,"Familia,Dinero,Justicia,Prisión"
PSCR0088,Arquivo Nacional da Torre do Tombo,1589,particular,aviso,S.l.,S.l.,Anónimo442,Anónimo438,"Dinero,Prisión,Transportes,Avisos"
PSCR0089,Arquivo Nacional da Torre do Tombo,1589,particular,informação,"Portugal, Tomar, Abrantes","Portugal, Avis, Alandroal",Paulo Gomes de Lemos,Sebastião Barbosa,"Justicia,Prisión"
PSCR0090,Arquivo Nacional da Torre do Tombo,1583,particular,informação,"Portugal, Guarda","Portugal, Lisboa",Martim Pinheiro,Diogo de Sousa,"Inquisición,Testigos"
PSCR0091,Arquivo Nacional da Torre do Tombo,1591,particular,denúncia,"Portugal, Torres Vedras","Portugal, Lisboa",Fernão Dias,Mateus Pereira,"Denuncia,Consejos,Religiosidad popular"
PSCR0092,Arquivo Nacional da Torre do Tombo,1542,particular,notícias,"Flandres, Antuérpia","Portugal, Lisboa",António Fernandes,Francisco Mendes,"Flandes,Comercio,Negocios,Alimentos"
PSCR0093,Arquivo Nacional da Torre do Tombo,1542,particular,informação,"Flandres, Antuérpia","Portugal, Tavira",António Fernandes,Diogo de Sousa,"Flandes,Comercio,Negocios,Moneda,Textiles"
PSCR0094,Arquivo Nacional da Torre do Tombo,1542,particular,instruções,"Flandres, Antuérpia","Madeira, Funchal",António Fernandes,Manuel Afonso,"Flandes,Comercio,Marítimo,Negocios,Moneda,Textiles"
PSCR0095,Arquivo Nacional da Torre do Tombo,1542,particular,queixa,"Flandres, Antuérpia","Portugal, Lisboa",António Fernandes,Tomé Serrão,"Flandes,Comercio,Deudas,Moneda,Textiles"
PSCR0096,Arquivo Nacional da Torre do Tombo,1542,particular,pedido,"Flandres, Antuérpia","Portugal, Lisboa",Pêro César,Estêvão Rebelo,"Familia,Correspondencia,Vida cotidiana"
PSCR0097,Arquivo Nacional da Torre do Tombo,1534,particular,pedido,"Portugal, Évora","Portugal, Lisboa",Diogo Gomes,Cristóvão Brandão,"Deudas,Dinero,Correo"
PSCR0098,Arquivo Nacional da Torre do Tombo,1588,particular,informação,"Portugal, Lisboa","Portugal, Lisboa",Anónimo465,Anónimo466,"Visiones,Estigmas,Milagros,Falsificación,Confesión"
PSCR0099,Arquivo Nacional da Torre do Tombo,1503,familiar,informação,S.l.,S.l.,Gonçalo Vaz Pessoa,Anónimo571,"Obras,Dinero"
PSCR0100,Arquivo Nacional da Torre do Tombo,1542,familiar,queixa,"Flandres, Antuérpia","Portugal, Lisboa",Manuel Serrão,Mécia Gomes,"Flandes,Familia,Comercio,Deudas,Textiles,Moneda"
PSCR0101,Arquivo Nacional da Torre do Tombo,1561,particular,informação,"Itália, Lorença","Itália, Roma",Fernão Mendes,Lourenço Pires de Távora,"Diplomacia,Correspondencia"
PSCR0102,Arquivo Nacional da Torre do Tombo,1561,particular,informação,"Italia, Firenze","Italia, Roma",Fernão Mendes,Lourenço Pires de Távora,"Diplomacia,Correspondencia,Enfermedad,Defunción"
PSCR0103,Arquivo Nacional da Torre do Tombo,1569,amor,expressão de amor,"Portugal, Castelo Branco, São Vicente da Beira","Portugal, Castelo Branco, São Vicente da Beira",Florentina da Cunha,Jorge Machado,"Añoranza,Confesor,Secretos"
PSCR0104,Arquivo Nacional da Torre do Tombo,1542,particular,pedido,Viseu,"Portugal, Lisboa",Francisco Dias,Estêvão de Lagos,"Justicia,Ayuda"
PSCR0105,Arquivo Nacional da Torre do Tombo,1553,particular,instruções,Évora,Castelo de Vide,Afonso Fernandes de Medelhim,Manuel Gil,"Deudas,Condena,Copia"
PSCR0106,Arquivo Nacional da Torre do Tombo,1546,particular,notícias,"Portugal, Lisboa",,Anónimo475,Anónimo476,"Testigos,Justicia,Comercio,Negocios,Dinero"
PSCR0107,"Arquivo Nacional da Torre do
							Tombo",1500-1599,particular,notícias,S.l.,S.l.,Gaspar Tibau,Rui Carvalho,"Negocios,Comercio"
PSCR0108,Arquivo Nacional da Torre do Tombo,1556,particular,notícias,"América, Brasil, Salvador da Bahia","[Álcácer do Sal], Torrão",João Velho Galvão,Maria Fernandes,"Brasil,Correspondencia,Familia,Ayuda,Viajes"
PSCR0109,Arquivo Nacional da Torre do Tombo,1556,particular,notícias,"América, Brasil, Salvador da Bahia","Portugal, Lisboa",João Velho Galvão,Fernão Pires da Nóbrega,"Brasil,Correspondencia,Clero,Ayuda"
PSCR0110,Arquivo Nacional da Torre do Tombo,1540,particular,pedido,"Portugal, Leiria","Portugal, Lisboa",Lopes,Francisco de Moura,"Correspondencia,Merced,Dinero"
PSCR0111,Arquivo Nacional da Torre do Tombo,1540,particular,súplica,"Portugal, Lisboa","Portugal, Lisboa",Fernão Mendes,João de Melo,"Inquisición,Prisión,Testigos"
PSCR0112,Arquivo Nacional da Torre do Tombo,1540,particular,informação,"Portugal, Lisboa","Portugal, Lisboa",Fernão Mendes,Anónimo,"Inquisición,Prisión,Confesión"
PSCR0113,Arquivo Nacional da Torre do Tombo,1540,particular,informação,"Portugal, Lisboa","Portugal, Lisboa",Fernão Mendes,João de Melo,"Inquisición,Prisión,Confesión"
PSCR0114,Arquivo Nacional da Torre do Tombo,1592,particular,notícias,S.l,S.l,Lopo Soares,Martim de Ribeiro,"Enfermedad,Viajes"
PSCR0115,Arquivo Nacional da Torre do Tombo,1530-1550,particular,informação,"Portugal, Lisboa","Portugal, Lisboa",João Monteiro,Tomé Serrão,"Agustinos,Administración"
PSCR0116,Arquivo Nacional da Torre do Tombo,1500-1599,particular,pedido,S.l.,S.l.,Anónimo493,Dom Cristóvão,Enfermedad
PSCR0117,Arquivo Nacional da Torre do Tombo,1530-1550,particular,instruções,S.l.,S.l.,Álvaro Fernandes,Anónimo494,"Justicia,Avisos"
PSCR0118,Arquivo Nacional da Torre do Tombo,1571,familiar,notícias,"Portugal, Évora","Portugal, Beja",Diogo Lopes Serralvo,Maria Álvares,"Prisión,Familia,Consuelo,Infancia,Ropa,Denuncia"
PSCR0119,Arquivo Nacional da Torre do Tombo,1574,particular,escusa,S.l.,S.l.,Jorge Mialheiro,António de Castilho,Negocios
PSCR0120,Arquivo Nacional da Torre do Tombo,1525-1593,familiar,notícias,"Portugal, Coimbra, Celas",S.l.,Anónima64,António de Castilho,"Matrimonio,Añoranza,Convento"
PSCR0121,Arquivo Nacional da Torre do Tombo,1525-1593,familiar,pedido,"Portugal, Coimbra, Celas",S.l.,Anónima64,António de Castilho,"Celos,Consuelo,Familia"
PSCR0122,Arquivo Nacional da Torre do Tombo,1500-1599,particular,informação,S.l.,S.l.,Anónimo489,Anónimo490,Negocios
PSCR0123,"Arquivo Nacional da Torre do
							Tombo",1500-1599,particular,queixa,"Portugal, Santarém",Almeirim,Aires Barbosa,António Carneiro,Alojamiento
PSCR0124,Arquivo Nacional da Torre do Tombo,1500-1550,particular,súplica,S.l.,S.l.,Dom Garcia de Almeida,Anónimo491,"Alhajas,Deudas,Sospechas"
PSCR0125,Archives générales du Royaume/ Algemeen Rijksarchief,1544,particular,notícias,"Portugal, Lisboa","Flandres, Antuérpia",Luís Rodrigues,Duarte Gomes,"Familia,Imprenta"
PSCR0126,Archives générales du Royaume/ Algemeen Rijksarchief,1544,particular,notícias,"Portugal, Lisboa","Flandres, Antuérpia",Luís Rodrigues,Duarte Gomes,"Familia,Imprenta"
PSCR0127,Archives générales du Royaume/ Algemeen Rijksarchief,1544,familiar,notícias,"Portugal, Lisboa","Flandres, Antuérpia",Gonçalo Dias,Henrique Dias,"Dinero,Negocios,Matrimonio"
PSCR0128,Archives générales du Royaume/ Algemeen Rijksarchief,1544,familiar,notícias,"Portugal, Lisboa","Flandres, Antuérpia",Domingos de Abreu,João de Abreu,Matrimonio
PSCR0129,Archives générales du Royaume/ Algemeen Rijksarchief,1544,familiar,notícias,"Portugal, Lisboa","Flandres, Antuérpia",Amador Lopes,Gabriel Lopes,"Dinero,Negocios,Mercancías"
PSCR0130,Archives générales du Royaume/ Algemeen Rijksarchief,1544,familiar,notícias,"Portugal, Lisboa","Flandres, Antuérpia",Bento Rodrigues,Jorge Fernandes,"Familia,Negocios"
PSCR0131,Archives générales du Royaume/ Algemeen Rijksarchief,1544,familiar,notícias,"Portugal, Lisboa","Flandres, Antuérpia",António Gomes,Francisco Nunes,"Familia,Ejército"
PSCR0132,Archives générales du Royaume/ Algemeen Rijksarchief,1544,familiar,notícias,"Portugal, Lisboa","Flandres, Antuérpia",Álvaro Nunes,Francisco Nunes,"Viajes,Alojamiento,Negocios"
