muy	Muy	RQ	muy
a	A	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
mandaredes	mandáredes	VMSF2P0	mandar
Como	como	SPS00	como
umillde	humilde	AQ0CS0	humilde
muger	mujer	NCFS000	mujer
vuestra	vuestra	DP2FSP	vuestro
hasta	hasta	SPS00	hasta
que	que	CS	que
dios	Dios	NP00000	dios
quiera	quiera	VMSP0S0	querer
	,	Fc	,
Françisca	Francisca	NP00000	francisca
Redonda	Redonda	NP00000	redonda
