Nuestro	Nuestro	DP1MSP	nuestro
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
era	era	VSII0S0	ser
mercaduria	mercaduría	NCFS000	mercaduría
	,	Fc	,
que	que	CS	que
las	las	DA0FP0	el
personas	personas	NCFP000	persona
nunca	nunca	RN	nunca
entendimos	entendimos	VMIS1P0	entender
perder	perder	VMN0000	perder
la	la	DA0FS0	el
vida	vida	NCFS000	vida
porque	porque	CS	porque
	,	Fc	,
yendo	yendo	VMG0000	ir
en	en	SPS00	en
flota	flota	NCFS000	flota
	,	Fc	,
se	se	P00CN000	se
socorren	socorren	VMIP3P0	socorrer
unas	unas	DI0FP0	uno
a	a	SPS00	a
otras	otras	DI0FP0	otro
	;	Fx	;
aunque	aunque	CC	aunque
una	una	DI0FS0	uno
nabe	nave	NCFS000	nave
vimos	vimos	VMIS1P0	ver
irse	irse	VMN0000+P00CN000	ir+se
a	a	SPS00	a
fondo	fondo	NCMS000	fondo
con	con	SPS00	con
la	la	DA0FS0	el
su	su	DP3CS0	su
mercaduria	mercaduría	NCFS000	mercaduría
y	y	CC	y
	,	Fc	,
si	si	CS	si
la	la	DA0FS0	el
gente	gente	NCFS000	gente
no	no	RN	no
pusiera	pusiera	VMSI0S0	poner
la	la	DA0FS0	el
diligencia	diligencia	NCFS000	diligencia
que	que	PR0CN000	que
puso	puso	VMIS3S0	poner
	,	Fc	,
mucha	mucha	DI0FS0	mucho
d	de	SPS00	de
ella	ella	PP3FS000	él
se	se	P00CN000	se
ahogava	ahogaba	VMII0S0	ahogar
.	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
fue	fue	VSIS3S0	ser
comida	comida	NCFS000	comida
lo	lo	PP3CNA00	lo
pasamos	pasamos	VMIP1P0	pasar
bien	bien	RG	bien
que	que	CS	que
	,	Fc	,
vendito	bendito	AQ0MSP	bendito
sea	sea	VSSP0S0	ser
dios	Dios	NP00000	dios
	,	Fc	,
sobro	sobró	VMIS3S0	sobrar
de	de	SPS00	de
todo	todo	PI0MS000	todo
del	del	SPS00+DA0MS0	de+el
viaje	viaje	NCMS000	viaje
	.	Fp	.
vizcocho	Bizcocho	NCMS000	bizcocho
y	y	CC	y
gallinas	gallinas	NCFP000	gallina
que	que	PR0CN000	que
comimos	comimos	VMIS1P0	comer
algunos	algunos	DI0MP0	alguno
dias	días	NCMP000	día
y	y	CC	y
otros	otros	DI0MP0	otro
muchos	muchos	DI0MP0	mucho
vastimentos	bastimentos	NCMP000	bastimento
que	que	CS	que
d	de	SPS00	de
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
que	que	CS	que
Vm	VM	NP00000	VM
nos	nos	PP1CP000	nos
embio	envió	VMIS3S0	enviar
rehicimos	rehicimos	VMIS1P0	rehacer
el	el	DA0MS0	el
matalotaje	matalotaje	NCMS000	matalotaje
	.	Fp	.
tomamos	Tomamos	VMIS1P0	tomar
las	las	DA0FP0	el
islas	islas	NCFP000	isla
de	de	SPS00	de
matalino	Matalino	NP00000	matalino
	,	Fc	,
donde	donde	PA000000	donde
nos	nos	PP1CP000	nos
recalamos	recalamos	VMIS1P0	recalar
y	y	CC	y
tomamos	tomamos	VMIS1P0	tomar
el	el	DA0MS0	el
agua	agua	NCCS000	agua
que	que	PR0CN000	que
la	la	DA0FS0	el
nave	nave	NCFS000	nave
hacia	hacía	VMII0S0	hacer
	,	Fc	,
por	por	SPS00	por
donde	donde	PA000000	donde
fuimos	fuimos	VMIS1P0	ir
algo	algo	RQ	algo
descansados	descansados	NP00000	descansado
hasta	hasta	SPS00	hasta
llegar	llegar	VMN0000	llegar
a	a	SPS00	a
cartagena	Cartagena	NP00000	cartagena
	,	Fc	,
adonde	adonde	PA000000	adonde
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
estamos	estamos	VMIP1P0	estar
	.	Fp	.
y	Y	CC	y
somos	somos	VSIP1P0	ser
veçinos	vecinos	NCMP000	vecino
por	por	SPS00	por
lo	lo	DA0NS0	el
menos	menos	RC	menos
por	por	SPS00	por
un	un	DI0MS0	uno
año	año	NCMS000	año
	,	Fc	,
porque	porque	CS	porque
tome	tomé	VMIS1S0	tomar
luego	luego	RG	luego
casa	casa	NCFS000	casa
que	que	PR0CN000	que
me	me	PP1CS000	me
cuesta	cuesta	VMIP3S0	costar
trecientos	trescientos	Z	300
y	y	CC	y
cincuenta	cincuenta	Z	50
pesos	pesos	NCMP000	peso
	.	Fp	.
no	No	RN	no
pude	pude	VMIS1S0	poder
pasar	pasar	VMN0000	pasar
adelante	adelante	RG	adelante
por	por	SPS00	por
el	el	DA0MS0	el
preñez	preñez	NCFS000	preñez
de	de	SPS00	de
mari	Mari	NP00000	mari
gomez	Gómez	NP00000	gómez
	,	Fc	,
que	que	CS	que
esta	está	VMIP3S0	estar
en	en	SPS00	en
dias	días	NCMP000	día
de	de	SPS00	de
parir	parir	VMN0000	parir
	.	Fp	.
dios	Dios	NP00000	dios
la	la	DA0FS0	el
alumbre	alumbre	NCFS000	alumbre
y	y	CC	y
la	la	PP3FSA00	lo
de	dé	VMSP0S0	dar
salud	salud	NCFS000	salud
	,	Fc	,
que	que	CS	que
mucho	mucho	RQ	mucho
me	me	PP1CS000	me
ato	ató	VMIS3S0	atar
los	los	DA0MP0	el
pies	pies	NCMP000	pie
y	y	CC	y
las	las	DA0FP0	el
manos	manos	NCFP000	mano
en	en	SPS00	en
estar	estar	VMN0000	estar
preñada	preñada	VMP00SF	preñar
	.	Fp	.
ya	Ya	RG	ya
fue	fue	VSIS3S0	ser
dios	Dios	NP00000	dios
servido	servido	VMP00SM	servir
de	de	SPS00	de
que	que	CS	que
ansi	así	RG	así
fuese	fuese	VMSI0S0	ir
	:	Fd	:
sirvase	sírvase	VMSP0S0+P00CN000	servir+se
con	con	SPS00	con
todo	todo	PI0MS000	todo
	.	Fp	.
puse	Puse	VMIS1S0	poner
mi	mi	DP1CSS	mi
tienda	tienda	NCFS000	tienda
de	de	SPS00	de
mi	mi	DP1CSS	mi
mercaduria	mercaduría	NCFS000	mercaduría
	.	Fp	.
vase	Vase	VMIP3S0+P00CN000	ir+se
vendiendo	vendiendo	VMG0000	vender
bien	bien	RG	bien
.	.	Fp	.
solo	Sólo	RG	sólo
le	le	PP3CSD00	le
quiero	quiero	VMIP1S0	querer
decir	decir	VMN0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
q	que	CS	que
si	si	CS	si
mari	Mari	NP00000	mari
gomez	Gómez	NP00000	gómez
se	se	P00CN000	se
quedara	quedara	VMSI0S0	quedar
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
gaste	gaste	VMSP0S0	gastar
en	en	SPS00	en
el	el	DA0MS0	el
viaje	viaje	NCMS000	viaje
truxera	trujera	SPS00	trujera
empleado	empleado	VMP00SM	emplear
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
fuera	fuera	VSSI0S0	ser
en	en	SPS00	en
este	este	DD0MS0	este
nabio	navío	NCMS000	navío
de	de	SPS00	de
aviso	aviso	NCMS000	aviso
a	a	SPS00	a
españa	España	NP00000	españa
y	y	CC	y
tornarame	tornárame	VMSI0S0+PP1CS000	tornar+me
en	en	SPS00	en
la	la	DA0FS0	el
flota	flota	NCFS000	flota
de	de	SPS00	de
nueba	Nueva	AQ0FS0	nuevo
espana	España	NP00000	españa
con	con	SPS00	con
mi	mi	DP1CSS	mi
empleo	empleo	NCMS000	empleo
	,	Fc	,
donde	donde	PA000000	donde
no	no	RN	no
ubiera	hubiera	VMSI0S0	haber
menester	menester	NCMS000	menester
mas	más	RC	más
en	en	SPS00	en
dias	días	NCMP000	día
de	de	SPS00	de
los	los	DA0MP0	el
dos	dos	Z	2
viajes	viajes	NCMP000	viaje
.	.	Fp	.
gaste	Gasté	NP00000	gasté
mucho	mucho	RQ	mucho
en	en	SPS00	en
el	el	DA0MS0	el
camino	camino	NCMS000	camino
	,	Fc	,
que	que	CS	que
cierto	cierto	RG	cierto
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
puse	puse	VMIS1S0	poner
en	en	SPS00	en
cartajena	Cartagena	NP00000	cartagena
con	con	SPS00	con
mas	más	RC	más
de	de	SPS00	de
mill	mil	Z	1000
y	y	CC	y
seiscientos	seiscientos	Z	600
ducados	ducados	NCMP000	ducado
de	de	SPS00	de
gasto	gasto	NCMS000	gasto
desde	desde	SPS00	desde
el	el	DA0MS0	el
dia	día	NCMS000	día
que	que	PR0CN000	que
sali	salí	VMIS1S0	salir
de	de	SPS00	de
sancta	Santa	NP00000	santo
olalla	Olalla	NP00000	olalla
hasta	hasta	SPS00	hasta
verme	verme	VMN0000+PP1CS000	ver+me
en	en	SPS00	en
cartajena	Cartagena	NP00000	cartagena
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
poco	poco	RQ	poco
que	que	PR0CN000	que
empleo	empleo	NCMS000	empleo
	,	Fc	,
que	que	CS	que
seran	serán	VSIF3P0	ser
hasta	hasta	SPS00	hasta
mill	mil	Z	1000
ducados	ducados	NCMP000	ducado
escasos	escasos	NCMP000	escaso
	,	Fc	,
vendido	vendido	VMP0000	vender
aqui	aquí	RG	aquí
	.	Fp	.
si	Si	CS	si
viniera	viniera	VMSI0S0	venir
solo	solo	AQ0MS0	solo
bolbiera	volviera	VMSI0S0	volver
en	en	SPS00	en
este	este	DD0MS0	este
nabio	navío	NCMS000	navío
a	a	SPS00	a
espana	España	NP00000	españa
y	y	CC	y
tornara	tornara	VMIF3S0	tornar
a	a	SPS00	a
empleallo	emplearlo	VMN0000+PP3MSA00	emplear+lo
	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
hallo	hallo	VMIP1S0	hallar
esto	esto	PD0NN000	esto
por	por	SPS00	por
una	una	DI0FS0	uno
de	de	SPS00	de
las	las	DA0FP0	el
mayores	mayores	AQ0CP0	mayor
ganancias	ganancias	NCFP000	ganancia
que	que	PR0CN000	que
se	se	P00CN000	se
pueden	pueden	VMIP3P0	poder
buscar	buscar	VMN0000	buscar
en	en	SPS00	en
los	los	DA0MP0	el
tratos	tratos	NCMP000	trato
q	que	CS	que
yo	yo	PP1CSN00	yo
hallo	hallo	VMIP1S0	hallar
por	por	SPS00	por
mi	mi	DP1CSS	mi
cuenta	cuenta	NCFS000	cuenta
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
algunas	algunas	DI0FP0	alguno
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
las	las	DA0FP0	el
que	que	PR0CN000	que
truxe	truje	VMIS1S0	traer
q	que	CS	que
gane	gané	VMIS1S0	ganar
mas	más	RC	más
de	de	SPS00	de
treçientos	trescientos	Z	300
por	por	SPS00	por
çiento	ciento	Z	100
	;	Fx	;
y	y	CC	y
en	en	SPS00	en
la	la	DA0FS0	el
que	que	PR0CN000	que
menos	menos	RC	menos
	,	Fc	,
ciento	ciento	Z	100
por	por	SPS00	por
ciento	ciento	Z	100
	,	Fc	,
de	de	SPS00	de
suerte	suerte	NCFS000	suerte
que	que	CS	que
hasta	hasta	SPS00	hasta
aora	ahora	RG	ahora
	,	Fc	,
vendito	bendito	AQ0MSP	bendito
sea	sea	VSSP0S0	ser
dios	Dios	NP00000	dios
	,	Fc	,
me	me	PP1CS000	me
ba	va	VMIP3S0	ir
sucediendo	sucediendo	VMG0000	suceder
vien	bien	RG	bien
	.	Fp	.
plega	Plega	VMSP0S0	placer
a	a	SPS00	a
dios	Dios	NP00000	dios
que	que	CS	que
siempre	siempre	RG	siempre
me	me	PP1CS000	me
suçeda	suceda	VMSP0S0	suceder
ansi	así	RG	así
y	y	CC	y
como	como	CS	como
yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
deseo	deseo	VMIP1S0	desear
y	y	CC	y
mis	mis	DP1CPS	mi
hijos	hijos	NCMP000	hijo
lo	lo	PP3CNA00	lo
an	han	VMIP3P0	haber
menester	menester	NCMS000	menester
	.	Fp	.
esta	Ésta	PD0FS000	este
fue	fue	VSIS3S0	ser
la	la	DA0FS0	el
ora	hora	NCFS000	hora
que	que	CS	que
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
ubiera	hubiera	VASI0S0	haber
entrado	entrado	VMP0000	entrar
en	en	SPS00	en
el	el	DA0MS0	el
Reino	reino	NCMS000	reino
con	con	SPS00	con
algun	algún	DI0MS0	alguno
empleo	empleo	NCMS000	empleo
si	si	CS	si
mari	Mari	NP00000	mari
gomez	Gómez	NP00000	gómez
entendiera	entendiera	VMSI0S0	entender
que	que	CS	que
no	no	RN	no
avia	había	VMII0S0	haber
de	de	SPS00	de
parir	parir	VMN0000	parir
en	en	SPS00	en
el	el	DA0MS0	el
tretanto	entretanto	NCMS000	entretanto
	.	Fp	.
lo	lo	PP3CNA00	lo
haze	hace	VMIP3S0	hacer
ast	hasta	SPS00	hasta
aora	ahora	RG	ahora
bien	bien	RG	bien
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
el	el	DA0MS0	el
viaje	viaje	NCMS000	viaje
ha	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
podido	podido	VMP0000	poder
y	y	CC	y
entiendo	entiendo	VMIP1S0	entender
que	que	CS	que
lo	lo	PP3CNA00	lo
hara	hará	VMIF3S0	hacer
siempre	siempre	RG	siempre
	,	Fc	,
porque	porque	CS	porque
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
haze	hace	VMIP3S0	hacer
lo	lo	PP3CNA00	lo
haze	hace	VMIP3S0	hacer
con	con	SPS00	con
aficion	afición	NCFS000	afición
	.	Fp	.
juana	Juana	NP00000	juana
esta	está	VMIP3S0	estar
buena	buena	AQ0FS0	bueno
	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
deja	deja	VMIP3S0	dejar
de	de	SPS00	de
acordarse	acordarse	VMN0000+P00CN000	acordar+se
de	de	SPS00	de
su	su	DP3CS0	su
ruismundo	Ruismundo	NP00000	ruismundo
	.	Fp	.
todos	Todos	DI0MP0	todo
los	los	DA0MP0	el
demas	demás	NCMS000	demás
estamos	estamos	VMIP1P0	estar
buenos	buenos	AQ0MP0	bueno
	,	Fc	,
desde	desde	SPS00	desde
juanillo	Juanillo	NP00000	juanillo
hasta	hasta	SPS00	hasta
el	el	DA0MS0	el
mayor	mayor	NCMS000	mayor
	,	Fc	,
que	que	CS	que
cierto	cierto	RG	cierto
que	que	CS	que
diçe	dice	VMIP3S0	decir
cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
espanta	espanta	VMIP3S0	espantar
	,	Fc	,
porque	porque	CS	porque
todo	todo	PI0MS000	todo
que	que	PR0CN000	que
oyo	oyó	VMIS3S0	oír
a	a	SPS00	a
los	los	DA0MP0	el
marineros	marineros	NCMP000	marinero
lo	lo	PP3CNA00	lo
tiene	tiene	VMIP3S0	tener
en	en	SPS00	en
la	la	DA0FS0	el
cabeza	cabeza	NCFS000	cabeza
	.	Fp	.
queira	Quiera	VMSP0S0	querer
dios	Dios	NP00000	dios
que	que	CS	que
algun	algún	DI0MS0	alguno
dia	día	NCMS000	día
vm	VM	NP00000	VM
le	le	PP3CSD00	le
oyga	oiga	VMSP0S0	oír
deçir	decir	VMN0000	decir
algo	algo	PI0CS000	algo
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
muy	muy	RQ	muy
donoso	donoso	AQ0MS0	donoso
	,	Fc	,
mas	más	RC	más
que	que	CS	que
ninguno	ninguno	PI0MS00N	ninguno
de	de	SPS00	de
sus	sus	DP3CP0	su
ermanos	hermanos	NCMP000	hermano
	.	Fp	.
digo	Digo	VMIP1S0	decir
esta	está	VMIP3S0	estar
muy	muy	RQ	muy
grande	grande	AQ0CS0	grande
y	y	CC	y
sabe	sabe	VMIP3S0	saber
dios	Dios	NP00000	dios
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
importara	importara	VMSI0S0	importar
averse	haberse	VAN0000+P00CN000	haber+se
qdado	quedado	VMP0000	quedar
debajo	debajo	RG	debajo
de	de	SPS00	de
su	su	DP3CS0	su
mano	mano	NCFS000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
porque	porque	CS	porque
yo	yo	PP1CSN00	yo
no	no	RN	no
puedo	puedo	VMIP1S0	poder
acudirle	acudirle	VMN0000+PP3CSD00	acudir+le
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
vezes	veces	NCFP000	vez
a	a	SPS00	a
castigarle	castigarle	VMN0000+PP3CSD00	castigar+le
	.	Fp	.
tengole	Téngole	VMIP1S0+PP3CSD00	tener+le
puesto	puesto	VMP00SM	poner
al	al	SPS00+DA0MS0	a+el
escuela	escuela	NCFS000	escuela
	.	Fp	.
trabajare	Trabajaré	VMIF1S0	trabajar
en	en	SPS00	en
el	él	PP3MS000	él
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pudiere	pudiere	VMSF0S0	poder
hasta	hasta	SPS00	hasta
que	que	CS	que
este	esté	VMSP0S0	estar
en	en	SPS00	en
edad	edad	NCFS000	edad
de	de	SPS00	de
embiarsele	enviársele	VMN0000+PP3CN000+PP3CSA00	enviar+se+le
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
prometido	prometido	VMP00SM	prometer
y	y	CC	y
vm	VM	NP00000	VM
por	por	SPS00	por
su	su	DP3CS0	su
carta	carta	NCFS000	carta
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
tiene	tiene	VMIP3S0	tener
mandado	mandado	NCMS000	mandado
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
se	se	P00CN000	se
le	le	PP3CSD00	le
haze	hace	VMIP3S0	hacer
de	de	SPS00	de
mal	mal	NCMS000	mal
a	a	SPS00	a
mari	Mari	NP00000	mari
gomez	Gómez	NP00000	gómez
y	y	CC	y
propio	propio	NCMS000	propio
	,	Fc	,
le	le	PP3CSD00	le
llebare	llevaré	VMIF1S0	llevar
siendo	siendo	VSG0000	ser
dios	Dios	NP00000	dios
servido	servido	VMP00SM	servir
y	y	CC	y
sera	será	VSIF3S0	ser
antes	antes	RG	antes
aun	aún	RG	aun
del	del	SPS00+DA0MS0	de+el
tiempo	tiempo	NCMS000	tiempo
que	que	PR0CN000	que
quede	quede	VMSP0S0	quedar
	.	Fp	.
a	A	SPS00	a
la	la	DA0FS0	el
señora	señora	NP00000	señor
doña	doña	NP00000	don
leonor	Leonor	NP00000	leonor
	,	Fc	,
mari	Mari	NP00000	mari
gomez	Gómez	NP00000	gómez
y	y	CC	y
io	yo	PP1CSN00	yo
la	la	PP3FSA00	lo
besamos	besamos	VMIP1P0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
y	y	CC	y
lucia	Lucía	NP00000	lucía
y	y	CC	y
los	los	DA0MP0	el
demas	demás	NCMS000	demás
se	se	P00CN000	se
le	le	PP3CSD00	le
encomiendan	encomiendan	VMIP3P0	encomendar
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
si	si	CS	si
alguna	alguna	DI0FS0	alguno
buena	buena	AQ0FS0	bueno
nueba	nueva	NCFS000	nueva
ay	hay	VMIP3S0	haber
del	del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
pero	Pero	NP00000	pero
diaz	Díaz	NP00000	díaz
	,	Fc	,
vm	VM	NP00000	VM
nos	nos	PP1CP000	nos
la	la	PP3FSA00	lo
escriba	escriba	VMSP0S0	escribir
	,	Fc	,
que	que	CS	que
nos	nos	PP1CP000	nos
holgaremos	holgaremos	VMIF1P0	holgar
d	de	SPS00	de
ella	ella	PP3FS000	él
tanto	tanto	RC	tanto
como	como	CS	como
de	de	SPS00	de
todo	todo	DI0MS0	todo
nuestro	nuestro	DP1MSP	nuestro
bien	bien	NCMS000	bien
.	.	Fp	.
La	La	DA0FS0	el
carta	carta	NCFS000	carta
que	que	PR0CN000	que
venia	venía	VMII0S0	venir
para	para	SPS00	para
el	el	DA0MS0	el
lcdo	licenciado	NP00000	licenciado
soto	Soto	NP00000	soto
no	no	RN	no
la	la	PP3FSA00	lo
hemos	hemos	VAIP1P0	haber
podido	podido	VMP0000	poder
hallar	hallar	VMN0000	hallar
y	y	CC	y
ansi	así	RG	así
no	no	RN	no
nos	nos	PP1CP000	nos
hemos	hemos	VAIP1P0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
conozer	conocer	VMN0000	conocer
aunque	aunque	CS	aunque
vibimos	vivimos	VMIP1P0	vivir
uno	uno	Z	1
en	en	SPS00	en
frente	frente	RG	frente
de	de	SPS00	de
otro	otro	PI0MS000	otro
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
que	qué	PT0CN000	qué
se	se	P00CN000	se
pudo	pudo	VMIS3S0	poder
hazer	hacer	VMN0000	hacer
	.	Fp	.
vm	VM	NP00000	VM
haga	haga	VMSP0S0	hacer
porque	porque	CS	porque
se	se	P00CN000	se
escriba	escriba	VMSP0S0	escribir
otra	otra	PI0FS000	otro
en	en	SPS00	en
la	la	DA0FS0	el
primer	primer	AO0MS0	primero
ocasion	ocasión	NCFS000	ocasión
	,	Fc	,
porque	porque	CS	porque
es	es	VSIP3S0	ser
hombre	hombre	NCMS000	hombre
que	que	PR0CN000	que
bale	vale	VMIP3S0	valer
en	en	SPS00	en
esta	esta	DD0FS0	este
ciudad	ciudad	NCFS000	ciudad
y	y	CC	y
nos	nos	PP1CP000	nos
podia	podía	VMII0S0	poder
aprobechar	aprovechar	VMN0000	aprovechar
algun	algún	DI0MS0	alguno
dia	día	NCMS000	día
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
senor	señor	NP00000	señor
dotor	doctor	NP00000	doctor
tribino	Tribino	NP00000	tribino
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
señora	señora	NP00000	señor
conception	Concepción	NP00000	concepción
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
licenciado	licenciado	NP00000	licenciado
diego	Diego	NP00000	diego
gomez	Gómez	NP00000	gómez
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
fran	Francisco	NP00000	francisco
gomez	Gómez	NP00000	gómez
besamos	besamos	VMIP1P0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
	,	Fc	,
q	que	CS	que
todavia	todavía	RG	todavía
tenemos	tenemos	VMIP1P0	tener
esperança	esperanza	NCFS000	esperanza
de	de	SPS00	de
vernos	vernos	VMN0000+PP1CP000	ver+nos
y	y	CC	y
tratarnos	tratarnos	VMN0000+PP1CP000	tratar+nos
	,	Fc	,
siendo	siendo	VSG0000	ser
dios	Dios	NP00000	dios
servido	servido	VMP00SM	servir
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
fran	Francisco	NP00000	francisco
el	el	DA0MS0	el
rubio	Rubio	NP00000	rubio
escribo	escribo	VMIP1S0	escribir
un	un	DI0MS0	uno
ringlon	renglón	NCMS000	renglón
	.	Fp	.
escrivire	Escribiré	VMIF1S0	escribir
a	a	SPS00	a
todos	todos	DI0MP0	todo
esos	esos	DD0MP0	ese
señores	señores	NCMP000	señor
en	en	SPS00	en
la	la	DA0FS0	el
flota	flota	NCFS000	flota
muy	muy	RQ	muy
largo	largo	RG	largo
	,	Fc	,
q	que	CS	que
aora	ahora	RG	ahora
no	no	RN	no
pudo	pudo	VMIS3S0	poder
ser	ser	VSN0000	ser
porque	porque	CS	porque
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
ir	ir	VMN0000	ir
este	este	DD0MS0	este
aviso	aviso	NCMS000	aviso
aora	ahora	RG	ahora
fue	fue	VSIS3S0	ser
aribar	arribar	VMN0000	arribar
aqui	aquí	RG	aquí
la	la	DA0FS0	el
capitana	capitana	NCFS000	capitán
de	de	SPS00	de
los	los	DA0MP0	el
galeones	galeones	NCMP000	galeón
donde	donde	PA000000	donde
llebaban	llevaban	VMII3P0	llevar
la	la	DA0FS0	el
plata	plata	NCFS000	plata
y	y	CC	y
el	el	DA0MS0	el
