JHs	JHS		
lo	lo	RG	tanto
podre	podré	RG	tanto
azer	hacer	RG	tanto
	.	RG	tanto
çafran	Azafrán	RG	tanto
bale	vale	RG	tanto
13	13	RG	tanto
s	sueldos	RG	tanto
la	la	RG	tanto
libra	libra	RG	tanto
	,	RG	tanto
tafetan	tafetán	RG	tanto
duble	doble	RG	tanto
de	de	RG	tanto
granada	Granada	RG	tanto
4	4	RG	tanto
s	sueldos	RG	tanto
e	y	RG	tanto
lana	lana	RG	tanto
de	de	RG	tanto
toda	toda	RG	tanto
suerte	suerte	RG	tanto
se	se	RG	tanto
bende	vende	RG	tanto
muy	muy	RG	tanto
bien	bien	RG	tanto
a	a	RG	tanto
brujas	Brujas	RG	tanto
e	y	RG	tanto
tiene	tiene	RG	tanto
requesta	recuesta	RG	tanto
estos	estos	RG	tanto
dias	días	RG	tanto
	.	RG	tanto
otra	Otra	RG	tanto
mercaderia	mercadería	RG	tanto
no	no	RG	tanto
ay	hay	RG	tanto
que	que	RG	tanto
aga	haga	RG	tanto
al	al	RG	tanto
caso	caso	RG	tanto
por	por	RG	tanto
aca	acá	RG	tanto
	.	RG	tanto
aqui	Aquí	RG	tanto
balen	valen	RG	tanto
sargas	sargas	RG	tanto
de	de	RG	tanto
anascote	anascote	RG	tanto
46	46	RG	tanto
s	sueldos	RG	tanto
	,	RG	tanto
çera	cera	RG	tanto
de	de	RG	tanto
19	19	RG	tanto
e	y	RG	tanto
1/2	1/2	RG	tanto
a	a	RG	tanto
21	21	RG	tanto
segun	según	RG	tanto
la	la	RG	tanto
bondad	bondad	RG	tanto
	,	RG	tanto
fustanes	fustanes	RG	tanto
de	de	RG	tanto
osburque	Augsburgo	RG	tanto
9	9	RG	tanto
s	sueldos	RG	tanto
3	3	RG	tanto
	.	RG	tanto
cosa	Cosa	RG	tanto
de	de	RG	tanto
merçerias	mercerías	RG	tanto
estan	están	RG	tanto
tanbien	también	RG	tanto
en	en	RG	tanto
estima	estima	RG	tanto
porque	porque	RG	tanto
no	no	RG	tanto
se	se	RG	tanto
aze	hace	RG	tanto
tanto	tanto	RG	tanto
quoato	cuanto	RG	tanto
solia	solía	RG	tanto
	.	RG	tanto
quoalquiera	Cualquiera	RG	tanto
cosa	cosa	RG	tanto
q	que	RG	tanto
vsms	VMs	RG	tanto
bean	vean	RG	tanto
ay	hay	RG	tanto
probecho	provecho	RG	tanto
pueden	pueden	RG	tanto
pedir	pedir	RG	tanto
	,	RG	tanto
q	que	RG	tanto
todo	todo	RG	tanto
se	se	RG	tanto
les	les	RG	tanto
enbiara	enviará	RG	tanto
	.	RG	tanto
regaliz	Regaliz	RG	tanto
no	no	RG	tanto
dexen	dejen	RG	tanto
d	de	RG	tanto
enbiar	enviar	RG	tanto
todo	todo	RG	tanto
lo	lo	RG	tanto
que	que	RG	tanto
pudieren	pudieren	RG	tanto
aber	haber	RG	tanto
	,	RG	tanto
que	que	RG	tanto
todo	todo	RG	tanto
se	se	RG	tanto
bendera	venderá	RG	tanto
	.	RG	tanto
e	Y	RG	tanto
con	con	RG	tanto
lo	lo	RG	tanto
dicho	dicho	RG	tanto
no	no	RG	tanto
ay	hay	RG	tanto
otro	otro	RG	tanto
que	que	RG	tanto
les	les	RG	tanto
abisar	avisar	RG	tanto
	.	RG	tanto
canbiase	Cámbiase	RG	tanto
por	por	RG	tanto
billalon	Villalón	RG	tanto
de	de	RG	tanto
59	59	RG	tanto
a	a	RG	tanto
60	60	RG	tanto
.	.	RG	tanto
