una	Una	DI0FS0	uno
las	las	PP3FPA00	lo
encaminase	encaminase	VMSI0S0	encaminar
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
q	que	CS	que
bien	bien	RG	bien
creo	creo	VMIP1S0	creer
estara	estará	VMIF3S0	estar
vm	VM	NP00000	VM
satisfecho	satisfecho	VMP00SM	satisfacer
porq	porque	CS	porque
las	las	PP3FPA00	lo
abra	habrá	VAIF3S0	haber
ya	ya	RG	ya
resçebido	recibido	VMP0000	recibir
todas	todas	DI0FP0	todo
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
dize	dice	VMIP3S0	decir
q	que	CS	que
le	le	PP3CSD00	le
avia	había	VAII0S0	haber
escrito	escrito	VMP0000	escribir
ju	Juan	NP00000	juan
gomez	Gómez	NP00000	gómez
q	que	CS	que
bolviese	volviese	VMSI0S0	volver
a	a	SPS00	a
sebilla	Sevilla	NP00000	sevilla
por	por	SPS00	por
el	el	DA0MS0	el
rresto	resto	NCMS000	resto
de	de	SPS00	de
my	mi	DP1CSS	mi
puesto	puesto	NCMS000	puesto
sobre	sobre	SPS00	sobre
lo	lo	DA0NS0	el
q	que	PR0CN000	que
avia	había	VAII0S0	haber
rdo	recibido	VMP0000	recibir
e	y	CC	y
que	que	CS	que
vm	VM	NP00000	VM
les	les	PP3CPD00	le
avia	había	VAII0S0	haber
escrito	escrito	VMP0000	escribir
q	que	CS	que
lo	lo	PP3CNA00	lo
tubiesen	tuviesen	VMSI3P0	tener
a	a	SPS00	a
punto	punto	NCMS000	punto
	,	Fc	,
	¿	Fia	¿
por	por	SPS00	por
que	qué	PT0CN000	qué
no	no	RN	no
podia	podía	VMII0S0	poder
de	de	SPS00	de
dexallo	dejarlo	VMN0000+PP3MSA00	dejar+lo
de	de	SPS00	de
Acabar	acabar	VMN0000	acabar
de	de	SPS00	de
cobrar	cobrar	VMN0000	cobrar
enbiandoles	enviándoles	VMG0000+PP3CPD00	enviar+le
los	los	DA0MP0	el
traslados	traslados	NCMP000	traslado
de	de	SPS00	de
las	las	DA0FP0	el
hescrituras	escrituras	NCFP000	escritura
para	para	SPS00	para
q	que	CS	que
les	les	PP3CPD00	le
costase	costase	VMSI0S0	costar
como	como	CS	como
podia	podía	VMII0S0	poder
vm	VM	NP00000	VM
cobrar	cobrar	VMN0000	cobrar
	?	Fit	?
q	Que	CS	que
bien	bien	RG	bien
creo	creo	VMIP1S0	creer
A	a	SPS00	a
esta	esta	DD0FS0	este
ora	hora	NCFS000	hora
estaran	estarán	VMIF3P0	estar
ya	ya	RG	ya
en	en	SPS00	en
poder	poder	NCMS000	poder
de	de	SPS00	de
Vm	VM	NP00000	VM
E	y	CC	y
se	se	P00CN000	se
abra	habrá	VAIF3S0	haber
hecho	hecho	VMP0000	hacer
lo	lo	DA0NS0	el
q	que	PR0CN000	que
A	a	SPS00	a
vm	VM	NP00000	VM
tengo	tengo	VMIP1S0	tener
sobre	sobre	SPS00	sobre
ello	ello	PD0NN000	ello
escrito	escrito	NCMS000	escrito
	,	Fc	,
q	que	CS	que
hes	es	VSIP3S0	ser
hechallos	echarlos	VMN0000+PP3MPA00	echar+lo
a	a	SPS00	a
tributo	tributo	VMIP1S0	tributar
para	para	SPS00	para
que	que	CS	que
gane	gane	VMSP0S0	ganar
porque	porque	CS	porque
a	a	SPS00	a
4	4	Z	4
a	a	SPS00	a
6	6	Z	6
q	que	PR0CN000	que
aca	acá	RG	acá
no	no	RN	no
gano	gano	VMIP1S0	ganar
un	un	DI0MS0	uno
rreal	real	NCMS000	real
	,	Fc	,
lo	lo	DA0NS0	el
ql	cual	PR0CS000	cual
vm	VM	NP00000	VM
trabaxe	trabaje	VMSI0S0	trabajar
de	de	SPS00	de
hechar	echar	VMN0000	echar
en	en	SPS00	en
buenas	buenas	AQ0FP0	bueno
ditas	ditas	NCFP000	dita
	.	Fp	.
y	Y	CC	y
si	si	CS	si
por	por	SPS00	por
caso	caso	NCMS000	caso
qdo	cuando	PA000000	cuando
hesta	ésta	PD0FS000	este
llegare	llegare	VMSF0S0	llegar
no	no	RN	no
fuere	fuere	VSSF0S0	ser
cobrado	cobrado	VMP00SM	cobrar
todo	todo	PI0MS000	todo
A	a	SPS00	a
la	la	DA0FS0	el
ora	hora	NCFS000	hora
	,	Fc	,
trabaje	trabaje	VMSI0S0	trabajar
de	de	SPS00	de
cobrar	cobrar	VMN0000	cobrar
el	el	DA0MS0	el
Resto	resto	NCMS000	resto
que	que	PR0CN000	que
faltare	faltare	VMSF0S0	faltar
del	del	SPS00+DA0MS0	de+el
dho	dicho	NCMS000	dicho
ju	Juan	NP00000	juan
gomez	Gómez	NP00000	gómez
	.	Fp	.
e	Y	CC	y
no	no	RN	no
tome	tome	VMSP0S0	tomar
vm	VM	NP00000	VM
para	para	SPS00	para
esta	esta	DD0FS0	este
quta	cuenta	NCFS000	cuenta
lo	lo	DA0NS0	el
q	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
su	Su	DP3CS0	su
mag	Majestad	NP00000	majestad
	,	Fc	,
porque	porque	CS	porque
aquello	aquello	PD0NN000	aquello
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
Repartir	repartir	VMN0000	repartir
entre	entre	SPS00	entre
todos	todos	PI0MP000	todo
en	en	SPS00	en
cierta	cierta	AQ0FS0	cierto
forma	forma	NCFS000	forma
como	como	CS	como
En	en	SPS00	en
las	las	DA0FP0	el
quentas	cuentas	NCFP000	cuenta
parescera	parecerá	VMIF3S0	parecer
	,	Fc	,
q	que	CS	que
en	en	SPS00	en
otras	otras	DI0FP0	otro
naos	naos	NCFP000	nao
biene	viene	VMIP3S0	venir
	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
agora	ahora	RG	ahora
dire	diré	VMIF1S0	decir
A	a	SPS00	a
vm	VM	NP00000	VM
conbiene	conviene	VMIP3S0	convenir
que	que	CS	que
con	con	SPS00	con
toda	toda	DI0FS0	todo
dilijena	diligencia	NCFS000	diligencia
E	y	CC	y
brevedad	brevedad	NCFS000	brevedad
se	se	P00CN000	se
haga	haga	VMSP0S0	hacer
luego	luego	RG	luego
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
que	que	CS	que
a	a	SPS00	a
gro	Gerónimo	NP00000	gerónimo
	,	Fc	,
l	el	DA0MS0	el
hijo	hijo	NCMS000	hijo
de	de	SPS00	de
alo	Alonso	NP00000	alonso
leon	León	NP00000	león
q	que	CS	que
alli	allí	RG	allí
esta	está	VMIP3S0	estar
	,	Fc	,
le	le	PP3CSD00	le
haga	haga	VMSP0S0	hacer
vm	VM	NP00000	VM
que	que	CS	que
le	le	PP3CSD00	le
pida	pida	VMSP0S0	pedir
A	a	SPS00	a
vm	VM	NP00000	VM
procurador	procurador	NCMS000	procurador
	,	Fc	,
q	que	CS	que
hedad	edad	NCFS000	edad
tiene	tiene	VMIP3S0	tener
ya	ya	RG	ya
para	para	SPS00	para
podello	poderlo	VMN0000+PP3CNA00	poder+lo
hazer	hacer	VMN0000	hacer
	,	Fc	,
q	que	CS	que
tiene	tiene	VMIP3S0	tener
mas	más	RC	más
de	de	SPS00	de
catorze	catorce	Z	14
Aos	años	NCMP000	año
	.	Fp	.
q	Que	CS	que
yo	yo	PP1CSN00	yo
tanbien	también	RG	también
lo	lo	PP3CNA00	lo
hescrivo	escribo	VMIP1S0	escribir
A	a	SPS00	a
my	mi	DP1CSS	mi
hera	hermana	NCFS000	hermano
	,	Fc	,
que	que	CS	que
ser	ser	VSN0000	ser
parte	parte	NCFS000	parte
para	para	SPS00	para
ello	ello	PD0NN000	ello
	,	Fc	,
porque	porque	CS	porque
en	en	SPS00	en
las	las	DA0FP0	el
naos	naos	NCFP000	nao
que	que	CS	que
primero	primero	RG	primero
se	se	P00CN000	se
hiran	irán	VMIF3P0	ir
de	de	SPS00	de
hesta	esta	DD0FS0	este
cibdad	ciudad	NCFS000	ciudad
	,	Fc	,
que	que	CS	que
sera	será	VSIF3S0	ser
por	por	SPS00	por
jullio	julio	NCMS000	julio
	,	Fc	,
saldra	saldrá	VMIF3S0	salir
de	de	SPS00	de
esta	esta	DD0FS0	este
cibdad	ciudad	NCFS000	ciudad
para	para	SPS00	para
castilla	Castilla	NP00000	castilla
leonor	Leonor	NP00000	leonor
lopez	López	NP00000	lópez
e	y	CC	y
su	su	DP3CS0	su
marido	marido	NCMS000	marido
po	Pero	CC	pero
gutierrez	Gutiérrez	NP00000	gutiérrez
e	y	CC	y
todos	todos	DI0MP0	todo
sus	sus	DP3CP0	su
hijos	hijos	NCMP000	hijo
	,	Fc	,
los	los	DA0MP0	el
qles	cuales	PR0CP000	cual
van	van	VMIP3P0	ir
mas	más	RC	más
pobres	pobres	NCCP000	pobre
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
quisiera	quisiera	VMSI0S0	querer
y	y	CC	y
q	que	CS	que
hellos	ellos	PP3MP000	ellos
pudieren	pudieren	VMSF3P0	poder
	,	Fc	,
si	si	CS	si
quisieran	quisieran	VMSI3P0	querer
mirar	mirar	VMN0000	mirar
por	por	SPS00	por
su	su	DP3CS0	su
hazienda	hacienda	NCFS000	hacienda
	.	Fp	.
de	De	SPS00	de
manera	manera	NCFS000	manera
q	que	CS	que
la	la	DA0FS0	el
cabsa	causa	NCFS000	causa
porque	porque	CS	porque
yo	yo	PP1CSN00	yo
ruego	ruego	VMIP1S0	rogar
A	a	SPS00	a
vm	VM	NP00000	VM
le	le	PP3CSD00	le
encamine	encamine	VMSP0S0	encaminar
e	y	CC	y
Aconseje	aconseje	VMSP0S0	aconsejar
q	que	CS	que
le	le	PP3CSD00	le
pida	pida	VMSP0S0	pedir
A	a	SPS00	a
vm	VM	NP00000	VM
procurador	procurador	NCMS000	procurador
hes	es	VSIP3S0	ser
porque	porque	CS	porque
	,	Fc	,
llegados	llegados	NP00000	llegado
pero	Pero	NP00000	pero
gutierrez	Gutiérrez	NP00000	gutiérrez
e	y	CC	y
su	su	DP3CS0	su
madre	madre	NCFS000	madre
	,	Fc	,
no	no	RN	no
le	le	PP3CSD00	le
ynduzan	induzcan	VMSP3P0	inducir
Al	al	SPS00+DA0MS0	a+el
mochacho	muchacho	NCMS000	muchacho
que	que	CS	que
los	los	PP3MPA00	lo
pida	pida	VMSP0S0	pedir
a	a	SPS00	a
ellos	ellos	PP3MP000	ellos
e	y	CC	y
venga	venga	VMSP0S0	venir
A	a	SPS00	a
terminos	términos	NCMP000	término
q	que	CS	que
en	en	SPS00	en
breve	breve	AQ0CS0	breve
tienpo	tiempo	NCMS000	tiempo
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
gasten	gasten	VMSP3P0	gastar
E	y	CC	y
pierdan	pierdan	VMSP3P0	perder
	,	Fc	,
en	en	SPS00	en
lo	lo	DA0NS0	el
ql	cual	PR0CS000	cual
terna	tendrá	VMIF3S0	tener
vm	VM	NP00000	VM
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
cuidado	cuidado	NCMS000	cuidado
e	y	CC	y
brevedad	brevedad	NCFS000	brevedad
posible	posible	AQ0CS0	posible
.	.	Fc	,
dexado	Dejado	VMP0000	dejar
Aparte	aparte	RG	aparte
hesto	esto	PD0NN000	esto
	,	Fc	,
que	que	CS	que
deseo	deseo	VMIP1S0	desear
se	se	P00CN000	se
ponga	ponga	VMSP0S0	poner
en	en	SPS00	en
cobro	cobro	NCMS000	cobro
la	la	DA0FS0	el
hazienda	hacienda	NCFS000	hacienda
de	de	SPS00	de
heste	este	DD0MS0	este
mochacho	muchacho	NCMS000	muchacho
por	por	SPS00	por
esta	esta	DD0FS0	este
bia	vía	NCFS000	vía
	,	Fc	,
querria	querría	VMIC0S0	querer
q	que	CS	que
	,	Fc	,
qdo	cuando	PA000000	cuando
fuesen	fuesen	VMSI3P0	ir
llegados	llegados	RG	llegados
A	a	SPS00	a
sebilla	Sevilla	NP00000	sevilla
vm	VM	NP00000	VM
y	y	CC	y
herdo	Hernando	NP00000	hernando
de	de	SPS00	de
matencio	Matencio	NP00000	matencio
	,	Fc	,
se	se	P00CN000	se
llegasen	llegasen	VMSI3P0	llegar
A	a	SPS00	a
sebilla	Sevilla	NP00000	sevilla
porque	porque	CS	porque
no	no	RN	no
se	se	P00CN000	se
moviese	moviese	VMSI0S0	mover
A	a	SPS00	a
yr	ir	VMN0000	ir
A	a	SPS00	a
otro	otro	DI0MS0	otro
cabo	cabo	NCMS000	cabo
	,	Fc	,
porq	porque	CS	porque
seria	sería	VSIC0S0	ser
contra	contra	SPS00	contra
la	la	DA0FS0	el
boluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
hella	ella	PP3FS000	él
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
yr	ir	VMN0000	ir
A	a	SPS00	a
bivir	vivir	VMN0000	vivir
A	a	SPS00	a
almodovar	Almodóvar	NP00000	almodóvar
	.	Fp	.
y	Y	CC	y
el	él	PP3MS000	él
desea	desea	VMIP3S0	desear
contentalla	contentarla	VMN0000+PP3FSA00	contentar+lo
	.	Fp	.
E	Y	CC	y
	,	Fc	,
biendo	viendo	VMG0000	ver
Alli	allí	RG	allí
a	a	SPS00	a
quien	quien	PR0CS000	quien
les	les	PP3CPD00	le
faboreciese	favoreciese	VMSI0S0	favorecer
	,	Fc	,
no	no	RN	no
haran	harán	VMIF3P0	hacer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	.	Fp	.
y	Y	CC	y
qdo	cuando	PA000000	cuando
fueren	fueren	VMSF3P0	ir
llebaran	llevarán	VMIF3P0	llevar
las	las	DA0FP0	el
quentas	cuentas	NCFP000	cuenta
e	y	CC	y
conpromiso	compromiso	NCMS000	compromiso
	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
ql	cual	PR0CS000	cual
claro	claro	RG	claro
vera	verá	VMIF3S0	ver
vm	VM	NP00000	VM
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pertenesce	pertenece	VMIP3S0	pertenecer
A	a	SPS00	a
cada	cada	DI0CN0	cada
uno	uno	PI0MS000	uno
	.	Fp	.
que	Que	CS	que
tanbien	también	RG	también
para	para	SPS00	para
esto	esto	PD0NN000	esto
hera	era	VSII0S0	ser
menester	menester	NCMS000	menester
q	que	CS	que
vm	VM	NP00000	VM
se	se	P00CN000	se
alle	halle	VMSP0S0	hallar
en	en	SPS00	en
sebilla	Sevilla	NP00000	sevilla
pa	para	SPS00	para
q	que	CS	que
	,	Fc	,
llegado	llegado	VMP0000	llegar
el	el	DA0MS0	el
dho	dicho	NCMS000	dicho
po	Pero	CC	pero
gutierrez	Gutiérrez	NP00000	gutiérrez
	,	Fc	,
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
tomar	tomar	VMN0000	tomar
quenta	cuenta	NCFS000	cuenta
a	a	SPS00	a
ju	Juan	NP00000	juan
gomez	Gómez	NP00000	gómez
E	y	CC	y
el	el	DA0MS0	el
lido	licenciado	NP00000	licenciado
olivares	Olivares	NP00000	olivares
de	de	SPS00	de
todo	todo	PI0MS000	todo
quanto	cuanto	PA000000	cuanto
estuviere	estuviere	VMSF0S0	estar
en	en	SPS00	en
su	su	DP3CS0	su
poder	poder	NCMS000	poder
	.	Fp	.
E	Y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
a	a	SPS00	a
el	él	PP3MS000	él
le	le	PP3CSD00	le
pertenesciere	perteneciere	VMSF0S0	pertenecer
	(	Fba	(
A	a	SPS00	a
po	Pero	NP00000	pero
gutierrez	Gutiérrez	NP00000	gutiérrez
	)	Fbt	)
	,	Fc	,
q	que	CS	que
sera	será	VSIF3S0	ser
poco	poco	RQ	poco
mas	más	RC	más
de	de	SPS00	de
dccM	700000	Z	700000
mrs	maravedís	NCMP000	maravedí
	,	Fc	,
lo	lo	PP3CNA00	lo
rresçibira	recibirá	VMIF3S0	recibir
el	el	DA0MS0	el
dho	dicho	NCMS000	dicho
po	Pero	CC	pero
gutierrez	Gutiérrez	NP00000	gutiérrez
E	y	CC	y
leonor	Leonor	NP00000	leonor
lopez	López	NP00000	lópez
	,	Fc	,
q	que	CS	que
para	para	SPS00	para
ello	ello	PD0NN000	ello
llebaran	llevarán	VMIF3P0	llevar
los	los	DA0MP0	el
Recabdos	recaudos	NCMP000	recaudo
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
les	les	PP3CPD00	le
diere	diere	VMSF0S0	dar
con	con	SPS00	con
declaracion	declaración	NCFS000	declaración
de	de	SPS00	de
todo	todo	PI0MS000	todo
	.	Fp	.
y	Y	CC	y
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
lo	lo	PP3CNA00	lo
A	ha	VMIP3S0	haber
de	de	SPS00	de
cobrar	cobrar	VMN0000	cobrar
vm	VM	NP00000	VM
de	de	SPS00	de
poder	poder	NCMS000	poder
de	de	SPS00	de
los	los	DA0MP0	el
dhos	dichos	VMP00PM	decir
ju	Juan	NP00000	juan
gomez	Gómez	NP00000	gómez
E	y	CC	y
el	el	DA0MS0	el
licdo	licenciado	NCMS000	licenciado
E	y	CC	y
de	de	SPS00	de
otro	otro	PI0MS000	otro
qualquier	cualquier	DI0CS0	cualquier
persona	persona	NCFS000	persona
en	en	SPS00	en
cuio	cuyo	PU0MS000	cuyo
poder	poder	NCMS000	poder
este	esté	VMSP0S0	estar
por	por	SPS00	por
mi	mí	PP1CSO00	mí
E	y	CC	y
por	por	SPS00	por
los	los	DA0MP0	el
menores	menores	AQ0CP0	menor
	,	Fc	,
que	que	CS	que
creo	creo	VMIP1S0	creer
seran	serán	VSIF3P0	ser
mas	más	RC	más
de	de	SPS00	de
deziseis	dieciséis	Z	16
myll	mil	Z	1000
dos	ducados	NCMP000	ducado
con	con	SPS00	con
lo	lo	DA0NS0	el
q	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
su	Su	DP3CS0	su
mag	Majestad	NP00000	majestad
	.	Fp	.
de	De	SPS00	de
todo	todo	PI0MS000	todo
avisare	avisaré	VMIF1S0	avisar
qdo	cuando	PA000000	cuando
fuere	fuere	VSSF0S0	ser
la	la	DA0FS0	el
partida	partida	NCFS000	partida
del	del	SPS00+DA0MS0	de+el
dho	dicho	NCMS000	dicho
po	Pero	CC	pero
gutierrez	Gutiérrez	NP00000	gutiérrez
	.	Fp	.
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
mas	más	RC	más
tengo	tengo	VMIP1S0	tener
que	que	CS	que
encomendar	encomendar	VMN0000	encomendar
A	a	SPS00	a
vm	VM	NP00000	VM
hes	es	VSIP3S0	ser
que	que	CS	que
	,	Fc	,
llegado	llegado	VMP0000	llegar
que	que	CS	que
sean	sean	VSSP3P0	ser
A	a	SPS00	a
almodovar	Almodóvar	NP00000	almodóvar
	,	Fc	,
vm	VM	NP00000	VM
trabaje	trabaje	VMSI0S0	trabajar
con	con	SPS00	con
brevedad	brevedad	NCFS000	brevedad
de	de	SPS00	de
casar	casar	VMN0000	casar
en	en	SPS00	en
l	el	DA0MS0	el
pueblo	pueblo	NCMS000	pueblo
A	a	SPS00	a
la	la	DA0FS0	el
mochacha	muchacha	NCFS000	muchacho
	,	Fc	,
porque	porque	CS	porque
sepa	sepa	VMSP0S0	saber
vm	VM	NP00000	VM
que	que	CS	que
es	es	VSIP3S0	ser
muy	muy	RQ	muy
bonita	bonita	AQ0FS0	bonito
y	y	CC	y
hermosa	hermosa	AQ0FS0	hermoso
y	y	CC	y
tiene	tiene	VMIP3S0	tener
bien	bien	RG	bien
con	con	SPS00	con
que	que	CS	que
se	se	P00CN000	se
casse	case	VMIS3S0	casar
	,	Fc	,
porque	porque	CS	porque
desseo	deseo	VMIP1S0	desear
myentras	mientras	RG	mientras
biviere	viviere	VMSF0S0	vivir
y	y	CC	y
no	no	RN	no
en	en	SPS00	en
otro	otro	DI0MS0	otro
cabo	cabo	NCMS000	cabo
	.	Fp	.
tambien	También	RG	también
me	me	PP1CS000	me
partiera	partiera	VMSI0S0	partir
yo	yo	PP1CSN00	yo
con	con	SPS00	con
ellos	ellos	PP3MP000	ellos
y	y	CC	y
elo	helo	VMIP1S0	helar
dexado	dejado	VMP0000	dejar
porq	porque	CS	porque
se	se	P00CN000	se
ban	van	VMIP3P0	ir
en	en	SPS00	en
tienpo	tiempo	NCMS000	tiempo
que	que	PR0CN000	que
alcancan	alcanzan	VMIP3P0	alcanzar
parte	parte	NCFS000	parte
del	del	SPS00+DA0MS0	de+el
ynbierno	invierno	NCMS000	invierno
e	y	CC	y
yo	yo	PP1CSN00	yo
querria	querría	VMIC0S0	querer
yr	ir	VMN0000	ir
sobre	sobre	SPS00	sobre
verano	verano	NCMS000	verano
	,	Fc	,
si	si	CS	si
dios	Dios	NP00000	dios
fuere	fuere	VSSF0S0	ser
serbido	servido	VMP00SM	servir
	,	Fc	,
pero	pero	CC	pero
para	para	SPS00	para
el	el	DA0MS0	el
março	marzo	NCMS000	marzo
q	que	PR0CN000	que
biene	viene	VMIP3S0	venir
pienso	pienso	VMIP1S0	pensar
	,	Fc	,
con	con	SPS00	con
el	el	DA0MS0	el
Ayuda	ayuda	NCFS000	ayuda
de	de	SPS00	de
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
	,	Fc	,
de	de	SPS00	de
enbarcarme	embarcarme	VMN0000+PP1CS000	embarcar+me
	,	Fc	,
porque	porque	CS	porque
entonçes	entonces	RG	entonces
es	es	VSIP3S0	ser
buen	buen	AQ0MS0	bueno
tienpo	tiempo	NCMS000	tiempo
para	para	SPS00	para
todo	todo	PI0MS000	todo
	.	Fp	.
que	Que	CS	que
	,	Fc	,
llegado	llegado	VMP0000	llegar
que	que	CS	que
sea	sea	VSSP0S0	ser
que	que	CS	que
dios	Dios	NP00000	dios
me	me	PP1CS000	me
llebe	lleve	VMSP0S0	llevar
	,	Fc	,
yo	yo	PP1CSN00	yo
serbire	serviré	VMIF1S0	servir
a	a	SPS00	a
vm	VM	NP00000	VM
todos	todos	DI0MP0	todo
hestos	estos	DD0MP0	este
trabajos	trabajos	NCMP000	trabajo
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
vm	VM	NP00000	VM
dize	dice	VMIP3S0	decir
que	que	CS	que
sera	será	VSIF3S0	ser
bien	bien	RG	bien
el	el	DA0MS0	el
hazer	hacer	VMN0000	hacer
un	un	DI0MS0	uno
quarto	cuarto	NCMS000	cuarto
a	a	SPS00	a
la	la	DA0FS0	el
calle	calle	NCFS000	calle
en	en	SPS00	en
la	la	DA0FS0	el
casa	casa	NCFS000	casa
	,	Fc	,
ya	ya	RG	ya
tengo	tengo	VMIP1S0	tener
escrito	escrito	VMP00SM	escribir
A	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
no	no	RN	no
hes	es	VSIP3S0	ser
tienpo	tiempo	NCMS000	tiempo
de	de	SPS00	de
hazello	hacerlo	VMN0000+PP3CNA00	hacer+lo
por	por	SPS00	por
nra	nuestra	DP1FSP	nuestro
brevedad	brevedad	NCFS000	brevedad
	,	Fc	,
sino	sino	CC	sino
Reparrar	reparar	VMN0000	reparar
lo	lo	DA0NS0	el
hedificado	edificado	VMP00SM	edificar
En	en	SPS00	en
Anbas	ambas	DI0FP0	ambos
casas	casas	NCFP000	casa
	,	Fc	,
porq	porque	CS	porque
si	si	CS	si
dios	Dios	NP00000	dios
nos	nos	PP1CP000	nos
llebare	llevare	VMSF0S0	llevar
veremos	veremos	VMIF1P0	ver
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
podra	podrá	VMIF3S0	poder
hazer	hacer	VMN0000	hacer
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
vm	VM	NP00000	VM
dize	dice	VMIP3S0	decir
que	que	CS	que
son	son	VSIP3P0	ser
poco	poco	RQ	poco
çiento	ciento	Z	100
y	y	CC	y
veinte	veinte	Z	20
duos	ducados	NCMP000	ducado
pa	para	SPS00	para
mi	mi	DP1CSS	mi
hera	herencia	NCFS000	herencia
para	para	SPS00	para
gro	Gerómino	NP00000	gerómino
	,	Fc	,
paresçeme	paréceme	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
bastan	bastan	VMIP3P0	bastar
hasta	hasta	SPS00	hasta
que	que	CS	que
yo	yo	PP1CSN00	yo
baia	vaya	VMSP0S0	ir
	,	Fc	,
que	que	CS	que
	,	Fc	,
teniendo	teniendo	VMG0000	tener
dos	dos	Z	2
hijos	hijos	NCMP000	hijo
como	como	CS	como
tiene	tiene	VMIP3S0	tener
	,	Fp	,
Abian	habían	VMII3P0	haber
de	de	SPS00	de
bastar	bastar	VMN0000	bastar
pa	para	SPS00	para
sustentalle	sustentarle	VMN0000+PP3CSD00	sustentar+le
	.	Fp	.
trabajen	Trabajen	VMSP3P0	trabajar
para	para	SPS00	para
si	sí	RG	sí
con	con	SPS00	con
las	las	DA0FP0	el
yuntas	yuntas	NCFP000	yunta
de	de	SPS00	de
bueies	bueyes	NCMP000	buey
q	que	PR0CN000	que
les	les	PP3CPD00	le
mande	mandé	VMIS1S0	mandar
dar	dar	VMN0000	dar
	,	Fc	,
pues	pues	CS	pues
tengo	tengo	VMIP1S0	tener
yo	yo	PP1CSN00	yo
cuidado	cuidado	NCMS000	cuidado
de	de	SPS00	de
su	su	DP3CS0	su
madre	madre	NCFS000	madre
E	y	CC	y
baste	baste	VMSP0S0	bastar
esto	esto	PD0NN000	esto
en	En	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
