ihs	IHS	NP00000	ihs
	,	Fc	,
tanbyen	también	RG	también
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
conprare	compraré	VMIF1S0	comprar
y	y	CC	y
de	de	SPS00	de
bna	buena	AQ0FS0	bueno
bolundat	voluntad	NCFS000	voluntad
	.	Fp	.
sea	Sea	VSSP0S0	ser
yo	yo	PP1CSN00	yo
avysado	avisado	VMP0000	avisar
para	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
probea	provea	VMSP0S0	proveer
en	en	SPS00	en
lo	lo	DA0NS0	el
nezesario	necesario	AQ0MS0	necesario
.	.	Fp	.
yo	Yo	PP1CSN00	yo
enbyo	envío	VMIP1S0	enviar
esa	esa	DD0FS0	ese
carta	carta	NCFS000	carta
q	que	PR0CN000	que
me	me	PP1CS000	me
demadastes	demandastes	VMIS2S0	demandar
para	para	SPS00	para
los	los	DA0MP0	el
tableros	tableros	NCMP000	tablero
para	para	SPS00	para
q	que	CS	que
agan	hagan	VMSP3P0	hacer
cuenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
sacare	sacare	VMSF0S0	sacar
el	el	DA0MS0	el
s	señor	NP00000	señor
en	en	SPS00	en
el	el	DA0MS0	el
pnte	presente	AQ0CS0	presente
anyo	año	NCMS000	año
	.	Fp	.
tanbyen	También	RG	también
abre	habré	VMIF1S0	haber
plazer	placer	NCMS000	placer
m	me	PP1CS000	me
avyseys	aviséis	VMSP2P0	avisar
si	si	CS	si
aveys	habéis	VAIP2P0	haber
pasado	pasado	VMP0000	pasar
en	en	SPS00	en
cuenta	cuenta	NCFS000	cuenta
con	con	SPS00	con
geronymo	Gerónimo	NP00000	gerónimo
artal	Artal	NP00000	artal
	,	Fc	,
porq	porque	CS	porque
el	él	PP3MS000	él
me	me	PP1CS000	me
prometio	prometió	VMIS3S0	prometer
q	que	CS	que
de	de	SPS00	de
nynguna	ninguna	DI0FS0	ninguno
cosa	cosa	NCFS000	cosa
q	que	PR0CN000	que
me	me	PP1CS000	me
fuese	fuese	VMSI0S0	ir
en	en	SPS00	en
cargo	cargo	NCMS000	cargo
por	por	SPS00	por
la	la	DA0FS0	el
conpañya	compañía	NCFS000	compañía
del	del	SPS00+DA0MS0	de+el
s	señor	NP00000	señor
q	que	CS	que
el	él	PP3MS000	él
me	me	PP1CS000	me
pagarya	pagaría	VMIC0S0	pagar
	,	Fc	,
he	y	CC	y
bos	vos	PP2CS000	vos
quyero	quiero	VMIP1S0	querer
saverlo	saberlo	VMN0000+PP3MSA00	saber+lo
si	si	CS	si
se	se	PP3CN000	se
los	los	PP3MPA00	lo
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
pedir	pedir	VMN0000	pedir
ho	o	CC	o
no	no	RN	no
	;	Fx	;
y	y	CC	y
avysarme	avisarme	VMN0000+PP1CS000	avisar+me
de	de	SPS00	de
lo	lo	DA0NS0	el
çyerto	cierto	AQ0MS0	cierto
	.	Fp	.
por	Por	SPS00	por
lo	lo	DA0NS0	el
semejante	semejante	AQ0CS0	semejante
	,	Fc	,
abre	habré	VMIF1S0	haber
plazer	placer	NCMS000	placer
ableys	habléis	VMSP2P0	hablar
al	al	SPS00+DA0MS0	a+el
sor	señor	NP00000	señor
migel	Miguel	NP00000	miguel
d	de	SPS00	de
ayñyues	Añués	NP00000	añués
y	y	CC	y
le	le	PP3CSD00	le
digays	digáis	VMSP2P0	decir
q	que	CS	que
debe	debe	VMIP3S0	deber
el	el	DA0MS0	el
peaje	peaje	NCMS000	peaje
de	de	SPS00	de
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
lana	lana	NCFS000	lana
q	que	CS	que
de	de	SPS00	de
ju	Juan	NP00000	juan
tores	Torres	NP00000	torres
a	ha	VAIP3S0	haber
conprado	comprado	VMP0000	comprar
	,	Fc	,
porq	porque	CS	porque
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
demade	demandé	VMIS1S0	demandar
me	me	PP1CS000	me
pagase	pagase	VMSI0S0	pagar
en	en	SPS00	en
presençya	presencia	NCFS000	presencia
de	de	SPS00	de
metelyn	Metelín	NP00000	metelín
y	y	CC	y
me	me	PP1CS000	me
respondio	respondió	VMIS3S0	responder
q	que	CS	que
el	el	DA0MS0	el
señor	señor	NP00000	señor
mygel	Miguel	NP00000	miguel
d	de	SPS00	de
añyues	Añués	NP00000	añués
lo	lo	PP3CNA00	lo
avya	había	VMII0S0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
,	.	Fp	.
sepa	Sepa	VMSP0S0	saber
yo	yo	PP1CSN00	yo
lo	lo	DA0NS0	el
cyerto	cierto	AQ0MS0	cierto
porq	porque	CS	porque
lo	lo	PP3CNA00	lo
asyente	asiente	VMIP3S0	asentir
a	a	SPS00	a
su	su	DP3CS0	su
cuenta	cuenta	NCFS000	cuenta
	.	Fp	.
tanvyen	También	RG	también
me	me	PP1CS000	me
deveys	debéis	VMIP2P0	deber
el	el	DA0MS0	el
derecho	derecho	NCMS000	derecho
de	de	SPS00	de
los	los	DA0MP0	el
corderos	corderos	NCMP000	cordero
del	del	SPS00+DA0MS0	de+el
arcyprestado	arzciprestazgo	NCMS000	arzciprestazgo
	.	Fp	.
todos	Todos	DI0MP0	todo
los	los	DA0MP0	el
q	que	PR0CN000	que
s	se	P00CN000	se
an	han	VAIP3P0	haber
sacado	sacado	VMP0000	sacar
en	en	SPS00	en
estos	estos	DD0MP0	este
dos	dos	Z	2
anyos	años	NCMP000	año
escribo	escribo	VMIP1S0	escribir
coantos	cuántos	PT0MP000	cuánto
son	son	VSIP3P0	ser
y	y	CC	y
la	la	DA0FS0	el
yguala	iguala	NCFS000	iguala
q	que	CS	que
se	se	P00CN000	se
yzo	hizo	VMIS3S0	hacer
en	en	SPS00	en
por	por	SPS00	por
la	la	DA0FS0	el
lana	lana	NCFS000	lana
de	de	SPS00	de
asentarlo	asentarlo	VMN0000+PP3MSA00	asentar+lo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
	.	Fp	.
mas	Más	RC	más
m	me	PP1CS000	me
aveys	habéis	VAIP2P0	haber
escrito	escrito	VMP0000	escribir
	.	Fp	.
de	De	SPS00	de
lo	lo	DA0NS0	el
del	del	SPS00+DA0MS0	de+el
vyno	vino	NCMS000	vino
de	de	SPS00	de
sos	Sos	NP00000	sos
	,	Fc	,
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
pagado	pagado	VMP0000	pagar
mosen	mosén	NP00000	mosén
nableso	Nableso	NP00000	nableso
	.	Fp	.
merzet	Merced	NP00000	merced
m	me	PP1CS000	me
areys	haréis	VMIF2P0	hacer
	,	Fp	,
si	si	CS	si
no	no	RN	no
a	ha	VAIP3S0	haber
pagado	pagado	VMP0000	pagar
	,	Fc	,
lo	lo	PP3CNA00	lo
escrybays	escribáis	VMSP2P0	escribir
a	a	SPS00	a
my	mi	DP1CSS	mi
hero	hermano	NP00000	hermano
martin	Martín	NP00000	martín
teston	Testón	NP00000	testón
	,	Fc	,
pues	pues	CS	pues
saveys	sabéis	VMIP2P0	saber
el	él	PP3MS000	él
lo	lo	PP3CNA00	lo
deve	debe	VMIP3S0	deber
y	y	CC	y
esta	está	VMIP3S0	estar
con	con	SPS00	con
juramento	juramento	NCMS000	juramento
	.	Fp	.
en	En	SPS00	en
la	la	DA0FS0	el
mysma	misma	AQ0FS0	mismo
hora	hora	NCFS000	hora
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
	.	Fp	.
y	Y	CC	y
si	si	CS	si
tiene	tiene	VMIP3S0	tener
cuentas	cuentas	NCFP000	cuenta
con	con	SPS00	con
ju	Juan	NP00000	juan
manuel	Manuel	NP00000	manuel
	,	Fc	,
el	él	PP3MS000	él
se	se	PP3CN000	se
las	las	PP3FPA00	lo
declarezera	declarecerá	X	x
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
ello	ello	PD0NN000	ello
me	me	PP1CS000	me
areys	haréis	VMIF2P0	hacer
senyalada	señalada	VMP00SF	señalar
merzet	merced	NCFS000	merced
	.	Fp	.
salgamos	Salgamos	VMSP1P0	salir
de	de	SPS00	de
enbarazos	embarazos	NCMP000	embarazo
ajenos	ajenos	NCMP000	ajeno
	.	Fp	.
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
sea	sea	VSSP0S0	ser
en	en	SPS00	en
vra	vuestra	DP2FSP	vuestro
guarda	guarda	NCFS000	guarda
	.	Fp	.
pa	Para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
madaredes	mandáredes	VMSF2P0	mandar
como	como	CS	como
hero	hermano	NCMS000	hermano
	,	Fc	,
domingo	Domingo	NP00000	domingo
gil	Gil	NP00000	gil
