tyene	Tiene	VMIP3S0	tener
brazos	brazos	NCMP000	brazo
no	no	RN	no
acuda	acuda	VMSP0S0	acudir
a	a	SPS00	a
el	él	PP3MS000	él
	.	Fp	.
y	Y	CC	y
anq	aunque	CS	aunque
esto	esto	PD0NN000	esto
hyzyere	hiciere	VMSF0S0	hacer
muchas	muchas	DI0FP0	mucho
bezes	veces	NCFP000	vez
	,	Fc	,
no	no	RN	no
satysfarya	satisfaría	VMIC0S0	satisfacer
una	una	DI0FS0	uno
sola	sola	AQ0FS0	solo
de	de	SPS00	de
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
q	que	CS	que
de	de	SPS00	de
vm	VM	NP00000	VM
e	he	VAIP1S0	haber
rrezyvydo	recibido	VMP0000	recibir
	.	Fp	.
y	Y	CC	y
estymo	estimo	VMIP1S0	estimar
en	en	SPS00	en
tanto	tanto	RG	tanto
la	la	DA0FS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
de	de	SPS00	de
sentyr	sentir	VMN0000	sentir
no	no	RN	no
hyzyese	hiciese	VMSI0S0	hacer
esto	esto	PD0NN000	esto
como	como	CS	como
estoy	estoy	VMIP1S0	estar
oblygada	obligada	VMP00SF	obligar
q	que	CS	que
lo	lo	PP3CNA00	lo
qdo	quedo	VMIP1S0	quedar
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
pa	para	SPS00	para
servyr	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
asygurorome	asegúrome	VMIP1S0+PP1CS000	asegurar+me
de	de	SPS00	de
manera	manera	NCFS000	manera
de	de	SPS00	de
la	la	DA0FS0	el
enmyenda	enmienda	NCFS000	enmienda
y	y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
e	he	VMIP1S0	haber
de	de	SPS00	de
servyr	servir	VMN0000	servir
q	que	CS	que
lo	lo	PP3CNA00	lo
estoy	estoy	VMIP1S0	estar
de	de	SPS00	de
q	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
ha	ha	VMIP3S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
mas	más	RC	más
m	merced	NCFS000	merced
q	que	CS	que
nunca	nunca	RN	nunca
me	me	PP1CS000	me
A	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
	.	Fp	.
suplyco	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
me	me	PP1CS000	me
la	la	PP3FSA00	lo
haga	haga	VMSP0S0	hacer
y	y	CC	y
me	me	PP1CS000	me
de	dé	VMSP0S0	dar
buenas	buenas	AQ0FP0	bueno
salydas	salidas	NCFP000	salida
de	de	SPS00	de
pascua	Pascua	NP00000	pascua
con	con	SPS00	con
estar	estar	VMN0000	estar
syerto	cierto	RG	cierto
d	de	SPS00	de
esta	esta	DD0FS0	este
berdad	verdad	NCFS000	verdad
y	y	CC	y
de	de	SPS00	de
q	que	CS	que
nadye	nadie	PI0NN00N	nadie
conoze	conoce	VMIP3S0	conocer
ny	ni	CC	ni
a	ha	VAIP3S0	haber
conozydo	conocido	VMP0000	conocer
mas	más	RC	más
la	la	DA0FS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
dezyr	decir	VMN0000	decir
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
suerte	suerte	NCFS000	suerte
q	que	CS	que
yo	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
hallado	hallado	VMP0000	hallar
esta	está	VAIP3S0	estar
en	en	SPS00	en
todos	todos	DI0MP0	todo
tyenpos	tiempos	NCMP000	tiempo
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
como	como	CS	como
vm	VM	NP00000	VM
se	se	P00CN000	se
acuerda	acuerda	VMIP3S0	acordar
tan	tan	RC	tan
de	de	SPS00	de
beras	veras	NCFP000	vera
de	de	SPS00	de
la	la	DA0FS0	el
m	merced	NCFS000	merced
q	que	CS	que
don	don	NP00000	don
luys	Luis	NP00000	luis
de	de	SPS00	de
castylla	Castilla	NP00000	castilla
le	le	PP3CSD00	le
hyzo	hizo	VMIS3S0	hacer
en	en	SPS00	en
los	los	DA0MP0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
dyze	dice	VMIP3S0	decir
	,	Fc	,
me	me	PP1CS000	me
e	he	VAIP1S0	haber
querydo	querido	VMP0000	querer
baler	valer	VMN0000	valer
d	de	SPS00	de
ella	ella	PP3FS000	él
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
q	que	PR0CN000	que
a	a	SPS00	a
my	mí	PP1CSO00	mí
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
suplycandole	suplicándole	VMG0000+PP3CSD00	suplicar+le
le	le	PP3CSD00	le
dyga	diga	VMSP0S0	decir
a	a	SPS00	a
vm	VM	NP00000	VM
cuanto	cuánto	PT0MS000	cuánto
estyma	estima	VMIP3S0	estimar
y	y	CC	y
estymo	estimo	VMIP1S0	estimar
la	la	DA0FS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
	.	Fp	.
q	Que	CS	que
	,	Fc	,
como	como	CS	como
vm	VM	NP00000	VM
dyze	dice	VMIP3S0	decir
	,	Fc	,
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
dyos	Dios	NP00000	dios
servydo	servido	VMP00SM	servir
q	que	CS	que
vm	VM	NP00000	VM
nasyese	naciese	VMSI0S0	nacer
pa	para	SPS00	para
hazernosla	hacérnosla	NCFS000	hacérnosla
a	a	SPS00	a
todos	todos	PI0MP000	todo
y	y	CC	y
a	a	SPS00	a
my	mí	PP1CSO00	mí
mas	más	RC	más
q	que	CS	que
a	a	SPS00	a
psa	persona	NCFS000	persona
en	en	SPS00	en
la	la	DA0FS0	el
tyerra	tierra	NCFS000	tierra
	.	Fp	.
y	Y	CC	y
como	como	CS	como
quyen	quien	PR0CS000	quien
sabe	sabe	VMIP3S0	saber
esto	esto	PD0NN000	esto
con	con	SPS00	con
las	las	DA0FP0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
a	ha	VAIP3S0	haber
cudydo	acudido	VMP0000	acudir
a	a	SPS00	a
mys	mis	DP1CPS	mi
cosas	cosas	NCFP000	cosa
	,	Fc	,
espero	espero	VMIP1S0	esperar
en	en	SPS00	en
el	él	PP3MS000	él
q	que	CS	que
me	me	PP1CS000	me
a	ha	VMIP3S0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
byda	vida	NCFS000	vida
pa	para	SPS00	para
q	que	CS	que
pueda	pueda	VMSP0S0	poder
servyr	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
a	a	SPS00	a
las	las	DA0FP0	el
suyas	suyas	PX3FP000	suyo
como	como	CC	como
de	de	SPS00	de
my	mí	PP1CSO00	mí
es	es	VSIP3S0	ser
deseado	deseado	VMP00SM	desear
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
le	le	PP3CSD00	le
suplyco	suplico	VMIP1S0	suplicar
por	por	SPS00	por
la	la	DA0FS0	el
de	de	SPS00	de
my	mi	DP1CSS	mi
ayjado	ahijado	NCMS000	ahijado
y	y	CC	y
su	su	DP3CS0	su
hrno	hermano	NCMS000	hermano
y	y	CC	y
por	por	SPS00	por
la	la	DA0FS0	el
mya	mía	PX1FS0S0	mío
y	y	CC	y
la	la	DA0FS0	el
del	del	SPS00+DA0MS0	de+el
conde	conde	NCMS000	conde
q	que	PR0CN000	que
me	me	PP1CS000	me
haga	haga	VMSP0S0	hacer
tanta	tanta	DI0FS0	tanto
m	merced	NCFS000	merced
de	de	SPS00	de
escryvyrme	escribirme	VMN0000+PP1CS000	escribir+me
q	qué	PT0CN000	qué
nego	negocio	NCMS000	negocio
era	era	VSII0S0	ser
el	el	DA0MS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
querya	quería	VMII0S0	querer
mandar	mandar	VMN0000	mandar
de	de	SPS00	de
su	su	DP3CS0	su
sobryna	sobrina	NCFS000	sobrino
	.	Fp	.
q	Que	CS	que
my	mi	DP1CSS	mi
señora	señora	NP00000	señor
la	la	DA0FS0	el
condesa	condesa	NCFS000	condesa
es	es	VSIP3S0	ser
tanto	tanto	RC	tanto
mya	mía	DP1FSS	mío
y	y	CC	y
tanto	tanto	RC	tanto
de	de	SPS00	de
vm	VM	NP00000	VM
y	y	CC	y
su	su	DP3CS0	su
servydora	servidora	NCFS000	servidor
q	que	CS	que
anbas	ambas	DI0FP0	ambos
acudyremos	acudiremos	VMIF1P0	acudir
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
cuydado	cuidado	NCMS000	cuidado
a	a	SPS00	a
ello	ello	PD0NN000	ello
	.	Fp	.
q	Que	CS	que
no	no	RN	no
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
poco	poco	DI0MS0	poco
castygo	castigo	NCMS000	castigo
y	y	CC	y
pena	pena	NCFS000	pena
pa	para	SPS00	para
my	mí	PP1CSO00	mí
dezyrme	decirme	VMN0000+PP1CS000	decir+me
vm	VM	NP00000	VM
q	que	CS	que
lo	lo	PP3CNA00	lo
escryvya	escribía	VMII0S0	escribir
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
Agylar	Aguilar	NP00000	aguilar
donde	donde	PA000000	donde
yo	yo	PP1CSN00	yo
estava	estaba	VMII0S0	estar
	.	Fp	.
y	Y	CC	y
asta	hasta	SPS00	hasta
q	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
mande	mande	VMSP0S0	mandar
y	y	CC	y
bea	vea	VMSP0S0	ver
como	como	CS	como
le	le	PP3CSD00	le
syrvo	sirvo	VMIP1S0	servir
la	la	PP3FSA00	lo
tendre	tendré	VMIF1S0	tener
grandysyma	grandísima	AQSFS0	grande
	.	Fp	.
mas	Mas	CC	mas
fyo	fío	VMIP1S0	fiar
tanto	tanto	RC	tanto
de	de	SPS00	de
la	la	DA0FS0	el
m	merced	NCFS000	merced
q	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
a	ha	VMIP3S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
y	y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
poder	poder	VMN0000	poder
tantas	tantas	DI0FP0	tanto
bydas	vidas	NCFP000	vida
de	de	SPS00	de
personas	personas	NCFP000	persona
q	que	CS	que
con	con	SPS00	con
ellas	ellas	PP3FP000	ellos
le	le	PP3CSD00	le
deseamos	deseamos	VMIP1P0	desear
servyr	servir	VMN0000	servir
q	que	CS	que
me	me	PP1CS000	me
a	ha	VMIP3S0	haber
de	de	SPS00	de
sacar	sacar	VMN0000	sacar
d	de	SPS00	de
ella	ella	PP3FS000	él
con	con	SPS00	con
mandarme	mandarme	VMN0000+PP1CS000	mandar+me
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
suplyco	suplico	VMIP1S0	suplicar
	,	Fc	,
cuyas	cuyas	PU0FP000	cuyo
ms	manos	NCFP000	mano
beso	beso	VMIP1S0	besar
muchas	muchas	DI0FP0	mucho
bezes	veces	NCFP000	vez
por	por	SPS00	por
la	la	DA0FS0	el
mucha	mucha	DI0FS0	mucho
m	merced	NCFS000	merced
q	que	PR0CN000	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
y	y	CC	y
nos	nos	PP1CP000	nos
hace	hace	VMIP3S0	hacer
en	en	SPS00	en
q	que	CS	que
el	el	DA0MS0	el
señor	señor	NP00000	señor
don	don	NP00000	don
dyego	Diego	NP00000	diego
nos	nos	PP1CP000	nos
la	la	PP3FSA00	lo
haga	haga	VMSP0S0	hacer
tan	tan	RC	tan
gde	grande	AQ0CS0	grande
como	como	CS	como
la	la	DA0FS0	el
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
ofreze	ofrece	VMIP3S0	ofrecer
hazer	hacer	VMN0000	hacer
	,	Fc	,
q	que	CS	que
lo	lo	PP3CNA00	lo
es	es	VSIP3S0	ser
grandysyma	grandísima	AQSFS0	grande
y	y	CC	y
my	mi	DP1CSS	mi
gran	gran	AQ0CS0	gran
ayuda	ayuda	NCFS000	ayuda
pa	para	SPS00	para
poder	poder	VMN0000	poder
pasar	pasar	VMN0000	pasar
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
me	me	PP1CS000	me
la	la	PP3FSA00	lo
hara	hará	VMIF3S0	hacer
vm	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
confyo	confío	VMIP1S0	confiar
de	de	SPS00	de
la	la	DA0FS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
	,	Fc	,
de	de	SPS00	de
dezyrle	decirle	VMN0000+PP3CSD00	decir+le
mucha	mucha	DI0FS0	mucho
y	y	CC	y
mucho	mucho	RQ	mucho
de	de	SPS00	de
my	mi	DP1CSS	mi
parte	parte	NCFS000	parte
de	de	SPS00	de
cuan	cuán	RG	cuán
rreconozyda	reconocida	VMP00SF	reconocer
estoy	estoy	VMIP1S0	estar
y	y	CC	y
estara	estará	VMIF3S0	estar
syenpre	siempre	RG	siempre
de	de	SPS00	de
con	con	SPS00	con
las	las	DA0FP0	el
beras	veras	NCFP000	vera
q	que	PR0CN000	que
a	ha	VAIP3S0	haber
mostrado	mostrado	VMP0000	mostrar
hazerme	hacerme	VMN0000+PP1CS000	hacer+me
m	merced	NCFS000	merced
y	y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
e	he	VAIP1S0	haber
cansado	cansado	VMP0000	cansar
	.	Fp	.
crea	Crea	VMSP0S0	creer
vm	VM	NP00000	VM
q	que	CS	que
no	no	RN	no
e	he	VAIP1S0	haber
podydo	podido	VMP0000	poder
mas	más	RC	más
	.	Fp	.
por	Por	SPS00	por
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
escryven	escriben	VMIP3P0	escribir
esa	esa	DD0FS0	ese
jente	gente	NCFS000	gente
a	a	SPS00	a
quyen	quien	PR0CS000	quien
devemos	debemos	VMIP1P0	deber
y	y	CC	y
este	este	DD0MS0	este
nego	negocio	NCMS000	negocio
del	del	SPS00+DA0MS0	de+el
beynte	veinte	Z	20
y	y	CC	y
cuatro	cuatro	Z	4
	,	Fc	,
dyego	Diego	NP00000	diego
peres	Pérez	NP00000	pérez
me	me	PP1CS000	me
mata	mata	VMIP3S0	matar
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
escryvo	escribo	VMIP1S0	escribir
al	al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
don	don	NP00000	don
dyego	Diego	NP00000	diego
procure	procure	VMSP0S0	procurar
acavarle	acabarle	VMN0000+PP3CSD00	acabar+le
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
del	del	SPS00+DA0MS0	de+el
trygo	trigo	NCMS000	trigo
	,	Fc	,
hago	hago	VMIP1S0	hacer
mys	mis	DP1CPS	mi
dylyjencyas	diligencias	NCFP000	diligencia
	.	Fp	.
de	De	SPS00	de
todo	todo	DI0MS0	todo
abyso	aviso	VMIP1S0	avisar
al	al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
don	don	NP00000	don
dyego	Diego	NP00000	diego
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
vm	VM	NP00000	VM
hago	hago	VMIP1S0	hacer
saber	saber	VMN0000	saber
	,	Fc	,
como	como	CS	como
se	sé	VMIP1S0	saber
q	que	CS	que
se	se	P00CN000	se
olgara	holgará	VMIF3S0	holgar
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
comodydad	comodidad	NCFS000	comodidad
nra	nuestra	DP1FSP	nuestro
	.	Fc	,
nos	Nos	PP1CP000	nos
haze	hace	VMIP3S0	hacer
graçya	gracia	NCFS000	gracia
su	su	DP3CS0	su
santydad	santidad	NCFS000	santidad
q	que	CS	que
con	con	SPS00	con
un	un	DI0MS0	uno
abyto	hábito	NCMS000	hábito
de	de	SPS00	de
los	los	DA0MP0	el
tres	tres	Z	3
pueda	pueda	VMSP0S0	poder
tener	tener	VMN0000	tener
el	el	DA0MS0	el
conde	conde	NCMS000	conde
cuatro	cuatro	Z	4
myll	mil	Z	1000
ducados	ducados	NCMP000	ducado
de	de	SPS00	de
pynsyones	pensiones	NCFP000	pensión
	;	Fx	;
otros	otros	DI0MP0	otro
cuatro	cuatro	Z	4
nos	nos	PP1CP000	nos
pyden	piden	VMIP3P0	pedir
de	de	SPS00	de
esperyr	expedir	VMN0000	expedir
las	las	DA0FP0	el
bulas	bulas	NCFP000	bula
	.	Fp	.
todo	Todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
encamyne	encamine	VMSP0S0	encaminar
dyos	Dios	NP00000	dios
como	como	CS	como
mas	más	RC	más
se	se	P00CN000	se
syrva	sirva	VMSP0S0	servir
y	y	CC	y
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
tantos	tantos	DI0MP0	tanto
años	años	NCMP000	año
como	como	CS	como
deseo	deseo	VMIP1S0	desear
y	y	CC	y
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
byen	bien	NCMS000	bien
q	que	PR0CN000	que
puede	puede	VMIP3S0	poder
	.	Fp	.
mys	Mis	DP1CPS	mi
hyjos	hijos	NCMP000	hijo
besan	besan	VMIP3P0	besar
las	las	DA0FP0	el
ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
e	he	VAIP1S0	haber
scryto	escrito	VMP0000	escribir
a	a	SPS00	a
su	su	DP3CS0	su
padre	padre	NCMS000	padre
la	la	DA0FS0	el
mucha	mucha	DI0FS0	mucho
m	merced	NCFS000	merced
q	que	CS	que
vm	VM	NP00000	VM
le	le	PP3CSD00	le
haze	hace	VMIP3S0	hacer
	.	Fp	.
y	Y	CC	y
todos	todos	DI0MP0	todo
las	las	PP3FPA00	lo
besamos	besamos	VMIP1P0	besar
a	a	SPS00	a
los	los	DA0MP0	el
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
de	De	SPS00	de
madryd	Madrid	NP00000	madrid
	,	Fc	,
a	a	SPS00	a
doze	doce	Z	12
de	de	SPS00	de
abryl	abril	NCMS000	abril
	.	Fp	.
la	La	DA0FS0	el
condessa	condesa	NCFS000	condesa
de	de	SPS00	de
byllalonso	Villalonso	NP00000	villalonso
