Rmo	Reverendísimo	AQSMS0	reverendo
	)	Fbt	)
	.	Fp	.
confeco	Confesó	VMIS3S0	confesar
el	el	DA0MS0	el
muhacho	muchacho	NCMS000	muchacho
no	no	RN	no
se	sé	VMIP1S0	saber
que	qué	DT0CN0	qué
cozillas	cosillas	NCFP00D	cosa
de	de	SPS00	de
las	las	DA0FP0	el
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
dihas	dichas	VMP00PF	decir
en	en	SPS00	en
su	su	DP3CS0	su
confycion	confesión	NCFS000	confesión
	;	Fx	;
y	y	CC	y
despues	después	RG	después
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
tyenpo	tiempo	NCMS000	tiempo
d	de	SPS00	de
el	él	PP3MS000	él
Retyfycarce	ratificarse	VMN0000+P00CN000	ratificar+se
	,	Fc	,
se	se	P00CN000	se
desdigo	desdijo	VMIS3S0	desdecir
y	y	CC	y
desmintyo	desmintió	VMIS3S0	desmentir
al	al	SPS00+DA0MS0	a+el
mesmo	mismo	AQ0MS0	mismo
teniente	teniente	NCMS000	teniente
y	y	CC	y
escrybano	escribano	NCMS000	escribano
que	que	CS	que
no	no	RN	no
abia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
tal	tal	PD0CS000	tal
y	y	CC	y
que	que	CS	que
ci	si	CS	si
algo	algo	PI0CS000	algo
digo	dijo	VMIS3S0	decir
fue	fue	VSIS3S0	ser
por	por	SPS00	por
miedio	medio	NCMS000	medio
del	del	SPS00+DA0MS0	de+el
tormento	tormento	NCMS000	tormento
	.	Fp	.
y	Y	CC	y
bisto	visto	VMP00SM	ver
esto	esto	PD0NN000	esto
	,	Fc	,
el	el	DA0MS0	el
teniente	teniente	NCMS000	teniente
le	le	PP3CSD00	le
mando	mandó	VMIS3S0	mandar
ehehar	echar	VMN0000	echar
unos	unos	DI0MP0	uno
gryllos	grillos	NCMP000	grillo
y	y	CC	y
enserallo	encerrarlo	VMN0000+PP3MSA00	encerrar+lo
donde	donde	PA000000	donde
ante	antes	RG	antes
	.	Fp	.
mal	Mal	RG	mal
estaba	estaba	VMII0S0	estar
y	y	CC	y
el	el	DA0MS0	el
martes	martes	NCMN000	martes
a	a	SPS00	a
tres	tres	Z	3
de	de	SPS00	de
hebrero	febrero	NCMS000	febrero
le	le	PP3CSD00	le
an	han	VMIP3P0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
otro	otro	DI0MS0	otro
tormento	tormento	NCMS000	tormento
	.	Fp	.
de	De	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
viere	viere	VMSF0S0	ver
en	en	SPS00	en
este	este	DD0MS0	este
negoçio	negocio	NCMS000	negocio
abizare	avisaré	VMIF1S0	avisar
a	a	SPS00	a
Vs	VSa	NP00000	VSa
	.	Fp	.
y	Y	CC	y
sepa	sepa	VMSP0S0	saber
que	que	CS	que
	,	Fc	,
despues	después	RG	después
que	que	CS	que
se	se	P00CN000	se
partio	partió	VMIS3S0	partir
	,	Fc	,
todos	todos	PI0MP000	todo
m	me	PP1CS000	me
an	han	VAIP3P0	haber
desanparado	desamparado	VMP0000	desamparar
	,	Fc	,
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
hizo	hizo	VMIS3S0	hacer
coza	cosa	NCFS000	cosa
de	de	SPS00	de
las	las	DA0FP0	el
que	que	PR0CN000	que
Vs	VSa	NP00000	VSa
dego	dejó	VMIS3S0	dejar
mandado	mandado	VMP00SM	mandar
	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
paco	paso	VMIP1S0	pasar
en	en	SPS00	en
esta	esta	DD0FS0	este
carsel	cárcel	NCFS000	cárcel
grandicima	grandísima	AQSFS0	grande
nececidad	necesidad	NCFS000	necesidad
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
tengo	tengo	VMIP1S0	tener
un	un	DI0MS0	uno
pan	pan	NCMS000	pan
que	que	PR0CN000	que
comer	comer	VMN0000	comer
ni	ni	CCN	ni
quien	quien	PR0CS000	quien
me	me	PP1CS000	me
lo	lo	PP3MSA00	lo
de	dé	VMSP0S0	dar
	,	Fc	,
porque	porque	CS	porque
a	a	SPS00	a
granada	Granada	NP00000	granada
e	he	VAIP1S0	haber
scryto	escrito	VMP0000	escribir
muhas	muchas	DI0FP0	mucho
bezes	veces	NCFP000	vez
y	y	CC	y
no	no	RN	no
hazen	hacen	VMIP3P0	hacer
mincion	mención	NCFS000	mención
ninguna	ninguna	DI0FS0	ninguno
ni	ni	CCN	ni
aun	aun	RG	aun
Responderme	responderme	VMN0000+PP1CS000	responder+me
a	a	SPS00	a
una	una	DI0FS0	uno
carta	carta	NCFS000	carta
	,	Fc	,
ni	ni	CCN	ni
el	el	DA0MS0	el
arçobispo	arzobispo	NCMS000	arzobispo
no	no	RN	no
a	ha	VAIP3S0	haber
querydo	querido	VMP0000	querer
dar	dar	VMN0000	dar
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
que	que	PR0CN000	que
Vs	VSa	NP00000	VSa
me	me	PP1CS000	me
dego	dejó	VMIS3S0	dejar
que	que	CS	que
cobrase	cobrase	VMSI0S0	cobrar
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
ay	ahí	RG	ahí
bera	verá	VMIF3S0	ver
Vs	VSa	NP00000	VSa
la	la	DA0FS0	el
muha	mucha	DI0FS0	mucho
nesecidad	necesidad	NCFS000	necesidad
que	que	PR0CN000	que
paco	paso	VMIP1S0	pasar
	,	Fc	,
que	que	PR0CN000	que
no	no	RN	no
la	la	PP3FSA00	lo
puedo	puedo	VMIP1S0	poder
cinyfycar	significar	VMN0000	significar
	,	Fc	,
que	que	CS	que
todo	todo	PI0MS000	todo
quanto	cuanto	PA000000	cuanto
tenia	tenía	VMII0S0	tener
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
e	he	VAIP1S0	haber
bendido	vendido	VMP0000	vender
para	para	SPS00	para
comer	comer	VMN0000	comer
	.	Fp	.
ci	Si	CS	si
Vs	VSa	NP00000	VSa
no	no	RN	no
me	me	PP1CS000	me
coçore	socorre	VMIP3S0	socorrer
con	con	SPS00	con
brebedad	brevedad	NCFS000	brevedad
	,	Fc	,
yo	yo	PP1CSN00	yo
soy	soy	VSIP1S0	ser
perdido	perdido	VMP00SM	perder
	,	Fc	,
porque	porque	CS	porque
ya	ya	RG	ya
no	no	RN	no
tengo	tengo	VMIP1S0	tener
que	qué	PT0CN000	qué
vender	vender	VMN0000	vender
	.	Fp	.
para	Para	SPS00	para
estos	estos	DD0MP0	este
tyenpos	tiempos	NCMP000	tiempo
es	es	VSIP3S0	ser
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vs	VSa	NP00000	VSa
me	me	PP1CS000	me
enbiare	enviare	VMSF0S0	enviar
sea	sea	VSSP0S0	ser
con	con	SPS00	con
percona	persona	NCFS000	persona
cierta	cierta	AQ0FS0	cierto
y	y	CC	y
ci	si	CS	si
no	no	RN	no
con	con	SPS00	con
los	los	DA0MP0	el
mercadeles	mercaderes	NCMP000	mercader
d	de	SPS00	de
esa	esa	DD0FS0	ese
syudad	ciudad	NCFS000	ciudad
	,	Fc	,
que	que	PR0CN000	que
tratan	tratan	VMIP3P0	tratar
con	con	SPS00	con
los	los	DA0MP0	el
de	de	SPS00	de
Sebilla	Sevilla	NP00000	sevilla
	,	Fc	,
podra	podrá	VMIF3S0	poder
Vs	VSa	NP00000	VSa
encamiallos	encaminarlos	VMN0000+PP3MPA00	encaminar+lo
	,	Fc	,
porque	porque	CS	porque
por	por	SPS00	por
aqui	aquí	RG	aquí
seran	serán	VSIF3P0	ser
ciertos	ciertos	AQ0MP0	cierto
y	y	CC	y
en	en	SPS00	en
dos	dos	Z	2
dias	días	NCMP000	día
bendran	vendrán	VMIF3P0	venir
	.	Fp	.
pues	Pues	CS	pues
Vs	VSa	NP00000	VSa
cabe	sabe	VMIP3S0	saber
que	que	CS	que
no	no	RN	no
tengo	tengo	VMIP1S0	tener
a	a	SPS00	a
quien	quien	PR0CS000	quien
aRimarme	arrimarme	VMN0000+PP1CS000	arrimar+me
ciano	sino	CC	sino
a	a	SPS00	a
dios	Dios	NP00000	dios
y	y	CC	y
a	a	SPS00	a
Vs	VSa	NP00000	VSa
	,	Fc	,
no	no	RN	no
premita	permita	VMSP0S0	permitir
que	que	CS	que
muera	muera	VMSP0S0	morir
en	en	SPS00	en
esta	esta	DD0FS0	este
carsel	cárcel	NCFS000	cárcel
de	de	SPS00	de
anbre	hambre	NCFS000	hambre
	.	Fp	.
y	Y	CC	y
confyando	confiando	VMG0000	confiar
en	en	SPS00	en
que	que	CS	que
Vs	VSa	NP00000	VSa
no	no	RN	no
ahara	hará	VMIF3S0	hacer
otra	otra	DI0FS0	otro
coza	cosa	NCFS000	cosa
	,	Fc	,
me	me	PP1CS000	me
entretendre	entretendré	VMIF1S0	entretener
como	como	CS	como
pudiere	pudiere	VMSF0S0	poder
mientras	mientras	RG	mientras
me	me	PP1CS000	me
bien	viene	VMIP3S0	venir
el	el	DA0MS0	el
çocoRo	socorro	NCMS000	socorro
de	de	SPS00	de
Vs	VSa	NP00000	VSa
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
dire	diré	VMIF1S0	decir
mas	más	RC	más
	,	Fc	,
cino	sino	CC	sino
que	que	CS	que
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
nos	nos	PP1CP000	nos
caque	saque	VMSP0S0	sacar
d	de	SPS00	de
esta	esta	DD0FS0	este
prycion	prisión	NCFS000	prisión
en	en	SPS00	en
qu	que	PR0CN000	que
estamos	estamos	VMIP1P0	estar
y	y	CC	y
nos	nos	PP1CP000	nos
buelba	vuelva	VMSP0S0	volver
como	como	CS	como
ante	antes	RG	antes
nos	nos	PP1CP000	nos
estabamos	estábamos	VMII1P0	estar
	.	Fp	.
d	De	SPS00	de
esta	esta	DD0FS0	este
carsel	cárcel	NCFS000	cárcel
de	de	SPS00	de
sebilla	Sevilla	NP00000	sevilla
	,	Fc	,
postrero	postrero	AO0MS0	postrero
d	de	SPS00	de
enero	enero	NCMS000	enero
de	de	SPS00	de
1579	1579	Z	1579
años	años	NCMP000	año
	.	Fp	.
Rmo	Reverendísimo	AQSMS0	reverendo
sor	señor	NP00000	señor
	,	Fc	,
bezo	beso	VMIP1S0	besar
los	los	DA0MP0	el
pies	pies	NCMP000	pie
de	de	SPS00	de
Vs	VSa	NP00000	VSa
su	su	DP3CS0	su
sobryno	sobrino	NP00000	sobrino
	,	Fc	,
Luis	Luis	NP00000	luis
de	de	SPS00	de
Salazar	Salazar	NP00000	salazar
