YHus	Yhesús		
y	Y		
tengo	tengo		
d	de		
estar	estar		
por	por		
puesto	puesto		
de	de		
no	no		
enbiar	enviar		
a	a		
pedir	pedir		
nada	nada		
	,		
sino	sino		
para	para		
estas	estas		
dos	dos		
fsa	ferias		
	.		
con	Con		
tanto	tanto		
	,		
otro	otro		
no	no		
ay	hay		
q	que		
mas	más		
decir	decir		
a	a		
vm	VM		
mas	más		
de	de		
q	que		
deseo	deseo		
serbir	servir		
a	a		
vm	VM		
si	si		
en	en		
algo	algo		
se	se		
ofreçiese	ofreciese		
	;		
q	que		
	,		
segun	según		
su	su		
boluntad	voluntad		
y	y		
obra	obra		
	,		
a	a		
todos	todos		
los	los		
q	que		
tenemos	tenemos		
platica	plática		
con	con		
vm	VM		
nos	nos		
pone	pone		
en	en		
ob	obligación		
	.		
aqui	Aquí		
tenemos	tenemos		
notiçia	noticia		
es	es		
la	la		
boluntad	voluntad		
de	de		
vm	VM		
de	de		
se	se		
casar	casar		
allá	allá		
	.		
con	Con		
la	la		
ob	obligación		
q	que		
me	me		
ha	ha		
obligado	obligado		
me	me		
da	da		
atrebimiento	atrevimiento		
q	que		
no	no		
deve	debe		
de	de		
agenar	ajenar		
d	de		
el	el		
natural	natural		
por	por		
vienes	bienes		
de	de		
fortuna	fortuna		
	.		
q	Que		
al	al		
onbre	hombre		
en	en		
tierra	tierra		
agena	ajena		
	,		
de	de		
q	que		
el	el		
ojo	ojo		
se	se		
le	le		
sierra	cierra		
	,		
no	no		
ay	hay		
mas	más		
memoria	memoria		
d	de		
el	él		
y	y		
de	de		
su	su		
muger	mujer		
menos	menos		
	.		
y	Y		
en	en		
la	la		
parentela	parentela		
de	de		
su	su		
muger	mujer		
onbre	hombre		
no	no		
tiene	tiene		
al	al		
tienpo	tiempo		
de	de		
neçesidad	necesidad		
plaza	plaza		
	.		
por	Por		
ende	ende		
	,		
a	ha		
de	de		
estar	estar		
reçio	recio		
de	de		
no	no		
ser	ser		
vensido	vencido		
por	por		
todo	todo		
el	el		
mundo	mundo		
y	y		
menos	menos		
en	en		
vilbao	Bilbao		
	,		
segun	según		
beo	veo		
lo	lo		
q	que		
pasa	pasa		
	,		
sino	sino		
en	en		
su	su		
propio	propio		
natural	natural		
	.		
y	Y		
sy	si		
su	su		
natural	natural		
le	le		
pareçe	parece		
tierra	tierra		
esteril	estéril		
	,		
ay	ahí		
esta	está		
nra	nuestra		
pamplona	Pamplona		
	,		
q	que		
no	no		
ay	hay		
otro	otro		
su	su		
par	par		
en	en		
las	las		
partidas	partidas		
del	del		
mundo	mundo		
	,		
asi	así		
de	de		
ser	ser		
la	la		
terra	tierra		
sana	sana		
como	como		
de	de		
no	no		
faltar	faltar		
cosa	cosa		
d	de		
esta	esta		
vida	vida		
si	si		
no	no		
es	es		
padre	padre		
y	y		
madre	madre		
	.		
y	Y		
mas	más		
despues	después		
q	que		
hes	es		
la	la		
gente	gente		
de	de		
la	la		
mejor	mejor		
vida	vida		
q	que		
ay	hay		
en	en		
todo	todo		
el	el		
mundo	mundo		
y	y		
despues	después		
q	que		
le	le		
aconpana	acompaña		
de	de		
estar	estar		
a	a		
tres	tres		
jornadas	jornadas		
de	de		
su	su		
tierra	tierra		
	,		
segun	según		
me	me		
dizen	dicen		
	.		
vm	VM		
me	me		
perdone	perdone		
mi	mi		
atrebimio	atrevimiento		
	,		
q	que		
me	me		
conbida	convida		
el	el		
buen	buen		
selo	celo		
q	que		
le	le		
tengo	tengo		
a	a		
vm	VM		
	.		
y	Y		
con	con		
tanto	tanto		
quedo	quedo		
rogando	rogando		
a	a		
dios	Dios		
goarde	guarde		
y	y		
pspere	prospere		
vida	vida		
y	y		
honrra	honra		
de	de		
vm	VM		
y	y		
le	le		
dexe	deje		
conplir	cumplir		
sus	sus		
deseos	deseos		
como	como		
vm	VM		
desea	desea		
	.		
y	Y		
asi	así		
quedo	quedo		
	...		
	...		
al	al		
serviçio	servicio		
de	de		
vm	VM		
	,		
Ro	Rodrigo		
d	de		
espinosa	Espinosa		
