ille	Ilustre	AQ0CS0	ilustre
tiene	tiene	VMIP3S0	tener
vm	VM	NP00000	VM
pariente	pariente	NCMS000	pariente
q	que	CS	que
no	no	RN	no
desee	desee	VMSP0S0	desear
este	este	DD0MS0	este
casamiento	casamiento	NCMS000	casamiento
.	.	Fp	.
su	Su	DP3CS0	su
padre	padre	NCMS000	padre
quiere	quiere	VMIP3S0	querer
a	a	SPS00	a
vm	VM	NP00000	VM
para	para	SPS00	para
entapialla	tapiarla	VMN0000+PP3FSA00	tapiar+lo
y	y	CC	y
ceRalle	cerrarle	VMN0000+PP3CSD00	cerrar+le
puertas	puertas	NCFP000	puerta
y	y	CC	y
bentanas	ventanas	NCFP000	ventana
y	y	CC	y
tratar	tratar	VMN0000	tratar
su	su	DP3CS0	su
persona	persona	NCFS000	persona
mal	mal	RG	mal
y	y	CC	y
por	por	SPS00	por
pagarse	pagarse	VMN0000+P00CN000	pagar+se
de	de	SPS00	de
vm	VM	NP00000	VM
.	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
jurado	jurado	NCMS000	jurado
y	y	CC	y
yo	yo	PP1CSN00	yo
queremos	queremos	VMIP1P0	querer
a	a	SPS00	a
vm	VM	NP00000	VM
para	para	SPS00	para
servilla	servirla	VMN0000+PP3FSA00	servir+lo
y	y	CC	y
Regalalla	regalarla	VMN0000+PP3FSA00	regalar+lo
y	y	CC	y
tratalla	tratarla	VMN0000+PP3FSA00	tratar+lo
con	con	SPS00	con
la	la	DA0FS0	el
honRa	honra	NCFS000	honra
que	que	PR0CN000	que
mereçe	merece	VMIP3S0	merecer
	.	Fp	.
tenga	Tenga	VMSP0S0	tener
vm	VM	NP00000	VM
animo	ánimo	NCMS000	ánimo
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
juez	juez	NCMS000	juez
a	a	SPS00	a
bozes	voces	NCFP000	voz
le	le	PP3CSD00	le
pida	pida	VMSP0S0	pedir
a	a	SPS00	a
su	su	DP3CS0	su
marido	marido	NCMS000	marido
diga	diga	VMSP0S0	decir
q	que	CS	que
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
contra	contra	SPS00	contra
esso	eso	PD0NN000	eso
a	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
y	y	CC	y
dixere	dijere	VMSF0S0	decir
es	es	VSIP3S0	ser
fuerça	fuerza	NCFS000	fuerza
de	de	SPS00	de
su	su	DP3CS0	su
padre	padre	NCMS000	padre
y	y	CC	y
madre	madre	NCFS000	madre
.	.	Fp	.
aya	Haya	VASP0S0	haber
lastima	lástima	NCFS000	lástima
de	de	SPS00	de
su	su	DP3CS0	su
esposo	esposo	NCMS000	esposo
	,	Fc	,
que	que	CS	que
de	de	SPS00	de
pena	pena	NCFS000	pena
me	me	PP1CS000	me
pidio	pidió	VMIS3S0	pedir
q	que	CS	que
porque	porque	CS	porque
el	él	PP3MS000	él
no	no	RN	no
estaba	estaba	VMII0S0	estar
para	para	SPS00	para
escrivir	escribir	VMN0000	escribir
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
escriviesse	escribiese	VMSI0S0	escribir
este	éste	PD0MS000	este
.	.	Fp	.
el	Él	PP3MS000	él
escrivira	escribirá	VMIF3S0	escribir
en	en	SPS00	en
bolviendo	volviendo	VMG0000	volver
en	en	SPS00	en
si	sí	RG	sí
	.	Fp	.
tenga	Tenga	VMSP0S0	tener
vm	VM	NP00000	VM
este	éste	PD0MS000	este
por	por	SPS00	por
suyo	suyo	PX3MS000	suyo
	,	Fc	,
porque	porque	CS	porque
yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
mi	mi	DP1CSS	mi
hijo	hijo	NCMS000	hijo
	,	Fc	,
y	y	CC	y
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
es	es	VSIP3S0	ser
escrivir	escribir	VMN0000	escribir
yo	yo	PP1CSN00	yo
que	que	CS	que
escrivir	escribir	VMN0000	escribir
el	él	PP3MS000	él
.	.	Fp	.
plega	Plega	VMSP0S0	placer
a	a	SPS00	a
dios	Dios	NP00000	dios
q	que	CS	que
yo	yo	PP1CSN00	yo
bea	vea	VMSP0S0	ver
ya	ya	RG	ya
a	a	SPS00	a
vm	VM	NP00000	VM
en	en	SPS00	en
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
	.	Fp	.
El	El	DA0MS0	el
llicdo	licenciado	NP00000	licenciado
dio	Diego	NP00000	diego
de	de	SPS00	de
Marin	Marín	NP00000	marín
es	Es	VSIP3S0	ser
para	para	SPS00	para
la	la	DA0FS0	el
ille	ilustre	AQ0CS0	ilustre
sa	señora	NP00000	señor
doña	doña	NP00000	don
maria	María	NP00000	maría
de	de	SPS00	de
toRes	Torres	NP00000	torres
	,	Fc	,
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
y	y	CC	y
mi	mi	DP1CSS	mi
cuñada	cuñada	NCFS000	cuñado
.	.	Fp	.
