Traeme	Tráeme	VMM02S0+PP1CS000	traer+me
q	que	CS	que
my	mi	DP1CSS	mi
sa	señora	NP00000	señor
la	la	DA0FS0	el
condesa	condesa	NCFS000	condesa
traer	traer	VMN0000	traer
con	con	SPS00	con
estas	estas	DD0FP0	este
monjas	monjas	NCFP000	monja
	.	Fp	.
q	Que	CS	que
tyene	tiene	VMIP3S0	tener
por	por	SPS00	por
syerto	cierto	AQ0MS0	cierto
salyr	salir	VMN0000	salir
con	con	SPS00	con
el	él	PP3MS000	él
	.	Fp	.
tyene	Tiene	VMIP3S0	tener
otro	otro	DI0MS0	otro
monesteryo	monasterio	NCMS000	monasterio
q	que	PR0CN000	que
haze	hace	VMIP3S0	hacer
de	de	SPS00	de
descalzas	descalzas	AQ0FP0	descalzo
carmelytas	carmelitas	NCFP000	carmelita
	,	Fc	,
mas	mas	CC	mas
son	son	VSIP3P0	ser
de	de	SPS00	de
las	las	DA0FP0	el
muy	muy	RQ	muy
estrechas	estrechas	AQ0FP0	estrecho
	.	Fp	.
y	Y	CC	y
mete	mete	VMIP3S0	meter
en	en	SPS00	en
el	él	PP3MS000	él
a	a	SPS00	a
su	su	DP3CS0	su
hyja	hija	NCFS000	hijo
mayor	mayor	AQ0CS0	mayor
y	y	CC	y
comyenza	comienza	VMIP3S0	comenzar
agora	ahora	RG	ahora
el	el	DA0MS0	el
monesteryo	monasterio	NCMS000	monasterio
	.	Fp	.
puede	Puede	VMIP3S0	poder
meter	meter	VMN0000	meter
dos	dos	Z	2
syn	sin	SPS00	sin
dote	dote	NCMS000	dote
	,	Fc	,
mas	mas	CC	mas
agora	ahora	RG	ahora
de	de	SPS00	de
presente	presente	NCMS000	presente
es	es	VSIP3S0	ser
la	la	DA0FS0	el
una	una	DI0FS0	uno
su	su	DP3CS0	su
hyja	hija	NCFS000	hijo
y	y	CC	y
una	una	DI0FS0	uno
cryada	criada	NCFS000	criado
q	que	CS	que
la	la	PP3FSA00	lo
a	ha	VAIP3S0	haber
cryado	criado	VMP0000	criar
	.	Fp	.
despues	Después	RG	después
	,	Fc	,
como	como	CS	como
fueren	fueren	VMSF3P0	ir
muryendo	muriendo	VMG0000	morir
	,	Fc	,
puede	puede	VMIP3S0	poder
ella	ella	PP3FS000	él
como	como	CS	como
dygo	digo	VMIP1S0	decir
meter	meter	VMN0000	meter
dos	dos	Z	2
	.	Fp	.
dyzeme	Díceme	VMSI0S0+PP1CS000	decir+me
	,	Fc	,
como	como	CS	como
aya	haya	VMSP0S0	haber
tyenpo	tiempo	NCMS000	tiempo
y	y	CC	y
le	le	PP3CSD00	le
ofresca	ofrezca	VMSP0S0	ofrecer
ocasyon	ocasión	NCFS000	ocasión
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
haga	haga	VMSP0S0	hacer
mrd	merced	NCFS000	merced
de	de	SPS00	de
acomodar	acomodar	VMN0000	acomodar
a	a	SPS00	a
su	su	DP3CS0	su
sobryna	sobrina	NCFS000	sobrino
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
mas	mas	CC	mas
sy	si	CS	si
a	a	SPS00	a
vm	VM	NP00000	VM
le	le	PP3CSD00	le
parezyere	pareciere	VMSF0S0	parecer
ser	ser	VSN0000	ser
cosa	cosa	NCFS000	cosa
despasyo	despacio	RG	despacio
esto	esto	PD0NN000	esto
	.	Fp	.
y	Y	CC	y
le	le	PP3CSD00	le
suplyco	suplico	VMIP1S0	suplicar
me	me	PP1CS000	me
dyga	diga	VMSP0S0	decir
q	qué	DT0CN0	qué
comodydad	comodidad	NCFS000	comodidad
era	era	VSII0S0	ser
la	la	DA0FS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
pedyan	pedían	VMII3P0	pedir
en	en	SPS00	en
balladolyd	Valladolid	NP00000	valladolid
y	y	CC	y
cuanto	cuánto	PT0MS000	cuánto
pedyan	pedían	VMII3P0	pedir
a	a	SPS00	a
vm	VM	NP00000	VM
le	le	PP3CSD00	le
dyese	diese	VMSI0S0	dar
	.	Fp	.
q	Que	CS	que
	,	Fc	,
anq	aunque	CS	aunque
como	como	CS	como
e	he	VAIP1S0	haber
dycho	dicho	VMP0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
estoy	estoy	VMIP1S0	estar
como	como	CS	como
vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
y	y	CC	y
quysera	quisiera	VMSI0S0	querer
yo	yo	PP1CSN00	yo
como	como	CS	como
le	le	PP3CSD00	le
e	he	VAIP1S0	haber
scryto	escrito	VMP0000	escribir
de	de	SPS00	de
todo	todo	DI0MS0	todo
punto	punto	NCMS000	punto
quytarle	quitarle	VMN0000+PP3CSD00	quitar+le
d	de	SPS00	de
este	este	DD0MS0	este
cuydado	cuidado	NCMS000	cuidado
	,	Fc	,
damele	dámele	SPS00	dámele
tan	tan	RC	tan
gde	grande	AQ0CS0	grande
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
vm	VM	NP00000	VM
y	y	CC	y
deseolas	deséolas	SPS00	deséolas
servyr	servir	VMN0000	servir
con	con	SPS00	con
tanta	tanta	DI0FS0	tanto
buena	buena	AQ0FS0	bueno
boluntad	voluntad	NCFS000	voluntad
q	que	PR0CN000	que
quyero	quiero	VMIP1S0	querer
q	que	CS	que
en	en	SPS00	en
todas	todas	DI0FP0	todo
ocasyones	ocasiones	NCFP000	ocasión
la	la	PP3FSA00	lo
eche	eche	VMSP0S0	echar
vm	VM	NP00000	VM
de	de	SPS00	de
ber	ver	VMN0000	ver
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
dygo	digo	VMIP1S0	decir
	,	Fc	,
señor	señor	NP00000	señor
	,	Fc	,
q	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
haga	haga	VMSP0S0	hacer
mrd	merced	NCFS000	merced
de	de	SPS00	de
dezyrme	decirme	VMN0000+PP1CS000	decir+me
la	la	DA0FS0	el
comodydad	comodidad	NCFS000	comodidad
de	de	SPS00	de
balladolyd	Valladolid	NP00000	valladolid
porq	porque	CS	porque
conforme	conforme	RG	conforme
a	a	SPS00	a
ella	ella	PP3FS000	él
pueda	pueda	VMSP0S0	poder
yo	yo	PP1CSN00	yo
servyr	servir	VMN0000	servir
a	a	SPS00	a
su	su	DP3CS0	su
sobryna	sobrina	NCFS000	sobrino
de	de	SPS00	de
vm	VM	NP00000	VM
con	con	SPS00	con
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
pudyere	pudiere	VMSF0S0	poder
	.	Fp	.
porq	Porque	CS	porque
	,	Fc	,
sy	si	CS	si
fuere	fuere	VSSF0S0	ser
mas	más	RC	más
de	de	SPS00	de
su	su	DP3CS0	su
gusto	gusto	NCMS000	gusto
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
esta	está	VMIP3S0	estar
por	por	SPS00	por
poderse	poderse	VMN0000+P00CN000	poder+se
hazer	hacer	VMN0000	hacer
luego	luego	RG	luego
q	que	CS	que
las	las	DA0FP0	el
q	que	PR0CN000	que
e	he	VAIP1S0	haber
dycho	dicho	VMP0000	decir
	.	Fp	.
no	No	RN	no
qde	quede	VMSP0S0	quedar
por	por	SPS00	por
no	no	RN	no
tener	tener	VMN0000	tener
luego	luego	RG	luego
con	con	SPS00	con
q	qué	PT0CN000	qué
poder	poder	VMN0000	poder
entrar	entrar	VMN0000	entrar
	.	Fp	.
dygo	Digo	VMIP1S0	decir
q	que	CS	que
con	con	SPS00	con
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pudyere	pudiere	VMSF0S0	poder
ayudare	ayudaré	VMIF1S0	ayudar
a	a	SPS00	a
su	su	DP3CS0	su
sobryna	sobrina	NCFS000	sobrino
de	de	SPS00	de
vm	VM	NP00000	VM
pa	para	SPS00	para
q	que	CS	que
esto	esto	PD0NN000	esto
tengo	tengo	VMIP1S0	tener
efecto	efecto	NCMS000	efecto
	,	Fc	,
q	que	CS	que
con	con	SPS00	con
poco	poco	RQ	poco
mas	más	RC	más
q	que	CS	que
vm	VM	NP00000	VM
le	le	PP3CSD00	le
ayude	ayude	VMSP0S0	ayudar
podra	podrá	VMIF3S0	poder
entrar	entrar	VMN0000	entrar
luego	luego	RG	luego
	.	Fp	.
y	Y	CC	y
sy	si	CS	si
vm	VM	NP00000	VM
quyere	quiere	VMIP3S0	querer
el	el	DA0MS0	el
asyento	asiento	NCMS000	asiento
q	que	PR0CN000	que
le	le	PP3CSD00	le
e	he	VAIP1S0	haber
scryto	escrito	VMP0000	escribir
asta	hasta	SPS00	hasta
q	que	CS	que
en	en	SPS00	en
uno	uno	Z	1
de	de	SPS00	de
los	los	DA0MP0	el
monesteryos	monasterios	NCMP000	monasterio
la	la	PP3FSA00	lo
podamos	podamos	VMSP1P0	poder
acomodalla	acomodarla	VMN0000+PP3FSA00	acomodar+lo
	,	Fc	,
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
abyse	avise	VMSP0S0	avisar
de	de	SPS00	de
lo	lo	DA0NS0	el
uno	uno	PI0MS000	uno
y	y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
	,	Fc	,
q	que	CS	que
prometo	prometo	VMIP1S0	prometer
a	a	SPS00	a
vm	VM	NP00000	VM
como	como	CS	como
crystyana	cristiana	NCFS000	cristiano
	,	Fc	,
y	y	CC	y
ansy	así	RG	así
me	me	PP1CS000	me
salve	salve	NCFS000	salve
dyos	Dios	NP00000	dios
	,	Fc	,
q	que	CS	que
por	por	SPS00	por
mys	mis	DP1CPS	mi
hyjos	hijos	NCMP000	hijo
no	no	RN	no
hyzyera	hiciera	VMSI0S0	hacer
esto	esto	PD0NN000	esto
ny	ni	CC	ni
lo	lo	PP3CNA00	lo
dyjera	dijera	VMSI0S0	decir
con	con	SPS00	con
mas	más	RC	más
amor	amor	NCMS000	amor
y	y	CC	y
boluntad	voluntad	NCFS000	voluntad
q	que	CS	que
lo	lo	PP3CNA00	lo
dygo	digo	VMIP1S0	decir
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
con	Con	SPS00	con
esta	esta	DD0FS0	este
llaneza	llaneza	NCFS000	llaneza
ofresco	ofrezco	VMIP1S0	ofrecer
la	la	DA0FS0	el
buena	buena	AQ0FS0	bueno
q	que	CS	que
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
servyrle	servirle	VMN0000+PP3CSA00	servir+le
	.	Fp	.
y	Y	CC	y
esta	ésta	PD0FS000	este
conozera	conocerá	VMIF3S0	conocer
vm	VM	NP00000	VM
en	en	SPS00	en
todos	todos	DI0MP0	todo
tyenpos	tiempos	NCMP000	tiempo
conozyendo	conociendo	VMG0000	conocer
la	la	DA0FS0	el
m	merced	NCFS000	merced
q	que	CS	que
de	de	SPS00	de
vm	VM	NP00000	VM
e	he	VAIP1S0	haber
rrezyvydo	recibido	VMP0000	recibir
	.	Fp	.
del	Del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
don	don	NP00000	don
dyego	Diego	NP00000	diego
sabra	sabrá	VMIF3S0	saber
vm	VM	NP00000	VM
las	las	DA0FP0	el
q	que	PR0CN000	que
corren	corren	VMIP3P0	correr
agora	ahora	RG	ahora
por	por	SPS00	por
aca	acá	RG	acá
	.	Fp	.
y	Y	CC	y
suplyco	suplico	VMIP1S0	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
pues	pues	CS	pues
sabe	sabe	VMIP3S0	saber
la	la	DA0FS0	el
m	merced	NCFS000	merced
q	que	CS	que
sera	será	VSIF3S0	ser
pa	para	SPS00	para
my	mí	PP1CSO00	mí
servyrle	servirle	VMN0000+PP3CSA00	servir+le
	,	Fc	,
le	le	PP3CSD00	le
suplyco	suplico	VMIP1S0	suplicar
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
muchas	muchas	DI0FP0	mucho
cosas	cosas	NCFP000	cosa
en	en	SPS00	en
q	que	CS	que
lo	lo	PP3CNA00	lo
haga	haga	VMSP0S0	hacer
	,	Fc	,
q	que	CS	que
acudyere	acudiere	VMSF0S0	acudir
a	a	SPS00	a
ellas	ellas	PP3FP000	ellos
como	como	CS	como
lo	lo	PP3CNA00	lo
devo	debo	VMIP1S0	deber
al	al	SPS00+DA0MS0	a+el
servyçyo	servicio	NCMS000	servicio
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
conde	conde	NCMS000	conde
espero	espero	VMIP1S0	esperar
con	con	SPS00	con
mucha	mucha	DI0FS0	mucho
brevedad	brevedad	NCFS000	brevedad
	,	Fc	,
q	que	CS	que
entyendo	entiendo	VMIP1S0	entender
q	que	CS	que
de	de	SPS00	de
aquy	aquí	RG	aquí
a	a	SPS00	a
doze	doce	Z	12
dyas	días	NCMP000	día
a	ha	VMIP3S0	haber
de	de	SPS00	de
estar	estar	VMN0000	estar
aquy	aquí	RG	aquí
	.	Fc	,
sus	Sus	DP3CP0	su
hyjos	hijos	NCMP000	hijo
besan	besan	VMIP3P0	besar
las	las	DA0FP0	el
ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
	;	Fx	;
yo	yo	PP1CSN00	yo
las	las	PP3FPA00	lo
beso	beso	VMIP1S0	besar
a	a	SPS00	a
my	mi	DP1CSS	mi
ayjado	ahijado	NCMS000	ahijado
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
hrno	hermano	NCMS000	hermano
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
dyos	Dios	NP00000	dios
a	a	SPS00	a
vm	VM	NP00000	VM
muchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
y	y	CC	y
dele	dele	VMSP0S0+PP3CSD00	dar+le
lo	lo	DA0NS0	el
q	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
madryd	Madrid	NP00000	madrid
	,	Fc	,
a	a	SPS00	a
iii	III	Z	3
de	de	SPS00	de
mayo	mayo	NCMS000	mayo
	.	Fp	.
la	La	DA0FS0	el
condessa	condesa	NCFS000	condesa
de	de	SPS00	de
byllalonso	Villalonso	NP00000	villalonso
