beso	Beso	VMIP1S0	besar
confyo	Confío	VMIP1S0	confiar
en	en	SPS00	en
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
echara	echará	VMIF3S0	echar
de	de	SPS00	de
ber	ver	VMN0000	ver
vm	VM	NP00000	VM
la	la	DA0FS0	el
mya	mía	PX1FS0S0	mío
y	y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
rreconosco	reconozco	VMIP1S0	reconocer
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
qe	que	CS	que
de	de	SPS00	de
vm	VM	NP00000	VM
e	he	VAIP1S0	haber
rrezyvydo	recibido	VMP0000	recibir
	.	Fp	.
y	Y	CC	y
al	al	SPS00+DA0MS0	a+el
tyenpo	tiempo	NCMS000	tiempo
dejo	dejo	VMIP1S0	dejar
por	por	SPS00	por
testygo	testigo	NCCS000	testigo
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
servylla	servirla	VMN0000+PP3FSA00	servir+lo
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
manera	manera	NCFS000	manera
q	que	CS	que
lo	lo	PP3CNA00	lo
e	he	VMIP1S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
myentras	mientras	RG	mientras
me	me	PP1CS000	me
durare	durare	VMSF0S0	durar
la	la	DA0FS0	el
byda	vida	NCFS000	vida
	.	Fp	.
yo	Yo	PP1CSN00	yo
mostre	mostré	VMIS1S0	mostrar
su	su	DP3CS0	su
carta	carta	NCFS000	carta
de	de	SPS00	de
vm	VM	NP00000	VM
a	a	SPS00	a
don	don	NP00000	don
ju	Juan	NP00000	juan
y	y	CC	y
anbos	ambos	PI0MP000	ambos
lo	lo	PP3CNA00	lo
avemos	hemos	VAIP1P0	haber
myrado	mirado	VMP0000	mirar
y	y	CC	y
pa	para	SPS00	para
dezyr	decir	VMN0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
pumtualmente	puntualmente	RG	puntualmente
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pasa	pasa	VMIP3S0	pasar
	,	Fc	,
bysto	visto	VMP0000	ver
de	de	SPS00	de
la	la	DA0FS0	el
suerte	suerte	NCFS000	suerte
q	que	CS	que
se	se	P00CN000	se
ponyan	ponían	VMII3P0	poner
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
Casa	casa	NCFS000	casa
del	del	SPS00+DA0MS0	de+el
Cardenal	cardenal	NCMS000	cardenal
y	y	CC	y
tenyendo	teniendo	VMG0000	tener
tan	tan	RC	tan
buen	buen	AQ0MS0	bueno
hrno	hermano	NCMS000	hermano
como	como	CS	como
yo	yo	PP1CSN00	yo
tengo	tengo	VMIP1S0	tener
en	en	SPS00	en
el	el	DA0MS0	el
señor	señor	NP00000	señor
don	don	NP00000	don
dyego	Diego	NP00000	diego
	,	Fc	,
q	que	CS	que
lo	lo	PP3CNA00	lo
es	es	VSIP3S0	ser
	.	Fp	.
de	De	SPS00	de
manera	manera	NCFS000	manera
q	que	CS	que
a	a	SPS00	a
todo	todo	DI0MS0	todo
my	mi	DP1CSS	mi
lynaje	linaje	NCMS000	linaje
dejare	dejaré	VMIF1S0	dejar
yo	yo	PP1CSN00	yo
por	por	SPS00	por
su	su	DP3CS0	su
pye	pie	NCMS000	pie
	,	Fc	,
porq	porque	CS	porque
syerto	cierto	RG	cierto
	,	Fc	,
señor	señor	NP00000	señor
	,	Fc	,
le	le	PP3CSD00	le
devo	debo	VMIP1S0	deber
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
bysto	visto	VMP0000	ver
las	las	DA0FP0	el
nesesydades	necesidades	NCFP000	necesidad
q	que	PR0CN000	que
tenemos	tenemos	VMIP1P0	tener
le	le	PP3CSD00	le
dyje	dije	VMIS1S0	decir
a	a	SPS00	a
my	mi	DP1CSS	mi
señora	señora	NP00000	señor
escryvyese	escribiese	VMSI0S0	escribir
a	a	SPS00	a
su	su	DP3CS0	su
hyjo	hijo	NCMS000	hijo
dandole	dándole	VMG0000+PP3CSD00	dar+le
cuenta	cuenta	NCFS000	cuenta
d	de	SPS00	de
ellas	ellas	PP3FP000	ellos
y	y	CC	y
q	que	CS	que
procurase	procurase	VMSI0S0	procurar
conponer	componer	VMN0000	componer
las	las	DA0FP0	el
boluntades	voluntades	NCFP000	voluntad
	,	Fc	,
de	de	SPS00	de
suerte	suerte	NCFS000	suerte
q	que	CS	que
nosotros	nosotros	PP1MP000	nosotros
pudyesemos	pudiésemos	VMSI1P0	poder
yrnos	irnos	VMN0000+PP1CP000	ir+nos
a	a	SPS00	a
gozar	gozar	VMN0000	gozar
de	de	SPS00	de
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
q	que	CS	que
el	el	DA0MS0	el
cardenal	cardenal	NCMS000	cardenal
nos	nos	PP1CP000	nos
hazya	hacía	VMII0S0	hacer
	.	Fp	.
byno	Vino	VMIS3S0	venir
el	el	DA0MS0	el
peon	peón	NCMS000	peón
y	y	CC	y
no	no	RN	no
trujo	trajo	VMIS3S0	traer
rrespuesta	respuesta	NCFS000	respuesta
porq	porque	CS	porque
dyze	dice	VMIP3S0	decir
q	que	CS	que
luego	luego	RG	luego
despachara	despachará	VMIF3S0	despachar
otro	otro	PI0MS000	otro
con	con	SPS00	con
cartas	cartas	NCFP000	carta
largas	largas	AQ0FP0	largo
de	de	SPS00	de
todo	todo	PI0MS000	todo
	.	Fp	.
don	Don	NP00000	don
ju	Juan	NP00000	juan
lo	lo	PP3CNA00	lo
haze	hace	VMIP3S0	hacer
y	y	CC	y
escryve	escribe	VMIP3S0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
la	la	DA0FS0	el
boluntad	voluntad	NCFS000	voluntad
y	y	CC	y
determynasyon	determinación	NCFS000	determinación
de	de	SPS00	de
anbos	ambos	PI0MP000	ambos
	.	Fp	.
vm	VM	NP00000	VM
como	como	CS	como
tan	tan	RC	tan
señor	señor	NP00000	señor
de	de	SPS00	de
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
procure	procure	VMSP0S0	procurar
con	con	SPS00	con
las	las	DA0FP0	el
beras	veras	NCFP000	vera
	,	Fc	,
q	que	CS	que
bee	ve	VMIP3S0	ver
q	que	CS	que
ynporta	importa	VMIP3S0	importar
	.	Fc	,
podrya	Podría	VMIC0S0	poder
ser	ser	VSN0000	ser
fuese	fuese	VMSI0S0	ir
de	de	SPS00	de
mas	más	RC	más
ynportancya	importancia	NCFS000	importancia
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
nos	nos	PP1CP000	nos
pareze	parece	VMIP3S0	parecer
	,	Fc	,
anq	aunque	CS	aunque
es	es	VSIP3S0	ser
de	de	SPS00	de
arta	harta	DI0FS0	harto
	.	Fp	.
y	Y	CC	y
cuanto	cuanto	PA000000	cuanto
aquy	aquí	RG	aquí
	,	Fc	,
no	no	RN	no
puedo	puedo	VMIP1S0	poder
encarezer	encarecer	VMN0000	encarecer
	,	Fc	,
porq	porque	CS	porque
pa	para	SPS00	para
vm	VM	NP00000	VM
solo	sólo	RG	sólo
se	se	P00CN000	se
pasa	pasa	VMIP3S0	pasar
grandes	grandes	AQ0CP0	grande
descomodydades	descomodidades	NCFP000	descomodidad
por	por	SPS00	por
las	las	DA0FP0	el
deudas	deudas	NCFP000	deuda
sueltas	sueltas	AQ0FP0	suelto
q	que	CS	que
don	don	NP00000	don
ju	Juan	NP00000	juan
tyene	tiene	VMIP3S0	tener
q	que	CS	que
le	le	PP3CSD00	le
apryetan	aprietan	VMIP3P0	apretar
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
dos	dos	Z	2
años	años	NCMP000	año
q	que	CS	que
no	no	RN	no
las	las	PP3FPA00	lo
tase	tase	VMSP0S0	tasar
en	en	SPS00	en
su	su	DP3CS0	su
casa	casa	NCFS000	casa
nada	nada	RQ	nada
y	y	CC	y
dejase	dejase	VMSI0S0	dejar
esta	esta	DD0FS0	este
hazyenda	hacienda	NCFS000	hacienda
pa	para	SPS00	para
pagar	pagar	VMN0000	pagar
	,	Fc	,
tendrya	tendría	VMIC0S0	tener
mucho	mucho	DI0MS0	mucho
descanso	descanso	NCMS000	descanso
	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
estoy	estoy	VMIP1S0	estar
syerta	cierta	AQ0FS0	cierto
q	que	CS	que
nadye	nadie	PI0NN00N	nadie
en	en	SPS00	en
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
me	me	PP1CS000	me
le	le	PP3CSD00	le
desea	desea	VMIP3S0	desear
con	con	SPS00	con
mas	más	RC	más
beras	veras	NCFP000	vera
q	que	PR0CN000	que
vm	VM	NP00000	VM
	,	Fc	,
no	no	RN	no
tengo	tengo	VMIP1S0	tener
q	que	CS	que
suplycalle	suplicarle	VMN0000+PP3CSD00	suplicar+le
las	las	PP3FPA00	lo
ponga	ponga	VMSP0S0	poner
en	en	SPS00	en
q	que	CS	que
tenga	tenga	VMSP0S0	tener
esta	esta	DD0FS0	este
jornada	jornada	NCFS000	jornada
las	las	DA0FP0	el
dylyjencyas	diligencias	NCFP000	diligencia
q	que	PR0CN000	que
vm	VM	NP00000	VM
le	le	PP3CSD00	le
parezyere	pareciere	VMSF0S0	parecer
q	que	CS	que
hagamos	hagamos	VMSP1P0	hacer
desde	desde	SPS00	desde
aca	acá	RG	acá
	.	Fp	.
y	Y	CC	y
sy	si	CS	si
sera	será	VSIF3S0	ser
byen	bien	RG	bien
escryvyr	escribir	VMN0000	escribir
sobre	sobre	SPS00	sobre
ello	ello	PD0NN000	ello
a	a	SPS00	a
las	las	DA0FP0	el
personas	personas	NCFP000	persona
q	que	PR0CN000	que
vm	VM	NP00000	VM
le	le	PP3CSD00	le
parezyere	pareciere	VMSF0S0	parecer
	,	Fc	,
se	se	P00CN000	se
me	me	PP1CS000	me
abyse	avise	VMSP0S0	avisar
con	con	SPS00	con
este	éste	PD0MS000	este
	,	Fc	,
porq	porque	CS	porque
se	se	P00CN000	se
hara	hará	VMIF3S0	hacer
	.	Fp	.
y	Y	CC	y
como	como	CS	como
vm	VM	NP00000	VM
ponga	ponga	VMSP0S0	poner
lo	lo	DA0NS0	el
q	que	PR0CN000	que
sabe	sabe	VMIP3S0	saber
	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
mrd	merced	NCFS000	merced
de	de	SPS00	de
dezyrme	decirme	VMN0000+PP1CS000	decir+me
	,	Fc	,
todo	todo	PI0MS000	todo
nos	nos	PP1CP000	nos
susedera	sucederá	VMIF3S0	suceder
byen	bien	RG	bien
	.	Fp	.
y	Y	CC	y
no	no	RN	no
ay	hay	VMIP3S0	haber
syno	sino	CC	sino
echar	echar	VMN0000	echar
el	el	DA0MS0	el
rresto	resto	NCMS000	resto
en	en	SPS00	en
hazernosla	hacérnosla	NCFS000	hacérnosla
	,	Fc	,
pues	pues	CS	pues
toda	toda	DI0FS0	todo
nos	nos	PP1CP000	nos
la	la	PP3FSA00	lo
deve	debe	VMIP3S0	deber
vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
q	que	PR0CN000	que
deseamos	deseamos	VMIP1P0	desear
servylle	servirle	VMN0000+PP3CSA00	servir+le
	;	Fx	;
y	y	CC	y
a	a	SPS00	a
my	mí	PP1CSO00	mí
mas	más	RC	más
q	que	CS	que
a	a	SPS00	a
nadye	nadie	PI0NN00N	nadie
	.	Fp	.
anq	Aunque	CC	aunque
vm	VM	NP00000	VM
no	no	RN	no
quyera	quiera	VMSP0S0	querer
	,	Fc	,
a	ha	VMIP3S0	haber
de	de	SPS00	de
echar	echar	VMN0000	echar
de	de	SPS00	de
ber	ver	VMN0000	ver
en	en	SPS00	en
todas	todas	DI0FP0	todo
ocasyones	ocasiones	NCFP000	ocasión
lo	lo	DA0NS0	el
q	que	PR0CN000	que
e	he	VAIP1S0	haber
stymado	estimado	VMP0000	estimar
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
q	que	PR0CN000	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
	.	Fp	.
muy	Muy	RQ	muy
byen	bien	RG	bien
rrespondyo	respondió	VMIS3S0	responder
vm	VM	NP00000	VM
a	a	SPS00	a
pyneda	Pineda	NP00000	pineda
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
rremytyrme	remitirme	VMN0000+PP1CS000	remitir+me
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
don	don	NP00000	don
ju	Juan	NP00000	juan
	,	Fc	,
no	no	RN	no
dyre	diré	VMIF1S0	decir
en	en	SPS00	en
mas	más	RC	más
de	de	SPS00	de
q	que	CS	que
a	a	SPS00	a
my	mi	DP1CSS	mi
ayjado	ahijado	NCMS000	ahijado
beso	beso	VMIP1S0	besar
las	las	DA0FP0	el
ms	manos	NCFP000	mano
y	y	CC	y
las	las	DA0FP0	el
de	de	SPS00	de
su	su	DP3CS0	su
hrno	hermano	NCMS000	hermano
dyego	Diego	NP00000	diego
	,	Fc	,
y	y	CC	y
la	la	DA0FS0	el
suya	suya	PX3FS000	suyo
las	las	PP3FPA00	lo
besan	besan	VMIP3P0	besar
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
yo	Yo	PP1CSN00	yo
muchas	muchas	DI0FP0	mucho
bezes	veces	NCFP000	vez
por	por	SPS00	por
la	la	DA0FS0	el
casa	casa	NCFS000	casa
q	que	PR0CN000	que
fuera	fuera	VMSI0S0	ir
con	con	SPS00	con
mas	más	RC	más
sygurydad	seguridad	NCFS000	seguridad
a	a	SPS00	a
ella	ella	PP3FS000	él
	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
dava	daba	VMII0S0	dar
de	de	SPS00	de
buena	buena	AQ0FS0	bueno
gana	gana	NCFS000	gana
q	que	CS	que
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
my	mi	DP1CSS	mi
pe	padre	NCMS000	padre
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
deseo	deseo	VMIP1S0	desear
q	que	CS	que
a	a	SPS00	a
buen	buen	AQ0MS0	bueno
syguro	seguro	NCMS000	seguro
q	que	CS	que
sea	sea	VSSP0S0	ser
mucho	mucho	RQ	mucho
	.	Fp	.
de	De	SPS00	de
toro	Toro	NP00000	toro
	,	Fc	,
a	a	SPS00	a
xiii	XIII	Z	x3
de	de	SPS00	de
setyenbre	septiembre	NCMS000	septiembre
	.	Fp	.
doña	Doña	NP00000	don
teresa	Teresa	NP00000	teresa
de	de	SPS00	de
saavedra	Saavedra	NP00000	saavedra
y	y	CC	y
çuñiga	Zúñiga	NP00000	zúñiga
