Illma	Ilustrísima	AQSFS0	ilustre
murio	murió	VMIS3S0	morir
comido	comido	VMP0000	comer
de	de	SPS00	de
cançer	cáncer	NCMS000	cáncer
y	y	CC	y
su	su	DP3CS0	su
auditor	auditor	NCMS000	auditor
	,	Fc	,
moço	mozo	NCMS000	mozo
,	,	Fc	,
pdio	perdió	VMIS3S0	perder
el	el	DA0MS0	el
juizio	juicio	NCMS000	juicio
y	y	CC	y
murio	murió	VMIS3S0	morir
.	.	Fp	.
evaristo	Evaristo	NP00000	evaristo
	,	Fc	,
papa	papa	NCMS000	papa
	,	Fc	,
dexo	dejó	VMIS3S0	dejar
escrito	escrito	VMP00SM	escribir
q	que	CS	que
quie	quien	PR0CS000	quien
ofende	ofende	VMIP3S0	ofender
a	a	SPS00	a
un	un	DI0MS0	uno
obpo	obispo	NCMS000	obispo
ofende	ofende	VMIP3S0	ofender
a	a	SPS00	a
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
yglia	Iglesia	NP00000	iglesia
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
niña	niña	NCFS000	niño
de	de	SPS00	de
los	los	DA0MP0	el
ojos	ojos	NCMP000	ojo
de	de	SPS00	de
dios	Dios	NP00000	dios
,	,	Fc	,
q	que	PR0CN000	que
se	se	P00CN000	se
llama	llama	VMIP3S0	llamar
pupila	pupila	NCFS000	pupila
en	en	SPS00	en
latin	latín	NCMS000	latín
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
conçilio	concilio	NCMS000	concilio
manda	manda	VMIP3S0	mandar
q	que	CS	que
sin	sin	SPS00	sin
comission	comisión	NCFS000	comisión
del	del	SPS00+DA0MS0	de+el
papa	Papa	NP00000	papa
de	de	SPS00	de
su	su	DP3CS0	su
mano	mano	NCFS000	mano
ninguno	ninguno	PI0MS00N	ninguno
	,	Fc	,
aunq	aunque	CS	aunque
sea	sea	VSSP0S0	ser
Rey	rey	NCMS000	rey
,	,	Fc	,
pueda	pueda	VMSP0S0	poder
hazer	hacer	VMN0000	hacer
informaçion	información	NCFS000	información
contra	contra	SPS00	contra
obispo	obispo	NCMS000	obispo
,	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
conde	conde	NCMS000	conde
me	me	PP1CS000	me
saco	sacó	VMIS3S0	sacar
con	con	SPS00	con
engaño	engaño	NCMS000	engaño
un	un	DI0MS0	uno
mi	mi	DP1CSS	mi
paje	paje	NCMS000	paje
de	de	SPS00	de
corona	corona	NCFS000	corona
y	y	CC	y
me	me	PP1CS000	me
lo	lo	PP3MSA00	lo
tiene	tiene	VMIP3S0	tener
preso	preso	AQ0MS0	preso
,	.	Fp	.
digale	Dígale	VMSP0S0+PP3CSD00	decir+le
q	que	CS	que
lo	lo	PP3MSA00	lo
libre	libre	VMSP0S0	librar
y	y	CC	y
embie	envíe	VMSP0S0	enviar
a	a	SPS00	a
casa	casa	NCFS000	casa
de	de	SPS00	de
su	su	DP3CS0	su
madre	madre	NCFS000	madre
	,	Fc	,
q	que	CS	que
no	no	RN	no
tiene	tiene	VMIP3S0	tener
catorze	catorce	Z	14
años	años	NCMP000	año
,	,	Fc	,
y	y	CC	y
luego	luego	RG	luego
,	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
guarde	guarde	VMSP0S0	guardar
de	de	SPS00	de
la	la	DA0FS0	el
yra	ira	NCFS000	ira
de	de	SPS00	de
dios	Dios	NP00000	dios
,	,	Fc	,
q	que	CS	que
no	no	RN	no
puede	puede	VMIP3S0	poder
faltar	faltar	VMN0000	faltar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
dixo	dijo	VMIS3S0	decir
por	por	SPS00	por
el	el	DA0MS0	el
profeta	profeta	NCCS000	profeta
job	Job	NP00000	job
en	en	SPS00	en
el	el	DA0MS0	el
c	capítulo	NCMS000	capítulo
quarto	cuarto	AO0MS0	cuarto
,	:	Fd	:
	«	Fra	«
qui	Qui	Fra	«
derridetur	derridetur	Fra	«
ab	ab	Fra	«
Amico	amico	Fra	«
,	,	Fc	,
clamabit	clamavit	Fc	,
ad	ad	Fc	,
deum	Deum	Fc	,
et	et	Fc	,
exaudiet	exaudiet	Fc	,
illum	illum	Fc	,
deus	Deus	Fc	,
	»	Frt	»
,	.	Fp	.
ansi	Así	RG	así
hizo	hizo	VMIS3S0	hacer
el	el	DA0MS0	el
conde	conde	NCMS000	conde
,	,	Fc	,
q	que	PR0CN000	que
dixo	dijo	VMIS3S0	decir
al	al	SPS00+DA0MS0	a+el
paje	paje	NCMS000	paje
q	que	CS	que
se	se	P00CN000	se
fuese	fuese	VMSI0S0	ir
con	con	SPS00	con
el	él	PP3MS000	él
y	y	CC	y
q	que	CS	que
me	me	PP1CS000	me
trayria	traería	VMIC0S0	traer
un	un	DI0MS0	uno
presete	presente	NCMS000	presente
,	.	Fp	.
y	Y	CC	y
bien	bien	RG	bien
pudiera	pudiera	VMSI0S0	poder
y	y	CC	y
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
deve	debe	VMIP3S0	deber
embiarlo	enviarlo	VMN0000+PP3MSA00	enviar+lo
,	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
psete	presente	NCMS000	presente
fue	fue	VSIS3S0	ser
darle	darle	VMN0000+PP3CSD00	dar+le
tormeto	tormento	NCMS000	tormento
y	y	CC	y
examinarlo	examinarlo	VMN0000+PP3MSA00	examinar+lo
contra	contra	SPS00	contra
un	un	DI0MS0	uno
obpo	obispo	NCMS000	obispo
,	,	Fc	,
contra	contra	SPS00	contra
loas	las	DA0FP0	el
leyes	leyes	NCFP000	ley
divinas	divinas	AQ0FP0	divino
y	y	CC	y
humanas	humanas	AQ0FP0	humano
,	,	Fc	,
y	y	CC	y
profanar	profanar	VMN0000	profanar
la	la	DA0FS0	el
yglia	iglesia	NCFS000	iglesia
en	en	SPS00	en
sacar	sacar	VMN0000	sacar
de	de	SPS00	de
ella	ella	PP3FS000	él
con	con	SPS00	con
engaño	engaño	NCMS000	engaño
a	a	SPS00	a
quie	quien	PR0CS000	quien
es	es	VSIP3S0	ser
de	de	SPS00	de
corona	corona	NCFS000	corona
,	.	Fp	.
y	Y	CC	y
si	si	CS	si
piensa	piensa	VMIP3S0	pensar
ganar	ganar	VMN0000	ganar
credito	crédito	NCMS000	crédito
en	en	SPS00	en
pseguirme	perseguirme	VMN0000+PP1CS000	perseguir+me
,	,	Fc	,
pderlo	perderlo	VMN0000+PP3MSA00	perder+lo
a	ha	VMIP3S0	haber
con	con	SPS00	con
quien	quien	PR0CS000	quien
puede	puede	VMIP3S0	poder
en	en	SPS00	en
un	un	DI0MS0	uno
puto	punto	NCMS000	punto
destruyrlo	destruirlo	VMN0000+PP3MSA00	destruir+lo
y	y	CC	y
a	a	SPS00	a
todos	todos	DI0MP0	todo
sus	sus	DP3CP0	su
hijos	hijos	NCMP000	hijo
	,	Fc	,
q	que	PR0CN000	que
es	es	VSIP3S0	ser
dios	Dios	NP00000	dios
,	,	Fc	,
el	el	DA0MS0	el
qual	cual	PR0CS000	cual
,	,	Fc	,
aunq	aunque	CS	aunque
los	los	DA0MP0	el
profetas	profetas	NCMP000	profeta
eran	eran	VSII3P0	ser
malos	malos	AQ0MP0	malo
,	,	Fc	,
en	en	SPS00	en
los	los	DA0MP0	el
tiempos	tiempos	NCMP000	tiempo
pasados	pasados	VMP00PM	pasar
,	,	Fc	,
porq	porque	CS	porque
Jeroboam	Jeroboam	NP00000	jeroboam
	,	Fc	,
Rey	rey	NCMS000	rey
de	de	SPS00	de
Jerusalem	Jerusalén	NP00000	jerusalén
,	,	Fc	,
yva	iba	VMII0S0	ir
a	a	SPS00	a
tomar	tomar	VMN0000	tomar
con	con	SPS00	con
la	la	DA0FS0	el
mano	mano	NCFS000	mano
a	a	SPS00	a
un	un	DI0MS0	uno
profeta	profeta	NCCS000	profeta
en	en	SPS00	en
el	el	DA0MS0	el
templo	templo	NCMS000	templo
,	,	Fc	,
se	se	P00CN000	se
le	le	PP3CSD00	le
seco	secó	VMIS3S0	secar
el	el	DA0MS0	el
braço	brazo	NCMS000	brazo
y	y	CC	y
la	la	DA0FS0	el
mano	mano	NCFS000	mano
,	.	Fp	.
como	Como	CS	como
muy	muy	RQ	muy
siervo	siervo	NCMS000	siervo
de	de	SPS00	de
vs	VSa	NP00000	VSa
Illma	ilustrísima	AQSFS0	ilustre
y	y	CC	y
de	de	SPS00	de
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	,	Fc	,
escrivo	escribo	VMIP1S0	escribir
esta	ésta	PD0FS000	este
,	,	Fc	,
q	que	CS	que
bien	bien	RG	bien
se	sé	VMIP1S0	saber
q	que	CS	que
solo	sólo	RG	sólo
el	el	DA0MS0	el
papa	Papa	NP00000	papa
en	en	SPS00	en
la	la	DA0FS0	el
tierra	tierra	NCFS000	tierra
es	es	VSIP3S0	ser
mi	mi	DP1CSS	mi
juez	juez	NCMS000	juez
y	y	CC	y
q	que	CS	que
criados	criados	NCMP000	criado
de	de	SPS00	de
obpo	obispo	NCMS000	obispo
y	y	CC	y
de	de	SPS00	de
menor	menor	AQ0CS0	menor
edad	edad	NCFS000	edad
no	no	RN	no
vale	valen	VMIP3P0	valer
por	por	SPS00	por
testigos	testigos	NCCP000	testigo
,	,	Fc	,
y	y	CC	y
q	que	CS	que
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
a	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
el	el	DA0MS0	el
conde	conde	NCMS000	conde
y	y	CC	y
haze	hace	VMIP3S0	hacer
es	es	VSIP3S0	ser
contra	contra	SPS00	contra
el	el	DA0MS0	el
concilio	concilio	NCMS000	concilio
de	de	SPS00	de
trento	Trento	NP00000	trento
,	.	Fp	.
supliq	Suplique	VMSP0S0	suplicar
a	a	SPS00	a
su	su	DP3CS0	su
s	señoría	NP00000	señoría
Illma	ilustrísima	AQSFS0	ilustre
ponga	ponga	VMSP0S0	poner
Remedio	remedio	NCMS000	remedio
y	y	CC	y
libre	libre	VMSP0S0	librar
a	a	SPS00	a
aql	aquel	DD0MS0	aquel
pobreto	pobreto	NCMS000	pobreto
ignorate	ignorante	AQ0CS0	ignorante
,	,	Fc	,
y	y	CC	y
se	se	P00CN000	se
guarde	guarde	VMSP0S0	guardar
de	de	SPS00	de
la	la	DA0FS0	el
yra	ira	NCFS000	ira
de	de	SPS00	de
dios	Dios	NP00000	dios
,	.	Fp	.
y	Y	CC	y
al	al	SPS00+DA0MS0	a+el
tiempo	tiempo	NCMS000	tiempo
de	de	SPS00	de
su	su	DP3CS0	su
partida	partida	NCFS000	partida
,	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
avia	había	VMII0S0	haber
de	de	SPS00	de
enconar	enconar	VMN0000	enconar
en	en	SPS00	en
destruyr	destruir	VMN0000	destruir
a	a	SPS00	a
un	un	DI0MS0	uno
pobre	pobre	AQ0CS0	pobre
obpo	obispo	NCMS000	obispo
tan	tan	RC	tan
su	su	DP3CS0	su
siervo	siervo	NCMS000	siervo
y	y	CC	y
de	de	SPS00	de
vs	VSa	NP00000	VSa
Illma	ilustrísima	AQSFS0	ilustre
	.	Fp	.
y	Y	CC	y
ansi	así	RG	así
qdo	quedo	VMIP1S0	quedar
suplicando	suplicando	VMG0000	suplicar
a	a	SPS00	a
dios	Dios	NP00000	dios
no	no	RN	no
embie	envíe	VMSP0S0	enviar
sus	sus	DP3CP0	su
saetas	saetas	NCFP000	saeta
contra	contra	SPS00	contra
los	los	DA0MP0	el
q	que	PR0CN000	que
an	han	VAIP3P0	haber
impuesto	impuesto	VMP0000	imponer
a	a	SPS00	a
su	su	DP3CS0	su
s	señoría	NP00000	señoría
en	en	SPS00	en
cosas	cosas	NCFP000	cosa
bien	bien	RG	bien
escusadas	excusadas	VMP00PF	excusar
,	,	Fc	,
q	que	CS	que
mayor	mayor	AQ0CS0	mayor
pecado	pecado	NCMS000	pecado
tiene	tienen	VMIP3P0	tener
los	los	DA0MP0	el
q	que	PR0CN000	que
a	a	SPS00	a
su	su	DP3CS0	su
s	señoría	NP00000	señoría
le	le	PP3CSD00	le
en	han	VAIP3P0	haber
psuadido	persuadido	VMP0000	persuadir
de	de	SPS00	de
inquietar	inquietar	VMN0000	inquietar
a	a	SPS00	a
un	un	DI0MS0	uno
obpo	obispo	NCMS000	obispo
,	,	Fc	,
q	que	CS	que
e	he	VAIP1S0	haber
venido	venido	VMP0000	venir
a	a	SPS00	a
Recojerme	recogerme	VMN0000+PP1CS000	recoger+me
aqui	aquí	RG	aquí
donde	donde	PA000000	donde
me	me	PP1CS000	me
crie	crie	VMIS1S0	criar
,	.	Fp	.
hara	Hará	VMIF3S0	hacer
vs	VSa	NP00000	VSa
un	un	DI0MS0	uno
negoçio	negocio	NCMS000	negocio
digno	digno	AQ0MS0	digno
de	de	SPS00	de
su	su	DP3CS0	su
gra	gran	AQ0CS0	gran
christiandad	cristiandad	NCFS000	cristiandad
y	y	CC	y
bondad	bondad	NCFS000	bondad
q	que	CS	que
mande	mande	VMSP0S0	mandar
dar	dar	VMN0000	dar
tutor	tutor	NCMS000	tutor
a	a	SPS00	a
aql	aquel	DD0MS0	aquel
moçuelo	mozuelo	NCMS000	mozuelo
y	y	CC	y
Restificarlo	rectificarlo	VMN0000+PP3MSA00	rectificar+lo
y	y	CC	y
concluyrlo	concluirlo	VMN0000+PP3MSA00	concluir+lo
antes	antes	RG	antes
q	que	CS	que
se	se	P00CN000	se
vaia	vaya	VMSP0S0	ir
,	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
tengo	tengo	VMIP1S0	tener
con	con	SPS00	con
q	qué	PT0CN000	qué
sustetarlo	sustentarlo	VMN0000+PP3MSA00	sustentar+lo
en	en	SPS00	en
la	la	DA0FS0	el
carcel	cárcel	NCFS000	cárcel
,	.	Fp	.
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
e	he	VAIP1S0	haber
hecho	hecho	VMP0000	hacer
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
de	de	SPS00	de
misericordia	misericordia	NCFS000	misericordia
;	.	Fp	.
y	Y	CC	y
quedo	quedo	VMIP1S0	quedar
en	en	SPS00	en
s	San	NP00000	san
fran	Francisco	NP00000	francisco
Rogando	rogando	VMG0000	rogar
a	a	SPS00	a
dios	Dios	NP00000	dios
la	la	DA0FS0	el
Illma	ilustrísima	AQSFS0	ilustre
psona	persona	NCFS000	persona
de	de	SPS00	de
vs	VSa	NP00000	VSa
y	y	CC	y
estado	estado	NCMS000	estado
guarde	guarde	VMSP0S0	guardar
y	y	CC	y
prospere	prospere	VMSP0S0	prosperar
,	,	Fc	,
amen	amén	NCMS000	amén
.	.	Fp	.
Siervo	Siervo	NCMS000	siervo
y	y	CC	y
capella	capellán	NCMS000	capellán
de	de	SPS00	de
vs	VSa	NP00000	VSa
Illma	ilustrísima	AQSFS0	ilustre
	,	Fc	,
don	don	NP00000	don
fray	fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
salazar	Salazar	NP00000	salazar
	,	Fc	,
obispo	obispo	NP00000	obispo
de	de	SPS00	de
salamina	Salamina	NP00000	salamina
