sy	Si	CS	si
hazerlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
despasyo	despacio	RG	despacio
con	con	SPS00	con
un	un	DI0MS0	uno
arryero	arriero	NCMS000	arriero
q	que	PR0CN000	que
esperamos	esperamos	VMIP1P0	esperar
de	de	SPS00	de
arazena	Aracena	NP00000	aracena
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
no	no	RN	no
aber	haber	VAN0000	haber
cunplydo	cumplido	VMP0000	cumplir
con	con	SPS00	con
vm	VM	NP00000	VM
el	el	DA0MS0	el
mayordomo	mayordomo	NCMS000	mayordomo
d	de	SPS00	de
ella	ella	PP3FS000	él
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
aber	haber	VMN0000	haber
my	mi	DP1CSS	mi
tyo	tío	NCMS000	tío
estado	estado	NCMS000	estado
como	como	CS	como
e	he	VAIP1S0	haber
dycho	dicho	VMP0000	decir
y	y	CC	y
no	no	RN	no
poder	poder	VMN0000	poder
tratar	tratar	VMN0000	tratar
negocyos	negocios	NCMP000	negocio
de	de	SPS00	de
tres	tres	Z	3
dyas	días	NCMP000	día
a	a	SPS00	a
esta	esta	DD0FS0	este
parte	parte	NCFS000	parte
	.	Fp	.
esta	Está	VMIP3S0	estar
pa	para	SPS00	para
ello	ello	PD0NN000	ello
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
procurare	procuraré	VMIF1S0	procurar
con	con	SPS00	con
muchas	muchas	DI0FP0	mucho
beras	veras	NCFP000	vera
q	que	PR0CN000	que
se	se	P00CN000	se
lleve	lleve	VMSP0S0	llevar
orden	orden	NCMS000	orden
a	a	SPS00	a
razena	Aracena	NP00000	aracena
pa	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
page	pague	VMSP0S0	pagar
vm	VM	NP00000	VM
	.	Fp	.
q	Que	CS	que
sabe	sabe	VMIP3S0	saber
dyos	Dios	NP00000	dios
cuanto	cuánto	PT0MS000	cuánto
e	he	VAIP1S0	haber
sentydo	sentido	VMP0000	sentir
q	que	CS	que
no	no	RN	no
se	se	P00CN000	se
cunplyese	cumpliese	VMSI0S0	cumplir
con	con	SPS00	con
vm	VM	NP00000	VM
como	como	CS	como
era	era	VSII0S0	ser
rrazon	razón	NCFS000	razón
	,	Fc	,
mas	mas	CC	mas
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
q	que	CS	que
ansi	así	RG	así
se	se	P00CN000	se
dyo	dio	VMIS3S0	dar
por	por	SPS00	por
nosotros	nosotros	PP1MP000	nosotros
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
ocasyon	ocasión	NCFS000	ocasión
de	de	SPS00	de
no	no	RN	no
aberlo	haberlo	VAN0000+PP3CNA00	haber+lo
cunplydo	cumplido	VMP0000	cumplir
	.	Fp	.
mas	Mas	CC	mas
ello	ello	PD0NN000	ello
se	se	P00CN000	se
pagara	pagará	VMIF3S0	pagar
con	con	SPS00	con
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
mas	más	RC	más
brevedad	brevedad	NCFS000	brevedad
q	que	CS	que
yo	yo	PP1CSN00	yo
pudyere	pudiere	VMSF0S0	poder
	.	Fp	.
suplyco	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
me	me	PP1CS000	me
haga	haga	VMSP0S0	hacer
mrd	merced	NCFS000	merced
de	de	SPS00	de
perdon	perdón	NCMS000	perdón
la	la	DA0FS0	el
tardanza	tardanza	NCFS000	tardanza
d	de	SPS00	de
esta	ésta	PD0FS000	este
y	y	CC	y
me	me	PP1CS000	me
la	la	PP3FSA00	lo
haga	haga	VMSP0S0	hacer
de	de	SPS00	de
abysarme	avisarme	VMN0000+PP1CS000	avisar+me
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
y	y	CC	y
de	de	SPS00	de
todas	todas	DI0FP0	todo
sus	sus	DP3CP0	su
cosas	cosas	NCFP000	cosa
en	en	SPS00	en
el	el	DA0MS0	el
estado	estado	NCMS000	estado
q	que	CS	que
vm	VM	NP00000	VM
las	las	PP3FPA00	lo
tyene	tiene	VMIP3S0	tener
	.	Fp	.
plega	Plega	VMSP0S0	placer
a	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
q	que	CS	que
sea	sea	VSSP0S0	ser
en	en	SPS00	en
el	el	DA0MS0	el
q	que	CS	que
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
sabe	sabe	VMIP3S0	saber
vm	VM	NP00000	VM
el	el	DA0MS0	el
q	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
servylle	servirle	VMN0000+PP3CSA00	servir+le
	,	Fc	,
le	le	PP3CSD00	le
suply	suplico	VMIP1S0	suplicar
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
en	en	SPS00	en
q	que	CS	que
lo	lo	PP3CNA00	lo
haga	haga	VMSP0S0	hacer
	,	Fc	,
q	que	CS	que
el	el	DA0MS0	el
rreconozymyento	reconocimiento	NCMS000	reconocimiento
de	de	SPS00	de
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
q	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
hyzo	hizo	VMIS3S0	hacer
syenpre	siempre	RG	siempre
y	y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
devo	debo	VMIP1S0	deber
estara	estará	VMIF3S0	estar
toda	toda	DI0FS0	todo
my	mi	DP1CSS	mi
byda	vida	NCFS000	vida
muy	muy	RQ	muy
en	en	SPS00	en
la	la	DA0FS0	el
memorya	memoria	NCFS000	memoria
pa	para	SPS00	para
servyr	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
con	con	SPS00	con
la	la	DA0FS0	el
q	que	PR0CN000	que
dyos	Dios	NP00000	dios
me	me	PP1CS000	me
dyeere	diere	VMSF0S0	dar
	.	Fp	.
el	Él	PP3MS000	él
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
se	se	PP3CN000	se
la	la	PP3FSA00	lo
de	dé	VMSP0S0	dar
con	con	SPS00	con
los	los	DA0MP0	el
descansos	descansos	NCMP000	descanso
q	que	CS	que
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
a	A	SPS00	a
my	mi	DP1CSS	mi
ayjado	ahijado	NCMS000	ahijado
beso	beso	VMIP1S0	besar
las	las	DA0FP0	el
ms	manos	NCFP000	mano
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
hno	hermano	NCMS000	hermano
	;	Fx	;
mys	mis	DP1CPS	mi
hyjos	hijos	NCMP000	hijo
las	las	PP3FPA00	lo
besan	besan	VMIP3P0	besar
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
aca	Acá	RG	acá
anda	anda	VMIP3S0	andar
muy	muy	RQ	muy
rrezya	recia	AQ0FS0	recio
la	la	DA0FS0	el
plemacyca	plemacyca	X	x
	.	Fp	.
vm	VM	NP00000	VM
la	la	PP3FSA00	lo
guarde	guarde	VMSP0S0	guardar
conmygo	conmigo	SPS00+PP1CSO00	con+mí
	,	Fc	,
q	que	CS	que
ansy	así	RG	así
lo	lo	PP3CNA00	lo
pydo	pido	VMIP1S0	pedir
a	a	SPS00	a
todos	todos	PI0MP000	todo
	.	Fp	.
el	El	DA0MS0	el
cardenal	cardenal	NCMS000	cardenal
me	me	PP1CS000	me
da	da	VMIP3S0	dar
muchas	muchas	DI0FP0	mucho
esperanzas	esperanzas	NCFP000	esperanza
d	de	SPS00	de
este	este	DD0MS0	este
nego	negocio	NCMS000	negocio
	.	Fp	.
dyos	Dios	NP00000	dios
encamyne	encamine	VMSP0S0	encaminar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
servydo	servido	VMP00SM	servir
	,	Fc	,
q	que	CS	que
no	no	RN	no
quyero	quiero	VMIP1S0	querer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	.	Fp	.
andamos	Andamos	VMIP1P0	andar
conponyendo	componiendo	VMG0000	componer
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
q	que	PR0CN000	que
son	son	VSIP3P0	ser
menester	menester	NCMS000	menester
pa	para	SPS00	para
su	su	DP3CS0	su
benyda	venida	NCFS000	venida
	,	Fc	,
q	que	CS	que
le	le	PP3CSD00	le
esperamos	esperamos	VMIP1P0	esperar
a	a	SPS00	a
ocho	ocho	Z	8
de	de	SPS00	de
mayo	mayo	NCMS000	mayo
	.	Fp	.
y	Y	CC	y
byene	viene	VMIP3S0	venir
con	con	SPS00	con
el	él	PP3MS000	él
las	las	DA0FP0	el
de	de	SPS00	de
lemos	Lemos	NP00000	lemos
y	y	CC	y
astorga	Astorga	NP00000	astorga
	.	Fp	.
de	De	SPS00	de
leon	León	NP00000	león
	,	Fc	,
a	a	SPS00	a
xx	XX	NP00000	xx
y	y	CC	y
viiio	VIII	Z	v3
de	de	SPS00	de
marzo	marzo	NCMS000	marzo
	.	Fp	.
doña	Doña	NP00000	don
teresa	Teresa	NP00000	teresa
de	de	SPS00	de
saavedra	Saavedra	NP00000	saavedra
y	y	CC	y
çuñiga	Zúñiga	NP00000	zúñiga
