caro	Caro	AQ0MS0	caro
deziros	deciros	VMN0000+PP2CP000	decir+os
por	por	SPS00	por
esta	ésta	PD0FS000	este
,	.	Fp	.
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
sea	sea	VSSP0S0	ser
en	en	SPS00	en
vra	vuestra	DP2FSP	vuestro
goarda	guarda	NCFS000	guarda
	.	Fp	.
de	De	SPS00	de
caseda	Cáseda	NP00000	cáseda
	,	Fc	,
a	a	SPS00	a
xi	11	Z	11
de	de	SPS00	de
junio	junio	NCMS000	junio
año	año	NCMS000	año
1524	1524	Z	1524
	.	Fp	.
a	A	SPS00	a
vra	vuestra	DP2FSP	vuestro
honra	honra	NCFS000	honra
vro	vuestro	DP2MSP	vuestro
thiio	tío	NCMS000	tío
	,	Fc	,
Miguel	Miguel	NP00000	miguel
d	de	SPS00	de
añues	Añués	NP00000	añués
