Jhs	JHS		
esta	ésta		
e	he		
reçebido	recibido		
la	la		
de	de		
vm	VM		
de	de		
6	6		
del	del		
pasado	pasado		
de	de		
pap	Pamplona		
	.		
y	Y		
	,		
porq	porque		
en	en		
lo	lo		
de	de		
arriba	arriba		
digo	digo		
lo	lo		
que	que		
pasa	pasa		
en	en		
lo	lo		
del	del		
regaliz	regaliz		
	,		
dire	diré		
en	en		
brebe	breve		
lo	lo		
que	que		
se	se		
ofreçe	ofrece		
.	.		
quoato	Cuanto		
a	a		
lo	lo		
de	de		
los	los		
rogeles	Rogeles		
	,		
no	no		
ay	hay		
que	qué		
tratar	tratar		
sobre	sobre		
ello	ello		
	,		
de	de		
que	que		
a	a		
vm	VM		
beso	beso		
las	las		
manos	manos		
por	por		
la	la		
pena	pena		
que	que		
en	en		
ello	ello		
a	ha		
tomado	tomado		
	.		
en	En		
lo	lo		
del	del		
regaliz	regaliz		
	,		
emos	hemos		
seydo	sido		
desgraçiados	desgraciados		
y	y		
no	no		
ay	hay		
sobre	sobre		
ello	ello		
que	que		
tratar	tratar		
de	de		
aber	haber		
paçiençia	paciencia		
	.		
dizenme	Dícenme		
ay	hay		
arto	harto		
pa	para		
este	este		
año	año		
y	y		
el	el		
que	que		
biene	viene		
	.		
e	Y		
assi	así		
me	me		
pareçe	parece		
no	no		
debe	debe		
vm	VM		
entrar	entrar		
en	en		
ello	ello		
asta	hasta		
que	que		
yo	yo		
se	se		
lo	lo		
abise	avise		
	,		
que	que		
en	en		
siendo	siendo		
tienpo	tiempo		
se	se		
lo	lo		
abisare	avisaré		
	.		
y	Y		
en	en		
sacas	sacas		
tanpoco	tampoco		
quiero	quiero		
entrar	entrar		
por	por		
el	el		
presente	presente		
	,		
pero	pero		
	,		
como	como		
a	a		
vm	VM		
e	he		
escrito	escrito		
por	por		
otras	otras		
	,		
quisiendo	quisiendo		
vm	VM		
mercaderias	mercaderías		
de	de		
aqui	aquí		
por	por		
su	su		
cueta	cuenta		
se	se		
las	las		
enbiare	enviaré		
lo	lo		
que	que		
madare	mandare		
y	y		
cada	cada		
cosa	cosa		
en	en		
su	su		
tiempo	tiempo		
	.		
tomare	Tomaré		
sobre	sobre		
vm	VM		
o	o		
sobre	sobre		
quien	quien		
vm	VM		
ordenare	ordenare		
	,		
que	que		
	,		
si	si		
d	de		
esta	esta		
manera	manera		
lo	lo		
quisiere	quisiere		
	,		
lo	lo		
abisara	avisará		
	.		
y	Y		
	,		
no	no		
ostante	obstante		
esto	esto		
	,		
no	no		
dexare	dejaré		
algunas	algunas		
bezes	veces		
de	de		
enbiar	enviar		
algo	algo		
pa	para		
q	que		
d	de		
ello	ello		
vm	VM		
me	me		
aga	haga		
sacas	sacas		
	;		
y	y		
las	las		
mercaderias	mercaderías		
sera	será		
por	por		
el	el		
coste	coste		
de	de		
aqui	aquí		
	,		
como	como		
esta	está		
dicho	dicho		
	.		
e	He		
bisto	visto		
esta	esta		
memoria	memoria		
de	de		
vm	VM		
y	y		
lo	lo		
que	que		
en	en		
ella	ella		
vm	VM		
pide	pide		
es	es		
de	de		
cosas	cosas		
que	que		
se	se		
da	da		
el	el		
dinero	dinero		
antes	antes		
que	que		
se	se		
reçiba	reciba		
	,		
eçeto	excepto		
los	los		
bocaranes	bocaranes		
e	e		
yleras	hileras		
	,		
que	que		
con	con		
esto	esto		
se	se		
da	da		
6	6		
o	o		
7	7		
meses	meses		
	,		
y	y		
con	con		
los	los		
mateles	manteles		
quoado	cuando		
se	se		
toma	toma		
cosa	cosa		
que	que		
bale	vale		
la	la		
pena	pena		
	.		
y	Y		
assi	así		
no	no		
se	se		
puede	puede		
conplir	cumplir		
esta	esta		
memoria	memoria		
del	del		
regaliz	regaliz		
por	por		
aber	haber		
dado	dado		
con	con		
ello	ello		
8	8		
meses	meses		
a	a		
ju	Juan		
barron	Barrón		
	,		
como	como		
digo	digo		
	,		
e	y		
porque	porque		
	,		
de	de		
presente	presente		
	,		
yo	yo		
no	no		
quiero	quiero		
entrar	entrar		
en	en		
cosa	cosa		
de	de		
alla	allá		
porque	porque		
no	no		
beo	veo		
ay	hay		
ganançia	ganancia		
nenguna	ninguna		
mientras	mientras		
el	el		
dinero	dinero		
biene	viene		
de	de		
alli	allí		
aca	acá		
a	a		
360	360		
e	y		
a	a		
370	370		
	;		
pero	pero		
	,		
pareçiendome	pareciéndome		
q	que		
vm	VM		
quiere	quiere		
se	se		
cunpla	cumpla		
esta	esta		
memoria	memoria		
	,		
la	la		
cunplire	cumpliré		
	.		
y	Y		
los	los		
mateles	manteles		
	,		
bocaranes	bocaranes		
e	e		
yleras	hileras		
serbira	servirá		
de	de		
lo	lo		
que	que		
es	es		
a	a		
tiempo	tiempo		
a	a		
benir	venir		
e	y		
lo	lo		
q	que		
pagare	pagaré		
de	de		
qto	cuanto		
tomare	tomare		
sobre	sobre		
vm	VM		
pa	para		
fera	feria		
de	de		
billalon	Villalón		
	,		
que	que		
creo	creo		
lo	lo		
allare	hallaré		
a	a		
canbio	cambio		
aunque	aunque		
se	se		
alla	halla		
con	con		
arto	harto		
trabajo	trabajo		
	.		
e	Y		
no	no		
quisiendo	quisiendo		
vm	VM		
la	la		
mercaderia	mercadería		
	,		
la	la		
dexara	dejará		
pa	para		
mi	mí		
	,		
porque	porque		
en	en		
ello	ello		
no	no		
se	se		
abenturara	aventurará		
a	a		
perder	perder		
nada	nada		
	.		
pa	Para		
pagar	pagar		
los	los		
fletes	fletes		
e	he		
abido	habido		
menester	menester		
de	de		
buscar	buscar		
el	el		
dinero	dinero		
	.		
y	Y		
	,		
en	en		
berdad	verdad		
	,		
que	que		
en	en		
otro	otro		
tienpo	tiempo		
era	era		
menos	menos		
buscar	buscar		
1M	1000		
l	libras		
que	que		
agora	ahora		
100	100		
l	libras		
	.		
e	Y		
assi	así		
en	en		
cosa	cosa		
de	de		
alla	allá		
no	no		
ay	hay		
que	que		
entrar	entrar		
honbre	hombre		
	,		
si	si		
no	no		
es	es		
biendo	viendo		
la	la		
ganançia	ganancia		
clara	clara		
.	.		
çafran	Azafrán		
seco	seco		
de	de		
aragon	Aragón		
bale	vale		
aqui	aquí		
15	15		
s	sueldos		
a	a		
3	3		
meses	meses		
de	de		
tienpo	tiempo		
y	y		
lo	lo		
graso	graso		
de	de		
castilla	Castilla		
12	12		
s	sueldos		
tanbien	también		
	.		
creo	Creo		
no	no		
ay	hay		
que	qué		
ganar	ganar		
en	en		
ello	ello		
	,		
y	y		
todabia	todavía		
le	le		
suplico	suplico		
me	me		
abise	avise		
lo	lo		
que	que		
bale	vale		
	.		
las	Las		
grasas	grasas		
q	que		
enbio	envió		
jacobe	Jacobe		
de	de		
ugaz	Ugaz		
no	no		
eran	eran		
suyas	suyas		
ni	ni		
las	las		
cargo	cargó		
el	él		
	,		
sino	sino		
martin	Martín		
de	de		
ole	Ollacarizqueta		
	.		
y	Y		
el	él		
lo	lo		
erro	erró		
pensando	pensando		
nos	nos		
hazer	hacer		
probecho	provecho		
	,		
que	que		
penso	pensó		
cupiera	cupiera		
todo	todo		
el	el		
regaliz	regaliz		
ademas	además		
de	de		
las	las		
grasas	grasas		
.	.		
las	Las		
quoarenta	cuarenta		
y	y		
çinco	cinco		
cargas	cargas		
	,		
si	si		
alla	allá		
ubiere	hubiere		
nabio	navío		
pa	para		
roan	Ruan		
	,		
las	las		
podra	podrá		
vm	VM		
cargar	cargar		
pa	para		
roan	Ruan		
consinados	consignados		
a	a		
robert	Robert		
duret	Duret		
	,		
porq	porque		
las	las		
86	86		
s	sacas		
no	no		
se	se		
cargaron	cargaron		
pa	para		
alla	allá		
por	por		
no	no		
aber	haber		
en	en		
ramua	Ramua		
nabio	navío		
que	que		
fuese	fuese		
y	y		
las	las		
enbiaron	enviaron		
a	a		
esta	esta		
billa	villa		
	.		
e	Y		
assi	así		
lo	lo		
e	he		
entregado	entregado		
al	al		
meso	mismo		
ju	Juan		
barron	Barrón		
al	al		
mesmo	mismo		
presçio	precio		
y	y		
tiempo	tiempo		
	,		
que	que		
tanbien	también		
a	ha		
benido	venido		
mal	mal		
tratado	tratado		
	.		
con	Con		
lo	lo		
dicho	dicho		
no	no		
ay	hay		
otro	otro		
que	que		
dezir	decir		
por	por		
el	el		
presente	presente		
	.		
nro	Nuestro		
sor	Señor		
guoarde	guarde		
y	y		
prospere	prospere		
bida	vida		
y	y		
estado	estado		
de	de		
vm	VM		
como	como		
desea	desea		
.	.		
a	A		
serbiçio	servicio		
de	de		
vm	VM		
	,		
Miguel	Miguel		
de	de		
Gamez	Gámez		
