Mi	Mi	DP1CSS	mi
sospecha	sospecha	NCFS000	sospecha
no	no	RN	no
a	ha	VAIP3S0	haber
probechado	aprovechado	VMP0000	aprovechar
nada	nada	PI0NN00N	nada
	,	Fc	,
porque	porque	CS	porque
diçen	dicen	VMIP3P0	decir
que	que	CS	que
les	les	PP3CPD00	le
a	ha	VAIP3S0	haber
respondido	respondido	VMP0000	responder
muy	muy	RQ	muy
secamente	secamente	RG	secamente
	;	Fx	;
que	que	CS	que
si	si	CS	si
	,	Fc	,
conform	conforme	RG	conforme
abian	habían	VAII3P0	haber
tratado	tratado	VMP0000	tratar
con	con	SPS00	con
vm	VM	NP00000	VM
en	en	SPS00	en
çaragoça	Zaragoza	NP00000	zaragoza
	,	Fp	,
querian	querían	VMII3P0	querer
que	que	CS	que
le	le	PP3CSD00	le
staba	estaba	VMII0S0	estar
bien	bien	RG	bien
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
no	No	RN	no
se	se	P00CN000	se
ofreçe	ofrece	VMIP3S0	ofrecer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
que	que	CS	que
yo	yo	PP1CSN00	yo
aga	haga	VMSP0S0	hacer
saber	saber	VMN0000	saber
a	a	SPS00	a
vm	VM	NP00000	VM
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
	.	Fp	.
nuestro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
guarde	guarde	VMSP0S0	guardar
la	la	DA0FS0	el
muy	muy	RQ	muy
Ille	ilustre	AQ0CS0	ilustre
persona	persona	NCFS000	persona
de	de	SPS00	de
vm	VM	NP00000	VM
como	como	CS	como
este	este	DD0MS0	este
su	su	DP3CS0	su
criado	criado	NCMS000	criado
lo	lo	PP3CNA00	lo
desea	desea	VMIP3S0	desear
	.	Fp	.
de	De	SPS00	de
fraga	Fraga	NP00000	fraga
	,	Fc	,
a	a	SPS00	a
25	25	Z	25
de	de	SPS00	de
setiembre	septiembre	NCMS000	septiembre
1589	1589	Z	1589
	.	Fp	.
su	Su	DP3CS0	su
criado	criado	NCMS000	criado
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
adria	Adrián	NP00000	adrián
de	de	SPS00	de
la	la	DA0FS0	el
fuente	Fuente	NP00000	fuente
suplico	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
q	que	CS	que
a	a	SPS00	a
l	la	DA0FS0	el
abadia	abadía	NCFS000	abadía
no	no	RN	no
se	se	P00CN000	se
olbide	olvide	VMSP0S0	olvidar
	.	Fp	.
