Rmo	Reverendísimo	AQSMS0	reverendo
yo	Yo	PP1CSN00	yo
por	por	SPS00	por
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
le	le	PP3CSD00	le
haga	haga	VMSP0S0	hacer
mucha	mucha	DI0FS0	mucho
md	merced	NCFS000	merced
	,	Fc	,
porque	porque	CS	porque
lo	lo	PP3CNA00	lo
merece	merece	VMIP3S0	merecer
por	por	SPS00	por
su	su	DP3CS0	su
buena	buena	AQ0FS0	bueno
vida	vida	NCFS000	vida
y	y	CC	y
Exenplo	ejemplo	NCMS000	ejemplo
y	y	CC	y
buenas	buenas	AQ0FP0	bueno
artes	artes	NCCP000	arte
que	que	PR0CN000	que
dios	Dios	NP00000	dios
le	le	PP3CSD00	le
dio	dio	VMIS3S0	dar
.	.	Fp	.
Respeto	Respecto	NCMS000	respeto
de	de	SPS00	de
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
	,	Fc	,
todos	todos	DI0MP0	todo
serviremos	serviremos	VMIF1P0	servir
a	a	SPS00	a
esta	esta	DD0FS0	este
santa	santa	AQ0FS0	santo
casa	casa	NCFS000	casa
en	en	SPS00	en
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
nras	nuestras	DP1FPP	nuestro
fuerças	fuerzas	NCFP000	fuerza
alcançaren	alcanzaren	VMSF3P0	alcanzar
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
su	su	DP3CS0	su
buen	buen	AQ0MS0	bueno
Entendimiento	entendimiento	NCMS000	entendimiento
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
Regule	regule	SPS00	regule
que	que	CS	que
en	en	SPS00	en
poblaçones	poblaciones	NCFP000	población
nuebas	nuevas	AQ0FP0	nuevo
es	es	VSIP3S0	ser
fruta	fruta	NCFS000	fruta
ordinaria	ordinaria	NCFS000	ordinaria
tratear	tratar	VMN0000	tratar
en	en	SPS00	en
la	la	DA0FS0	el
plaça	plaza	NCFS000	plaza
sin	sin	SPS00	sin
consideracion	consideración	NCFS000	consideración
las	las	DA0FP0	el
honRas	honras	NCFP000	honra
de	de	SPS00	de
los	los	DA0MP0	el
Religiosos	religiosos	AQ0MP0	religioso
y	y	CC	y
de	de	SPS00	de
los	los	DA0MP0	el
capitanes	capitanes	NCMP000	capitán
	,	Fc	,
que	que	CS	que
dios	Dios	NP00000	dios
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
perdone	perdone	VMSP0S0	perdonar
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
me	me	PP1CS000	me
de	dé	VMSP0S0	dar
su	su	DP3CS0	su
gra	gracia	NCFS000	gracia
para	para	SPS00	para
que	que	CS	que
de	de	SPS00	de
aqui	aquí	RG	aquí
adelante	adelante	RG	adelante
no	no	RN	no
parta	parta	VMSP0S0	partir
tan	tan	RC	tan
Repentinamente	repentinamente	RG	repentinamente
ni	ni	CC	ni
me	me	PP1CS000	me
crea	crea	VMSP0S0	creer
tan	tan	RC	tan
de	de	SPS00	de
ligero	ligero	AQ0MS0	ligero
	,	Fc	,
que	que	CS	que
a	a	SPS00	a
fe	fe	NCFS000	fe
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
cuesta	cuesta	VMIP3S0	costar
menos	menos	RC	menos
que	que	CS	que
quedar	quedar	VMN0000	quedar
destruido	destruido	VMP00SM	destruir
y	y	CC	y
perdido	perdido	VMP00SM	perder
.	.	Fp	.
sienpre	Siempre	RG	siempre
	,	Fc	,
como	como	CS	como
a	a	SPS00	a
tan	tan	RC	tan
servidor	servidor	NCMS000	servidor
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
	,	Fc	,
me	me	PP1CS000	me
ocupe	ocupe	VMSP0S0	ocupar
en	en	SPS00	en
su	su	DP3CS0	su
servicio	servicio	NCMS000	servicio
.	,	Fc	,
cuya	cuya	PU0FS000	cuyo
Rma	reverendísima	AQSFS0	reverendo
persona	persona	NCFS000	persona
guarde	guarde	VMSP0S0	guardar
nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
y	y	CC	y
acreciente	acreciente	VMSP0S0	acrecentar
en	en	SPS00	en
mayor	mayor	AQ0CS0	mayor
dignidad	dignidad	NCFS000	dignidad
como	como	CS	como
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
merece	merece	VMIP3S0	merecer
y	y	CC	y
yo	yo	PP1CSN00	yo
	,	Fc	,
su	su	DP3CS0	su
servidor	servidor	NCMS000	servidor
	,	Fc	,
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
san	San	NP00000	san
lucas	Lucas	NP00000	lucas
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
julio	julio	NCMS000	julio
14	14	Z	14
de	de	SPS00	de
86	86	Z	86
.	.	Fp	.
Rmo	Reverendísimo	AQSMS0	reverendo
señor	señor	NP00000	señor
	,	Fc	,
besa	besa	VMIP3S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
Rma	reverendísima	AQSFS0	reverendo
su	su	DP3CS0	su
mas	más	RC	más
servidor	servidor	NCMS000	servidor
	,	Fc	,
Ju	Juan	NP00000	juan
ladron	Ladrón	NCMS000	ladrón
de	de	SPS00	de
leyba	Leyva	NP00000	leyva
los	Los	DA0MP0	el
dias	días	NCMP000	día
pasados	pasados	VMP00PM	pasar
escribi	escribí	VMIS1S0	escribir
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
con	con	SPS00	con
un	un	DI0MS0	uno
domingo	Domingo	NP00000	domingo
ferz	Fernández	NP00000	fernández
acerca	acerca	RG	acerca
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
le	le	PP3CSD00	le
devia	debía	VMII0S0	deber
a	a	SPS00	a
el	él	PP3MS000	él
y	y	CC	y
a	a	SPS00	a
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
demas	demás	NCMS000	demás
del	del	SPS00+DA0MS0	de+el
pueblo	pueblo	NCMS000	pueblo
	.	Fp	.
todos	Todos	PI0MP000	todo
estan	están	VMIP3P0	estar
pagados	pagados	VMP00PM	pagar
y	y	CC	y
muy	muy	RQ	muy
contentos	contentos	AQ0MP0	contento
y	y	CC	y
servidores	servidores	NCMP000	servidor
y	y	CC	y
amigos	amigos	NCMP000	amigo
del	del	SPS00+DA0MS0	de+el
pe	padre	NCMS000	padre
comor	comendador	NCMS000	comendador
	,	Fc	,
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
lleva	lleva	VMIP3S0	llevar
Recaudo	recaudo	NCMS000	recaudo
.	.	Fp	.
