ya	Ya	RG	ya
os	Os	PP2CP000	os
dexais	dejáis	VMIP2P0	dejar
a	a	SPS00	a
dezir	decir	VMN0000	decir
que	que	CS	que
estais	estáis	VMIP2P0	estar
en	en	SPS00	en
una	una	DI0FS0	uno
tiera	tierra	NCFS000	tierra
tan	tan	RC	tan
mala	mala	AQ0FS0	malo
que	que	CS	que
dios	Dios	NP00000	dios
os	os	PP2CP000	os
libre	libre	VMSP0S0	librar
de	de	SPS00	de
ella	ella	PP3FS000	él
	;	Fx	;
no	no	RN	no
mereçeis	merecéis	VMIP2P0	merecer
estar	estar	VMN0000	estar
bos	vos	PP2CS000	vos
en	en	SPS00	en
ella	ella	PP3FS000	él
	,	Fc	,
sino	sino	CC	sino
en	en	SPS00	en
infierno	infierno	NCMS000	infierno
	,	Fc	,
que	que	CS	que
otros	otros	PI0MP000	otro
que	que	PR0CN000	que
balen	valen	VMIP3P0	valer
mas	más	RC	más
que	que	CS	que
no	no	RN	no
bos	vos	PP2CS000	vos
	.	Fp	.
sois	Sois	VSIP2P0	ser
parte	parte	NCFS000	parte
que	que	PR0CN000	que
podreçen	podrecen	VMIP3P0	podrecer
tiera	tierra	NCFS000	tierra
	,	Fc	,
que	que	CS	que
nunca	nunca	RN	nunca
ycieron	hicieron	VMIS3P0	hacer
ni	ni	CC	ni
izo	hizo	VMIS3S0	hacer
mal	mal	RG	mal
sino	sino	CC	sino
por	por	SPS00	por
sobornacion	sobornación	NCFS000	sobornación
de	de	SPS00	de
bos	vos	PP2CS000	vos
y	y	CC	y
otros	otros	DI0MP0	otro
sobornadores	sobornadores	NCMP000	sobornador
que	que	CS	que
por	por	SPS00	por
Consejo	consejo	NCMS000	consejo
Vro	vuestro	DP2MSP	vuestro
lo	lo	PP3CNA00	lo
azian	hacían	VMII3P0	hacer
	.	Fp	.
y	Y	CC	y
no	no	RN	no
quiero	quiero	VMIP1S0	querer
ser	ser	VSN0000	ser
mas	más	RC	más
largo	largo	RG	largo
	.	Fp	.
guardatla	Guardadla	NP00000	guardadla
bien	bien	RG	bien
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
y	y	CC	y
pedit	pedid	VMM02P0	pedir
justiçia	justicia	NCFS000	justicia
co	con	SPS00	con
ella	ella	PP3FS000	él
si	si	CS	si
pretendeis	pretendéis	VMIP2P0	pretender
que	que	CS	que
os	os	PP2CP000	os
he	he	VAIP1S0	haber
agrabiado	agraviado	VMP0000	agraviar
	.	Fp	.
oi	Hoy	RG	hoy
a	a	SPS00	a
20	20	Z	20
de	de	SPS00	de
janero	enero	NCMS000	enero
del	del	SPS00+DA0MS0	de+el
año	año	NCMS000	año
1595	1595	Z	1595
años	años	NCMP000	año
	.	Fp	.
este	Éste	PD0MS000	este
os	os	PP2CP000	os
sea	sea	VSSP0S0	ser
abiso	aviso	NCMS000	aviso
de	de	SPS00	de
quien	quien	PR0CS000	quien
Con	con	SPS00	con
bos	vos	PP2CS000	vos
se	se	P00CN000	se
desea	desea	VMIP3S0	desear
ber	ver	VMN0000	ver
delante	delante	RG	delante
los	los	DA0MP0	el
juezes	jueces	NCMP000	juez
y	y	CC	y
honbres	hombres	NCMP000	hombre
de	de	SPS00	de
bien	bien	NCMS000	bien
	.	Fp	.
y	Y	CC	y
porque	porque	CS	porque
entendais	entendáis	VMSP2P0	entender
que	que	CS	que
quiero	quiero	VMIP1S0	querer
mas	más	RC	más
la	la	DA0FS0	el
onra	honra	NCFS000	honra
que	que	CS	que
la	la	DA0FS0	el
acienda	hacienda	NCFS000	hacienda
	,	Fc	,
q	que	CS	que
quiero	quiero	VMIP1S0	querer
ser	ser	VSN0000	ser
mas	más	RC	más
muerto	muerto	VMP00SM	morir
que	que	CS	que
bibir	vivir	VMN0000	vivir
dessonrado	deshonrado	VMP00SM	deshonrar
	.	Fp	.
y	Y	CC	y
se	sé	VMIP1S0	saber
que	que	CS	que
me	me	PP1CS000	me
hareis	haréis	VMIF2P0	hacer
mercet	merced	NCFS000	merced
