ille	Ilustre	AQ0CS0	ilustre
deseo	deseo	VMIP1S0	desear
dar	dar	VMN0000	dar
porq	porque	CS	porque
no	no	RN	no
biba	viva	VMSP0S0	vivir
engañado	engañado	VMP00SM	engañar
a	a	SPS00	a
lo	lo	DA0NS0	el
q	que	PR0CN000	que
creo	creo	VMIP1S0	creer
	.	Fp	.
despues	Después	RG	después
q	que	CS	que
vm	VM	NP00000	VM
se	se	P00CN000	se
fue	fue	VMIS3S0	ir
	,	Fc	,
dende	desde	SPS00	desde
a	ha	VMIP3S0	haber
dos	dos	Z	2
o	o	CC	o
tres	tres	Z	3
dias	días	NCMP000	día
taloveria	Taloveria	NP00000	taloveria
fue	fue	VSIS3S0	ser
preso	preso	AQ0MS0	preso
	;	Fx	;
dizen	dicen	VMIP3P0	decir
q	que	CS	que
por	por	SPS00	por
un	un	DI0MS0	uno
motin	motín	NCMS000	motín
q	que	PR0CN000	que
se	se	P00CN000	se
hazia	hacía	VMII0S0	hacer
	.	Fp	.
y	Y	CC	y
luego	luego	RG	luego
tras	tras	SPS00	tras
el	él	PP3MS000	él
prendieron	prendieron	VMIS3P0	prender
a	a	SPS00	a
avendaño	Avendaño	NP00000	avendaño
y	y	CC	y
a	a	SPS00	a
don	don	NP00000	don
geronymo	Gerónimo	NP00000	gerónimo
y	y	CC	y
a	a	SPS00	a
damyan	Damián	NP00000	damián
de	de	SPS00	de
la	la	DA0FS0	el
bandera	Bandera	NP00000	bandera
y	y	CC	y
a	a	SPS00	a
bolonya	Boloña	NP00000	bolon
	,	Fc	,
y	y	CC	y
enbiaron	enviaron	VMIS3P0	enviar
por	por	SPS00	por
Ribas	Rivas	NP00000	rivas
y	y	CC	y
qbedo	Quevedo	NP00000	quevedo
la	la	DA0FS0	el
causa	causa	NCFS000	causa
	.	Fp	.
yo	Yo	PP1CSN00	yo
soy	soy	VSIP1S0	ser
fiscal	fiscal	NCMS000	fiscal
de	de	SPS00	de
su	Su	DP3CS0	su
mag	Majestad	NP00000	majestad
	,	Fc	,
pero	pero	CC	pero
hasta	hasta	SPS00	hasta
oy	hoy	RG	hoy
no	no	RN	no
la	la	PP3FSA00	lo
he	he	VAIP1S0	haber
sabido	sabido	VMP0000	saber
	.	Fp	.
y	Y	CC	y
	,	Fc	,
aunq	aunque	CS	aunque
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
tormentos	tormentos	NCMP000	tormento
a	a	SPS00	a
algunos	algunos	PI0MS000	alguno
	,	Fc	,
se	sé	VMIP1S0	saber
menos	menos	RC	menos
q	que	CS	que
antes	antes	RG	antes
q	que	CS	que
los	los	PP3MPA00	lo
prendiesen	prendiesen	VMSI3P0	prender
	.	Fp	.
debe	Debe	VMIP3S0	deber
ser	ser	VSN0000	ser
este	este	DD0MS0	este
motin	motín	NCMS000	motín
o	o	CC	o
alçamyento	alzamiento	NCMS000	alzamiento
en	en	SPS00	en
confusion	confusión	NCFS000	confusión
	,	Fc	,
pues	pues	CS	pues
el	el	DA0MS0	el
fiscal	fiscal	NCMS000	fiscal
no	no	RN	no
lo	lo	PP3CNA00	lo
sabe	sabe	VMIP3S0	saber
ny	ni	CC	ni
se	se	P00CN000	se
le	le	PP3CSD00	le
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
traslado	traslado	NCMS000	traslado
de	de	SPS00	de
cossa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
ny	ni	CC	ni
abra	habrá	VMIF3S0	haber
nyngun	ningún	DI0MS0	ninguno
oydor	oidor	NCMS000	oidor
	,	Fc	,
porq	porque	CS	porque
Estos	estos	DD0MP0	este
negoçios	negocios	NCMP000	negocio
creo	creo	VMIP1S0	creer
q	que	CS	que
los	los	PP3MPA00	lo
traen	traen	VMIP3P0	traer
estos	estos	DD0MP0	este
ss	señores	NCMP000	señor
comysarios	comisarios	NCMP000	comisario
y	y	CC	y
y	y	CC	y
pareçe	parece	VMIP3S0	parecer
	,	Fc	,
pues	pues	CS	pues
toman	toman	VMIP3P0	tomar
las	las	DA0FP0	el
causas	causas	NCFP000	causa
crimynales	ciminales	AQ0CP0	ciminal
y	y	CC	y
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
gobierno	gobierno	NCMS000	gobierno
y	y	CC	y
los	los	DA0MP0	el
pleitos	pleitos	NCMP000	pleito
çiviles	civiles	NCMP000	civil
	.	Fp	.
su	Su	DP3CS0	su
mag	Majestad	NP00000	majestad
no	no	RN	no
gastara	gastará	VMIF3S0	gastar
su	su	DP3CS0	su
hazyenda	hacienda	NCFS000	hacienda
en	en	SPS00	en
el	el	DA0MS0	el
abdiençia	audiencia	NCFS000	audiencia
y	y	CC	y
Escussarlaya	excusarlaía	NCFS000	excusarlaía
	,	Fc	,
y	y	CC	y
aunq	aunque	CS	aunque
creo	creo	VMIP1S0	creer
q	que	CS	que
todos	todos	PI0MS000	todo
lo	lo	DA0NS0	el
consintieramos	consintiéramos	VMSI1P0	consentir
	,	Fc	,
segun	según	SPS00	según
nos	nos	PP1CP000	nos
tratan	tratan	VMIP3P0	tratar
mal	mal	RG	mal
y	y	CC	y
el	el	DA0MS0	el
poco	poco	DI0MS0	poco
casso	caso	NCMS000	caso
q	que	PR0CN000	que
se	se	P00CN000	se
haze	hace	VMIP3S0	hacer
de	de	SPS00	de
nosotros	nosotros	PP1MP000	nosotros
.	.	Fp	.
En	En	SPS00	en
El	el	DA0MS0	el
Cuzco	Cuzco	NP00000	cuzco
yo	yo	PP1CSN00	yo
no	no	RN	no
se	sé	VMIP1S0	saber
q	qué	PT0CN000	qué
a	ha	VAIP3S0	haber
avido	habido	VMP0000	haber
	,	Fc	,
sino	sino	CC	sino
q	que	CS	que
los	los	DA0MP0	el
q	que	PR0CN000	que
aqui	aquí	RG	aquí
Estan	están	VMIP3P0	estar
de	de	SPS00	de
alla	allá	RG	allá
dieron	dieron	VMIS3P0	dar
una	una	Z	1
pension	pensión	NCFS000	pensión
y	y	CC	y
probeyeron	proveyeron	VMIS3P0	proveer
los	los	DA0MP0	el
comyssarios	comisarios	NCMP000	comisario
al	al	SPS00+DA0MS0	a+el
doctor	doctor	NP00000	doctor
cuenca	Cuenca	NP00000	cuenca
por	por	SPS00	por
pesquissidor	pesquisidor	NCMS000	pesquisidor
con	con	SPS00	con
diez	diez	Z	10
y	y	CC	y
seis	seis	Z	6
pesos	pesos	NCMP000	peso
ensayados	ensayados	NCMP000	ensayado
de	de	SPS00	de
salario	salario	NCMS000	salario
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
y	y	CC	y
q	que	CS	que
tomase	tomase	VMSI0S0	tomar
la	la	DA0FS0	el
vara	vara	NCFS000	vara
a	a	SPS00	a
po	Pedro	NP00000	pedro
pacheco	Pacheco	NP00000	pacheco
	.	Fp	.
no	No	RN	no
a	ha	VAIP3S0	haber
benydo	venido	VMP0000	venir
informasion	información	NCFS000	información
	.	Fp	.
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
dize	dice	VMIP3S0	decir
es	es	VSIP3S0	ser
q	que	CS	que
çiertos	ciertos	AQ0MP0	cierto
soldados	soldados	NCMP000	soldado
dieron	dieron	VMIS3P0	dar
un	un	DI0MS0	uno
poder	poder	NCMS000	poder
para	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
vinyese	viniese	VMSI0S0	venir
a	a	SPS00	a
Esta	esta	DD0FS0	este
corte	corte	NCFS000	corte
a	a	SPS00	a
suplica	súplica	NCFS000	súplica
no	no	RN	no
se	se	P00CN000	se
concediese	concediese	VMSI0S0	conceder
la	la	DA0FS0	el
perpetuidad	perpetuidad	NCFS000	perpetuidad
	,	Fc	,
porq	porque	CS	porque
los	los	DA0MP0	el
yndios	indios	NP00000	indio
la	la	PP3FSA00	lo
quieren	quieren	VMIP3P0	querer
tomar	tomar	VMN0000	tomar
	.	Fp	.
tan	Tan	RC	tan
poco	poco	RQ	poco
se	sé	VMIP1S0	saber
d	de	SPS00	de
esto	esto	PD0NN000	esto
como	como	CS	como
del	del	SPS00+DA0MS0	de+el
motin	motín	NCMS000	motín
	.	Fp	.
todo	Todo	PI0MS000	todo
se	se	P00CN000	se
haze	hace	VMIP3S0	hacer
en	en	SPS00	en
confusion	confusión	NCFS000	confusión
	.	Fp	.
y	Y	CC	y
los	los	DA0MP0	el
oydores	oidores	NCMP000	oidor
callan	callan	VMIP3P0	callar
porq	porque	CS	porque
	,	Fc	,
despues	después	RG	después
q	que	CS	que
dixeron	dijeron	VMIS3P0	decir
q	que	CS	que
los	los	PP3MPA00	lo
avian	habían	VMII3P0	haber
de	de	SPS00	de
enbarcar	embarcar	VMN0000	embarcar
	,	Fc	,
como	como	CS	como
son	son	VSIP3P0	ser
tan	tan	RC	tan
medrosos	medrosos	NCMP000	medroso
de	de	SPS00	de
la	la	DA0FS0	el
mar	mar	NCMS000	mar
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
benyda	venida	NCFS000	venida
pasaron	pasaron	VMIS3P0	pasar
tantos	tantos	DI0MP0	tanto
trabajos	trabajos	NCMP000	trabajo
	,	Fc	,
determynan	determinan	VMIP3P0	determinar
de	de	SPS00	de
callar	callar	VMN0000	callar
y	y	CC	y
dexallos	dejarlos	VMN0000+PP3MPA00	dejar+lo
hazer	hacer	VMN0000	hacer
	.	Fp	.
y	Y	CC	y
El	el	DA0MS0	el
mal	mal	NCMS000	mal
Es	es	VSIP3S0	ser
q	que	CS	que
	,	Fc	,
aunq	aunque	CS	aunque
los	los	DA0MP0	el
dexamos	dejamos	VMIP1P0	dejar
hazer	hacer	VMN0000	hacer
	,	Fc	,
no	no	RN	no
nos	nos	PP1CP000	nos
dexan	dejan	VMIP3P0	dejar
hablar	hablar	VMN0000	hablar
	.	Fp	.
y	Y	CC	y
despues	después	RG	después
q	que	CS	que
se	se	P00CN000	se
dieron	dieron	VMIS3P0	dar
Estos	estos	DD0MP0	este
tormentos	tormentos	NCMP000	tormento
se	se	P00CN000	se
habla	habla	VMIP3S0	hablar
muy	muy	RQ	muy
poco	poco	RQ	poco
	,	Fc	,
porq	porque	CS	porque
yo	yo	PP1CSN00	yo
no	no	RN	no
entiendo	entiendo	VMIP1S0	entender
otra	otra	DI0FS0	otro
causa	causa	NCFS000	causa
q	que	PR0CN000	que
aya	haya	VMSP0S0	haber
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
y	y	CC	y
de	de	SPS00	de
las	las	DA0FP0	el
prisiones	prisiones	NCFP000	prisión
sino	sino	CC	sino
aver	haber	VAN0000	haber
hablado	hablado	VMP0000	hablar
algunos	algunos	PI0MS000	alguno
	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
my	mí	PP1CSO00	mí
tengo	tengo	VMIP1S0	tener
q	que	CS	que
El	el	DA0MS0	el
mal	mal	NCMS000	mal
de	de	SPS00	de
avendaño	Avendaño	NP00000	avendaño
le	le	PP3CSD00	le
causo	causó	VMIS3S0	causar
vm	VM	NP00000	VM
por	por	SPS00	por
el	el	DA0MS0	el
mastrescuela	maestrescuela	NCFS000	maestrescuela
de	de	SPS00	de
las	Las	DA0FP0	el
charcas	Charcas	NCFP000	charcas
	.	Fp	.
ya	Ya	RG	ya
todo	todo	PI0MS000	todo
es	es	VSIP3S0	ser
callar	callar	VMN0000	callar
y	y	CC	y
Escrebir	escribir	VMN0000	escribir
.	.	Fp	.
El	El	DA0MS0	el
pobre	pobre	AQ0CS0	pobre
de	de	SPS00	de
Ribas	Rivas	NP00000	rivas
lo	lo	PP3CNA00	lo
pago	pagó	VMIS3S0	pagar
por	por	SPS00	por
todos	todos	PI0MP000	todo
q	que	CS	que
	,	Fc	,
segun	según	SPS00	según
dizen	dicen	VMIP3P0	decir
	,	Fc	,
Esta	está	VMIP3S0	estar
muy	muy	RQ	muy
al	al	SPS00+DA0MS0	a+el
cabo	cabo	NCMS000	cabo
y	y	CC	y
Sin	sin	SPS00	sin
culpa	culpa	NCFS000	culpa
alguna	alguna	DI0FS0	alguno
	.	Fp	.
algo	Algo	PI0MS000	algo
le	le	PP3CSD00	le
avia	había	VMII0S0	haber
de	de	SPS00	de
desaprovechar	desaprovechar	VMN0000	desaprovechar
la	la	DA0FS0	el
amystad	amistad	NCFS000	amistad
del	del	SPS00+DA0MS0	de+el
secretario	secretario	NP00000	secretario
pedro	Pedro	NP00000	pedro
de	de	SPS00	de
avendaño	Avendaño	NP00000	avendaño
	;	Fx	;
y	y	CC	y
no	no	RN	no
fue	fue	VSIS3S0	ser
algo	algo	PI0CS000	algo
	,	Fc	,
sino	sino	CC	sino
mucho	mucho	RQ	mucho
	,	Fc	,
porq	porque	CS	porque
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
cierto	cierto	AQ0MS0	cierto
q	que	CS	que
por	por	SPS00	por
Ella	ella	PP3FS000	él
fenesceran	fenecerán	VMIF3P0	fenecer
sus	sus	DP3CP0	su
trabajos	trabajos	NCMP000	trabajo
y	y	CC	y
libra	libra	NCFS000	libra
bien	bien	RG	bien
porq	porque	CS	porque
cierto	cierto	RG	cierto
Considerando	considerando	VMG0000	considerar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pasa	pasa	VMIP3S0	pasar
	.	Fp	.
laudavi	Laudavi	NP00000	laudavi
magis	magis	NP00000	magi
mortuos	mortuos	NP00000	mortuo
quan	quam	NP00000	quam
viventis	viventes	NP00000	viventes
	.	Fp	.
ya	Ya	RG	ya
pareçe	parece	VMIP3S0	parecer
q	que	CS	que
se	se	P00CN000	se
aclara	aclara	VMIP3S0	aclarar
ser	ser	VSN0000	ser
burla	burla	NCFS000	burla
El	el	DA0MS0	el
motin	motín	NCMS000	motín
	,	Fc	,
porq	porque	CS	porque
a	a	SPS00	a
los	los	DA0MP0	el
presos	presos	NCMP000	preso
an	han	VAIP3P0	haber
quytado	quitado	VMP0000	quitar
las	las	DA0FP0	el
prissiones	prisiones	NCFP000	prisión
y	y	CC	y
hablan	hablan	VMIP3P0	hablar
con	con	SPS00	con
todos	todos	PI0MP000	todo
	.	Fp	.
dios	Dios	NP00000	dios
perdone	perdone	VMSP0S0	perdonar
la	la	DA0FS0	el
mala	mala	AQ0FS0	malo
yntincion	intención	NCFS000	intención
q	que	CS	que
en	en	SPS00	en
Esto	esto	PD0NN000	esto
a	ha	VAIP3S0	haber
avido	habido	VMP0000	haber
	,	Fc	,
q	que	CS	que
no	no	RN	no
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
poca	poca	DI0FS0	poco
:	.	Fp	.
ay	Hay	VMIP3S0	haber
tanto	tanto	RC	tanto
q	que	CS	que
Escrebir	escribir	VMN0000	escribir
q	que	CS	que
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
puede	puede	VMIP3S0	poder
tener	tener	VMN0000	tener
fin	fin	NCMS000	fin
	,	Fc	,
no	no	RN	no
lo	lo	PP3CNA00	lo
enpieço	empiezo	VMIP1S0	empezar
:	;	Fx	;
y	y	CC	y
lo	lo	PP3CNA00	lo
dexo	dejo	VMIP1S0	dejar
para	para	SPS00	para
otros	otros	PI0MP000	otro
q	que	PR0CN000	que
estaran	estarán	VMIF3P0	estar
mas	más	RC	más
desocupados	desocupados	NCMP000	desocupado
q	que	CS	que
no	no	RN	no
yo	yo	PP1CSN00	yo
	.	Fp	.
q	Que	CS	que
	,	Fc	,
aunq	aunque	CS	aunque
no	no	RN	no
tuviese	tuviese	VMSI0S0	tener
otro	otro	DI0MS0	otro
pleito	pleito	NCMS000	pleito
sino	sino	CC	sino
el	el	DA0MS0	el
de	de	SPS00	de
lucas	Lucas	NP00000	lucas
mynez	Martínez	NP00000	martínez
	,	Fc	,
segun	según	SPS00	según
el	el	DA0MS0	el
calor	calor	NCMS000	calor
y	y	CC	y
savor	sabor	NCMS000	sabor
q	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
q	que	CS	que
tengo	tengo	VMIP1S0	tener
neçessidad	necesidad	NCFS000	necesidad
	,	Fc	,
aunq	aunque	CS	aunque
me	me	PP1CS000	me
sobra	sobra	VMIP3S0	sobrar
Justa	justicia	NCFS000	justicia
de	de	SPS00	de
no	no	RN	no
dormyr	dormir	VMN0000	dormir
de	de	SPS00	de
noche	noche	NCFS000	noche
para	para	SPS00	para
defender	defender	VMN0000	defender
a	a	SPS00	a
my	mi	DP1CSS	mi
amo	amo	NCMS000	amo
por	por	SPS00	por
iiiiM	4000	Z	4000
castellanos	castellanos	NCMP000	castellano
o	o	CC	o
ducados	ducados	NCMP000	ducado
	,	Fc	,
y	y	CC	y
Estoy	estoy	VMIP1S0	estar
bien	bien	RG	bien
ocupado	ocupado	VMP00SM	ocupar
	.	Fp	.
ya	Ya	RG	ya
Escribi	escribí	VMIS1S0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
como	como	CS	como
Casso	casó	VMIS3S0	casar
con	con	SPS00	con
la	la	DA0FS0	el
sa	señora	NP00000	señor
doña	doña	NP00000	don
catalina	Catalina	NP00000	catalina
	,	Fc	,
sobrina	sobrina	NCFS000	sobrino
de	de	SPS00	de
su	su	DP3CS0	su
md	merced	NCFS000	merced
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
licdo	licenciado	NP00000	licenciado
bribiesca	Bribiesca	NP00000	bribiesca
	.	Fp	.
pasase	Pásase	VMIP3S0+P00CN000	pasar+se
a	a	SPS00	a
su	su	DP3CS0	su
cassa	casa	NCFS000	casa
a	a	SPS00	a
vivir	vivir	VMN0000	vivir
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
çierto	cierto	AQ0MS0	cierto
q	que	CS	que
	,	Fc	,
si	si	CS	si
Estubieran	estuvieran	VMSI3P0	estar
en	en	SPS00	en
España	España	NP00000	españa
	,	Fc	,
q	que	CS	que
tubiera	tuviera	VMSI0S0	tener
todo	todo	DI0MS0	todo
contentamyento	contentamiento	NCMS000	contentamiento
	,	Fc	,
porq	porque	CS	porque
a	a	SPS00	a
bribiesca	Bribiesca	NP00000	bribiesca
quierole	quiérole	CS	quiérole
yo	yo	PP1CSN00	yo
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
como	como	CS	como
la	la	DA0FS0	el
cebada	cebada	NCFS000	cebada
del	del	SPS00+DA0MS0	de+el
gallego	gallego	NCMS000	gallego
q	que	CS	que
para	para	SPS00	para
coseguillo	conseguirlo	VMN0000+PP3MSA00	conseguir+lo
	.	Fp	.
doña	Doña	NP00000	don
antonya	Antonia	NP00000	antonia
vessa	besa	VMIP3S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
muchas	muchas	DI0FP0	mucho
vezes	veces	NCFP000	vez
	.	Fp	.
todos	Todos	DI0MP0	todo
estos	estos	DD0MP0	este
mys	mis	DP1CPS	mi
hijos	hijos	NCMP000	hijo
servidores	servidores	NCMP000	servidor
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
cuya	cuya	PU0FS000	cuyo
persona	persona	NCFS000	persona
y	y	CC	y
estado	estado	VMP0000	estar
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
guarde	guarde	VMSP0S0	guardar
	,	Fc	,
prospere	prospere	VMSP0S0	prosperar
como	como	CS	como
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
lima	Lima	NP00000	lima
	,	Fc	,
a	a	SPS00	a
xxv	25	Z	25
de	de	SPS00	de
noviemvre	noviembre	NCMS000	noviembre
	.	Fp	.
ille	Ilustre	AQ0CS0	ilustre
sor	señor	NP00000	señor
	,	Fc	,
bessa	besa	VMIP3S0	besar
las	las	DA0FP0	el
illes	ilustres	AQ0CP0	ilustre
manos	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
su	su	DP3CS0	su
muy	muy	RQ	muy
cierto	cierto	AQ0MS0	cierto
svidor	servidor	NCMS000	servidor
	,	Fc	,
el	el	DA0MS0	el
licenciado	licenciado	NP00000	licenciado
monçon	Monzón	NP00000	monzón
