Sor	Señor	NP00000	señor
	,	Fc	,
dira	dirá	VMIF3S0	decir
q	que	CS	que
la	la	PP3FSA00	lo
oye	oye	VMIP3S0	oír
	.	Fp	.
y	Y	CC	y
no	no	RN	no
veniendo	viniendo	VMG0000	venir
	,	Fc	,
esta	está	VMIP3S0	estar
luego	luego	RG	luego
averiguado	averiguado	VMP00SM	averiguar
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
	,	Fc	,
s	señor	NP00000	señor
	,	Fc	,
aveys	habéis	VMIP2P0	haber
de	de	SPS00	de
comonicar	comunicar	VMN0000	comunicar
vos	vos	PP2CS000	vos
y	y	CC	y
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
con	con	SPS00	con
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
y	y	CC	y
azelle	hacerle	VMN0000+PP3CSD00	hacer+le
que	que	CS	que
lo	lo	PP3CNA00	lo
aga	haga	VMSP0S0	hacer
	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
mas	más	RC	más
vreve	breve	AQ0CS0	breve
	,	Fc	,
aveys	habéis	VMIP2P0	haber
de	de	SPS00	de
venir	venir	VMN0000	venir
	,	Fc	,
s	señor	NP00000	señor
	,	Fc	,
con	con	SPS00	con
el	él	PP3MS000	él
porque	porque	CS	porque
se	se	P00CN000	se
aga	haga	VMSP0S0	hacer
mas	más	RC	más
ayna	aína	RG	aína
porque	porque	CS	porque
salga	salga	VMSP0S0	salir
de	de	SPS00	de
aqui	aquí	RG	aquí
	.	Fp	.
y	Y	CC	y
veni	venid	VMM02P0	venir
por	por	SPS00	por
toledo	Toledo	NP00000	toledo
	,	Fc	,
como	como	PA000000	como
dicho	dicho	VMP00SM	decir
tengo	tengo	VMIP1S0	tener
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
estare	estaré	VMIF1S0	estar
alla	allá	RG	allá
	.	Fp	.
primero	Primero	RG	primero
que	que	CS	que
vengays	vengáis	VMSP2P0	venir
	,	Fc	,
señor	señor	NP00000	señor
	,	Fc	,
otras	otras	DI0FP0	otro
cartas	cartas	NCFP000	carta
llevara	llevará	VMIF3S0	llevar
el	el	DA0MS0	el
Recuero	recuero	NCMS000	recuero
	,	Fc	,
porqu	porque	CS	porque
estas	éstas	PD0FP000	este
estavan	estaban	VMII3P0	estar
para	para	SPS00	para
el	él	PP3MS000	él
	.	Fp	.
y	Y	CC	y
como	como	CS	como
se	se	P00CN000	se
Recrezio	recreció	VMIS3S0	recrecer
el	el	DA0MS0	el
mensagero	mensajero	NCMS000	mensajero
	,	Fc	,
se	se	PP3CN000	se
las	las	PP3FPA00	lo
di	di	VMIS1S0	dar
porque	porque	CS	porque
fuesen	fuesen	VMSI3P0	ir
mas	más	RC	más
ayna	aína	RG	aína
para	para	SPS00	para
q	que	CS	que
vengays	vengáis	VMSP2P0	venir
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
el	el	DA0MS0	el
Recuero	recuero	NCMS000	recuero
no	no	RN	no
escrivays	escribáis	VMSP2P0	escribir
	,	Fc	,
pues	pues	CS	pues
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
escusa	excusa	VMIP3S0	excusar
la	la	DA0FS0	el
venida	venida	NCFS000	venida
de	de	SPS00	de
vos	vos	PP2CS000	vos
y	y	CC	y
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
	.	Fp	.
