Rmo	Reverendísimo	AQSMS0	reverendo
aze	hace	VMIP3S0	hacer
	,	Fc	,
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
padre	padre	NP00000	padre
fray	fray	NP00000	fray
diego	Diego	NP00000	diego
rramirez	Ramírez	NP00000	ramírez
por	por	SPS00	por
lo	lo	DA0NS0	el
mesmo	mismo	AQ0MS0	mismo
	.	Fp	.
y	Y	CC	y
sepa	sepa	VMSP0S0	saber
Vs	VSa	NP00000	VSa
que	que	CS	que
de	de	SPS00	de
quantas	cuantas	DT0FP0	cuanto
cartas	cartas	NCFP000	carta
y	y	CC	y
zedulas	cédulas	NCFP000	cédula
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
enbiado	enviado	VMP0000	enviar
de	de	SPS00	de
ninguna	ninguna	DI0FS0	ninguno
parte	parte	NCFS000	parte
me	me	PP1CS000	me
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
un	un	DI0MS0	uno
rreal	real	NCMS000	real
	,	Fc	,
ni	ni	CCN	ni
de	de	SPS00	de
casa	casa	NCFS000	casa
del	del	SPS00+DA0MS0	de+el
arzobpo	arzobispo	NCMS000	arzobispo
tanpoco	tampoco	RG	tampoco
	,	Fc	,
qu	que	CS	que
estoy	estoy	VMIP1S0	estar
desnudo	desnudo	AQ0MSP	desnudo
	,	Fc	,
eho	hecho	VMP00SM	hacer
pedazos	pedazos	NCMP000	pedazo
y	y	CC	y
enfermo	enfermo	AQ0MS0	enfermo
	,	Fc	,
y	y	CC	y
entra	entra	VMIP3S0	entrar
el	el	DA0MS0	el
inbierno	invierno	NCMS000	invierno
y	y	CC	y
me	me	PP1CS000	me
morire	moriré	VMIF1S0	morir
en	en	SPS00	en
esta	esta	DD0FS0	este
carzel	cárcel	NCFS000	cárcel
si	si	CS	si
no	no	RN	no
soy	soy	VSIP1S0	ser
rremediado	remediado	VMP00SM	remediar
para	para	SPS00	para
bestirme	vestirme	VMN0000+PP1CS000	vestir+me
	.	Fp	.
por	Por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
que	que	CS	que
Vs	VSa	NP00000	VSa
me	me	PP1CS000	me
socorra	socorra	VMSP0S0	socorrer
con	con	SPS00	con
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pudiere	pudiere	VMSF0S0	poder
para	para	SPS00	para
bestirme	vestirme	VMN0000+PP1CS000	vestir+me
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
tengo	tengo	VMIP1S0	tener
unos	unos	DI0MP0	uno
zapatos	zapatos	NCMP000	zapato
que	que	PR0CN000	que
ponerme	ponerme	VMN0000+PP1CS000	poner+me
	;	Fx	;
y	y	CC	y
esqriba	escriba	VMSP0S0	escribir
Vs	VSa	NP00000	VSa
a	a	SPS00	a
granada	Granada	NP00000	granada
que	que	CS	que
me	me	PP1CS000	me
socorran	socorran	VMSP3P0	socorrer
y	y	CC	y
no	no	RN	no
aya	haya	VMSP0S0	haber
falta	falta	NCFS000	falta
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
digo	digo	VMIP1S0	decir
mas	más	RC	más
	.	Fp	.
d	De	SPS00	de
esta	esta	DD0FS0	este
carzel	cárcel	NCFS000	cárcel
	,	Fc	,
oy	hoy	RG	hoy
xuebes	jueves	NCMN000	jueves
a	a	SPS00	a
tes	tres	Z	3
de	de	SPS00	de
setienbre	septiembre	NCMS000	septiembre
	.	Fp	.
beso	Beso	VMIP1S0	besar
los	los	DA0MP0	el
pies	pies	NCMP000	pie
a	a	SPS00	a
Vs	VSa	NP00000	VSa
su	su	DP3CS0	su
sobrino	sobrino	NP00000	sobrino
	,	Fc	,
luys	Luis	NP00000	luis
de	de	SPS00	de
salazar	Salazar	NP00000	salazar
