YHus	Yhesús		
arme	arme		
de	de		
sus	sus		
armas	armas		
para	para		
toda	toda		
mi	mi		
vida	vida		
	,		
porq	porque		
hare	haré		
gran	gran		
probecho	provecho		
	;		
mayormente	mayormente		
si	si		
no	no		
carga	carga		
mas	más		
merçerias	mercerías		
q	que		
para	para		
mi	mí		
	,		
q	que		
en	en		
estar	estar		
en	en		
una	una		
mano	mano		
hel	el		
sortimiento	surtimiento		
aze	hace		
lo	lo		
q	que		
quiere	quiere		
honbre	hombre		
	.		
caso	Caso		
q	que		
yo	yo		
no	no		
le	le		
haya	haya		
serbido	servido		
	,		
le	le		
suplico	suplico		
se	se		
estribe	estribe		
de	de		
poner	poner		
esta	esta		
diligençia	diligencia		
	.		
y	Y		
con	con		
lo	lo		
mio	mío		
juntamente	juntamente		
puede	puede		
vmcd	VM		
cargar	cargar		
por	por		
su	su		
cuenta	cuenta		
propia	propia		
alguna	alguna		
suma	suma		
de	de		
ustanes	fustanes		
	,		
q	que		
yo	yo		
los	los		
vendere	venderé		
con	con		
probecho	provecho		
	,		
porq	porque		
hen	en		
estar	estar		
en	en		
una	una		
mano	mano		
se	se		
venderan	venderán		
vien	bien		
	;		
mayormente	mayormente		
q	que		
alla	allá		
creo	creo		
se	se		
abran	habrán		
abaxo	abajado		
con	con		
estar	estar		
ha	a		
una	una		
todos	todos		
los	los		
conpradores	compradores		
	.		
si	Si		
estan	están		
todavia	todavía		
sobre	sobre		
consierto	concierto		
puede	puede		
le	le		
azer	hacer		
conprar	comprar		
algun	algún		
nabarro	navarro		
los	los		
ustanes	fustanes		
y	y		
las	las		
yleras	hileras		
sin	sin		
q	que		
sienta	sienta		
la	la		
tyerra	tierra		
lo	lo		
ha	ha		
de	de		
azer	hacer		
esta	esta		
cosa	cosa		
	.		
a	A		
mas	más		
de	de		
los	los		
ustanes	fustanes		
	,		
puede	puede		
vm	VM		
cargar	cargar		
por	por		
su	su		
cuenta	cuenta		
una	una		
suma	suma		
de	de		
cobre	cobre		
	,		
q	que		
ara	hará		
su	su		
probecho	provecho		
	.		
el	El		
moço	mozo		
me	me		
escribe	escribe		
bale	vale		
en	en		
ma	Medina		
de	de		
qo	contado		
a	a		
	.		
asy	Así		
en	en		
esto	esto		
como	como		
de	de		
algunas	algunas		
olandas	holandas		
	,		
q	que		
creo	creo		
los	los		
allaria	hallaría		
a	a		
tienpo	tiempo		
	,		
puede	puede		
vm	VM		
cargar	cargar		
por	por		
su	su		
cuenta	cuenta		
	,		
q	que		
yo	yo		
are	haré		
en	en		
llo	ello		
como	como		
en	en		
cosa	cosa		
propia	propia		
sin	sin		
ynteres	interés		
de	de		
un	un		
real	real		
	,		
como	como		
hes	es		
razon	razón		
	,		
y	y		
le	le		
remetire	remitiré		
su	su		
dinero	dinero		
	.		
estas	Estas		
naos	naos		
de	de		
lanas	lanas		
tenemos	tenemos		
por	por		
çierto	cierto		
ybernaran	invernarán		
aqua	acá		
donde	donde		
no	no		
alcansara	alcanzará		
ropa	ropa		
para	para		
villalon	Villalón		
	,		
donde	donde		
en	en		
la	la		
de	de		
villalon	Villalón		
tendre	tendré		
tanbyen	también		
yo	yo		
lvez	vez		
de	de		
probecho	provecho		
como	como		
habran	habrán		
mis	mis		
vezinos	vecinos		
en	en		
esa	esa		
fa	feria		
	.		
agole	Hágole		
saver	saber		
q	que		
por	por		
no	no		
reçibir	recibir		
la	la		
memoria	memoria		
q	que		
le	le		
ebye	envié		
para	para		
la	la		
de	de		
junio	junio		
pyerdo	pierdo		
de	de		
ganar	ganar		
mas	más		
de	de		
500	500		
ds	ducados		
en	en		
todo	todo		
syn	sin		
derechos	derechos		
	.		
sea	Sea		
loado	loado		
dios	Dios		
de	de		
todo	todo		
	.		
mire	Mire		
	,		
señor	señor		
	,		
q	que		
todo	todo		
asta	hasta		
un	un		
mrs	maravedí		
me	me		
asegure	asegure		
	.		
agora	Ahora		
esta	está		
el	el		
tienpo	tiempo		
para	para		
ganar	ganar		
dineros	dineros		
	.		
del	Del		
principe	príncipe		
de	de		
nabarra	Navarra		
tengo	tengo		
salboconduto	salvoconducto		
para	para		
mi	mí		
y	y		
mis	mis		
criados	criados		
	,		
q	que		
honbre	hombre		
de	de		
panplona	Pamplona		
no	no		
tiene	tiene		
si	si		
no	no		
hes	es		
miguel	Miguel		
d	de		
añues	Añués		
y	y		
ju	Juan		
Cruzat	Cruzat		
	,		
q	que		
tienen	tienen		
del	del		
rey	rey		
de	de		
françia	Francia		
	.		
he	He		
sacado	sacado		
de	de		
vearne	Bearne		
60	60		
balas	balas		
de	de		
peynes	peines		
y	y		
una	una		
suma	suma		
de	de		
agujeta	agujeta		
	,		
q	que		
no	no		
se	se		
perdera	perderá		
nada	nada		
	.		
agole	Hágole		
saver	saber		
q	que		
no	no		
tengo	tengo		
de	de		
dormir	dormir		
todas	todas		
vezes	veces		
	,		
si	si		
plaze	place		
a	a		
dios	Dios		
	.		
del	Del		
rey	rey		
de	de		
françia	Francia		
me	me		
tienen	tienen		
ofreçido	ofrecido		
de	de		
un	un		
salboconduto	salvoconducto		
q	que		
ubiendo	habiendo		
aria	haría		
mi	mi		
probecho	provecho		
	.		
plega	Plega		
a	a		
dios	Dios		
ayamos	hayamos		
salut	salud		
	.		
todabia	Todavía		
tengo	tengo		
esperança	esperanza		
me	me		
alcansara	alcanzará		
la	la		
ropa	ropa		
de	de		
françia	Francia		
	,		
donde	donde		
le	le		
remitere	remetiré		
buena	buena		
parte	parte		
si	si		
alcança	alcanza		
	.		
para	Para		
mucho	mucho		
daño	daño		
mio	mío		
los	los		
conoci	conocí		
las	las		
lanas	lanas		
	,		
mas	mas		
a	a		
lo	lo		
echo	hecho		
emos	hemos		
de	de		
prestar	prestar		
paciensia	paciencia		
	.		
con	Con		
tanto	tanto		
	,		
qdo	quedo		
rogando	rogando		
a	a		
dios	Dios		
goarde	guarde		
y	y		
prospere	prospere		
su	su		
noble	noble		
persona	persona		
	.		
a	A		
serviçio	servicio		
de	de		
vm	VM		
	,		
Ro	Rodrigo		
d	de		
espinosa	Espinosa		
perdone	Perdone		
q	que		
ba	va		
de	de		
tan	tan		
buena	buena		
letra	letra		
	,		
q	que		
tan	tan		
buena	buena		
letra	letra		
escribo	escribo		
como	como		
el	el		
señor	señor		
p	Pedro		
de	de		
oyardo	Oyardo		
	.		
