En	En		
podremos	podremos		
hazer	hacer		
o	o		
yo	yo		
yre	iré		
asta	hasta		
ay	ahí		
habisandome	avisándome		
	,		
porque	porque		
tengo	tengo		
de	de		
yr	ir		
a	a		
çaragoça	Zaragoza		
	.		
q	Que		
de	de		
lo	lo		
que	que		
determinare	determinare		
sea	sea		
	,		
le	le		
supco	suplico		
me	me		
abise	avise		
dentro	dentro		
de	de		
quatro	cuatro		
o	o		
cinco	cinco		
dias	días		
	,		
q	que		
he	he		
de	de		
partir	partir		
para	para		
bilvao	Bilbao		
	,		
para	para		
que	que		
sepa	sepa		
yo	yo		
como	cómo		
me	me		
tengo	tengo		
de	de		
gobernar	gobernar		
.	.		
esta	Esta		
carta	carta		
al	al		
señor	señor		
ju	Juan		
de	de		
basurto	Basurto		
	,		
supco	suplico		
a	a		
vm	VM		
se	se		
le	le		
de	dé		
en	en		
propio	propio		
	.		
si	Si		
fuere	fuere		
serbido	servido		
de	de		
hazerme	hacerme		
respuesta	respuesta		
	,		
se	se		
la	la		
tome	tome		
y	y		
me	me		
la	la		
embie	envíe		
.	.		
nro	Nuestro		
señor	Señor		
guarte	guarde		
a	a		
vm	VM		
como	como		
desea	desea		
	.		
y	Y		
pues	pues		
tanbien	también		
soy	soy		
deudor	deudor		
de	de		
50	50		
e	escudos		
en	en		
çaragoça	Zaragoza		
	,		
reçebidos	recibidos		
	,		
que	que		
con	con		
lo	lo		
demas	demás		
e	he		
de	de		
satisfazer	satisfacer		
.	.		
a	A		
serbiçio	servicio		
de	de		
vm	VM		
	,		
San	San		
peo	Pedro		
de	de		
arrbieto	Arbieto		
