magco	Magnífico	AQ0MS0	magnífico
en	en	SPS00	en
sevilla	Sevilla	NP00000	sevilla
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
el	él	PP3MS000	él
lo	lo	PP3CNA00	lo
Reçibiese	recibiese	VMSI0S0	recibir
y	y	CC	y
enbiase	enviase	VMSI0S0	enviar
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
anton	Antón	NP00000	antón
de	de	SPS00	de
cogollos	Cogollos	NP00000	cogollos
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
ello	ello	PD0NN000	ello
mis	mis	DP1CPS	mi
Cartas	cartas	NCFP000	carta
	,	Fc	,
por	por	SPS00	por
las	las	DA0FP0	el
quales	cuales	PR0CP000	cual
avisava	avisaba	VMII0S0	avisar
de	de	SPS00	de
ello	ello	PD0NN000	ello
supcando	suplicando	VMG0000	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
q	que	CS	que
de	de	SPS00	de
aqllos	aquellos	DD0MP0	aquel
dineros	dineros	NCMP000	dinero
se	se	P00CN000	se
Cumpliese	cumpliesen	VMSI3P0	cumplir
las	las	PP3FPA00	lo
mandas	mandas	VMIP2S0	mandar
q	que	CS	que
Restava	restaban	VMII3P0	restar
por	por	SPS00	por
coplir	cumplir	VMN0000	cumplir
del	del	SPS00+DA0MS0	de+el
testamo	testamento	NCMS000	testamento
de	de	SPS00	de
Joan	Juan	NP00000	juan
de	de	SPS00	de
salama	Salamanca	NP00000	salamanca
	,	Fc	,
q	que	CS	que
aya	haya	VMSP0S0	haber
gloria	gloria	NCFS000	gloria
	,	Fc	,
q	que	CS	que
son	son	VSIP3P0	ser
estas	éstas	PD0FP000	este
.	.	Fc	,
a	A	SPS00	a
sus	sus	DP3CP0	su
hijas	hijas	NCFP000	hijo
de	de	SPS00	de
toribio	Toribio	NP00000	toribio
hernadez	Hernández	NP00000	hernández
	,	Fc	,
los	los	DA0MP0	el
ccc	CCC	Z	ccc
dos	ducados	NCMP000	ducado
q	que	PR0CN000	que
les	les	PP3CPD00	le
mada	manda	VMIP3S0	mandar
.	;	Fx	;
al	al	SPS00+DA0MS0	a+el
monesto	monasterio	NCMS000	monasterio
de	de	SPS00	de
guadalupe	Guadalupe	NP00000	guadalupe
	,	Fc	,
xM	10000	Z	10000
	;	Fx	;
al	al	SPS00+DA0MS0	a+el
sor	señor	NP00000	señor
yuste	Yuste	NP00000	yuste
myn	Martín	NP00000	martín
	,	Fc	,
viiMd	7500	Z	7500
	;	Fx	;
a	a	SPS00	a
los	los	DA0MP0	el
monesterios	monasterios	NCMP000	monasterio
de	de	SPS00	de
ay	ahí	RG	ahí
y	y	CC	y
San	San	NP00000	san
Joan	Juan	NP00000	juan
de	de	SPS00	de
la	la	DA0FS0	el
torre	Torre	NP00000	torre
	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
por	por	SPS00	por
el	el	DA0MS0	el
testamo	testamento	NCMS000	testamento
pareçiere	pareciere	VMSF0S0	parecer
q	que	CS	que
a	a	SPS00	a
mi	mi	DP1CSS	mi
Cueta	cuenta	NCFS000	cuenta
sobrava	sobraba	VMII0S0	sobrar
de	de	SPS00	de
los	los	DA0MP0	el
cccxxviii	CCCXXVIII	Z	cccxxviii
ps	pesos	NCMP000	peso
.	;	Fx	;
algunas	algunas	PI0FP000	alguno
blanquillas	blanquillas	NCFP000	blanquilla
	,	Fc	,
las	las	DA0FP0	el
quales	cuales	PR0CP000	cual
escrebi	escribí	VMIS1S0	escribir
a	a	SPS00	a
anto	Antón	NP00000	antón
de	de	SPS00	de
cogollos	Cogollos	NP00000	cogollos
q	que	CS	que
	,	Fc	,
coplido	cumplido	VMP00SM	cumplir
esto	esto	PD0NN000	esto
	,	Fc	,
Reçibiese	recibiese	VMSI0S0	recibir
el	él	PP3MS000	él
como	como	CS	como
psona	persona	NCFS000	persona
q	que	CS	que
el	el	DA0MS0	el
Resto	resto	NCMS000	resto
le	le	PP3CSD00	le
perteneçia	pertenecía	VMII0S0	pertenecer
.	.	Fp	.
y	Y	CC	y
escrevi	escribí	VMIS1S0	escribir
a	a	SPS00	a
Joan	Juan	NP00000	juan
galvarro	Galvarro	NP00000	galvarro
Rogandole	rogándole	VMG0000+PP3CSD00	rogar+le
q	que	CS	que
esta	esta	DD0FS0	este
moneda	moneda	NCFS000	moneda
enbiase	enviase	VMSI0S0	enviar
a	a	SPS00	a
vm	VM	NP00000	VM
pa	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
Efectuase	efectuase	VMSI0S0	efectuar
mejor	mejor	RC	mejor
	.	Fp	.
y	Y	CC	y
pareçeme	paréceme	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
debe	debe	VMIP3S0	deber
av	haber	VAN0000	haber
sido	sido	VSP00SM	ser
como	como	CS	como
yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
temia	temía	VMII0S0	temer
	,	Fc	,
porq	porque	CS	porque
hasta	hasta	SPS00	hasta
agora	ahora	RG	ahora
no	no	RN	no
E	he	VAIP1S0	haber
visto	visto	VMP0000	ver
Carta	carta	NCFS000	carta
de	de	SPS00	de
vm	VM	NP00000	VM
ni	ni	CC	ni
menos	menos	RC	menos
d	de	SPS00	de
el	él	PP3MS000	él
ni	ni	CC	ni
sabido	sabido	VMP0000	saber
por	por	SPS00	por
via	vía	NCFS000	vía
ninga	ninguna	DI0FS0	ninguno
lo	lo	DA0NS0	el
q	que	PR0CN000	que
d	de	SPS00	de
esta	esta	DD0FS0	este
moneda	moneda	NCFS000	moneda
se	se	P00CN000	se
aya	haya	VASP0S0	haber
hecho	hecho	VMP0000	hacer
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
galbarro	Galvarro	NP00000	galvarro
q	que	CS	que
lo	lo	PP3CNA00	lo
Recobro	recobró	VMIS3S0	recobrar
Cogollos	Cogollos	NP00000	cogollos
y	y	CC	y
q	que	CS	que
d	de	SPS00	de
ello	ello	PD0NN000	ello
tiene	tiene	VMIP3S0	tener
Carta	carta	NCFS000	carta
de	de	SPS00	de
pago	pago	NCMS000	pago
.	.	Fp	.
y	Y	CC	y
casi	casi	RG	casi
en	en	SPS00	en
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
nabios	navíos	NCMP000	navío
q	que	CS	que
aca	acá	RG	acá
biene	vienen	VMIP3P0	venir
m	me	PP1CS000	me
escrive	escribe	VMIP3S0	escribir
Joan	Juan	NP00000	juan
galbarro	Galvarro	NP00000	galvarro
ynportunandome	importunándome	VMG0000+PP1CS000	importunar+me
q	que	CS	que
enbie	envíe	VMSP0S0	enviar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
a	ha	VAIP3S0	haber
Restado	restado	VMP0000	restar
d	de	SPS00	de
esta	esta	DD0FS0	este
hazienda	hacienda	NCFS000	hacienda
	;	Fx	;
y	y	CC	y
no	no	RN	no
E	he	VAIP1S0	haber
visto	visto	VMP0000	ver
de	de	SPS00	de
pte	parte	NCFS000	parte
de	de	SPS00	de
cogollos	Cogollos	NP00000	cogollos
una	una	DI0FS0	uno
letra	letra	NCFS000	letra
.	.	Fp	.
bien	Bien	RG	bien
sabe	sabe	VMIP3S0	saber
vm	VM	NP00000	VM
q	que	CS	que
soy	soy	VSIP1S0	ser
testametario	testamentario	NCMS000	testamentario
y	y	CC	y
amigo	amigo	NCMS000	amigo
vdadero	verdadero	AQ0MS0	verdadero
de	de	SPS00	de
joan	Juan	NP00000	juan
de	de	SPS00	de
salamanca	Salamanca	NP00000	salamanca
	.	Fp	.
qrria	Querría	VMIC0S0	querer
q	que	CS	que
se	se	P00CN000	se
cumpliese	cumpliese	VMSI0S0	cumplir
su	su	DP3CS0	su
voluntad	voluntad	NCFS000	voluntad
.	.	Fp	.
en	En	SPS00	en
su	su	DP3CS0	su
testamo	testamento	NCMS000	testamento
esta	está	VMIP3S0	estar
una	una	DI0FS0	uno
clausula	cláusula	NCFS000	cláusula
q	que	PR0CN000	que
dize	dice	VMIP3S0	decir
q	que	CS	que
	,	Fc	,
si	si	CS	si
los	los	DA0MP0	el
d	D	NP00000	d
pos	pesos	NCMP000	peso
q	que	PR0CN000	que
avia	había	VAII0S0	haber
enbiado	enviado	VMP0000	enviar
pa	para	SPS00	para
lo	lo	DA0NS0	el
de	de	SPS00	de
la	la	DA0FS0	el
Capellania	capellanía	NCFS000	capellanía
saliere	saliere	VMSF0S0	salir
ynçierto	incierto	AQ0MS0	incierto
	,	Fc	,
q	que	CS	que
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
Restare	restare	VMSF0S0	restar
de	de	SPS00	de
su	su	DP3CS0	su
hazieda	hacienda	NCFS000	hacienda
coplido	cumpido	SPS00	cumpido
su	su	DP3CS0	su
testamo	testamento	NCMS000	testamento
se	se	P00CN000	se
haga	haga	VMSP0S0	hacer
y	y	CC	y
constituya	constituya	VMSP0S0	constituir
la	la	DA0FS0	el
Capellania	capellanía	NCFS000	capellanía
	.	Fp	.
Resta	Resta	VMIP3S0	restar
q	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
de	dé	VMSP0S0	dar
aviso	aviso	NCMS000	aviso
del	del	SPS00+DA0MS0	de+el
estado	estado	NCMS000	estado
en	en	SPS00	en
q	que	CS	que
esta	está	VMIP3S0	estar
lo	lo	DA0NS0	el
de	de	SPS00	de
la	la	DA0FS0	el
Capellania	capellanía	NCFS000	capellanía
	,	Fc	,
Enbiandoseme	enviándoseme	VMG0000+P00CN000+PP1CS000	enviar+se+me
por	por	SPS00	por
fee	fe	NCFS000	fe
	,	Fc	,
y	y	CC	y
asimismo	asimismo	RG	asimismo
de	de	SPS00	de
Como	como	CS	como
se	se	P00CN000	se
a	ha	VAIP3S0	haber
coplido	cumplido	VMP0000	cumplir
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	,	Fc	,
porq	porque	CS	porque
de	de	SPS00	de
otra	otra	DI0FS0	otro
manera	manera	NCFS000	manera
sera	será	VSIF3S0	ser
escusado	excusado	VMP00SM	excusar
ynportunarme	importunarme	VMN0000+PP1CS000	importunar+me
Con	con	SPS00	con
cartas	cartas	NCFP000	carta
.	.	Fp	.
porq	Porque	CS	porque
por	por	SPS00	por
todas	todas	DI0FP0	todo
vias	vías	NCFP000	vía
neçesarias	necesarias	AQ0FP0	necesario
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
posibles	posibles	AQ0CP0	posible
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
trabajar	trabajar	VMN0000	trabajar
Como	como	CS	como
se	se	P00CN000	se
cunpla	cumpla	VMSP0S0	cumplir
la	la	DA0FS0	el
voluntad	voluntad	NCFS000	voluntad
del	del	SPS00+DA0MS0	de+el
testador	testador	NCMS000	testador
.	.	Fp	.
y	Y	CC	y
pa	para	SPS00	para
q	que	CS	que
a	a	SPS00	a
vm	VM	NP00000	VM
le	le	PP3CSD00	le
conste	conste	VMSP0S0	constar
mas	más	RC	más
	,	Fc	,
le	le	PP3CSD00	le
supco	suplico	VMIP1S0	suplicar
pase	pase	VMSP0S0	pasar
el	el	DA0MS0	el
testamo	testamento	NCMS000	testamento
	,	Fc	,
pues	pues	CS	pues
alla	allá	RG	allá
le	le	PP3CSD00	le
tiene	tiene	VMIP3S0	tener
cogollos	Cogollos	NP00000	cogollos
	.	Fp	.
si	Si	CS	si
acaso	acaso	RG	acaso
vm	VM	NP00000	VM
no	no	RN	no
le	le	PP3CSD00	le
a	ha	VAIP3S0	haber
visto	visto	VMP0000	ver
y	y	CC	y
pues	pues	CS	pues
vm	VM	NP00000	VM
es	es	VSIP3S0	ser
Cavallo	caballero	NCMS000	caballero
y	y	CC	y
no	no	RN	no
poco	poco	RQ	poco
xriano	cristiano	NCMS000	cristiano
y	y	CC	y
tubo	tuvo	VMIS3S0	tener
por	por	SPS00	por
debdo	deudo	NCMS000	deudo
a	a	SPS00	a
Joan	Juan	NP00000	juan
de	de	SPS00	de
salamanca	Salamanca	NP00000	salamanca
	,	Fc	,
agora	ahora	RG	ahora
es	es	VSIP3S0	ser
tpo	tiempo	NCMS000	tiempo
de	de	SPS00	de
mostrarle	mostrarle	VMN0000+PP3CSD00	mostrar+le
po	por	SPS00	por
la	la	DA0FS0	el
obra	obra	NCFS000	obra
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pa	para	SPS00	para
coplir	cumplir	VMN0000	cumplir
co	con	SPS00	con
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
dho	dicho	NCMS000	dicho
se	se	P00CN000	se
deve	debe	VMIP3S0	deber
	.	Fp	.
y	Y	CC	y
porq	porque	CS	porque
se	sé	VMIP1S0	saber
q	que	CS	que
no	no	RN	no
ay	hay	VMIP3S0	haber
neçesidad	necesidad	NCFS000	necesidad
de	de	SPS00	de
persuadir	persuadir	VMN0000	persuadir
a	a	SPS00	a
vm	VM	NP00000	VM
en	en	SPS00	en
cosa	cosa	NCFS000	cosa
semejante	semejante	AQ0CS0	semejante
ni	ni	CC	ni
otra	otra	PI0FS000	otro
ning	ninguna	DI0FS0	ninguno
q	que	CS	que
sea	sea	VSSP0S0	ser
de	de	SPS00	de
vtud	virtud	NCFS000	virtud
y	y	CC	y
Caridad	caridad	NCFS000	caridad
	,	Fc	,
no	no	RN	no
dire	diré	VMIF1S0	decir
mas	más	RC	más
de	de	SPS00	de
q	que	CS	que
qrria	querría	VMIC0S0	querer
tener	tener	VMN0000	tener
muy	muy	RQ	muy
brebe	breve	AQ0CS0	breve
aviso	aviso	NCMS000	aviso
d	de	SPS00	de
esto	esto	PD0NN000	esto
pa	para	SPS00	para
desCargarme	descargarme	VMN0000+PP1CS000	descargar+me
d	de	SPS00	de
esta	esta	DD0FS0	este
Carga	carga	VMIP3S0	cargar
	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
muy	muy	RQ	muy
mas	más	RC	más
pesada	pesada	NCFS000	pesada
q	que	CS	que
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
pensar	pensar	VMN0000	pensar
	.	Fp	.
por	Por	SPS00	por
tanto	tanto	RG	tanto
	,	Fc	,
a	a	SPS00	a
vm	VM	NP00000	VM
supco	suplico	VMIP1S0	suplicar
co	con	SPS00	con
la	la	DA0FS0	el
mas	más	RC	más
brevedad	brevedad	NCFS000	brevedad
q	que	CS	que
sea	sea	VSSP0S0	ser
posible	posible	AQ0CS0	posible
me	me	PP1CS000	me
Responda	responda	VMSP0S0	responder
largo	largo	RG	largo
.	.	Fp	.
y	Y	CC	y
porq	porque	CS	porque
seria	sería	VSIC0S0	ser
posible	posible	AQ0CS0	posible
no	no	RN	no
tomar	tomar	VMN0000	tomar
esta	ésta	PD0FS000	este
a	a	SPS00	a
vm	VM	NP00000	VM
ay	ahí	RG	ahí
	,	Fc	,
escrivo	escribo	VMIP1S0	escribir
al	al	SPS00+DA0MS0	a+el
pe	padre	NCMS000	padre
Juste	Juste	NP00000	juste
myn	Martín	NP00000	martín
pa	para	SPS00	para
q	que	CS	que
el	él	PP3MS000	él
la	la	PP3FSA00	lo
despache	despache	VMSP0S0	despachar
y	y	CC	y
enCamine	encamine	VMSP0S0	encaminar
a	a	SPS00	a
vm	VM	NP00000	VM
donde	donde	PA000000	donde
stubiere	estuviere	VMSF0S0	estar
	.	Fp	.
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
la	la	DA0FS0	el
vida	vida	NCFS000	vida
y	y	CC	y
magca	magnífica	AQ0FS0	magnífico
psona	persona	NCFS000	persona
de	de	SPS00	de
vm	VM	NP00000	VM
guarde	guarde	VMSP0S0	guardar
y	y	CC	y
prospere	prospere	VMSP0S0	prosperar
largos	largos	AQ0MP0	largo
tpos	tiempos	NCMP000	tiempo
	.	Fp	.
de	De	SPS00	de
guaçacualco	Coatzacoalcos	NP00000	coatzacoalcos
	,	Fc	,
a	a	SPS00	a
x	X	NP00000	x
de	de	SPS00	de
ote	octubre	NCMS000	octubre
1545	1545	Z	1545
	.	Fp	.
del	Del	SPS00+DA0MS0	de+el
mas	más	RC	más
svidor	servidor	NCMS000	servidor
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
Juan	Juan	NP00000	juan
medez	Méndez	NP00000	méndez
yo	Yo	PP1CSN00	yo
qrria	querría	VMIC0S0	querer
enbiar	enviar	VMN0000	enviar
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
Rdo	reverendo	NP00000	reverendo
pe	padre	NP00000	padre
yuste	Yuste	NP00000	yuste
martin	Martín	NP00000	martín
unos	unos	DI0MP0	uno
dc	DC	Z	dc
dos	ducados	NCMP000	ducado
pa	para	SPS00	para
destribuyr	distribuir	VMN0000	distribuir
en	en	SPS00	en
obras	obras	NCFP000	obra
pias	pías	AQ0FP0	pío
por	por	SPS00	por
el	el	DA0MS0	el
anima	ánima	NCFS000	ánima
de	de	SPS00	de
joan	Juan	NP00000	juan
de	de	SPS00	de
salamanca	Salamanca	NP00000	salamanca
	,	Fc	,
Como	como	CS	como
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
otras	otras	DI0FP0	otro
a	a	SPS00	a
vm	VM	NP00000	VM
spto	escrito	NCMS000	escrito
	.	Fp	.
si	Si	CS	si
es	es	VSIP3S0	ser
tpo	tiempo	NCMS000	tiempo
dispuesto	dispuesto	VMP00SM	disponer
y	y	CC	y
aparejado	aparejado	VMP00SM	aparejar
para	para	SPS00	para
ello	ello	PD0NN000	ello
sin	sin	SPS00	sin
tener	tener	VMN0000	tener
Reves	revés	NCMS000	revés
de	de	SPS00	de
cosarios	corsarios	NCMP000	corsario
ni	ni	CC	ni
de	de	SPS00	de
toma	toma	VMIP3S0	tomar
de	de	SPS00	de
pte	parte	NCFS000	parte
del	del	SPS00+DA0MS0	de+el
Rey	rey	NCMS000	rey
	,	Fc	,
vm	VM	NP00000	VM
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
d	de	SPS00	de
ello	ello	PD0NN000	ello
	.	Fp	.
y	Y	CC	y
le	le	PP3CSD00	le
supco	suplico	VMIP1S0	suplicar
q	que	CS	que
haga	haga	VMSP0S0	hacer
a	a	SPS00	a
cogollos	Cogollos	NP00000	cogollos
q	que	CS	que
m	me	PP1CS000	me
enbie	envíe	VMSP0S0	enviar
luego	luego	RG	luego
el	el	DA0MS0	el
Recabdo	recaudo	NCMS000	recaudo
d	de	SPS00	de
este	este	DD0MS0	este
conplimeto	cumplimiento	NCMS000	cumplimiento
d	de	SPS00	de
estas	estas	DD0FP0	este
mandas	mandas	VMIP2S0	mandar
y	y	CC	y
juntame	juntamente	RG	juntamente
Con	con	SPS00	con
ello	ello	PD0NN000	ello
vm	VM	NP00000	VM
m	me	PP1CS000	me
escriva	escriba	VMSP0S0	escribir
	.	Fp	.
