señora	Señora	NP00000	señor
yo	Yo	PP1CSN00	yo
Estoy	estoy	VMIP1S0	estar
determinado	determinado	VMP00SM	determinar
	,	Fc	,
lo	lo	DA0NS0	el
poco	poco	RQ	poco
q	que	PR0CN000	que
durare	durare	VMSF0S0	durar
	,	Fc	,
de	de	SPS00	de
no	no	RN	no
dar	dar	VMN0000	dar
a	a	SPS00	a
Vm	VM	NP00000	VM
mas	más	RC	más
pesadumbre	pesadumbre	NCFS000	pesadumbre
	,	Fc	,
sino	sino	CC	sino
pasarme	pasarme	VMN0000+PP1CS000	pasar+me
como	como	PA000000	como
antes	antes	RG	antes
	.	Fp	.
solo	Sólo	RG	sólo
un	un	DI0MS0	uno
contento	contento	NCMS000	contento
tengo	tengo	VMIP1S0	tener
q	que	PR0CN000	que
basta	basta	VMIP3S0	bastar
para	para	SPS00	para
poder	poder	VMN0000	poder
sustentar	sustentar	VMN0000	sustentar
algo	algo	PI0CS000	algo
	,	Fc	,
y	y	CC	y
es	es	VSIP3S0	ser
q	que	CS	que
ya	ya	RG	ya
Vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
mi	mi	DP1CSS	mi
pena	pena	NCFS000	pena
	.	Fp	.
q	Que	CS	que
yre	iré	VMIF1S0	ir
consolado	consolado	VMP00SM	consolar
quando	cuando	PA000000	cuando
d	de	SPS00	de
este	este	DD0MS0	este
mundo	mundo	NCMS000	mundo
baya	vaya	VMSP0S0	ir
y	y	CC	y
en	en	SPS00	en
mi	mí	PP1CSO00	mí
podra	podrán	VMIF3P0	poder
tomar	tomar	VMN0000	tomar
enjenplo	ejemplo	NCMS000	ejemplo
los	los	DA0MP0	el
q	que	PR0CN000	que
amaren	amaren	VMSF3P0	amar
	.	Fp	.
q	Que	CS	que
si	si	CS	si
hasta	hasta	SPS00	hasta
agora	ahora	RG	ahora
me	me	PP1CS000	me
sustentaba	sustentaba	VMII0S0	sustentar
Era	era	VSII0S0	ser
con	con	SPS00	con
pensar	pensar	VMN0000	pensar
q	que	CS	que
Vm	VM	NP00000	VM
no	no	RN	no
lo	lo	PP3CNA00	lo
sabie	sabía	VMII0S0	saber
	,	Fc	,
pero	pero	CC	pero
agora	ahora	RG	ahora
ya	ya	RG	ya
me	me	PP1CS000	me
falta	falta	VMIP3S0	faltar
la	la	DA0FS0	el
esperança	esperanza	NCFS000	esperanza
para	para	SPS00	para
aun	aun	CS	aun
no	no	RN	no
osar	osar	VMN0000	osar
pasar	pasar	VMN0000	pasar
por	por	SPS00	por
casa	casa	NCFS000	casa
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
ansi	así	RG	así
lo	lo	PP3CNA00	lo
hare	haré	VMIF1S0	hacer
hasta	hasta	SPS00	hasta
q	que	CS	que
yo	yo	PP1CSN00	yo
bea	vea	VMSP0S0	ver
a	a	SPS00	a
Vm	VM	NP00000	VM
con	con	SPS00	con
mas	más	RC	más
piadad	piedad	NCFS000	piedad
	.	Fp	.
q	Que	CS	que
primero	primero	RG	primero
se	se	P00CN000	se
me	me	PP1CS000	me
acabara	acabara	VMSI0S0	acabar
a	a	SPS00	a
mi	mí	PP1CSO00	mí
la	la	DA0FS0	el
bida	vida	NCFS000	vida
sola	sola	AQ0FS0	solo
una	una	DI0FS0	uno
md	merced	NCFS000	merced
quiero	quiero	VMIP1S0	querer
de	de	SPS00	de
Vm	VM	NP00000	VM
	:	Fd	:
q	que	CS	que
mande	mande	VMSP0S0	mandar
q	que	CS	que
acabe	acabe	VMSP0S0	acabar
con	con	SPS00	con
ella	ella	PP3FS000	él
	.	Fp	.
y	Y	CC	y
bera	verá	VMIF3S0	ver
Vm	VM	NP00000	VM
quan	cuán	RG	cuán
sujeto	sujeto	NCMS000	sujeto
soy	soy	VSIP1S0	ser
	.	Fp	.
	¡	Faa	¡
ay	Ay	I	ay
	,	Fc	,
hermana	hermana	NP00000	hermano
	!	Fat	!
dios	Dios	NP00000	dios
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
perdone	perdone	VMSP0S0	perdonar
	,	Fc	,
q	que	CS	que
tanto	tanto	DI0MS0	tanto
mal	mal	NCMS000	mal
me	me	PP1CS000	me
causaste	causaste	VMIS2S0	causar
	,	Fc	,
Pues	pues	CS	pues
fuste	fuiste	VSIS2S0	ser
causa	causa	NCFS000	causa
de	de	SPS00	de
mi	mi	DP1CSS	mi
muerte	muerte	NCFS000	muerte
y	y	CC	y
amarga	amarga	AQ0FS0	amargo
vida	vida	NCFS000	vida
	.	Fp	.
Estoy	Estoy	VMIP1S0	estar
de	de	SPS00	de
manera	manera	NCFS000	manera
quando	cuando	PA000000	cuando
esta	ésta	PD0FS000	este
escribo	escribo	VMIP1S0	escribir
q	que	CS	que
si	si	CS	si
quiere	quiere	VMIP3S0	querer
mirar	mirar	VMN0000	mirar
con	con	SPS00	con
alguna	alguna	DI0FS0	alguno
piadad	piedad	NCFS000	piedad
lo	lo	PP3CNA00	lo
bera	verá	VMIF3S0	ver
Vm	VM	NP00000	VM
	,	Fc	,
qu	que	CS	que
estoy	estoy	VMIP1S0	estar
como	como	PA000000	como
encantado	encantado	VMP00SM	encantar
.	.	Fp	.
beso	Beso	VMIP1S0	besar
los	los	DA0MP0	el
pies	pies	NCMP000	pie
de	de	SPS00	de
Vm	VM	NP00000	VM
por	por	SPS00	por
los	los	DA0MP0	el
cavellos	cabellos	NCMP000	cabello
	,	Fc	,
q	que	CS	que
no	no	RN	no
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
poco	poco	DI0MS0	poco
Remedio	remedio	NCMS000	remedio
para	para	SPS00	para
mi	mí	PP1CSO00	mí
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
acabo	acabo	VMIP1S0	acabar
y	y	CC	y
no	no	RN	no
de	de	SPS00	de
Rogar	rogar	VMN0000	rogar
a	a	SPS00	a
dios	Dios	NP00000	dios
se	se	P00CN000	se
me	me	PP1CS000	me
acabe	acabe	VMSP0S0	acabar
la	la	DA0FS0	el
bida	vida	NCFS000	vida
	,	Fc	,
pues	pues	CS	pues
naçi	nací	VMIS1S0	nacer
para	para	SPS00	para
amar	amar	VMN0000	amar
una	una	DI0FS0	uno
muger	mujer	NCFS000	mujer
tan	tan	RC	tan
desconoçida	desconocida	VMP00SF	desconocer
	.	Fp	.
El	El	DA0MS0	el
sin	sin	SPS00	sin
Remedio	remedio	NCMS000	remedio
	,	Fc	,
P.	P.	NP00000	p
