byen	Bien	RG	bien
de	de	SPS00	de
vm	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
su	su	DP3CS0	su
tyo	tío	NCMS000	tío
	:	Fd	:
q	que	CS	que
se	se	P00CN000	se
este	esté	VMSP0S0	estar
en	en	SPS00	en
su	su	DP3CS0	su
casa	casa	NCFS000	casa
esperando	esperando	VMG0000	esperar
ocacyon	ocasión	NCFS000	ocasión
de	de	SPS00	de
probecho	provecho	NCMS000	provecho
pa	para	SPS00	para
apretar	apretar	VMN0000	apretar
en	en	SPS00	en
ello	ello	PD0NN000	ello
y	y	CC	y
q	que	CS	que
no	no	RN	no
baya	vaya	VMSP0S0	ir
agora	ahora	RG	ahora
no	no	RN	no
avyendola	habiéndole	VAG0000+PP3CSD00	haber+le
y	y	CC	y
gaste	gaste	VMSP0S0	gastar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
no	no	RN	no
tyene	tiene	VMIP3S0	tener
	.	Fp	.
y	Y	CC	y
cuando	cuando	PA000000	cuando
la	la	PP3FSA00	lo
haga	haga	VMSP0S0	hacer
	,	Fc	,
entonses	entonces	RG	entonces
sera	será	VSIF3S0	ser
de	de	SPS00	de
ynportancya	importancia	NCFS000	importancia
asestyr	asistir	VMN0000	asistir
a	a	SPS00	a
ello	ello	PD0NN000	ello
y	y	CC	y
estara	estará	VMIF3S0	estar
mas	más	RC	más
sobrellevado	sobrellevado	VMP00SM	sobrellevar
don	don	NP00000	don
ju	Juan	NP00000	juan
	.	Fp	.
dyos	Dios	NP00000	dios
le	le	PP3CSD00	le
gde	guarde	VMSP0S0	guardar
	.	Fp	.
tyene	Tiene	VMIP3S0	tener
tan	tan	RC	tan
gde	grande	AQ0CS0	grande
entendymyento	entendimiento	NCMS000	entendimiento
q	que	PR0CN000	que
toma	toma	VMIP3S0	tomar
parezer	parecer	NCMS000	parecer
de	de	SPS00	de
quyen	quien	PR0CS000	quien
sabe	sabe	VMIP3S0	saber
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
da	da	VMIP3S0	dar
con	con	SPS00	con
las	las	DA0FP0	el
beras	veras	NCFP000	vera
q	que	PR0CN000	que
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
no	no	RN	no
hara	hará	VMIF3S0	hacer
mudansa	mudanza	NCFS000	mudanza
de	de	SPS00	de
la	la	DA0FS0	el
casa	casa	NCFS000	casa
asta	hasta	SPS00	hasta
estar	estar	VMN0000	estar
muy	muy	RQ	muy
pa	para	SPS00	para
tenerla	tenerla	VMN0000+PP3FSA00	tener+lo
en	en	SPS00	en
madryd	Madrid	NP00000	madrid
	,	Fc	,
como	como	CS	como
es	es	VSIP3S0	ser
rrazon	razón	NCFS000	razón
	.	Fp	.
yo	Yo	PP1CSN00	yo
quysera	quisiera	VMSI0S0	querer
tener	tener	VMN0000	tener
muchas	muchas	DI0FP0	mucho
muy	muy	RQ	muy
a	a	SPS00	a
proposyto	propósito	NCMS000	propósito
y	y	CC	y
saberlas	saberlas	VMN0000+PP3FPA00	saber+lo
dezyr	decir	VMN0000	decir
pa	para	SPS00	para
poder	poder	VMN0000	poder
encarezer	encarecer	VMN0000	encarecer
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
q	que	CS	que
vm	VM	NP00000	VM
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
a	a	SPS00	a
mys	mis	DP1CPS	mi
hrnos	hermanos	NCMP000	hermano
	.	Fp	.
la	La	DA0FS0	el
q	que	PR0CN000	que
a	a	SPS00	a
my	mí	PP1CSO00	mí
me	me	PP1CS000	me
hyzo	hizo	VMIS3S0	hacer
en	en	SPS00	en
las	las	DA0FP0	el
mercaduryas	mercaduría	NCFS000	mercaduría
q	que	CS	que
a	a	SPS00	a
don	don	NP00000	don
ju	Juan	NP00000	juan
se	se	P00CN000	se
bendyeron	vendieron	VMIS3P0	vender
	,	Fc	,
q	que	CS	que
no	no	RN	no
se	sé	VMIP1S0	saber
sy	si	CSI	si
vm	VM	NP00000	VM
estava	estaba	VMII0S0	estar
en	en	SPS00	en
su	su	DP3CS0	su
juycyo	juicio	NCMS000	juicio
	,	Fc	,
q	que	CS	que
tan	tan	RC	tan
baratas	baratas	NCFP000	barata
se	se	PP3CN000	se
las	las	PP3FPA00	lo
dyo	dio	VMIS3S0	dar
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
dyos	Dios	NP00000	dios
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
q	que	CS	que
en	en	SPS00	en
buen	buen	AQ0MS0	bueno
deposyto	depósito	NCMS000	depósito
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
echado	echado	VMP0000	echar
	,	Fc	,
pues	pues	CS	pues
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
balyeremos	valiéremos	VMSF1P0	valer
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
muy	muy	RQ	muy
de	de	SPS00	de
beras	veras	NCFP000	vera
pa	para	SPS00	para
servyr	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
a	a	SPS00	a
sus	sus	DP3CP0	su
cosas	cosas	NCFP000	cosa
	.	Fp	.
lyndas	Lindas	NP00000	lindas
son	son	VSIP3P0	ser
las	las	DA0FP0	el
q	que	PR0CN000	que
trugo	trajo	VMIS3S0	traer
don	don	NP00000	don
ju	Juan	NP00000	juan
	,	Fc	,
por	por	SPS00	por
syerto	cierto	AQ0MS0	cierto
	.	Fp	.
y	Y	CC	y
las	las	DA0FP0	el
salamanqsas	salamanquesas	NCFP000	salamanquesa
no	no	RN	no
pense	pensé	VMIS1S0	pensar
q	que	CS	que
bolvyeran	volvieran	VMSI3P0	volver
a	a	SPS00	a
my	mi	DP1CSS	mi
poder	poder	NCMS000	poder
	,	Fc	,
q	que	CS	que
e	he	VAIP1S0	haber
olgado	holgado	VMP0000	holgar
mucho	mucho	RQ	mucho
con	con	SPS00	con
ellas	ellas	PP3FP000	ellos
y	y	CC	y
con	con	SPS00	con
la	la	DA0FS0	el
dyana	diana	NCFS000	diana
y	y	CC	y
sortyjas	sortijas	NCFP000	sortija
	,	Fc	,
q	que	CS	que
son	son	VSIP3P0	ser
en	en	SPS00	en
estremo	extremo	NCMS000	extremo
buenas	buenas	AQ0FP0	bueno
	.	Fp	.
todo	Todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
pa	para	SPS00	para
my	mí	PP1CSO00	mí
	.	Fp	.
y	Y	CC	y
asy	así	RG	así
no	no	RN	no
quyero	quiero	VMIP1S0	querer
nada	nada	RQ	nada
en	en	SPS00	en
deposyto	depósito	NCMS000	depósito
	,	Fc	,
syno	sino	CC	sino
q	que	CS	que
se	se	P00CN000	se
cunpla	cumpla	VMSP0S0	cumplir
lo	lo	DA0NS0	el
consertado	concertado	VMP00SM	concertar
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
se	se	P00CN000	se
llevara	llevará	VMIF3S0	llevar
a	a	SPS00	a
vm	VM	NP00000	VM
la	la	DA0FS0	el
escrytura	escritura	NCFS000	escritura
como	como	CS	como
manda	manda	VMIP3S0	mandar
y	y	CC	y
se	se	P00CN000	se
procurara	procurará	VMIF3S0	procurar
cumplylla	cumplirla	VMN0000+PP3FSA00	cumplir+lo
	,	Fc	,
sy	si	CS	si
fuere	fuere	VSSF0S0	ser
pusyble	posible	AQ0CS0	posible
	,	Fc	,
antes	antes	RG	antes
del	del	SPS00+DA0MS0	de+el
tyenpo	tiempo	NCMS000	tiempo
	,	Fc	,
y	y	CC	y
los	los	DA0MP0	el
myll	mil	Z	1000
ducados	ducados	NCMP000	ducado
q	que	PR0CN000	que
devemos	debemos	VMIP1P0	deber
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
todo	Todo	PI0MS000	todo
se	se	P00CN000	se
hara	hará	VMIF3S0	hacer
de	de	SPS00	de
manera	manera	NCFS000	manera
q	que	CS	que
vm	VM	NP00000	VM
sea	sea	VSSP0S0	ser
servydo	servido	VMP00SM	servir
y	y	CC	y
pagado	pagado	VMP0000	pagar
muy	muy	RQ	muy
a	a	SPS00	a
su	su	DP3CS0	su
gusto	gusto	NCMS000	gusto
	,	Fc	,
pues	pues	CS	pues
vm	VM	NP00000	VM
nos	nos	PP1CP000	nos
haze	hace	VMIP3S0	hacer
tanta	tanta	DI0FS0	tanto
mrd	merced	NCFS000	merced
	.	Fp	.
y	Y	CC	y
nos	nos	PP1CP000	nos
lo	lo	PP3CNA00	lo
da	da	VMIP3S0	dar
con	con	SPS00	con
las	las	DA0FP0	el
beras	veras	NCFP000	vera
q	que	CS	que
syenpre	siempre	RG	siempre
confye	confié	VMIS1S0	confiar
de	de	SPS00	de
la	la	DA0FS0	el
q	que	PR0CN000	que
e	he	VAIP1S0	haber
rrezyvydo	recibido	VMP0000	recibir
de	de	SPS00	de
las	las	DA0FP0	el
ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
myll	Mil	Z	1000
beses	veces	NCFP000	vez
ls	las	PP3FPA00	lo
beso	beso	VMIP1S0	besar
por	por	SPS00	por
la	la	DA0FS0	el
q	que	PR0CN000	que
hyzo	hizo	VMIS3S0	hacer
a	a	SPS00	a
dyego	Diego	NP00000	diego
	,	Fc	,
q	que	CS	que
son	son	VSIP3P0	ser
muy	muy	RQ	muy
buenas	buenas	AQ0FP0	bueno
las	las	DA0FP0	el
causas	causas	NCFP000	causa
	.	Fp	.
y	Y	CC	y
las	las	PP3FPA00	lo
beso	beso	VMIP1S0	besar
a	a	SPS00	a
my	mi	DP1CSS	mi
ayjado	ahijado	NCMS000	ahijado
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
hrno	hermano	NCMS000	hermano
	.	Fp	.
q	Que	CS	que
los	los	PP3MPA00	lo
bea	vea	VMSP0S0	ver
vm	VM	NP00000	VM
como	como	CS	como
desea	desea	VMIP3S0	desear
y	y	CC	y
a	a	SPS00	a
my	mí	PP1CSO00	mí
me	me	PP1CS000	me
de	dé	VMSP0S0	dar
byda	vida	NCFS000	vida
como	como	CS	como
los	los	PP3MPA00	lo
syrva	sirva	VMSP0S0	servir
	,	Fc	,
conozyendo	conociendo	VMG0000	conocer
syenpre	siempre	RG	siempre
las	las	DA0FP0	el
muchas	muchas	DI0FP0	mucho
oblygacyones	obligaciones	NCFP000	obligación
q	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
a	a	SPS00	a
sus	sus	DP3CP0	su
padres	padres	NCMP000	padre
	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
q	que	CS	que
los	los	PP3MPA00	lo
conosco	conozco	VMIP1S0	conocer
como	como	CS	como
lo	lo	PP3CNA00	lo
devo	debo	VMIP1S0	deber
	,	Fc	,
le	le	PP3CSD00	le
suplyco	suplico	VMIP1S0	suplicar
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
en	en	SPS00	en
q	que	CS	que
le	le	PP3CSD00	le
syrva	sirva	VMSP0S0	servir
	.	Fp	.
mucho	Mucho	RQ	mucho
me	me	PP1CS000	me
e	he	VAIP1S0	haber
alegrado	alegrado	VMP0000	alegrar
del	del	SPS00+DA0MS0	de+el
descanso	descanso	NCMS000	descanso
q	que	CS	que
vm	VM	NP00000	VM
tyene	tiene	VMIP3S0	tener
	,	Fc	,
anq	aunque	CS	aunque
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
muy	muy	RQ	muy
gran	gran	AQ0CS0	gran
perdyda	pérdida	NCFS000	pérdida
ber	ver	VMN0000	ver
a	a	SPS00	a
vm	VM	NP00000	VM
fuera	fuera	RG	fuera
de	de	SPS00	de
la	la	DA0FS0	el
Casa	casa	NCFS000	casa
del	del	SPS00+DA0MS0	de+el
Cardenal	cardenal	NCMS000	cardenal
	.	Fp	.
lo	Lo	DA0NS0	el
devamos	debamos	VMSP1P0	deber
los	los	DA0MP0	el
d	de	SPS00	de
esta	ésta	PD0FS000	este
con	con	SPS00	con
pasencya	paciencia	NCFS000	paciencia
por	por	SPS00	por
ber	ver	VMN0000	ver
a	a	SPS00	a
vm	VM	NP00000	VM
en	en	SPS00	en
la	la	DA0FS0	el
suya	suya	PX3FS000	suyo
contento	contento	AQ0MS0	contento
	.	Fp	.
yo	Yo	PP1CSN00	yo
le	le	PP3CSD00	le
tengo	tengo	VMIP1S0	tener
arto	harto	DI0MS0	harto
gde	grande	AQ0CS0	grande
de	de	SPS00	de
q	que	CS	que
no	no	RN	no
baya	vaya	VMSP0S0	ir
don	don	NP00000	don
ju	Juan	NP00000	juan
a	a	SPS00	a
madryd	Madrid	NP00000	madrid
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
lo	lo	PP3CNA00	lo
dygo	digo	VMIP1S0	decir
otra	otra	DI0FS0	otro
bes	vez	NCFS000	vez
porq	porque	CS	porque
vm	VM	NP00000	VM
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
escryva	escriba	VMSP0S0	escribir
syenpre	siempre	RG	siempre
	:	Fd	:
q	que	CS	que
no	no	RN	no
acuda	acuda	VMSP0S0	acudir
a	a	SPS00	a
su	su	DP3CS0	su
nego	negocio	NCMS000	negocio
sy	si	CS	si
no	no	RN	no
fuera	fuera	VSSI0S0	ser
en	en	SPS00	en
coluntura	coyuntura	NCFS000	coyuntura
q	que	CS	que
sea	sea	VSSP0S0	ser
de	de	SPS00	de
probecho	provecho	NCMS000	provecho
	.	Fp	.
alo	Halo	VAIP3S0+PP3CNA00	haber+lo
sydo	sido	VSP0000	ser
tanto	tanto	RC	tanto
la	la	DA0FS0	el
ausencya	ausencia	NCFS000	ausencia
q	que	CS	que
don	don	NP00000	don
ju	Juan	NP00000	juan
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
por	por	SPS00	por
alla	allá	RG	allá
pa	para	SPS00	para
enflaqserme	enflaquecerme	VMN0000+PP1CS000	enflaquecer+me
q	que	CS	que
lo	lo	PP3CNA00	lo
estoy	estoy	VMIP1S0	estar
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
como	como	CS	como
muy	muy	RQ	muy
poco	poco	RQ	poco
y	y	CC	y
hago	hago	VMIP1S0	hacer
lo	lo	DA0NS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
algun	algún	DI0MS0	alguno
esersyçyo	ejercicio	NCMS000	ejercicio
	.	Fp	.
q	Que	CS	que
esta	está	VMIP3S0	estar
tan	tan	RC	tan
bonyto	bonito	AQ0MS0	bonito
dyego	Diego	NP00000	diego
q	que	CS	que
deseo	deseo	VMIP1S0	desear
q	que	CS	que
dyos	Dios	NP00000	dios
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
otros	otros	DI0MP0	otro
hrnos	hermanos	NCMP000	hermano
	,	Fc	,
el	el	DA0MS0	el
cual	cual	PR0CS000	cual
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
como	como	CS	como
puede	puede	VMIP3S0	poder
y	y	CC	y
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
los	los	DA0MP0	el
descansos	descansos	NCMP000	descanso
q	que	PR0CN000	que
deseamos	deseamos	VMIP1P0	desear
en	en	SPS00	en
esta	esta	DD0FS0	este
casa	casa	NCFS000	casa
	.	Fp	.
muy	Muy	RQ	muy
buenas	buenas	AQ0FP0	bueno
berenjenas	berenjenas	NCFP000	berenjena
tengo	tengo	VMIP1S0	tener
echas	hechas	VMP00PF	hacer
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
porq	porque	CS	porque
las	las	PP3FPA00	lo
enbyare	enviaré	VMIF1S0	enviar
con	con	SPS00	con
algunas	algunas	DI0FP0	alguno
sesynas	cecinas	NCFP000	cecina
	,	Fc	,
no	no	RN	no
las	las	PP3FPA00	lo
lleva	lleva	VMIP3S0	llevar
el	el	DA0MS0	el
arryero	arriero	NCMS000	arriero
	.	Fp	.
de	De	SPS00	de
san	San	NP00000	san
myguel	Miguel	NP00000	miguel
	,	Fc	,
a	a	SPS00	a
xv	XV	Z	15
de	de	SPS00	de
marso	marzo	NCMS000	marzo
	.	Fp	.
doña	Doña	NP00000	don
teresa	Teresa	NP00000	teresa
de	de	SPS00	de
saavedra	Saavedra	NP00000	saavedra
y	y	CC	y
çuñiga	Zúñiga	NP00000	zúñiga
