Marranuda	Marranuda	X	x
ora	hora	NCFS000	hora
	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
les	les	PP3CPD00	le
escapo	escapó	VMIS3S0	escapar
dejando	dejando	VMG0000	dejar
un	un	DI0MS0	uno
caballo	caballo	NCMS000	caballo
y	y	CC	y
unas	unas	DI0FP0	uno
alforjas	alforjas	NCFP000	alforja
con	con	SPS00	con
unos	unos	DI0MP0	uno
panuelos	pañuelos	NCMP000	pañuelo
dentro	dentro	RG	dentro
	,	Fc	,
los	los	DA0MP0	el
cuales	cuales	PR0CP000	cual
estan	están	VMIP3P0	estar
entregados	entregados	NCMP000	entregado
en	en	SPS00	en
mi	mi	DP1CSS	mi
Poder	poder	NCMS000	poder
asta	hasta	SPS00	hasta
que	que	CS	que
venga	venga	VMSP0S0	venir
vmd	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
tambien	también	RG	también
se	se	P00CN000	se
an	han	VAIP3P0	haber
arrestado	arrestado	VMP0000	arrestar
el	el	DA0MS0	el
criado	criado	NCMS000	criado
del	del	SPS00+DA0MS0	de+el
erido	herido	VMP00SM	herir
y	y	CC	y
el	el	DA0MS0	el
amo	amo	NCMS000	amo
de	de	SPS00	de
la	la	DA0FS0	el
casa	casa	NCFS000	casa
donde	donde	PA000000	donde
estaba	estaba	VMII0S0	estar
resguardado	resguardado	VMP00SM	resguardar
	.	Fp	.
y	Y	CC	y
no	no	RN	no
ofreciendo	ofreciendo	VMG0000	ofrecer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	,	Fc	,
mande	mande	VMSP0S0	mandar
vmd	VM	NP00000	VM
a	a	SPS00	a
este	este	DD0MS0	este
su	su	DP3CS0	su
mas	más	RC	más
atento	atento	AQ0MS0	atento
y	y	CC	y
seguro	seguro	AQ0MS0	seguro
servidor	servidor	NCMS000	servidor
qe	que	PR0CN000	que
B	besa	VMIP3S0	besar
S	su	DP3CS0	su
M	mano	NCFS000	mano
	.	Fp	.
Marcos	Marcos	NP00000	marcos
de	de	SPS00	de
Gochicoa	Gochicoa	NP00000	gochicoa
Sor	Señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Ynacio	Ignacio	NP00000	ignacio
Prada	Prada	NP00000	prada
	.	Fp	.
