Billalon	Villalón	NP00000	villalón
bio	vio	VMIS3S0	ver
o	o	CC	o
si	si	CS	si
mi	mi	DP1CSS	mi
ermano	hermano	NCMS000	hermano
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
deClarao	declarado	VMP0000	declarar
	,	Fc	,
qe	que	CS	que
estas	estas	DD0FP0	este
cosas	cosas	NCFP000	cosa
son	son	VSIP3P0	ser
mui	muy	RQ	muy
delicadas	delicadas	AQ0FP0	delicado
.	,	Fc	,
qe	que	CS	que
ai	hay	VMIP3S0	haber
que	que	CS	que
dir	ir	VMN0000	ir
con	con	SPS00	con
el	el	DA0MS0	el
pi	pie	NCMS000	pie
asentado	asentado	VMP00SM	asentar
,	.	Fp	.
tanbien	También	RG	también
me	me	PP1CS000	me
diras	dirás	VMIF2S0	decir
quien	quién	PT0CS000	quién
es	es	VSIP3S0	ser
el	el	DA0MS0	el
fiscal	fiscal	NCMS000	fiscal
de	de	SPS00	de
la	la	DA0FS0	el
causa	causa	NCFS000	causa
y	y	CC	y
como	cómo	PA000000	cómo
esta	está	VMIP3S0	estar
mi	mi	DP1CSS	mi
Padre	padre	NCMS000	padre
y	y	CC	y
Mi	mi	DP1CSS	mi
madre	madre	NCFS000	madre
presos	presos	AQ0MP0	preso
	,	Fc	,
si	si	CS	si
estaban	estaban	VMII3P0	estar
tanbien	también	RG	también
presentes	presentes	AQ0CP0	presente
,	,	Fc	,
por	por	SPS00	por
qe	qué	PT0CN000	qué
an	han	VAIP3P0	haber
enbargao	embargado	VMP0000	embargar
los	los	DA0MP0	el
bienes	bienes	NCMP000	bien
a	a	SPS00	a
mi	mi	DP1CSS	mi
Padre	padre	NCMS000	padre
,	,	Fc	,
aunqe	aunque	CS	aunque
d	de	SPS00	de
eso	eso	PD0NN000	eso
no	no	RN	no
m	me	PP1CS000	me
estraño	extraño	VMIP1S0	extrañar
asta	hasta	SPS00	hasta
qe	que	CS	que
el	el	DA0MS0	el
rreo	reo	NCMS000	reo
no	no	RN	no
se	se	P00CN000	se
declare	declare	VMSP0S0	declarar
,	.	Fp	.
A	A	SPS00	a
mi	mi	DP1CSS	mi
padre	padre	NCMS000	padre
le	le	PP3CSD00	le
diras	dirás	VMIF2S0	decir
cuando	cuando	PA000000	cuando
puedas	puedas	VMSP2S0	poder
qe	que	CS	que
no	no	RN	no
tenga	tenga	VMSP0S0	tener
pesadunbre	pesadumbre	NCFS000	pesadumbre
	,	Fc	,
qe	que	CS	que
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
cosa	cosas	NCFP000	cosa
se	se	P00CN000	se
conponen	componen	VMIP3P0	componer
por	por	SPS00	por
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
	,	Fc	,
qe	que	CS	que
no	no	RN	no
ai	hay	VMIP3S0	haber
mas	más	RC	más
qe	que	CS	que
tener	tener	VMN0000	tener
paciencia	paciencia	NCFS000	paciencia
	,	Fc	,
qe	que	CS	que
asta	hasta	SPS00	hasta
qe	que	CS	que
no	no	RN	no
se	se	P00CN000	se
comcluya	concluya	VMSP0S0	concluir
la	la	DA0FS0	el
sumaria	sumaria	NCFS000	sumaria
y	y	CC	y
se	se	P00CN000	se
bea	vea	VMSP0S0	ver
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
rresulta	resulta	VMIP3S0	resultar
se	se	P00CN000	se
tiene	tiene	VMIP3S0	tener
qe	que	CS	que
sufrir	sufrir	VMN0000	sufrir
,	.	Fp	.
a	A	SPS00	a
mi	mi	DP1CSS	mi
ermano	hermano	NCMS000	hermano
	,	Fc	,
qe	que	CS	que
se	se	P00CN000	se
atenga	atenga	VMSP0S0	atener
sienpre	siempre	RG	siempre
a	a	SPS00	a
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
deClaracion	declaración	NCFS000	declaración
qe	que	CS	que
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
	,	Fc	,
qe	que	CS	que
aquella	aquélla	PD0FS000	aquel
la	la	PP3FSA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
tener	tener	VMN0000	tener
en	en	SPS00	en
el	el	DA0MS0	el
pensamiento	pensamiento	NCMS000	pensamiento
como	como	CS	como
El	el	DA0MS0	el
padrenuetro	padrenuestro	NCMS000	padrenuestro
	,	Fc	,
sin	sin	SPS00	sin
añadir	añadir	VMN0000	añadir
ni	ni	CCN	ni
quitar	quitar	VMN0000	quitar
	;	Fx	;
y	y	CC	y
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
an	han	VMIP3P0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
los	los	DA0MP0	el
demas	demás	PI0CP000	demás
	,	Fc	,
qe	que	CS	que
se	se	P00CN000	se
bayan	vayan	VMSP3P0	ir
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
tiento	tiento	NCMS000	tiento
	,	Fc	,
qe	que	CS	que
eso	eso	PD0NN000	eso
les	les	PP3CPA00	le
a	ha	VMIP3S0	haber
de	de	SPS00	de
salbar	salvar	VMN0000	salvar
	,	Fc	,
qe	que	CS	que
bayan	vayan	VMSP3P0	ir
las	las	DA0FP0	el
declaracion	declaraciones	NCFP000	declaración
unas	unas	PI0FP000	uno
con	con	SPS00	con
otras	otras	PI0FP000	otro
bien	bien	CC	bien
	,	Fc	,
qe	que	CS	que
yo	yo	PP1CSN00	yo
qreo	creo	VMIP1S0	creer
qe	que	CS	que
abra	habrá	VMIF3S0	haber
ya	ya	RG	ya
un	un	DI0MS0	uno
ojo	ojo	NCMS000	ojo
	,	Fc	,
qe	que	CS	que
de	de	SPS00	de
aturdidos	aturdidos	VMP00PM	aturdir
qe	que	CS	que
se	se	P00CN000	se
abran	habrán	VAIF3P0	haber
bisto	visto	VMP0000	ver
no	no	RN	no
abran	habrán	VAIF3P0	haber
sabido	sabido	VMP0000	saber
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
se	se	P00CN000	se
azen	hacen	VMIP3P0	hacer
,	.	Fp	.
Ermano	Hermano	NP00000	hermano
	,	Fc	,
tu	tú	PP2CSN00	tú
me	me	PP1CS000	me
diras	dirás	VMIF2S0	decir
qe	que	CS	que
como	cómo	PA000000	cómo
no	no	RN	no
boy	voy	VMIP1S0	ir
a	a	SPS00	a
esa	ésa	PD0FS000	ese
	.	Fp	.
mas	Más	RC	más
lo	lo	PP3CNA00	lo
siento	siento	VMIP1S0	sentir
yo	yo	PP1CSN00	yo
qe	que	CS	que
tu	tú	PP2CSN00	tú
,	,	Fc	,
pero	pero	CC	pero
los	los	DA0MP0	el
Gefes	jefes	NCMP000	jefe
lo	lo	PP3CNA00	lo
an	han	VAIP3P0	haber
sabido	sabido	VMP0000	saber
y	y	CC	y
me	me	PP1CS000	me
an	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
qe	que	CS	que
por	por	SPS00	por
aora	ahora	RG	ahora
de	de	SPS00	de
dinguna	ninguna	DI0FS0	ninguno
las	las	DA0FP0	el
maneras	maneras	NCFP000	manera
asta	hasta	SPS00	hasta
qe	que	CS	que
esto	esto	PD0NN000	esto
no	no	RN	no
pase	pase	VMSP0S0	pasar
mas	más	RC	más
tinpo	tiempo	NCMS000	tiempo
	,	Fc	,
qe	que	CS	que
m	me	PP1CS000	me
estiman	estiman	VMIP3P0	estimar
y	y	CC	y
qe	que	CS	que
no	no	RN	no
quiren	quieren	VMIP3P0	querer
qe	que	CS	que
me	me	PP1CS000	me
pierda	pierda	VMSP0S0	perder
	,	Fc	,
qe	que	CS	que
lugar	lugar	NCMS000	lugar
me	me	PP1CS000	me
qeda	queda	VMIP3S0	quedar
,	.	Fp	.
tengo	Tengo	VMIP1S0	tener
echa	hecha	VMP00SF	hacer
la	la	DA0FS0	el
istancia	instancia	NCFS000	instancia
a	a	SPS00	a
el	el	DA0MS0	el
Capitan	capitán	NCMS000	capitán
General	general	AQ0CS0	general
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
cuando	cuándo	PA000000	cuándo
se	se	P00CN000	se
me	me	PP1CS000	me
dara	dará	VMIF3S0	dar
	;	Fx	;
Dios	Dios	NP00000	dios
quera	quiera	VMSP0S0	querer
qe	que	CS	que
sea	sea	VSSP0S0	ser
mui	muy	RQ	muy
pronto	pronto	RG	pronto
,	.	Fp	.
con	Con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
	.	Fp	.
a	A	SPS00	a
mis	mis	DP1CPS	mi
Padres	padres	NCMP000	padre
y	y	CC	y
ermano	hermano	NCMS000	hermano
	,	Fc	,
qe	que	CS	que
lleben	lleven	VMSP3P0	llevar
los	los	DA0MP0	el
trabajos	trabajos	NCMP000	trabajo
Com	con	SPS00	con
paciencia	paciencia	NCFS000	paciencia
	,	Fc	,
qe	que	CS	que
de	de	SPS00	de
sufridos	sufridos	VMP00PM	sufrir
es	es	VSIP3S0	ser
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
	,	Fc	,
qe	que	CS	que
Dios	Dios	NP00000	dios
pondra	pondrá	VMIF3S0	poner
rremedio	remedio	NCMS000	remedio
en	en	SPS00	en
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
y	y	CC	y
todo	todo	PI0MS000	todo
se	se	P00CN000	se
conpondra	compondrá	VMIF3S0	componer
,	.	Fp	.
a	A	SPS00	a
la	la	DA0FS0	el
Quica	Quica	NP00000	quica
y	y	CC	y
la	la	DA0FS0	el
maria	María	NP00000	maría
dalas	dalas	VMM02S0+PP3FPD00	dar+lo
muchos	muchos	DI0MP0	mucho
rregaos	recados	NCMP000	recado
y	y	CC	y
á	a	SPS00	a
la	la	DA0FS0	el
maria	María	NP00000	maría
	,	Fc	,
qe	que	CS	que
no	no	RN	no
se	se	P00CN000	se
aflija	aflija	VMSP0S0	afligir
	.	Fp	.
y	Y	CC	y
tu	tú	PP2CSN00	tú
manda	manda	VMM02S0	mandar
a	a	SPS00	a
este	este	DD0MS0	este
tu	tu	DP2CSS	tu
desGraciado	desgraciado	VMP00SM	desgraciar
ermano	hermano	NCMS000	hermano
	,	Fc	,
qe	que	CS	que
cuando	cuando	PA000000	cuando
mas	más	RC	más
a	a	SPS00	a
gusto	gusto	NCMS000	gusto
esta	está	VMIP3S0	estar
entonzes	entonces	RG	entonces
le	le	PP3CSD00	le
vienen	vienen	VMIP3P0	venir
los	los	DA0MP0	el
sentimientos	sentimientos	NCMP000	sentimiento
	.	Fp	.
aDios	Adiós	I	adiós
	.	Fp	.
Marcelo	Marcelo	NP00000	marcelo
Plaza	Plaza	NP00000	plaza
espero	Espero	VMIP1S0	esperar
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
pongas	pongas	VMSP2S0	poner
todo	todo	PI0MS000	todo
con	con	SPS00	con
Claridad	claridad	NCFS000	claridad
y	y	CC	y
como	cómo	PA000000	cómo
estan	están	VMIP3P0	estar
la	las	DA0FP0	el
deClaraciones	declaraciones	NCFP000	declaración
	.	Fp	.
tanbien	También	RG	también
me	me	PP1CS000	me
diras	dirás	VMIF2S0	decir
donde	dónde	PA000000	dónde
padecio	pareció	VMIS3S0	parecer
muerto	muerto	VMP00SM	morir
	,	Fc	,
quin	quién	PT0CS000	quién
lo	lo	PP3MSA00	lo
llebo	llevó	VMIS3S0	llevar
a	a	SPS00	a
el	el	DA0MS0	el
sitio	sitio	NCMS000	sitio
	,	Fc	,
quin	quién	PT0CS000	quién
le	le	PP3CSA00	le
bio	vio	VMIS3S0	ver
llebar	llevar	VMN0000	llevar
o	o	CC	o
matar	matar	VMN0000	matar
	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
segun	según	SPS00	según
me	me	PP1CS000	me
an	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
sabe	sabe	VMIP3S0	saber
quin	quién	PT0CS000	quién
es	es	VSIP3S0	ser
mas	más	RC	más
qe	que	CS	que
por	por	SPS00	por
suspecha	sospecha	NCFS000	sospecha
	.	Fp	.
aDios	Adiós	I	adiós
	.	Fp	.
la	La	DA0FS0	el
carta	carta	NCFS000	carta
qe	que	PR0CN000	que
ba	va	VMIP3S0	ir
para	para	SPS00	para
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
se	se	PP3CN000	se
la	la	PP3FSA00	lo
rremitiras	remitirás	VMIF2S0	remitir
en	en	SPS00	en
cuanto	cuanto	PA000000	cuanto
llege	llegue	VMSP0S0	llegar
por	por	SPS00	por
el	el	DA0MS0	el
nino	niño	NCMS000	niño
	.	Fp	.
