Yllmo	Ilustrísimo	AQSMS0	ilustre
visos	visos	NCMP000	viso
de	de	SPS00	de
que	que	CS	que
se	se	P00CN000	se
pronuncie	pronuncie	VMSP0S0	pronunciar
por	por	SPS00	por
las	las	DA0FP0	el
ningunas	ningunas	DI0FP0	ninguno
fuerzas	fuerzas	NCFP000	fuerza
físicas	físicas	AQ0FP0	físico
ni	ni	CC	ni
morales	morales	AQ0CP0	moral
que	que	PR0CN000	que
acompañan	acompañan	VMIP3P0	acompañar
al	al	SPS00+DA0MS0	a+el
govierno	gobierno	NCMS000	gobierno
Español	español	AQ0MS0	español
,	.	Fp	.
y	Y	CC	y
ademas	además	RG	además
que	que	CS	que
por	por	SPS00	por
la	la	DA0FS0	el
Alemania	Alemania	NP00000	alemania
parece	parece	VMIP3S0	parecer
amena=zar	amenazar	VMN0000	amenazar
á	a	SPS00	a
la	la	DA0FS0	el
Francia	Francia	NP00000	francia
con	con	SPS00	con
el	el	DA0MS0	el
pequeño	pequeño	AQ0MS0	pequeño
Napoleon	Napoleón	NP00000	napoleón
.	.	Fp	.
En	En	SPS00	en
medio	medio	NCMS000	medio
de	de	SPS00	de
este	este	DD0MS0	este
contraste	contraste	NCMS000	contraste
de	de	SPS00	de
cosas	cosas	NCFP000	cosa
	,	Fc	,
se	se	P00CN000	se
vé	ve	VMIP3S0	ver
que	que	CS	que
á	a	SPS00	a
los	los	DA0MP0	el
facciosos	facciosos	NCMP000	faccioso
de	de	SPS00	de
esa	esa	DD0FS0	ese
nacion	nación	NCFS000	nación
destinados	destinados	NCMP000	destinado
á	a	SPS00	a
Palencia	Palencia	NP00000	palencia
y	y	CC	y
otros	otros	DI0MP0	otro
depositos	depósitos	NCMP000	depósito
van	van	VMIP3P0	ir
armandolos	armándolos	VMG0000+PP3MPA00	armar+lo
y	y	CC	y
municionandolos	municionándolos	VMG0000+PP3MPA00	municionar+lo
como	como	CS	como
sucedio	sucedió	VMIS3S0	suceder
en	en	SPS00	en
tiempos	tiempos	NCMP000	tiempo
pasados	pasados	NCMP000	pasado
,	.	Fp	.
y	Y	CC	y
ademas	además	RG	además
llaman	llaman	VMIP3P0	llamar
a	a	SPS00	a
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
Regimtos	regimientos	NCMP000	regimiento
de	de	SPS00	de
milicias	milicias	NCFP000	milicia
para	para	SPS00	para
ponerse	ponerse	VMN0000+P00CN000	poner+se
sobre	sobre	SPS00	sobre
las	las	DA0FP0	el
armas	armas	NCFP000	arma
para	para	SPS00	para
el	el	DA0MS0	el
15	15	Z	15
del	del	SPS00+DA0MS0	de+el
actual	actual	AQ0CS0	actual
,	,	Fc	,
motibo	motivo	NCMS000	motivo
por	por	SPS00	por
que	que	CS	que
sale	sale	VMIP3S0	salir
el	el	DA0MS0	el
Provincial	provincial	NCMS000	provincial
de	de	SPS00	de
Ciudad	Ciudad	NP00000	ciudad
Rodrigo	Rodrigo	NP00000	rodrigo
para	para	SPS00	para
Alcañices	Alcañices	NP00000	alcañices
y	y	CC	y
los	los	DA0MP0	el
de	de	SPS00	de
Toro	Toro	NP00000	toro
y	y	CC	y
Abila	Ávila	NP00000	ávila
para	para	SPS00	para
las	las	DA0FP0	el
fronteras	fronteras	NCFP000	frontera
de	de	SPS00	de
Almeyda	Almeida	NP00000	almeida
,	,	Fc	,
y	y	CC	y
formar	formar	VMN0000	formar
parte	parte	NCFS000	parte
de	de	SPS00	de
la	la	DA0FS0	el
Division	división	NCFS000	división
que	que	PR0CN000	que
se	se	P00CN000	se
reune	reúne	VMIP3S0	reunir
en	en	SPS00	en
las	las	DA0FP0	el
immediaciones	inmediaciones	NCFP000	inmediación
de	de	SPS00	de
esta	esta	DD0FS0	este
plaza	plaza	NCFS000	plaza
	,	Fc	,
cuya	cuya	PU0FS000	cuyo
muralla	muralla	NCFS000	muralla
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
montada	montada	NCFS000	montada
toda	toda	DI0FS0	todo
de	de	SPS00	de
Cañones	cañones	NCMP000	cañón
y	y	CC	y
en	en	SPS00	en
estado	estado	NCMS000	estado
de	de	SPS00	de
Campaña	campaña	NCFS000	campaña
.	.	Fp	.
Nuestra	Nuestra	DP1FSP	nuestro
tropa	tropa	NCFS000	tropa
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
descontenta	descontenta	NCFS000	descontento
á	a	SPS00	a
causa	causa	NCFS000	causa
de	de	SPS00	de
aver	haber	VAN0000	haber
revajado	rebajado	VMP0000	rebajar
á	a	SPS00	a
cada	cada	DI0CN0	cada
soldado	soldado	NCMS000	soldado
3	3	Z	3
quartos	cuartos	NCMP000	cuarto
de	de	SPS00	de
12	12	Z	12
que	que	PR0CN000	que
anteriormente	anteriormente	RG	anteriormente
perci=via	percibía	VMII0S0	percibir
,	.	Fp	.
dicese	Dícese	VMSP0S0+P00CN000	decir+se
que	que	CS	que
este	este	DD0MS0	este
revajo	rebajo	NCMS000	rebajo
se	se	P00CN000	se
les	les	PP3CPD00	le
hace	hace	VMIP3S0	hacer
para	para	SPS00	para
mejor	mejor	RC	mejor
vestirlos	vestirlos	VMN0000+PP3MPA00	vestir+lo
;	.	Fp	.
vea	Vea	VMSP0S0	ver
VS	VSa	NP00000	VSa
como	cómo	PA000000	cómo
anda	anda	VMIP3S0	andar
todo	todo	PI0MS000	todo
.	.	Fp	.
De	De	SPS00	de
las	las	DA0FP0	el
facciones	facciones	NCFP000	facción
de	de	SPS00	de
Aragon	Aragón	NP00000	aragón
y	y	CC	y
Cataluña	Cataluña	NP00000	cataluña
nada	nada	PI0NN00N	nada
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
vuelto	vuelto	VMP0000	volver
a	a	SPS00	a
decir	decir	VMN0000	decir
,	,	Fc	,
solo	sólo	RG	sólo
que	que	CS	que
se	se	P00CN000	se
han	han	VAIP3P0	haber
aprendido	aprendido	VMP0000	aprender
7	7	Z	7
de	de	SPS00	de
los	los	DA0MP0	el
principales	principales	AQ0CP0	principal
Cavezillas	cabecillas	NCFP000	cabecilla
en	en	SPS00	en
Cataluña	Cataluña	NP00000	cataluña
y	y	CC	y
que	que	CS	que
los	los	PP3MPA00	lo
han	han	VAIP3P0	haber
afusilado	fusilado	VMP0000	fusilar
,	.	Fp	.
por	Por	SPS00	por
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	,	Fc	,
todo	todo	PI0MS000	todo
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
en	en	SPS00	en
una	una	DI0FS0	uno
completa	completa	AQ0FS0	completo
calma	calma	NCFS000	calma
.	.	Fp	.
Quisiera	Quisiera	VMSI0S0	querer
tener	tener	VMN0000	tener
mejores	mejores	AQ0CP0	mejor
datos	datos	NCMP000	dato
para	para	SPS00	para
satisfacer	satisfacer	VMN0000	satisfacer
a	a	SPS00	a
VS	VSa	NP00000	VSa
	,	Fc	,
pero	pero	CC	pero
supla	supla	VMSP0S0	suplir
la	la	DA0FS0	el
vuena	buena	AQ0FS0	bueno
voluntad	voluntad	NCFS000	voluntad
con	con	SPS00	con
que	que	CS	que
tengo	tengo	VMIP1S0	tener
el	el	DA0MS0	el
honor	honor	NCMS000	honor
de	de	SPS00	de
contarme	contarme	VMN0000+PP1CS000	contar+me
entre	entre	SPS00	entre
uno	uno	Z	1
de	de	SPS00	de
sus	sus	DP3CP0	su
amigos	amigos	NCMP000	amigo
,	,	Fc	,
como	como	CS	como
que	que	CS	que
soy	soy	VSIP1S0	ser
su	su	DP3CS0	su
mas	más	RC	más
afmo	afectísimo	AQSMSP	afecto
	.	Fp	.
El	El	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
	,	Fc	,
F	Francisco	NP00000	francisco
PD	PD	NCFS000	posdata
hagame	Hágame	VMSP0S0+PP1CS000	hacer+me
VS	VSa	NP00000	VSa
el	el	DA0MS0	el
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
hacer	hacer	VMN0000	hacer
esta	ésta	PD0FS000	este
presente	presente	AQ0CS0	presente
á	a	SPS00	a
nuestro	nuestro	DP1MSP	nuestro
amigo	amigo	NP00000	amigo
y	y	CC	y
decirle	decirle	VMN0000+PP3CSD00	decir+le
que	que	CS	que
nada	nada	PI0NN00N	nada
mas	más	RC	más
hay	hay	VMIP3S0	haber
por	por	SPS00	por
haora	ahora	RG	ahora
.	.	Fp	.
