Amigo	Amigo	NP00000	amigo
por	por	SPS00	por
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
	(	Fba	(
qe	que	CS	que
no	no	RN	no
venia	venía	VMII0S0	venir
pa	para	SPS00	para
sugeto	sujeto	NCMS000	sujeto
conocido	conocido	VMP00SM	conocer
;	)	Fbt	)
	,	Fc	,
pero	pero	CC	pero
esto	esto	PD0NN000	esto
mismo	mismo	AQ0MS0	mismo
aumentaba	aumentaba	VMII0S0	aumentar
tambien	también	RG	también
la	la	DA0FS0	el
dificultad	dificultad	NCFS000	dificultad
	,	Fc	,
en	en	SPS00	en
razon	razón	NCFS000	razón
de	de	SPS00	de
no	no	RN	no
saber	saber	VMN0000	saber
à	a	SPS00	a
quien	quién	PT0CS000	quién
dirigirme	dirigirme	VMN0000+PP1CS000	dirigir+me
.	.	Fp	.
Por	Por	SPS00	por
otra	otra	DI0FS0	otro
parte	parte	NCFS000	parte
,	,	Fc	,
mi	mi	DP1CSS	mi
salud	salud	NCFS000	salud
y	y	CC	y
particulares	particulares	AQ0CP0	particular
circunstancias	circunstancias	NCFP000	circunstancia
no	no	RN	no
me	me	PP1CS000	me
han	han	VAIP3P0	haber
permitido	permitido	VMP0000	permitir
salir	salir	VMN0000	salir
de	de	SPS00	de
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
para	para	SPS00	para
aquel	aquel	DD0MS0	aquel
punto	punto	NCMS000	punto
,	,	Fc	,
donde	donde	PA000000	donde
hace	hace	VMIP3S0	hacer
cinco	cinco	Z	5
años	años	NCMP000	año
que	que	PR0CN000	que
no	no	RN	no
estoy	estoy	VMIP1S0	estar
ni	ni	CCN	ni
podria	podría	VMIC0S0	poder
ir	ir	VMN0000	ir
sin	sin	SPS00	sin
riesgo	riesgo	NCMS000	riesgo
y	y	CC	y
contingencias	contingencias	NCFP000	contingencia
,	,	Fc	,
las	las	DA0FP0	el
qe	que	PR0CN000	que
seria	sería	VSIC0S0	ser
largo	largo	RG	largo
referir	referir	VMN0000	referir
.	.	Fp	.
Cuando	Cuando	PA000000	cuando
te	te	PP2CS000	te
ofreci	ofrecí	VMIS1S0	ofrecer
encargarme	encargarme	VMN0000+PP1CS000	encargar+me
de	de	SPS00	de
tus	tus	DP2CPS	tu
negocios	negocios	NCMP000	negocio
fue	fue	VMIS3S0	ir
dentro	dentro	RG	dentro
de	de	SPS00	de
la	la	DA0FS0	el
esfera	esfera	NCFS000	esfera
de	de	SPS00	de
mi	mi	DP1CSS	mi
posibilidad	posibilidad	NCFS000	posibilidad
;	,	Fc	,
y	y	CC	y
no	no	RN	no
podia	podía	VMII0S0	poder
ser	ser	VSN0000	ser
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
.	.	Fp	.
Siento	Siento	VMIP1S0	sentir
en	en	SPS00	en
el	el	DA0MS0	el
alma	alma	NCFS000	alma
que	que	CS	que
hayan	hayan	VASP3P0	haber
experimentado	experimentado	VMP0000	experimentar
algun	algún	DI0MS0	alguno
atraso	atraso	NCMS000	atraso
ó	o	CC	o
desconcierto	desconcierto	NCMS000	desconcierto
;	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
ha	ha	VAIP3S0	haber
es-tado	estado	VMP0000	estar
en	en	SPS00	en
mi	mi	DP1CSS	mi
mano	mano	NCFS000	mano
evitarlo	evitarlo	VMN0000+PP3CNA00	evitar+lo
ni	ni	CCN	ni
hacer	hacer	VMN0000	hacer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
.	.	Fp	.
Si	Si	CS	si
me	me	PP1CS000	me
indicases	indicases	VMSI2S0	indicar
el	el	DA0MS0	el
sugeto	sujeto	NCMS000	sujeto
a	a	SPS00	a
quien	quien	PR0CS000	quien
habia	había	VMII0S0	haber
de	de	SPS00	de
enviar	enviar	VMN0000	enviar
la	la	DA0FS0	el
factura	factura	NCFS000	factura
qe	que	PR0CN000	que
para	para	VMIP3S0	parar
en	en	SPS00	en
mi	mi	DP1CSS	mi
poder	poder	NCMS000	poder
,	,	Fc	,
la	la	PP3FSA00	lo
remitiria	remitiría	VMIC0S0	remitir
y	y	CC	y
haria	haría	VMIC0S0	hacer
llegase	llegase	VMSI0S0	llegar
a	a	SPS00	a
sus	sus	DP3CP0	su
manos	manos	NCFP000	mano
;	,	Fc	,
y	y	CC	y
creo	creo	VMIP1S0	creer
que	que	CS	que
aun	aún	RG	aun
serviria	serviría	VMIC0S0	servir
y	y	CC	y
produciria	produciría	VMIC0S0	producir
efecto	efecto	NCMS000	efecto
.	.	Fp	.
Bien	Bien	RG	bien
quisiera	quisiera	VMSI0S0	querer
describirte	describirte	VMN0000+PP2CS000	describir+te
mi	mi	DP1CSS	mi
situacion	situación	NCFS000	situación
para	para	SPS00	para
convencerte	convencerte	VMN0000+PP2CS000	convencer+te
de	de	SPS00	de
qe	que	CS	que
no	no	RN	no
he	he	VAIP1S0	haber
podido	podido	VMP0000	poder
dexar	dejar	VMN0000	dejar
un	un	DI0MS0	uno
instante	instante	NCMS000	instante
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
ni	ni	CCN	ni
separar-me	separarme	VMN0000+PP1CS000	separar+me
de	de	SPS00	de
aqui	aquí	RG	aquí
;	,	Fc	,
pero	pero	CC	pero
esto	esto	PD0NN000	esto
seria	sería	VSIC0S0	ser
muy	muy	RQ	muy
largo	largo	AQ0MS0	largo
.	.	Fp	.
Sin	Sin	SPS00	sin
embargo	embargo	NCMS000	embargo
	,	Fc	,
no	no	RN	no
puedo	puedo	VMIP1S0	poder
omitir	omitir	VMN0000	omitir
el	el	DA0MS0	el
insinuarte	insinuarte	VMN0000+PP2CS000	insinuar+te
qe	que	CS	que
por	por	SPS00	por
una	una	DI0FS0	uno
rara	rara	AQ0FS0	raro
casualidad	casualidad	NCFS000	casualidad
supe	supe	VMIS1S0	saber
con	con	SPS00	con
toda	toda	DI0FS0	todo
evidencia	evidencia	NCFS000	evidencia
de	de	SPS00	de
que	que	CS	que
	,	Fc	,
por	por	SPS00	por
intrigas	intrigas	NCFP000	intriga
del	del	SPS00+DA0MS0	de+el
famoso	famoso	AQ0MS0	famoso
Doctor	doctor	NCMS000	doctor
qe	que	PR0CN000	que
ha	ha	VAIP3S0	haber
vivido	vivido	VMP0000	vivir
en	en	SPS00	en
este	este	DD0MS0	este
pays	país	NCMS000	país
y	y	CC	y
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
declarado	declarado	VMP0000	declarar
mi	mi	DP1CSS	mi
enemigo	enemigo	NCMS000	enemigo
y	y	CC	y
perseguidor	perseguidor	NCMS000	perseguidor
,	,	Fc	,
se	se	P00CN000	se
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
calificado	calificado	VMP0000	calificar
de	de	SPS00	de
exaltadisimo	exaltadísimo	AQSMS0	exaltado
,	,	Fc	,
comunero	comunero	AQ0MS0	comunero
,	,	Fc	,
voluntario	voluntario	AQ0MS0	voluntario
et	etc	NCMS000	etcétera
y	y	CC	y
designado	designado	VMP0000	designar
pr	por	SPS00	por
la	la	DA0FS0	el
opinion	opinión	NCFS000	opinión
pubca	pública	AQ0FS0	público
como	como	SPS00	como
hombre	hombre	NCMS000	hombre
temeroso	temeroso	AQ0MS0	temeroso
ea	etc	NCMS000	etcétera
ea	etc	NCMS000	etcétera
,	.	Fp	.
todo	Todo	DI0MS0	todo
lo	lo	DA0NS0	el
cual	cual	PR0CS000	cual
asi	así	RG	así
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
estampado	estampado	VMP00SM	estampar
en	en	SPS00	en
los	los	DA0MP0	el
indices	índices	NCMP000	índice
de	de	SPS00	de
la	la	DA0FS0	el
Policia	policía	NCFS000	policía
,	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
me	me	PP1CS000	me
veo	veo	VMIP1S0	ver
sobrevigilado	sobrevigilado	VMP00SM	sobrevigilar
y	y	CC	y
con	con	SPS00	con
orden	orden	NCMS000	orden
de	de	SPS00	de
avisar	avisar	VMN0000	avisar
y	y	CC	y
dar	dar	VMN0000	dar
parte	parte	NCFS000	parte
si	si	CS	si
se	se	P00CN000	se
me	me	PP1CS000	me
expide	expide	VMIP3S0	expedir
pasaporte	pasaporte	NCMS000	pasaporte
ó	o	CC	o
lo	lo	PP3MSA00	lo
pido	pido	VMIP1S0	pedir
pa	para	SPS00	para
alguna	alguna	DI0FS0	alguno
parte	parte	NCFS000	parte
.	.	Fp	.
Nada	Nada	PI0NN00N	nada
ha	ha	VAIP3S0	haber
fal-tado	faltado	VMP0000	faltar
pa	para	SPS00	para
qe	que	CS	que
me	me	PP1CS000	me
hayan	hayan	VASP3P0	haber
llevado	llevado	VMP0000	llevar
à	a	SPS00	a
una	una	DI0FS0	uno
mazmorra	mazmorra	NCFS000	mazmorra
y	y	CC	y
solo	sólo	RG	sólo
he	he	VAIP1S0	haber
podido	podido	VMP0000	poder
evitarlo	evitarlo	VMN0000+PP3CNA00	evitar+lo
manteniendome	manteniéndome	VMG0000+PP1CS000	mantener+me
inmovil	inmóvil	AQ0CS0	inmóvil
en	en	SPS00	en
mi	mi	DP1CSS	mi
rincon	rincón	NCMS000	rincón
.	.	Fp	.
Por	Por	SPS00	por
estas	estas	DD0FP0	este
consi-deraciones	consideraciones	NCFP000	consideración
	,	Fc	,
he	he	VAIP1S0	haber
creido	creído	VMP0000	creer
arriesgado	arriesgado	VMP00SM	arriesgar
pasar	pasar	VMN0000	pasar
á	a	SPS00	a
S	S.	NP00000	s
y	y	CC	y
creo	creo	VMIP1S0	creer
qe	que	CS	que
el	el	DA0MS0	el
medio	medio	NCMS000	medio
mas	más	RC	más
seguro	seguro	AQ0MS0	seguro
de	de	SPS00	de
no	no	RN	no
adelantar	adelantar	VMN0000	adelantar
paso	paso	NCMS000	paso
seria	sería	VSIC0S0	ser
presentarme	presentarme	VMN0000+PP1CS000	presentar+me
alli	allí	RG	allí
,	,	Fc	,
ps	pues	CS	pues
no	no	RN	no
me	me	PP1CS000	me
moveria	movería	VMIC0S0	mover
sin	sin	SPS00	sin
qe	que	CS	que
me	me	PP1CS000	me
siguiese	siguiese	VMSI0S0	seguir
una	una	DI0FS0	uno
persona	persona	NCFS000	persona
como	como	CS	como
sigue	sigue	VMIP3S0	seguir
la	la	DA0FS0	el
sombra	sombra	NCFS000	sombra
al	al	SPS00+DA0MS0	a+el
cuerpo	cuerpo	NCMS000	cuerpo
.	.	Fp	.
En	En	SPS00	en
virtud	virtud	NCFS000	virtud
de	de	SPS00	de
lo	lo	DA0NS0	el
expuesto	expuesto	VMP00SM	exponer
,	,	Fc	,
nada	nada	RQ	nada
mas	más	RC	más
puedo	puedo	VMIP1S0	poder
añadir	añadir	VMN0000	añadir
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
deseas	deseas	VMIP2S0	desear
saber	saber	VMN0000	saber
,	,	Fc	,
ps	pues	CS	pues
lo	lo	PP3CNA00	lo
ignoro	ignoro	VMIP1S0	ignorar
;	.	Fp	.
y	Y	CC	y
al	al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
tiempo	tiempo	NCMS000	tiempo
co-nocerás	conocerás	VMIF2S0	conocer
hasta	hasta	SPS00	hasta
que	qué	DT0CN0	qué
grado	grado	NCMS000	grado
puedo	puedo	VMIP1S0	poder
serte	serte	VSN0000+PP2CS000	ser+te
util	útil	AQ0CS0	útil
,	,	Fc	,
contando	contando	VMG0000	contar
siempre	siempre	RG	siempre
con	con	SPS00	con
la	la	DA0FS0	el
mas	más	RC	más
fina	fina	AQ0FS0	fino
voluntad	voluntad	NCFS000	voluntad
y	y	CC	y
los	los	DA0MP0	el
mejores	mejores	AQ0CP0	mejor
deseos	deseos	NCMP000	deseo
por	por	SPS00	por
la	la	DA0FS0	el
prosperi-dad	prosperidad	NCFS000	prosperidad
de	de	SPS00	de
tus	tus	DP2CPS	tu
negocios	negocios	NCMP000	negocio
e	e	CC	y
intereses	intereses	NCMP000	interés
,	,	Fc	,
porque	porque	CS	porque
à	a	SPS00	a
ninguno	ninguno	PI0MS00N	ninguno
cedo	cedo	VMIP1S0	ceder
en	en	SPS00	en
esto	esto	PD0NN000	esto
.	.	Fp	.
Es	Es	VSIP3S0	ser
cierto	cierto	AQ0MS0	cierto
qe	que	CS	que
el	el	DA0MS0	el
5o	quinto	AO0MS0	quinto
de	de	SPS00	de
linea	línea	NCFS000	línea
mudó	mudó	VMIS3S0	mudar
de	de	SPS00	de
destino	destino	NCMS000	destino
y	y	CC	y
dicen	dicen	VMIP3P0	decir
qe	que	CS	que
pasa	pasa	VMIP3S0	pasar
al	al	SPS00+DA0MS0	a+el
campo	campo	NCMS000	campo
de	de	SPS00	de
Argañan	Argañán	NP00000	argañán
:	.	Fp	.
hay	Hay	VMIP3S0	haber
en	en	SPS00	en
él	él	PP3MS000	él
mas	más	RC	más
desorden	desorden	NCMS000	desorden
qe	que	CS	que
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
y	y	CC	y
le	le	PP3CSD00	le
dan	dan	VMIP3P0	dar
bien	bien	RG	bien
poco	poco	DI0MS0	poco
provecho	provecho	NCMS000	provecho
,	,	Fc	,
asi	así	RG	así
en	en	SPS00	en
hombres	hombres	NCMP000	hombre
como	como	CS	como
caballos	caballos	NCMP000	caballo
;	.	Fp	.
tambien	También	RG	también
van	van	VMIP3P0	ir
al	al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
campo	campo	NCMS000	campo
el	el	DA0MS0	el
2o	segundo	AO0MS0	segundo
de	de	SPS00	de
ligeros	ligeros	NCMP000	ligero
y	y	CC	y
el	el	DA0MS0	el
1o	primero	AO0MS0	primero
de	de	SPS00	de
linea	línea	NCFS000	línea
de	de	SPS00	de
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
arma	arma	NCFS000	arma
,	,	Fc	,
con	con	SPS00	con
quienes	quienes	PR0CP000	quien
creo	creo	VMIP1S0	creer
qe	que	CS	que
tendrán	tendrán	VMIF3P0	tener
despacho	despacho	NCMS000	despacho
tus	tus	DP2CPS	tu
generos	géneros	NCMP000	género
y	y	CC	y
po-drás	podrás	VMIF2S0	poder
ganar	ganar	VMN0000	ganar
algunos	algunos	DI0MP0	alguno
cuartos	cuartos	NCMP000	cuarto
.	.	Fp	.
Al	Al	SPS00+DA0MS0	a+el
5o	quinto	AO0MS0	quinto
de	de	SPS00	de
linea	línea	NCFS000	línea
le	le	PP3CSA00	le
reemplaza	reemplaza	VMIP3S0	reemplazar
	,	Fc	,
se-gun	según	SPS00	según
dicen	dicen	VMIP3P0	decir
	,	Fc	,
el	el	DA0MS0	el
3r	tercer	AO0MS0	tercero
Batallon	batallón	NCMS000	batallón
del	del	SPS00+DA0MS0	de+el
Principe	príncipe	NCMS000	príncipe
,	,	Fc	,
qe	que	PR0CN000	que
está	está	VMIP3S0	estar
en	en	SPS00	en
cuadro	cuadro	NCMS000	cuadro
y	y	CC	y
re-cibirá	recibirá	VMIF3S0	recibir
quintos	quintos	NCMP000	quinto
ahora	ahora	RG	ahora
,	.	Fp	.
dicen	Dicen	VMIP3P0	decir
qe	que	CS	que
pa	para	SPS00	para
principios	principios	NCMP000	principio
de	de	SPS00	de
Mayo	mayo	NCMS000	mayo
entrará	entrará	VMIF3S0	entrar
en	en	SPS00	en
Ciudad	Ciudad	NP00000	ciudad
Rodrigo	Rodrigo	NP00000	rodrigo
.	.	Fp	.
Se	Se	P00CN000	se
confirma	confirma	VMIP3S0	confirmar
la	la	DA0FS0	el
noticia	noticia	NCFS000	noticia
de	de	SPS00	de
qe	que	CS	que
el	el	DA0MS0	el
corregimto	corregimiento	NCMS000	corregimiento
de	de	SPS00	de
Manresa	Manresa	NP00000	manresa
y	y	CC	y
algun	algún	DI0MS0	alguno
otro	otro	PI0MS000	otro
de	de	SPS00	de
Cataluña	Cataluña	NP00000	cataluña
se	se	P00CN000	se
han	han	VAIP3P0	haber
sublevado	sublevado	VMP0000	sublevar
	,	Fc	,
proclamando	proclamando	VMG0000	proclamar
à	a	SPS00	a
Carlos	Carlos	NP00000	carlos
5o	V	AO0MS0	quinto
y	y	CC	y
la	la	DA0FS0	el
Ynquisicion	Inquisición	NP00000	inquisición
,	.	Fp	.
y	Y	CC	y
se	se	P00CN000	se
añade	añade	VMIP3S0	añadir
qe	que	CS	que
otro	otro	DI0MS0	otro
tanto	tanto	NCMS000	tanto
suce-de	sucede	VMIP3S0	suceder
en	en	SPS00	en
Vizcaya	Vizcaya	NP00000	vizcaya
,	,	Fc	,
donde	donde	PA000000	donde
parece	parece	VMIP3S0	parecer
qe	que	CS	que
un	un	DI0MS0	uno
Cura	cura	NCMS000	cura
ha	ha	VAIP3S0	haber
levantado	levantado	VMP0000	levantar
una	una	DI0FS0	uno
partida	partida	NCFS000	partida
de	de	SPS00	de
600	600	Z	600
hombs	hombres	NCMP000	hombre
.	.	Fp	.
en	En	SPS00	en
esto	esto	PD0NN000	esto
podrá	podrá	VMIF3S0	poder
haber	haber	VMN0000	haber
alguna	alguna	DI0FS0	alguno
exagera-cion	exageración	NCFS000	exageración
,	,	Fc	,
porque	porque	CS	porque
major	maior	CS	porque
ex	ex	CS	porque
longinquo	longinquo	CS	porque
reverentia	reverentia	CS	porque
.	.	Fp	.
Esto	Esto	PD0NN000	esto
no	no	RN	no
de-be	debe	VMIP3S0	deber
suspender	suspender	VMN0000	suspender
el	el	DA0MS0	el
curso	curso	NCMS000	curso
de	de	SPS00	de
tu	tu	DP2CSS	tu
comercio	comercio	NCMS000	comercio
,	,	Fc	,
porqe	porque	CS	porque
aunqe	aunque	CS	aunque
los	los	DA0MP0	el
movi-mientos	movimientos	NCMP000	movimiento
de	de	SPS00	de
las	las	DA0FP0	el
tropas	tropas	NCFP000	tropa
induzcan	induzcan	VMSP3P0	inducir
á	a	SPS00	a
temer	temer	VMN0000	temer
se	se	P00CN000	se
rompa	rompa	VMSP0S0	romper
la	la	DA0FS0	el
guerra	guerra	NCFS000	guerra
y	y	CC	y
esta	ésta	PD0FS000	este
no	no	RN	no
sea	sea	VSSP0S0	ser
muy	muy	RQ	muy
favorable	favorable	AQ0CS0	favorable
al	al	SPS00+DA0MS0	a+el
comercio	comercio	NCMS000	comercio
,	,	Fc	,
hay	hay	VMIP3S0	haber
ocasiones	ocasiones	NCFP000	ocasión
en	en	SPS00	en
qe	que	PR0CN000	que
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
guerra	guerra	NCFS000	guerra
abre	abre	VMIP3S0	abrir
un	un	DI0MS0	uno
camino	camino	NCMS000	camino
y	y	CC	y
presenta	presenta	VMIP3S0	presentar
especu-laciones	especulaciones	NCFP000	especulación
ventajosas	ventajosas	AQ0FP0	ventajoso
.	.	Fp	.
Dicese	Dícese	VMSP0S0+P00CN000	decir+se
tambien	también	RG	también
qe	que	CS	que
se	se	P00CN000	se
arman	arman	VMIP3P0	armar
de	de	SPS00	de
nuevo	nuevo	AQ0MS0	nuevo
los	los	DA0MP0	el
Portugueses	portugueses	NCMP000	portugués
emigrados	emigrados	VMP00PM	emigrar
pa	para	SPS00	para
volber	volver	VMN0000	volver
a	a	SPS00	a
su	su	DP3CS0	su
pais	país	NCMS000	país
.	.	Fp	.
	¡	Faa	¡
quien	Quién	PE0CS000	quién
sabe	sabe	VMIP3S0	saber
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
esto	esto	PD0NN000	esto
será	será	VSIF3S0	ser
,	!	Fat	!
y	Y	CC	y
Dios	Dios	NP00000	dios
los	los	PP3MPA00	lo
encamine	encamine	VMSP0S0	encaminar
y	y	CC	y
te	te	PP2CS000	te
dè	dé	VMSP0S0	dar
acierto	acierto	NCMS000	acierto
en	en	SPS00	en
tus	tus	DP2CPS	tu
negocios	negocios	NCMP000	negocio
.	.	Fp	.
No	No	RN	no
puedo	puedo	VMIP1S0	poder
menos	menos	RC	menos
de	de	SPS00	de
insinuarte	insinuarte	VMN0000+PP2CS000	insinuar+te
,	,	Fc	,
aunqe	aunque	CS	aunque
lo	lo	PP3CNA00	lo
debes	debes	VMIP2S0	deber
saber	saber	VMN0000	saber
pr	por	SPS00	por
experiencia	experiencia	NCFS000	experiencia
,	,	Fc	,
qe	que	CS	que
el	el	DA0MS0	el
modo	modo	NCMS000	modo
mas	más	RC	más
seguro	seguro	AQ0MS0	seguro
de	de	SPS00	de
hacer	hacer	VMN0000	hacer
el	el	DA0MS0	el
comercio	comercio	NCMS000	comercio
de	de	SPS00	de
contrabando	contrabando	NCMS000	contrabando
es	es	VSIP3S0	ser
el	el	DA0MS0	el
de	de	SPS00	de
asegurarse	asegurarse	VMN0000+P00CN000	asegurar+se
el	el	DA0MS0	el
resguardo	resguardo	NCMS000	resguardo
;	,	Fc	,
a	a	SPS00	a
pesar	pesar	NCMS000	pesar
de	de	SPS00	de
qe	que	CS	que
dice	dice	VMIP3S0	decir
un	un	DI0MS0	uno
adagio	adagio	NCMS000	adagio
vulgar	vulgar	AQ0CS0	vulgar
,	:	Fd	:
come	come	VMM02S0	comer
con	con	SPS00	con
el	el	DA0MS0	el
guarda	guarda	NCCS000	guarda
y	y	CC	y
librate	líbrate	VMM02S0+PP2CS000	librar+te
del	del	SPS00+DA0MS0	de+el
guar-da	guarda	NCCS000	guardar
.	.	Fp	.
Sobre	Sobre	SPS00	sobre
este	este	DD0MS0	este
principio	principio	NCMS000	principio
y	y	CC	y
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
qe	que	PR0CN000	que
te	te	PP2CS000	te
dexo	dejo	VMIP1S0	dejar
dicho	dicho	VMP00SM	decir
,	,	Fc	,
tu	tú	PP2CSN00	tú
calcu-larás	calcularás	VMIF2S0	calcular
lo	lo	DA0NS0	el
mejor	mejor	AQ0CS0	mejor
a	a	SPS00	a
tus	tus	DP2CPS	tu
intereses	intereses	NCMP000	interés
.	.	Fp	.
Ya	Ya	RG	ya
sabrás	sabrás	VMIF2S0	saber
lo	lo	DA0NS0	el
sucedido	sucedido	VMP00SM	suceder
con	con	SPS00	con
el	el	DA0MS0	el
de	de	SPS00	de
Ledesma	Ledesma	NP00000	ledesma
	,	Fc	,
qe	que	PR0CN000	que
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
uen	en	SPS00	en
una	una	DI0FS0	uno
aldea	aldea	NCFS000	aldea
y	y	CC	y
en	en	SPS00	en
cama	cama	NCFS000	cama
no	no	RN	no
bueno	bueno	AQ0MS0	bueno
.	.	Fp	.
