Querido	Querido	VMP00SM	querer
te	Te	PP2CS000	te
mando	mando	VMIP1S0	mandar
el	el	DA0MS0	el
cortaplumas	cortaplumas	NCFP000	cortaplumas
	;	Fx	;
las	las	DA0FP0	el
tijeras	tijeras	NCFP000	tijeras
no	no	RN	no
tengo	tengo	VMIP1S0	tener
mas	más	RC	más
qe	que	CS	que
unas	unas	DI0FP0	uno
	.	Fp	.
