Le	Le	PP3CSD00	le
ya	ya	CC	ya
si	si	CS	si
no	no	RN	no
quiero	quiero	VMIP1S0	querer
cargar	cargar	VMN0000	cargar
el	el	DA0MS0	el
carro	carro	NCMS000	carro
de	de	SPS00	de
la	la	DA0FS0	el
basura	basura	NCFS000	basura
	.	Fp	.
Me	Me	PP1CS000	me
dicen	dicen	VMIP3P0	decir
que	que	CS	que
mal	mal	RG	mal
me	me	PP1CS000	me
porto	porto	VMIP1S0	portar
y	y	CC	y
es	es	VSIP3S0	ser
cierto	cierto	AQ0MS0	cierto
qe	que	CS	que
no	no	RN	no
te	te	PP2CS000	te
quiero	quiero	VMIP1S0	querer
	.	Fp	.
te	Te	PP2CS000	te
miro	miro	VMIP1S0	mirar
como	como	CS	como
ha	a	SPS00	a
un	un	DI0MS0	uno
harborto	aborto	NCMS000	aborto
	,	Fc	,
ya	ya	RG	ya
si	si	CS	si
quadra	cuadra	VMIP3S0	cuadrar
y	y	CC	y
basurero	basurero	NCMS000	basurero
qe	que	CS	que
corra	corra	VMSP0S0	correr
por	por	SPS00	por
cuenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
otro	otro	PI0MS000	otro
	.	Fp	.
Agosto	Agosto	NCMS000	agosto
de	de	SPS00	de
1826	1826	Z	1826
Amigo	Amigo	NP00000	amigo
de	De	SPS00	de
puneta	puñeta	NCFS000	puñeta
y	y	CC	y
despues	después	RG	después
de	de	SPS00	de
saludar	saludar	VMN0000	saludar
Vm	VM	NP00000	VM
Repuñeteria	repuñetería	NP00000	repuñetería
	.	Fp	.
Quien	Quien	PR0CS000	quien
esta	ésta	PD0FS000	este
lea	lea	VMSP0S0	leer
jodido	jodido	VMP00SM	joder
se	se	P00CN000	se
bea	vea	VMSP0S0	ver
	.	Fc	,
soy	Soy	VSIP1S0	ser
de	de	SPS00	de
verte	verte	VMN0000+PP2CS000	ver+te
memorias	memorias	NCFP000	memoria
pa	para	SPS00	para
joderte	joderte	VMN0000+PP2CS000	joder+te
	.	Fp	.
yo	Yo	PP1CSN00	yo
soy	soy	VSIP1S0	ser
tocarme	tocarme	VMN0000+PP1CS000	tocar+me
los	los	DA0MP0	el
cojones	cojones	NCMP000	cojón
y	y	CC	y
Asi	así	RG	así
me	me	PP1CS000	me
las	las	PP3FPA00	lo
Puñeta	puñeta	NCFS000	puñeta
por	por	SPS00	por
los	los	DA0MP0	el
Rincones	rincones	NCMP000	rincón
	.	Fp	.
A	A	SPS00	a
buelta	vuelta	NCFS000	vuelta
de	de	SPS00	de
coreo	correo	NCMS000	correo
te	te	PP2CS000	te
ynviare	enviaré	VMIF1S0	enviar
otra	otra	PI0FS000	otro
	.	Fp	.
Jodete	Jódete	VMM02S0+PP2CS000	joder+te
	.	Fp	.
