Valladolid	Valladolid	NP00000	valladolid
reales	reales	NCMP000	real
	.	Fp	.
y	Y	CC	y
despues	después	RG	después
no	no	RN	no
bino	vino	VMIS3S0	venir
en	en	SPS00	en
dos	dos	Z	2
dias	días	NCMP000	día
Da	doña	NP00000	don
Mari	Mari	NP00000	mari
antonia	Antonia	NP00000	antonia
y	y	CC	y
fue	fue	VMIS3S0	ir
mi	mi	DP1CSS	mi
madre	madre	NCFS000	madre
a	a	SPS00	a
ber	ver	VMN0000	ver
si	si	CSI	si
abia	había	VMII0S0	haber
alguna	alguna	DI0FS0	alguno
nobedad	novedad	NCFS000	novedad
	.	Fp	.
y	Y	CC	y
la	la	PP3FSD00	lo
dice	dice	VMIP3S0	decir
la	la	DA0FS0	el
tia	tía	NCFS000	tía
qe	que	CS	que
ya	ya	RG	ya
no	no	RN	no
la	la	PP3FSD00	lo
puede	puede	VMIP3S0	poder
dar	dar	VMN0000	dar
nada	nada	PI0NN00N	nada
	,	Fc	,
qe	que	CS	que
tiene	tiene	VMIP3S0	tener
el	el	DA0MS0	el
tio	tío	NCMS000	tío
la	la	DA0FS0	el
llabe	llave	NCFS000	llave
de	de	SPS00	de
todo	todo	PI0MS000	todo
y	y	CC	y
qe	que	CS	que
entre	entre	SPS00	entre
U	usted	PP2CS000	usted
y	y	CC	y
ella	ella	PP3FS000	él
abian	habían	VAII3P0	haber
llebao	llevado	VMP0000	llevar
el	el	DA0MS0	el
baul	baúl	NCMS000	baúl
donde	donde	PA000000	donde
tiene	tiene	VMIP3S0	tener
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
a	a	SPS00	a
su	su	DP3CS0	su
cuarto	cuarto	NCMS000	cuarto
	,	Fc	,
de	de	SPS00	de
suerte	suerte	NCFS000	suerte
qe	que	CS	que
no	no	RN	no
podia	podía	VMII0S0	poder
dar	dar	VMN0000	dar
un	un	DI0MS0	uno
ochabo	ochavo	NCMS000	ochavo
	.	Fp	.
mi	Mi	DP1CSS	mi
señora	señora	NP00000	señor
madre	madre	NP00000	madre
esta	está	VMIP3S0	estar
mui	muy	RQ	muy
desazonada	desazonada	VMP00SF	desazonar
con	con	SPS00	con
semejante	semejante	AQ0CS0	semejante
accion	acción	NCFS000	acción
	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
confiada	confiada	VMP00SF	confiar
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
la	la	PP3FSD00	lo
abia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
	,	Fc	,
yzo	hizo	VMIS3S0	hacer
barios	varios	DI0MP0	varios
tratos	tratos	NCMP000	trato
	,	Fc	,
a	a	SPS00	a
los	los	DA0MP0	el
qe	que	PR0CN000	que
no	no	RN	no
puede	puede	VMIP3S0	poder
menos	menos	RC	menos
de	de	SPS00	de
cunplir	cumplir	VMN0000	cumplir
y	y	CC	y
deber	deber	NCMS000	deber
	,	Fc	,
qe	que	CS	que
ya	ya	RG	ya
nada	nada	PI0NN00N	nada
la	la	PP3FSD00	lo
da	da	VMIP3S0	dar
	.	Fc	,
anda	Anda	VMIP3S0	andar
bendiendo	vendiendo	VMG0000	vender
barias	varias	DI0FP0	varios
alajas	alhajas	NCFP000	alhaja
para	para	SPS00	para
qedar	quedar	VMN0000	quedar
con	con	SPS00	con
onor	honor	NCMS000	honor
d	de	SPS00	de
esto	esto	PD0NN000	esto
	.	Fp	.
nada	Nada	PI0NN00N	nada
se	se	P00CN000	se
sabra	sabrá	VMIF3S0	saber
	,	Fc	,
pues	pues	CS	pues
yo	yo	PP1CSN00	yo
qreo	creo	VMIP1S0	creer
qe	que	CS	que
aze	hace	VMIP3S0	hacer
esto	esto	PD0NN000	esto
de	de	SPS00	de
enbidia	envidia	NCFS000	envidia
de	de	SPS00	de
qe	que	CS	que
U	usted	PP2CS000	usted
nos	nos	PP1CP000	nos
escribe	escribe	VMIP3S0	escribir
y	y	CC	y
de	de	SPS00	de
qe	que	CS	que
U	usted	PP2CS000	usted
benia	venía	VMII0S0	venir
a	a	SPS00	a
casa	casa	NCFS000	casa
tantas	tantas	DI0FP0	tanto
bezes	veces	NCFP000	vez
	,	Fc	,
de	de	SPS00	de
suerte	suerte	NCFS000	suerte
qe	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
la	la	PP3FSD00	lo
e	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
qe	que	CS	que
U	usted	PP2CS000	usted
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
esqrito	escrito	VMP0000	escribir
ni	ni	CCN	ni
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
dire	diré	VMIF1S0	decir
	,	Fc	,
no	no	RN	no
siendo	siendo	VSG0000	ser
por	por	SPS00	por
precision	precisión	NCFS000	precisión
;	.	Fp	.
es	Es	VSIP3S0	ser
cuanto	cuanto	PA000000	cuanto
ocure	ocurre	VMIP3S0	ocurrir
	.	Fp	.
reciba	Reciba	VMSP0S0	recibir
U	usted	PP2CS000	usted
espresiones	expresiones	NCFP000	expresión
de	de	SPS00	de
mis	mis	DP1CPS	mi
señores	señores	NP00000	señor
padres	padres	NP00000	padre
y	y	CC	y
de	de	SPS00	de
laa	la	DA0FS0	el
Maria	María	NP00000	maría
	,	Fc	,
qe	que	PR0CN000	que
se	se	P00CN000	se
acuerda	acuerda	VMIP3S0	acordar
del	del	SPS00+DA0MS0	de+el
Micorcillo	Micorcillo	NP00000	micorcillo
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
carachula	Carachula	NP00000	carachula
	,	Fc	,
y	y	CC	y
mias	mías	PX1FP0S0	mío
las	las	PP3FPA00	lo
recibira	recibirá	VMIF3S0	recibir
U	usted	PP2CS000	usted
como	como	CS	como
guste	guste	VMSP0S0	gustar
	,	Fc	,
mandando	mandando	VMG0000	mandar
como	como	CS	como
quiera	quiera	VMSP0S0	querer
a	a	SPS00	a
esta	esta	DD0FS0	este
su	su	DP3CS0	su
segura	segura	AQ0FS0	seguro
serbidora	servidora	NCFS000	servidor
qe	que	PR0CN000	que
de	de	SPS00	de
corazon	corazón	NCMS000	corazón
l	le	PP3CSA00	le
estima	estima	VMIP3S0	estimar
y	y	CC	y
desea	desea	VMIP3S0	desear
serbirle	servirle	VMN0000+PP3CSA00	servir+le
bien	bien	RG	bien
	.	Fp	.
Catalina	Catalina	NP00000	catalina
Gutierrez	Gutiérrez	NP00000	gutiérrez
tanbien	También	RG	también
recibira	recibirá	VMIF3S0	recibir
U	usted	PP2CS000	usted
espresiones	expresiones	NCFP000	expresión
de	de	SPS00	de
la	la	DA0FS0	el
ermanita	hermanita	NCFS00D	hermano
de	de	SPS00	de
la	la	DA0FS0	el
señora	señora	NP00000	señor
madrina	madrina	NP00000	madrina
de	de	SPS00	de
U	usted	PP2CS000	usted
	,	Fc	,
qe	que	PR0CN000	que
esta	está	VMIP3S0	estar
en	en	SPS00	en
casa	casa	NCFS000	casa
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
niña	niña	NCFS000	niño
,	.	Fp	.
tanbien	También	RG	también
señor	señor	NP00000	señor
tio	tío	NP00000	tío
esta	está	VMIP3S0	estar
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
qe	que	PR0CN000	que
es	es	VSIP3S0	ser
lastima	lástima	NCFS000	lástima
	,	Fc	,
pues	pues	CS	pues
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
qe	que	CS	que
si	si	CS	si
estubiera	estuviera	VMSI0S0	estar
aqui	aquí	RG	aquí
no	no	RN	no
nos	nos	PP1CP000	nos
sucederia	sucedería	VMIC0S0	suceder
este	este	DD0MS0	este
lanze	lance	NCMS000	lance
	.	Fp	.
Abur	Abur	I	abur
y	y	CC	y
mandar	mandar	VMN0000	mandar
	.	Fp	.
