querido	Querido	VMP00SM	querer
dinero	dinero	NCMS000	dinero
pues	pues	CS	pues
sera	será	VSIF3S0	ser
muy	muy	RQ	muy
poco	poco	RQ	poco
o	o	CC	o
nada	nada	PI0NN00N	nada
lo	lo	DA0NS0	el
que	que	PR0CN000	que
llebe	lleve	VMSP0S0	llevar
	.	Fp	.
pues	Pues	CS	pues
no	no	RN	no
tenjo	tengo	VMIP1S0	tener
mas	más	RC	más
que	que	CS	que
decirte	decirte	VMN0000+PP2CS000	decir+te
por	por	SPS00	por
aora	ahora	RG	ahora
	,	Fc	,
pues	pues	CS	pues
te	te	PP2CS000	te
la	la	PP3FSA00	lo
escirbo	escribo	VMIP1S0	escribir
a	a	SPS00	a
las	las	DA0FP0	el
cuatro	cuatro	Z	4
de	de	SPS00	de
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
el	el	DA0MS0	el
lues	lunes	NCMN000	lunes
	.	Fc	,
y	Y	CC	y
se	se	P00CN000	se
a	ha	VAIP3S0	haber
marhado	marchado	VMP0000	marchar
mi	mi	DP1CSS	mi
padre	padre	NCMS000	padre
a	a	SPS00	a
sajun	Sahagún	NP00000	sahagún
	.	Fp	.
y	Y	CC	y
manda	manda	VMIP3S0	mandar
a	a	SPS00	a
esta	ésta	PD0FS000	este
que	que	CS	que
desea	desea	VMIP3S0	desear
serbire	servirte	VMN0000+PP2CS000	servir+te
	,	Fc	,
Victoria	Victoria	NCFS000	victoria
Martinez	Martínez	NP00000	martínez
	.	Fp	.
