Villavaruz	Villabaruz	NP00000	villabaruz
	,	Fc	,
Allandonos	hallándonos	VMG0000+PP1CP000	hallar+nos
como	como	CS	como
nos	nos	PP1CP000	nos
allamos	hallamos	VMIP1P0	hallar
Ace	hace	VMIP3S0	hacer
tienpo	tiempo	NCMS000	tiempo
enfermas	enfermas	NCFP000	enfermo
	,	Fc	,
por	por	SPS00	por
cuyos	cuyos	PU0MP000	cuyo
males	males	NCMP000	mal
se	se	P00CN000	se
an	han	VAIP3P0	haber
ocasionado	ocasionado	VMP0000	ocasionar
crecidos	crecidos	VMP00PM	crecer
gastos	gastos	NCMP000	gasto
	,	Fc	,
de	de	SPS00	de
quyos	cuyos	PU0MP000	cuyo
males	males	NCMP000	mal
y	y	CC	y
de	de	SPS00	de
los	los	DA0MP0	el
malos	malos	AQ0MP0	malo
tratamientos	tratamientos	NCMP000	tratamiento
de	de	SPS00	de
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
continuamente	continuamente	RG	continuamente
llena	llena	AQ0FS0	lleno
de	de	SPS00	de
dolores	dolores	NCMP000	dolor
	,	Fc	,
casi	casi	RG	casi
inposivilitada	imposibilitada	NCFS000	imposibilitado
de	de	SPS00	de
poder	poder	VMN0000	poder
dar	dar	VMN0000	dar
un	un	DI0MS0	uno
paso	paso	NCMS000	paso
por	por	SPS00	por
la	la	DA0FS0	el
severidad	severidad	NCFS000	severidad
con	con	SPS00	con
que	que	CS	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
tratado	tratado	VMP0000	tratar
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
qisiera	quisiera	VMSI0S0	querer
acer	hacer	VMN0000	hacer
presente	presente	AQ0CS0	presente
personalmente	personalmente	RG	personalmente
a	a	SPS00	a
la	la	DA0FS0	el
sala	sala	NCFS000	sala
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
desengañara	desengañara	VMSI0S0	desengañar
de	de	SPS00	de
sus	sus	DP3CP0	su
falsos	falsos	AQ0MP0	falso
escritos	escritos	VMP00PM	escribir
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
puedo	puedo	VMIP1S0	poder
acer	hacer	VMN0000	hacer
por	por	SPS00	por
no	no	RN	no
Avandonar	abandonar	VMN0000	abandonar
el	el	DA0MS0	el
deposito	depósito	NCMS000	depósito
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
ustez	usted	PP2CS000	usted
en	en	SPS00	en
mi	mi	DP1CSS	mi
nonvre	nombre	NCMS000	nombre
presente	presente	AQ0CS0	presente
a	a	SPS00	a
la	la	DA0FS0	el
sala	sala	NCFS000	sala
para	para	SPS00	para
que	que	CS	que
esta	ésta	PD0FS000	este
	,	Fc	,
conpadeciendose	compadeciéndose	VMG0000+P00CN000	compadecer+se
de	de	SPS00	de
mis	mis	DP1CPS	mi
afliciones	aflicciones	NCFP000	aflicción
	,	Fc	,
me	me	PP1CS000	me
mude	mude	VMSP0S0	mudar
de	de	SPS00	de
deposito	depósito	NCMS000	depósito
y	y	CC	y
ovlige	obligue	VMSP0S0	obligar
A	a	SPS00	a
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
a	a	SPS00	a
la	la	DA0FS0	el
entrega	entrega	NCFS000	entrega
de	de	SPS00	de
las	las	DA0FP0	el
cantidades	cantidades	NCFP000	cantidad
que	que	CS	que
cristianamente	cristianamente	RG	cristianamente
pido	pido	VMIP1S0	pedir
	,	Fc	,
pues	pues	CS	pues
de	de	SPS00	de
lo	lo	DA0NS0	el
contrario	contrario	NCMS000	contrario
me	me	PP1CS000	me
veria	vería	VMIC0S0	ver
en	en	SPS00	en
la	la	DA0FS0	el
precisa	precisa	AQ0FS0	preciso
nezesidad	necesidad	NCFS000	necesidad
de	de	SPS00	de
presentarme	presentarme	VMN0000+PP1CS000	presentar+me
a	a	SPS00	a
esos	esos	DD0MP0	ese
señores	señores	NCMP000	señor
y	y	CC	y
que	que	CS	que
dispongan	dispongan	VMSP3P0	disponer
de	de	SPS00	de
mi	mí	PP1CSO00	mí
como	como	CS	como
sea	sea	VSSP0S0	ser
de	de	SPS00	de
su	su	DP3CS0	su
agrado	agrado	NCMS000	agrado
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
sera	será	VSIF3S0	ser
justo	justo	AQ0MS0	justo
que	que	CS	que
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
disipe	disipe	VMSP0S0	disipar
los	los	DA0MP0	el
vienes	bienes	NCMP000	bien
como	como	CS	como
lo	lo	PP3CNA00	lo
Ace	hace	VMIP3S0	hacer
y	y	CC	y
yo	yo	PP1CSN00	yo
carezca	carezca	VMSP0S0	carecer
de	de	SPS00	de
mis	mis	DP1CPS	mi
alimentos	alimentos	NCMP000	alimento
y	y	CC	y
defensa	defensa	NCFS000	defensa
natural	natural	AQ0CS0	natural
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ara	hará	VMIF3S0	hacer
ustez	usted	PP2CS000	usted
ymediatamente	inmediatamente	RG	inmediatamente
y	y	CC	y
me	me	PP1CS000	me
avisara	avisará	VMIF3S0	avisar
sin	sin	SPS00	sin
perperder	perder	VMN0000	perder
coreo	correo	NCMS000	correo
	.	Fp	.
y	Y	CC	y
Mande	mande	VMSP0S0	mandar
A	a	SPS00	a
esta	esta	DD0FS0	este
servidora	servidora	NCFS000	servidor
	.	Fp	.
Angela	Ángela	NP00000	ángela
Zeinos	Ceinos	NP00000	ceinos
Sor	Señor	NP00000	señor
Dn	don	NP00000	don
Felipe	Felipe	NP00000	felipe
Perez	Pérez	NP00000	pérez
Platon	Platón	NP00000	platón
	.	Fp	.
