Iminentisimo	Eminentíssimo	AQSMS0	eminente
este	este	PD0MS000	este
hum	um	DI0MS0	um
dos	dos	SPS00+DA0MP0	de+o
favorecidos	favorecidos	VMP00PM	favorecer
	,	Fc	,
asseitandolhe	aceitando-lhe	VMN0000+PP3CSD00	aceitar+lhe
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
fiança	fiança	NCFS000	fiança
	,	Fc	,
pois	pois	CS	pois
sendo	sendo	VSG0000	ser
assim	assim	RG	assim
ficara	ficará	VMIF3S0	ficar
elle	ele	PP3MS000	ele
Remediado	remediado	VMP00SM	remediar
e	e	CC	e
eu	eu	PP1CSN00	eu
a	a	DA0FS0	o
mais	mais	RC	mais
agar-Decida	agradecida	VMP00SF	agradecer
a	a	SPS00	a
esta	esta	DD0FS0	este
mce	mercê	NCFS000	mercê
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
Deos	Deus	NP00000	deus
a	a	SPS00	a
vosa	Vossa	DP2FSP	vosso
Iminencia	Eminência	NP00000	eminência
	.	Fp	.
de	De	SPS00	de
caza	casa	NCFS000	casa
,	,	Fc	,
em	em	SPS00	em
22	22	Z	22
de	de	SPS00	de
Abril	abril	NCMS000	abril
de	de	SPS00	de
1691	1691	Z	1691
	.	Fp	.
Beija	Beija	VMIP3S0	beijar
as	as	DA0FP0	o
mãos	mãos	NCFP000	mão
a	a	SPS00	a
vosa	Vossa	DP2FSP	vosso
Iminencia	Eminência	NP00000	eminência
	,	Fc	,
Dona	Dona	NP00000	dona
Maria	Maria	NP00000	maria
de	de	SPS00	de
Castro	Castro	NP00000	castro
	.	Fp	.
