Chegou	Chegou	VMIS3S0	chegar
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
como	como	CS	como
em	em	SPS00	em
natureza	natureza	NCFS000	natureza
combina	combina	VMIP3S0	combinar
hũ	um	DI0MS0	um
com	com	SPS00	com
o	o	DA0MS0	o
outro	outro	PI0MS000	outro
	,	PI0MS000	outro
E	e	CC	e
ainda	ainda	RG	ainda
podera	pudera	VMIM0S0	poder
mto	muito	RQ	muito
bem	bem	RG	bem
ser	ser	VSN0000	ser
q	que	CS	que
em	em	SPS00	em
Costumes	costumes	NCMP000	costume
	,	Fc	,
não	não	RN	não
era	era	VSII0S0	ser
rezão	razão	NCFS000	razão
lhe	lhe	PP3CSD00	lhe
faltasse	faltasse	VMSI0S0	faltar
	.	Fp	.
de	De	SPS00	de
joão	João	NP00000	joão
gomes	Gomes	NP00000	gomes
de	de	SPS00	de
Lemos	Lemos	NP00000	lemos
me	me	PP1CS000	me
Espanto	espanto	VMIP1S0	espantar
	,	Fc	,
porq	porque	CS	porque
o	o	PP3MSA00	o
tinha	tinha	VMII0S0	ter
em	em	SPS00	em
melhor	melhor	AQ0CS0	melhor
predicamto	predicamento	NCMS000	predicamento
dos	dos	SPS00+DA0MP0	de+o
tres	três	Z	três
	,	Fc	,
mas	mas	CC	mas
	,	Fc	,
como	como	CS	como
he	é	VSIP3S0	ser
falto	falto	AQ0MS0	falto
de	de	SPS00	de
Algũas	algumas	DI0FP0	algum
Aduellas	aduelas	NCFP000	aduela
	,	Fc	,
podia	podia	VMII0S0	poder
faselmte	facilmente	RG	facilmente
Vir	vir	VMN0000	vir
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
não	não	RN	não
era	era	VSII0S0	ser
bem	bem	RG	bem
Viese	viesse	VMSI0S0	vir
	.	Fp	.
tãobem	Também	RG	também
Vejo	vejo	VMIP1S0	ver
a	a	SPS00	a
Vm	VM	NP00000	VM
Estar	estar	VMN0000	estar
estemuLado	estimulado	VMP00SM	estimular
de	de	SPS00	de
Andre	André	NP00000	andré
furtado	Furtado	NP00000	furtado
	,	Fc	,
por	por	SPS00	por
quem	quem	PR0CN000	quem
se	se	P00CN000	se
pode	pode	VMIP3S0	poder
dizer	dizer	VMN0000	dizer
tem	tem	VMIP3S0	ter
dois	dois	Z	dois
Libra	Libera	Z	libera
nos	nos	Z	nos
Domine	Domine	Z	domine
	.	Fp	.
comvem	Convém	VMIP3S0	convir
a	a	SPS00	a
saber	saber	VMN0000	saber
	:	Fd	:
hũ	um	DI0MS0	um
deles	deles	SPS00+PP3MP000	de+ele
de	de	SPS00	de
fidalgo	fidalgo	NCMS000	fidalgo
de	de	SPS00	de
Entre	entre	SPS00	entre
ambas	ambas	DI0FP0	ambos
as	as	DA0FP0	o
sellas	celas	NCFP000	o
	,	Fc	,
E	e	CC	e
o	o	DA0MS0	o
outro	outro	PI0MS000	outro
	,	Fc	,
debaixo	debaixo	RG	debaixo
de	de	SPS00	de
semplesidade	simplicidade	NCFS000	simplicidade
	,	Fc	,
maldade	maldade	NCFS000	maldade
	.	Fp	.
folgo	Folgo	VMIP1S0	folgar
tenha	tenha	VMSP0S0	ter
Vm	VM	NP00000	VM
Anto	António	NP00000	antónio
d	de	SPS00	de
amaral	Amaral	NP00000	amaral
Em	em	SPS00	em
difiremte	diferente	AQ0CS0	diferente
comseitto	conceito	NCMS000	conceito
de	de	SPS00	de
qualquer	qualquer	DI0CS0	qualquer
desses	desses	SPS00+DD0MP0	de+esse
fidalgos	fidalgos	NCMP000	fidalgo
	.	Fp	.
Eu	Eu	PP1CSN00	eu
Estou	estou	VMIP1S0	estar
Em	em	SPS00	em
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
fas	faz	VMIP3S0	fazer
mta	muita	DI0FS0	muito
ventagem	vantagem	NCFS000	vantagem
E	e	CC	e
q	que	CS	que
he	é	VSIP3S0	ser
amigo	amigo	NCMS000	amigo
de	de	SPS00	de
seus	seus	DP3MP0	seu
amigos	amigos	NCMP000	amigo
E	e	CC	e
fio	fio	VMIP1S0	fiar
delle	dele	SPS00+PP3MS000	de+ele
	.	Fp	.
não	Não	RN	não
falara	falhará	VMIF3S0	falhar
Em	em	SPS00	em
servir	servir	VMN0000	servir
a	a	SPS00	a
Vm	VM	NP00000	VM
Em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
	,	Fc	,
pois	pois	CS	pois
sabe	sabe	VMIP3S0	saber
a	a	DA0FS0	o
vontade	vontade	NCFS000	vontade
q	que	PR0CN000	que
Eu	eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
tãobem	também	RG	também
de	de	SPS00	de
o	o	PP3MSA00	o
fazer	fazer	VMN0000	fazer
	.	Fp	.
E	E	CC	e
Como	como	CS	como
debaixo	debaixo	RG	debaixo
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
digo	digo	VMIP1S0	dizer
não	não	RN	não
aja	haja	VMSP0S0	haver
outra	outra	DI0FS0	outro
couza	coisa	NCFS000	coisa
	,	Fc	,
Esteja	esteja	VMSP0S0	estar
Vm	VM	NP00000	VM
sertto	certo	AQ0MS0	certo
q	que	CS	que
Eu	eu	PP1CSN00	eu
e	e	CC	e
lle	ele	PP3MS000	ele
obraremos	obraremos	VMIF1P0	obrar
Em	em	SPS00	em
seu	seu	DP3MS0	seu
servico	serviço	NCMS000	serviço
	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
10	10	Fp	.
de	de	Fp	.
fevereiro	fevereiro	Fp	.
642	642	Fp	.
a	anos	Fp	.
dõ	Dom	Fp	.
Anto	António	Fp	.
Mas	Mascarenhas	Fp	.
