dou	Dou	VMIP1S0	dar
eu	eu	PP1CSN00	eu
agora	agora	RG	agora
tirar	tirar	VMN0000	tirar
se	se	CS	se
não	não	RN	não
eu	eu	PP1CSN00	eu
botiarias	botiarias	NCMS000	botiarias
e	e	CC	e
mentiras	mentiras	NCFP000	mentira
e	e	CC	e
actos	atos	NCMP000	ato
de	de	SPS00	de
tais	tais	AQ0CP0	tais
calidades	qualidades	NCFP000	qualidade
	,	Fc	,
q	que	CS	que
vm	VM	NP00000	VM
pasou	passou	VMIS3S0	passar
mto	muito	RQ	muito
	,	Fc	,
não	não	RN	não
esta	está	VMIP3S0	estar
nesta	nesta	SPS00+DD0FS0	em+este
tera	terra	NCFS000	terra
	.	Fp	.
e	E	CC	e
	,	Fc	,
agora	agora	RG	agora
q	que	CS	que
sei	sei	VMIP1S0	saber
o	o	DA0MS0	o
q	que	PR0CN000	que
vm	VM	NP00000	VM
	,	Fc	,
escrevo	escrevo	VMIP1S0	escrever
o	ao	SPS00+DA0MS0	a+o
snor	senhor	NP00000	senhor
fernão	Fernão	NP00000	fernão
vas	Vaz	NP00000	vaz
de	de	SPS00	de
siqueira	Sequeira	NP00000	sequeira
	.	Fp	.
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
não	não	RN	não
ponho	ponho	VMIP1S0	pôr
a	a	DA0FS0	o
culpa	culpa	NCFS000	culpa
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
senão	senão	CC	senão
a	a	SPS00	a
de	de	SPS00	de
que	que	PR0CN000	que
quis	quis	VMIS3S0	querer
quer	quer	VMIP3S0	querer
a	a	SPS00	a
vm	VM	NP00000	VM
sabendo	sabendo	VMG0000	saber
o	o	DA0MS0	o
q	que	PR0CN000	que
vm	VM	NP00000	VM
eramos	éramos	VSII1P0	ser
cedo	cedo	RG	cedo
ate	até	SPS00	até
gora	agora	RG	agora
ver me	ver-me	VMN0000+PP1CS000	agora
ja	já	RG	já
asanhado	assanhado	VMP00SM	assanhar
	.	Fp	.
agora	Agora	RG	agora
sabera	saberá	VMIF3S0	saber
quem	quem	PR0CN000	quem
vm	VM	NP00000	VM
he	é	VSIP3S0	ser
	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
en	em	SPS00	em
eu	eu	PP1CSN00	eu
caindo	caindo	VMG0000	cair
fora	fora	RG	fora
	,	Fc	,
lhes	lhes	PP3CPD00	lhe
direi	direi	VMIF1S0	dizer
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
perguntarei	perguntarei	VMIF1S0	perguntar
das	das	SPS00+DA0FP0	de+o
couzas	coisas	NCFP000	coisa
q	que	PR0CN000	que
vm	VM	NP00000	VM
lhe	lhe	PP3CSD00	lhe
escreveo	escreveu	VMIS3S0	escrever
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
vm	VM	NP00000	VM
pergunto	pergunto	VMIP1S0	perguntar
quantos	quantos	PA000000	quanto
dias	dias	NCMP000	dia
estive	estive	VMIS1S0	estar
na	na	SPS00+DA0FS0	em+o
cadea	cadeia	NCFS000	cadeia
donde	donde	SPS00+PA000000	de+onde
vm	VM	NP00000	VM
me	me	PP1CS000	me
soltol	soltou	VMIS3S0	soltar
e	e	CC	e
juntamte	juntamente	RG	juntamente
vm	VM	NP00000	VM
virme	vir-me	VMN0000+PP1CS000	vir+me
pedir	pedir	VMN0000	pedir
algun	algum	DI0MS0	algum
dro	dinheiro	NCMS000	dinheiro
e	e	CC	e
atravesar	atravessar	VMN0000	atravessar
pera	para	SPS00	para
escrever	escrever	VMN0000	escrever
qua	cá	RG	cá
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
foi	fui	VMIS1S0	ir
algũo	algum	DI0MS0	algum
dia	dia	NCMS000	dia
boscar	buscar	VMN0000	buscar
alguö	algum	DI0MS0	algum
pescador	pescador	NCMS000	pescador
e	e	CC	e
devendo	devendo	VMG0000	dever
ca	cá	RG	cá
asin	assim	RG	assim
ficareis	ficareis	VMIF2P0	ficar
aqueles	àqueles	SPS00+DD0MP0	a+aquele
q	que	PR0CN000	que
vm	VM	NP00000	VM
comeo	comeu	VMIS3S0	comer
	,	Fc	,
pois	pois	CS	pois
mais	mais	RC	mais
comeo	comeu	VMIS3S0	comer
vm	VM	NP00000	VM
meo	meu	DP1MSS	meu
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
da	da	SPS00+DA0FS0	de+o
de	de	SPS00	de
ceo	seu	DP3MS0	seu
	!	Fp	!
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
a	a	DA0FS0	o
culpa	culpa	NCFS000	culpa
	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
conhecendo	conhecendo	VMG0000	conhecer
quem	quem	PR0CN000	quem
vm	VM	NP00000	VM
era	era	VMIP3S0	era
	,	Fc	,
quis	quis	VMIS3S0	querer
a	a	SPS00	a
cervir	servir	VMN0000	servir
en	em	SPS00	em
caza	casa	NCFS000	casa
taã	tão	RC	tão
enfame	infame	NCMS000	infame
como	como	SPS00	como
esta	esta	DD0FS0	este
	,	Fc	,
pois	pois	CS	pois
todos	todos	PI0MP000	todo
me	me	PP1CS000	me
dezião	diziam	VMII3P0	dizer
o	o	DA0MS0	o
q	que	PR0CN000	que
vm	VM	NP00000	VM
he	é	VSIP3S0	ser
	.	Fp	.
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
	,	Fc	,
como	como	CS	como
não	não	RN	não
queria	queria	VMII0S0	querer
fazer	fazer	VMN0000	fazer
de	de	SPS00	de
vm	VM	NP00000	VM
boa	boa	AQ0FS0	bom
por	por	SPS00	por
amor	amor	NCMS000	amor
da	da	SPS00+DA0FS0	de+o
	,	Fc	,
só	só	RG	só
lhe	lhe	PP3CSD00	lhe
digo	digo	VMIP1S0	dizer
q	que	CS	que
eu	eu	PP1CSN00	eu
mto	muito	RQ	muito
certo	certo	RG	certo
ei	hei	VMIP1S0	haver
de	de	SPS00	de
tornar	tornar	VMN0000	tornar
a	a	SPS00	a
esta	esta	DD0FS0	este
tera	terra	NCFS000	terra
e	e	CC	e
pode	pode	VMIP3S0	poder
cer	ser	VSN0000	ser
	,	Fc	,
saba	saiba	VMSP0S0	saber
vm	VM	NP00000	VM
	,	Fc	,
e	e	CC	e
a	a	SPS00	a
ter	ter	VMN0000	ter
o	o	DA0MS0	o
q	que	PR0CN000	que
ate	até	SPS00	até
gora	agora	RG	agora
eu	eu	PP1CSN00	eu
calava	calava	NCFS000	calava
	.	Fp	.
e	E	CC	e
agora	agora	RG	agora
faso	faço	VMIP1S0	fazer
conta	conta	NCFS000	conta
hir	ir	VMN0000	ir
saber	saber	VMN0000	saber
a	a	SPS00	a
verlhacarias	velhacarias	NCFP000	velhacaria
e	e	CC	e
ceu	ceu	NCMS000	ceu
	,	Fc	,
porq	porque	CS	porque
vm	VM	NP00000	VM
qua	cá	RG	cá
se	se	CS	se
recusa	recusa	VMIP3S0	recusar
ajudalos	ajudá-los	VMN0000+PP3MPA00	ajudar+o
com	com	SPS00	com
este	este	DD0MS0	este
snor	senhor	NCMS000	senhor
e	e	CC	e
pode	pode	VMIP3S0	poder
cer	ser	VSN0000	ser
o	o	DA0MS0	o
fasas	faças	VMSP2S0	fazer
cejão	sejam	VSSP3P0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
são	são	VSIP3P0	ser
	,	Fc	,
mas	mas	CC	mais
de	de	SPS00	de
vm	VM	NP00000	VM
levar	levar	VMN0000	levar
esperava	esperava	VMII0S0	esperar
menos	menos	RC	menos
	.	Fp	.
mto	Muito	RQ	muito
podera	poderá	VMIF3S0	poder
dizer	dizer	VMN0000	dizer
	,	Fc	,
mas	mas	CC	mais
	,	Fc	,
como	como	CS	como
faso	faço	VMIP1S0	fazer
conta	conta	NCFS000	conta
e	e	CC	e
voume	vou-me	VMIP1S0+PP1CS000	ir+me
con	com	SPS00	com
vas	Vaz	NP00000	vaz
la	lá	RG	lá
	,	Fc	,
e	e	CC	e
veremos	veremos	VMIF1P0	ver
	,	Fc	,
mas	mas	CC	mais
quaze	quase	RG	quase
dis	diz	VMIP3S0	dizer
esto	isto	PD0NN000	isto
dicera	dissera	VMIM0S0	dizer
mais	mais	RC	mais
	.	Fp	.
se	Se	CS	se
não	não	RN	não
vira	vira	VMIM0S0	ver
isto	isto	PD0NN000	isto
	,	Fc	,
bastava	bastava	VMII0S0	bastar
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
vm	VM	NP00000	VM
ce	se	CS	se
lhe	lhe	PP3CSD00	lhe
achar	achar	VMN0000	achar
por	por	SPS00	por
onde	onde	RG	onde
e	e	CC	e
o	o	DA0MS0	o
livre	livre	AQ0CS0	livre
de	de	SPS00	de
quem	quem	PR0CN000	quem
bem	bem	RG	bem
lhe	lhe	PP3CSD00	lhe
e	e	CC	e
mal	mal	RG	mal
lhe	lhe	PP3CSD00	lhe
faca	faça	VMSP0S0	fazer
la	lá	RG	lá
	.	Fp	.
Mel	Manuel	NP00000	manuel
Gomes	Gomes	NP00000	gomes
de	de	SPS00	de
siqueira	Sequeira	NP00000	sequeira
