As	Às	SPS00+DA0FP0	a+o
dele	dele	SPS00+PP3MS000	de+ele
	,	Fc	,
que	que	CS	que
ai	aí	RG	aí
vai	vai	VMIP3S0	ir
a	a	DA0FS0	o
La	licença	NCFS000	licença
a	,	Fc	,
a	a	DA0FS0	o
qoal	qual	PR0CS000	qual
esta	está	VMIP3S0	estar
tanben	também	RG	também
a	a	SPS00	a
pagar	pagar	VMN0000	pagar
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
Como	Como	CS	como
asi	assim	RG	assim
seja	seja	VSSP0S0	ser
	,	Fc	,
não	não	RN	não
ha	há	VMIP3S0	haver
mister	mister	NCMS000	mister
poder	poder	VMN0000	poder
dareselo	dar-se-lo	VMN0000+P00CN000+PP3MSA00	dar+se+o
	.	Fp	.
me	Me	PP1CS000	me
mendara	mandará	VMIF3S0	mandar
vm	VM	NP00000	VM
Avizar	avisar	VMN0000	avisar
e	e	CC	e
asi	assim	RG	assim
mesmo	mesmo	RG	mesmo
na	na	SPS00+DA0FS0	em+o
cobranca	cobrança	NCFS000	cobrança
que	que	PR0CN000	que
nele	nele	SPS00+PP3MS000	em+ele
fez	fez	VMIS3S0	fazer
	,	Fc	,
que	que	CS	que
qoalqer	qualquer	DI0CS0	qualquer
agravo	agravo	NCMS000	agravo
que	que	PR0CN000	que
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
faça	faça	VMSP0S0	fazer
esta	está	VMIP3S0	estar
ben	bem	RG	bem
enpregado	empregado	VMP00SM	empregar
	.	Fp	.
as	As	DA0FP0	o
Cartas	cartas	NCFP000	carta
pa	para	SPS00	para
lorenzo	Lourenço	NP00000	lourenço
lopez	Lopes	NP00000	lopes
	,	Fc	,
resebi	recebi	VMIS1S0	receber
que	que	CS	que
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
derão	deram	VMIS3P0	dar
	.	Fp	.
não	Não	RN	não
ouve	houve	VMIS3S0	haver
oCazião	ocasião	NCFS000	ocasião
de	de	SPS00	de
se	se	P00CN000	se
poderen	poderem	VMN03P0	poder
fazer	fazer	VMN0000	fazer
as	as	DA0FP0	o
Contas	contas	NCFP000	conta
Con	com	SPS00	com
do	Diogo	NP00000	diogo
Roiz	Rodrigues	NP00000	rodrigues
	,	Fc	,
que	que	PR0CN000	que
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
iria	iria	VMIC0S0	ir
breve	breve	AQ0CS0	breve
	.	Fp	.
perCurarei	Procurarei	VMIF1S0	procurar
mto	muito	RQ	muito
mandar	mandar	VMN0000	mandar
a	a	SPS00	a
vm	VM	NP00000	VM
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
que	que	PR0CN000	que
delas	delas	SPS00+PP3FP000	de+ele
rezultar	resultar	VMN0000	resultar
	,	Fc	,
posto	posto	VMP00SM	pôr
que	que	CS	que
lorenço	Lourenço	NP00000	lourenço
lopez	Lopes	NP00000	lopes
he	é	VSIP3S0	ser
de	de	SPS00	de
sua	sua	DP3FS0	seu
Condisão	condição	NCFS000	condição
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
não	não	RN	não
seren	serem	VSN03P0	ser
Couzas	coisas	NCFP000	coisa
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
não	não	RN	não
ouvera	houvera	VMIM0S0	haver
de	de	SPS00	de
falar	falar	VMN0000	falar
niso	nisso	SPS00+PD0NN000	em+isso
	,	Fc	,
por	por	SPS00	por
rezois	razões	NCFP000	razão
que	que	PR0CN000	que
Con	com	SPS00	com
ele	ele	PP3MS000	ele
tenho	tenho	VAIP1S0	ter
pasado	passado	VMP0000	passar
	.	Fp	.
mas	Mas	CC	mas
en	em	SPS00	em
servir	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
tudo	tudo	PI0NN000	tudo
se	se	P00CN000	se
ganha	ganha	VMIP3S0	ganhar
	.	Fp	.
o	O	DA0MS0	o
fardo	fardo	NCMS000	fardo
de	de	SPS00	de
ruam	Juan	NP00000	juan
	,	Fc	,
podendose	podendo-se	VMG0000+P00CN000	poder+se
vender	vender	VMN0000	vender
	,	Fc	,
posto	posto	VMP00SM	pôr
que	que	CS	que
ele	ele	PP3MS000	ele
he	é	VSIP3S0	ser
tal	tal	RC	tal
que	que	CS	que
não	não	RN	não
sei	sei	VMIP1S0	saber
quen	quem	PR0CN000	quem
o	o	PP3MSA00	o
queira	queira	VMSP0S0	querer
os	.	Fp	.
os	Os	DA0MP0	o
alfenetez	alfinetes	NCMP000	alfinete
	,	Fc	,
achando	achando	VMG0000	achar
algun	algum	DI0MS0	algum
amigo	amigo	NCMS000	amigo
a	a	SPS00	a
quen	quem	PR0CN000	quem
os	os	PP3MPA00	o
enCarregar	encarregar	VMN0000	encarregar
pa	para	SPS00	para
a	a	DA0FS0	o
fra	feira	NCFS000	feira
	,	Fc	,
yria	iria	VMIC0S0	ir
la	lá	RG	lá
o	o	DA0MS0	o
fardo	fardo	NCMS000	fardo
de	de	SPS00	de
nasCotez	anascotes	NCMP000	anascote
que	que	PR0CN000	que
vm	VM	NP00000	VM
aviza	avisa	VMIP3S0	avisar
	.	Fp	.
Havera	Haverá	VMIF3S0	haver
2	2	Z	2
dias	dias	NCMP000	dia
não	não	RN	não
são	são	VSIP3P0	ser
aynda	ainda	RG	ainda
vendidos	vendidos	VMP00PM	vender
	.	Fp	.
de	De	SPS00	de
que	que	CS	que
o	o	PP3MSA00	o
sejan	sejam	VSSP3P0	ser
	,	Fc	,
segirei	seguirei	VMIF1S0	seguir
a	a	DA0FS0	o
orden	ordem	NCFS000	ordem
que	que	PR0CN000	que
vm	VM	NP00000	VM
ordena	ordena	VMIP3S0	ordenar
	.	Fp	.
os	Os	DA0MP0	o
200	200	Z	200
Rs	reales	NCMP000	real
se	se	P00CN000	se
darão	darão	VMIF3P0	dar
a	a	SPS00	a
dona	Dona	NP00000	dona
madallena	Madalena	NP00000	madalena
	,	Fc	,
posto	posto	VMP00SM	pôr
que	que	CS	que
ainda	ainda	RG	ainda
não	não	RN	não
Estan	estão	VMIP3P0	estar
todos	todos	DI0MP0	todo
Cobrados	cobrados	VMP00PM	cobrar
mas	,	Fc	,
mas	mas	CC	mais
diz	diz	VMIP3S0	dizer
sevastian	Sebastião	NP00000	sebastião
lopez	Lopes	NP00000	lopes
se	se	P00CN000	se
Cobraran	cobrarão	VMIF3P0	cobrar
breve	breve	AQ0CS0	breve
	.	Fp	.
Cobrarei	Cobrarei	VMIF1S0	cobrar
a	a	DA0FS0	o
Carta	carta	NCFS000	carta
que	que	PR0CN000	que
vm	VM	NP00000	VM
diz	diz	VMIP3S0	dizer
dela	dela	SPS00+PP3FS000	de+ele
e	e	CC	e
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
ouver	houver	VMSF0S0	haver
avizarei	avisarei	VMIF1S0	avisar
a	a	DA0FS0	o
vm	VM	NP00000	VM
	.	Fp	.
largo	Largo	AQ0MS0	largo
	,	Fc	,
por	por	SPS00	por
agora	agora	RG	agora
o	o	DA0MS0	o
portador	portador	NCMS000	portador
estar	estar	VMN0000	estar
de	de	SPS00	de
presa	pressa	NCFS000	pressa
	,	Fc	,
não	não	RN	não
sou	sou	VSIP1S0	ser
	.	Fp	.
as	As	DA0FP0	o
Cartas	cartas	NCFP000	carta
de	de	SPS00	de
lixa	Lxa	NP00000	lisboa
	,	Fc	,
todas	todas	DI0FP0	todo
vão	vão	VMIP3P0	ir
nos	nos	SPS00+DA0MP0	em+o
Coreios	correios	NCMP000	correio
que	que	PR0CN000	que
se	se	P00CN000	se
ofrecen	oferecem	VMIP3P0	oferecer
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
Como	como	PA000000	como
não	não	RN	não
são	são	VSIP3P0	ser
dadas	dadas	VMP00PF	dar
	.	Fp	.
as	As	DA0FP0	o
que	que	PR0CN000	que
vierão	vieram	VMIS3P0	vir
foran	foram	VMIS3P0	ir
logo	logo	RG	logo
	.	Fp	.
Con	Com	SPS00	com
esta	esta	PD0FS000	este
	,	Fc	,
sera	será	VSIF3S0	ser
huma	uma	PI0FS000	um
que	que	PR0CN000	que
veio	veio	VMIS3S0	vir
de	de	SPS00	de
la	lá	RG	lá
	.	Fp	.
não	Não	RN	não
se	se	P00CN000	se
ofreçe	oferece	VMIP3S0	oferecer
outro	outro	PI0MS000	outro
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
ds	Deus	NP00000	deus
a	a	DA0FS0	o
vm	VM	NP00000	VM
Como	como	CS	como
pode	pode	VMIP3S0	poder
	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
md	Madrid	NP00000	madrid
	,	Fc	,
A	a	SPS00	a
13	13	Z	13
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
de	de	SPS00	de
1609	1609	Z	1609
	.	Fp	.
Fernan	Fernão	NP00000	fernão
Franco	Franco	NP00000	franco
