Resebi	Recebi	VMIS1S0	receber
avera	haverá	VMIF3S0	haver
vm	VM	NP00000	VM
em	em	SPS00	em
nenhum	nenhum	DI0MS0	nenhum
tenpo	tempo	NCMS000	tempo
por	por	SPS00	por
mal	mal	RG	mal
empregada	empregada	VMP00SF	empregar
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
m	mercê	NCFS000	mercê
que	que	PR0CN000	que
me	me	PP1CS000	me
fiser	fizer	VMSF0S0	fazer
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
	,	Fc	,
que	que	PR0CN000	que
mto	muito	RQ	muito
sedo	cedo	RG	cedo
ei	hei	VMIP1S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
a	a	SPS00	a
esa	essa	DD0FS0	esse
sidade	cidade	NCFS000	cidade
	,	Fc	,
buscarei	buscarei	VMIF1S0	buscar
a	a	DA0FS0	o
vm	VM	NP00000	VM
	,	Fc	,
e	e	CC	e
reconheseloei	reconhecê-lo-ei	VMIF1S0+PP3MSA00	reconher+o
por	por	SPS00	por
meo	meu	DP1MSS	meu
sõr	Senhor	NP00000	senhor
	,	Fc	,
e	e	CC	e
o	o	PP3MSA00	o
servirei	servirei	VMIF1S0	servir
como	como	SPS00	como
seo	seu	DP3MS0	seu
cativo	cativo	NCMS000	cativo
	.	Fp	.
Torno	Torno	VMIP1S0	tornar
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
lembransa	lembrança	NCFS000	lembrança
que	que	CS	que
o	o	DA0MS0	o
que	que	PR0CN000	que
digo	digo	VMIP1S0	dizer
asima	acima	RG	acima
so	só	RG	só
he	é	VSIP3S0	ser
o	o	DA0MS0	o
meio	meio	NCMS000	meio
de	de	SPS00	de
se	se	P00CN000	se
poder	poder	VMN0000	poder
cobrar	cobrar	VMN0000	cobrar
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
	.	Fp	.
e	E	CC	e
assim	assim	RG	assim
o	o	PP3MSA00	o
cobrarei	cobrarei	NCMS000	cobrarei
logo	logo	RG	logo
	,	Fc	,
e	e	CC	e
de	de	SPS00	de
outra	outra	PI0FS000	outro
não	não	RN	não
ha	há	VMIP3S0	haver
que	que	CS	que
falar	falar	VMN0000	falar
nele	nele	SPS00+PP3MS000	em+ele
	.	Fp	.
Por	Por	SPS00	por
ora	ora	RG	ora
não	não	RN	não
ha	há	VMIP3S0	haver
mais	mais	RC	mais
que	que	CS	que
ficar	ficar	VMN0000	ficar
esperando	esperando	VMG0000	esperar
	.	Fp	.
nosso	Nosso	DP1MSP	nosso
sõr	Senhor	NP00000	senhor
guarde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
vm	VM	NP00000	VM
	.	Fp	.
Montemor	Montemor	NP00000	montemor
e	e	CC	e
de	de	SPS00	de
setbro	setembro	NCMS000	setembro
6	6	Z	6
de	de	SPS00	de
628	628	Z	628
a	anos	NCMP000	ano
	.	Fp	.
servidor	Servidor	NCMS000	servidor
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
frnco	Francisco	NP00000	francisco
jorge	Jorge	NP00000	jorge
banha	Banha	NP00000	banha
