Minha	Minha	DP1FSS	meu
lhe	lhe	PP3CSD00	lhe
perdoar	perdoar	VMN0000	perdoar
;	.	Fp	.
e	E	CC	e
lembrame	lembra-me	VMIP3S0+PP1CS000	lembrar+me
q	que	CS	que
	,	Fc	,
querendo	querendo	VMG0000	querer
Pedr	Pedro	NP00000	pedro
alves	Alves	NP00000	alves
levalo	levá-lo	VMN0000+PP3MSA00	levar+o
consigo	consigo	SPS00+PP3CNO00	com+si
a	a	SPS00	a
odivellas	Odivelas	NP00000	odivelas
porq	porque	CS	porque
vós	vós	PP2CP000	vós
assim	assim	RG	assim
lho	lho	DA0MS0+DA0MS0	o+o
pedisteis	pedísteis	NCMS000	pedísteis
,	,	Fc	,
e	e	CC	e
dizendolhe	dizendo-lhe	VMG0000+PP3CSD00	dizer+lhe
eu	eu	PP1CSN00	eu
q	que	CS	que
o	o	PP3MSA00	o
divia	devia	VMII0S0	dever
fazer	fazer	VMN0000	fazer
sequer	sequer	RG	sequer
de	de	SPS00	de
curiozo	curioso	AQ0MS0	curioso
,	,	Fc	,
cõ	com	SPS00	com
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
insolensia	insolência	NCFS000	insolência
disse	disse	VMIS3S0	dizer
q	que	CS	que
só	só	RG	só
iria	iria	VMIC0S0	ir
em	em	SPS00	em
cazo	caso	NCMS000	caso
q	que	CS	que
o	o	PP3MSA00	o
mandasse	mandasse	VMSI0S0	mandar
chamar	chamar	VMN0000	chamar
a	a	SPS00	a
sua	sua	DP3FS0	seu
dama	dama	NCFS000	dama
;	.	Fp	.
outros	Outros	PI0MP000	outro
mais	mais	RC	mais
motivos	motivos	NCMP000	motivo
me	me	PP1CS000	me
esquessẽ	esquecem	VMIP3P0	esquecer
.	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
contradizẽ	contradizem	SPS00	contradizem
esta	esta	DD0FS0	este
sua	sua	DP3FS0	seu
demonstrassão	demonstração	NCFS000	demonstração
,	,	Fc	,
cõ	com	SPS00	com
q	que	PR0CN000	que
mais	mais	RC	mais
me	me	PP1CS000	me
fas	faz	VMIP3S0	fazer
julgar	julgar	VMN0000	julgar
falsificada	falsificada	VMP00SF	falsificar
he	e	CC	e
não	não	RN	não
se	se	P00CN000	se
encaminhar	encaminhar	VMN0000	encaminhar
cõ	com	SPS00	com
o	o	DA0MS0	o
patrosinio	patrocínio	NCMS000	patrocínio
de	de	SPS00	de
Pedr	Pedro	NP00000	pedro
alves	Alves	NP00000	alves
,	,	Fc	,
q	que	CS	que
paresse	parece	VMIP3S0	parecer
era	era	VSIP3S0	ser
milhor	melhor	AQ0CS0	melhor
fiador	fiador	NCMS000	fiador
de	de	SPS00	de
similhante	semelhante	AQ0CS0	semelhante
ajuste	ajuste	NCMS000	ajuste
,	.	Fp	.
mas	Mas	CC	mas
como	como	CS	como
elle	ele	PP3MS000	ele
se	se	P00CN000	se
quer	quer	VMIP3S0	querer
mostrar	mostrar	VMN0000	mostrar
todo	todo	DI0MS0	todo
poderozo	poderoso	NCMS000	poderoso
e	e	CC	e
q	que	CS	que
fas	faz	VMIP3S0	fazer
tudo	tudo	PI0NN000	tudo
qdo	quando	CS	quando
e	e	CC	e
como	como	CS	como
quer	quer	VMIP3S0	querer
,	,	Fc	,
não	não	RN	não
quis	quis	VMIS3S0	querer
q	que	CS	que
esta	esta	DD0FS0	este
notissia	notícia	NCFS000	notícia
tivesse	tivesse	VMSI0S0	ter
tistimunhas	testemunhas	NCFP000	testemunha
q	que	CS	que
pudessẽ	pudessem	VMSI3P0	poder
convensser	convencer	VMN0000	convencer
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
procedimto	procedimento	NCMS000	procedimento
pa	para	SPS00	para
o	o	DA0MS0	o
diante	diante	RG	diante
;	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
sẽ	sem	SPS00	sem
temeridade	temeridade	NCFS000	temeridade
	,	Fc	,
me	me	PP1CS000	me
afirmo	afirmo	VMIP1S0	afirmar
em	em	SPS00	em
q	que	CS	que
elle	ele	PP3MS000	ele
quer	quer	VMIP3S0	querer
campar	campar	VMN0000	campar
com	com	SPS00	com
este	este	DD0MS0	este
triunfo	triunfo	NCMS000	triunfo
e	e	CC	e
fazer	fazer	VMN0000	fazer
verdadro	verdadeiro	AQ0MS0	verdadeiro
o	o	DA0MS0	o
q	que	PR0CN000	que
sempre	sempre	RG	sempre
dis	diz	VMIP3S0	dizer
,	,	Fc	,
da	da	SPS00+DA0FS0	de+o
leveza	leveza	NCFS000	leveza
com	com	SPS00	com
q	que	PR0CN000	que
se	se	P00CN000	se
rinhe	rinhe	VMIP3S0	rinher
esse	esse	DD0MS0	esse
solda	soldado	NCMS000	soldado
nesse	nesse	SPS00+DD0MS0	em+esse
convento	convento	NCMS000	convento
;	.	Fp	.
paresseume	Pareceu-me	VMIS3S0+PP1CS000	parecer+me
dizervos	dizer-vos	VMN0000+PP2CP000	dizer+vos
isto	isto	PD0NN000	isto
porq	porque	CS	porque
	,	Fc	,
dizejando	desejando	VMG0000	desejar
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
união	união	NCFS000	união
,	,	Fc	,
sintirei	sentirei	VMIF1S0	sentir
infenito	infinito	RG	infinito
q	que	CS	que
	,	Fc	,
cõ	com	SPS00	com
menos	menos	RC	menos
cabo	cabo	NCMS000	cabo
vosso	vosso	DP2MSP	vosso
,	,	Fc	,
fassais	façais	VMSP2P0	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
pode	pode	VMIP3S0	poder
fazer	fazer	VMN0000	fazer
cõ	com	SPS00	com
meyos	meios	NCMP000	meio
mais	mais	CC	mais
proporsionados	proporcionados	NCMP000	proporcionado
a	a	SPS00	a
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
mais	mais	NCMS000	mais
do	do	SPS00+DA0MS0	de+o
vosso	vosso	DP2MSP	vosso
papel	papel	NCMS000	papel
	.	Fp	.
pelo	Pelo	SPS00+DA0MS0	.
q	que	PR0CN000	que
toca	toca	VMIP3S0	tocar
a	a	SPS00	a
D	Dona	NP00000	dona
Ma	Marcelina	NP00000	Marcelina
	,	Fc	,
não	não	RN	não
pode	pode	VMIP3S0	poder
ella	ela	PP3FS000	ele
satisfazer	satisfazer	VMN0000	satisfazer
cõ	com	SPS00	com
quebrar	quebrar	VMN0000	quebrar
ou	ou	CC	ou
não	não	RN	não
quebrar	quebrar	VMN0000	quebrar
,	,	Fc	,
porque	porque	CS	porque
he	é	VSIP3S0	ser
serto	certo	AQ0MS0	certo
q	que	CS	que
fes	fez	VMIS3S0	fazer
duelo	duelo	NCMS000	duelo
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
siume	ciúme	NCMS000	ciúme
e	e	CC	e
q	que	CS	que
se	se	CS	se
não	não	RN	não
lembrou	lembrou	VMIS3S0	lembrar
de	de	SPS00	de
que	que	CS	que
era	era	VSII0S0	ser
filha	filha	NCFS000	filho
de	de	SPS00	de
hũ	um	DI0MS0	um
pay	pai	NCMS000	pai
onrado	honrado	AQ0MS0	honrado
;	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
	,	Fc	,
nos	nos	SPS00+DA0MP0	em+o
seus	seus	DP3MP0	seu
particulares	particulares	NCMP000	particular
	,	Fc	,
ólho	olho	NCMS000	olho
como	como	SPS00	como
os	os	DA0MP0	o
domais	demais	DI0CN0	demais
estranhos	estranhos	NCMP000	estranho
;	.	Fp	.
em	Em	SPS00	em
Marcilina	Marcelina	NP00000	Marcelina
ter	ter	VMN0000	ter
ou	ou	CC	ou
não	não	RN	não
ter	ter	VMN0000	ter
já	já	RG	já
trato	trato	NCMS000	trato
	,	Fc	,
e	e	CC	e
cõ	com	SPS00	com
achar	achar	VMN0000	achar
contra	contra	SPS00	contra
sy	si	PP3CNO00	si
a	a	SPS00	a
todos	todos	PI0MP000	todo
neste	neste	SPS00+DD0MS0	em+este
roido	ruído	NCMS000	ruído
,	,	Fc	,
me	me	PP1CS000	me
fas	faz	VMIP3S0	fazer
suspeitar	suspeitar	VMN0000	suspeitar
q	que	CS	que
este	este	DD0MS0	este
negossio	negócio	NCMS000	negócio
se	se	CS	se
tẽ	tem	VMIP3S0	ter
confirido	conferido	NCMS000	conferido
,	,	Fc	,
e	e	CC	e
q	que	CS	que
de	de	SPS00	de
vós	vós	PP2CP000	vós
falardes	falardes	VMN02P0	falar
a	a	SPS00	a
Fdo	Fernando	NP00000	fernando
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
o	o	DA0MS0	o
fim	fim	NCMS000	fim
cõ	com	SPS00	com
q	que	CS	que
tudo	tudo	PI0NN000	tudo
se	se	P00CN000	se
põe	põe	VMIP3S0	pôr
da	da	SPS00+DA0FS0	de+o
vossa	vossa	DP2FSP	vosso
parte	parte	NCFS000	parte
,	.	Fp	.
ao	Ao	SPS00+DA0MS0	a+o
dipois	depois	RG	depois
ahi	aí	RG	aí
se	se	CS	se
está	está	VMIP3S0	estar
Marcilina	Marcelina	NP00000	Marcelina
;	.	Fp	.
estimo	Estimo	VMIP1S0	estimar
q	que	CS	que
a	a	SPS00	a
vossa	vossa	DP2FSP	vosso
quexa	queixa	NCFS000	queixa
não	não	RN	não
passasse	passasse	VMSI0S0	passar
avante	avante	RG	avante
;	.	Fp	.
pa	Para	SPS00	para
servirvos	servir-vos	VMN0000+PP2CP000	servir+vos
	,	Fc	,
me	me	PP1CS000	me
tendes	tendes	VMIP2P0	ter
pronta	pronta	AQ0FS0	pronto
,	.	Fp	.
as	As	DA0FP0	o
sobrinhas	sobrinhas	NCFP000	sobrinho
e	e	CC	e
as	as	DA0FP0	o
mais	mais	RC	mais
se	se	CS	se
vos	vos	PP2CP000	vos
recomendão	recomendam	VMIP3P0	recomendar
	.	Fp	.
Ds	Deus	NP00000	deus
vos	vos	PP2CP000	vos
gde	guarde	VMSP0S0	guardar
como	como	CS	como
quero	quero	VMIP1S0	querer
	.	Fp	.
Palhavã	Palhavã	NP00000	Palhav
	,	Fc	,
5a fra	quinta-feira	NCFS000	quinta-feira
je	je	SPS00	je
A.	A.	NP00000	a.
D	Dona	NP00000	dona
Mna	Mariana	NP00000	mariana
