Cheguo	Chego	VMIP1S0	chegar
darlhe	dar-lhe	VMN0000+PP3CSD00	dar+lhe
alcançe	alcance	NCMS000	alcance
porqto	porquanto	CS	porquanto
forão	foram	VMIS3P0	ir
mto	muito	RQ	muito
a	à	SPS00+DA0FS0	a+o
Leveira	leveira	NCFS000	leveira
e	e	CC	e
tinhão	tinham	VMII3P0	ter
passadores	passadores	NCMP000	passador
por	por	SPS00	por
via	via	NCFS000	via
de	de	SPS00	de
hũ	um	DI0MS0	um
seu	seu	DP3MS0	seu
irmão	irmão	NCMS000	irmão
medico	médico	NCMS000	médico
q	que	PR0CN000	que
assiste	assiste	VMIP3S0	assistir
em	em	SPS00	em
Sevilha	Sevilha	NP00000	sevilha
	.	Fp	.
e	E	CC	e
he	é	VSIP3S0	ser
çerto	certo	AQ0MS0	certo
q	que	CS	que
os	os	DA0MP0	o
q	que	PR0CN000	que
estão	estão	VMIP3P0	estar
prezos	presos	VMP00PM	prender
farião	fariam	VMIC3P0	fazer
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
	,	Fc	,
pois	pois	CS	pois
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
achei	achei	VMIS1S0	achar
dro	dinheiro	NCMS000	dinheiro
pa	para	SPS00	para
a	a	DA0FS0	o
leva	leva	NCFS000	leva
,	,	Fc	,
nẽ	nem	CC	nem
pessas	peças	NCFP000	peça
de	de	SPS00	de
ouro	ouro	NCMS000	ouro
ou	ou	CC	ou
prata	prata	NCFS000	prata
	,	Fc	,
tendoas	tendo-as	VMG0000+PP3FPA00	ter+o
,	.	Fp	.
e	E	CC	e
estavão	estavam	VMII3P0	estar
pa	para	SPS00	para
partir	partir	VMN0000	partir
os	os	DA0MP0	o
maridos	maridos	NCMP000	marido
prezos	presos	VMP00PM	prender
na	na	SPS00+DA0FS0	em+o
Cadea	cadeia	NCFS000	cadeia
pa	para	SPS00	para
a	a	DA0FS0	o
feria	feira	NCFS000	feira
de	de	SPS00	de
S	São	NP00000	são
Bertholomeu	Bartolomeu	NP00000	bartolomeu
	,	Fc	,
de	de	SPS00	de
Madreuguada	madrugada	NCFS000	madrugada
,	,	Fc	,
se	se	CS	se
he	é	VSIP3S0	ser
q	que	CS	que
não	não	RN	não
seguirã	seguiram	VMIS3P0	seguir
os	os	DA0MP0	o
passos	passos	NCMP000	passo
dos	dos	SPS00+DA0MP0	de+o
outos	outros	PI0MP000	outro
,	,	Fc	,
q	que	PR0CN000	que
	,	Fc	,
como	como	CS	como
tenho	tenho	VAIP1S0	ter
ditto	dito	VMP00SM	dizer
	,	Fc	,
forão	foram	VMIS3P0	ir
tanto	tanto	RC	tanto
a	à	SPS00+DA0FS0	a+o
Leveira	leveira	NCFS000	leveira
q	que	PR0CN000	que
deixarão	deixaram	VMIS3P0	deixar
os	os	DA0MP0	o
filhos	filhos	NCMP000	filho
em	em	SPS00	em
caza	casa	NCFS000	casa
de	de	SPS00	de
hũ	um	DI0MS0	um
Mel	Manuel	NP00000	manuel
Henriques	Henriques	NP00000	henriques
e	e	CC	e
Clara	Clara	NP00000	clara
da	da	SPS00+DA0FS0	de+o
Silveira	Silveira	NP00000	silveira
	,	Fc	,
cristãos novos	cristãos-novos	NCMP000	cristão-novo
	,	Fc	,
moes	moradores	NCMP000	morador
nesta	nesta	SPS00+DD0FS0	em+este
Villa	vila	NCFS000	vila
	,	Fc	,
e	e	CC	e
dois	dois	Z	dois
delles	deles	SPS00+PP3MP000	de+ele
são	são	VSIP3P0	ser
ja	já	RG	já
de	de	SPS00	de
idade	idade	NCFS000	idade
q	que	CS	que
vendião	vendiam	VMII3P0	vender
na	na	SPS00+DA0FS0	em+o
logea	loja	NCFS000	loja
as	as	DA0FP0	o
fazendas	fazendas	NCFP000	fazenda
,	.	Fp	.
e	E	CC	e
se	se	P00CN000	se
dis	diz	VMIP3S0	dizer
e	e	CC	e
ha	há	VMIP3S0	haver
fama	fama	NCFS000	fama
de	de	SPS00	de
q	que	CS	que
os	os	PP3MPA00	o
hão	hão	VMIP3P0	haver
de	de	SPS00	de
mandar	mandar	VMN0000	mandar
buscar	buscar	VMN0000	buscar
,	,	Fc	,
e	e	CC	e
ambos	ambos	PI0MP000	ambos
se	se	P00CN000	se
chamão	chamam	VMIP3P0	chamar
o	o	DA0MS0	o
nome	nome	NCMS000	nome
de	de	SPS00	de
Mel	Manuel	NP00000	manuel
	.	Fp	.
circuinstançias	Circunstâncias	NCFP000	circunstância
q	que	PR0CN000	que
me	me	PP1CS000	me
pareçerão	pareceram	VMIS3P0	parecer
acerto	acerto	NCMS000	acerto
declarar	declarar	VMN0000	declarar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
;	,	Fc	,
como	como	CS	como
tambẽ	também	RG	também
de	de	SPS00	de
q	que	CS	que
os	os	DA0MP0	o
fugidos	fugidos	VMP00PM	fugir
tẽ	têm	VMIP3P0	ter
irmãns	irmãos	NCMP000	irmão
e	e	CC	e
cunhadas	cunhadas	NCFP000	cunhado
em	em	SPS00	em
a	a	DA0FS0	o
Villa	vila	NCFS000	vila
de	de	SPS00	de
S	Santa	NP00000	santa
Marinha	Marinha	NP00000	marinha
e	e	CC	e
em	em	SPS00	em
o	o	DA0MS0	o
Luguar	lugar	NCMS000	lugar
de	de	SPS00	de
Arcuzello	Arcozelo	NP00000	arcozelo
,	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
dizẽ	dizem	VMIP3P0	dizer
q	que	CS	que
se	se	P00CN000	se
vierão	vieram	VMIS3P0	vir
despedir	despedir	VMN0000	despedir
delles	deles	SPS00+PP3MP000	de+ele
a	a	SPS00	a
esta	esta	DD0FS0	este
Villa	vila	NCFS000	vila
e	e	CC	e
tãbẽ	também	RG	também
tẽ	têm	VMIP3P0	ter
as	as	DA0FP0	o
mesmas	mesmas	AQ0FP0	mesmo
no	no	SPS00+DA0MS0	em+o
Luguar	lugar	NCMS000	lugar
das	das	SPS00+DA0FP0	de+o
fréixedas	Freixedas	NP00000	freixedas
e	e	CC	e
Vila	vila	NCFS000	vila
de	de	SPS00	de
Çernheco	Cernache	NP00000	cernache
,	,	Fc	,
q	que	CS	que
todos	todos	PI0MP000	todo
se	se	P00CN000	se
comunicavão	comunicavam	VMII3P0	comunicar
e	e	CC	e
vezitavão	visitavam	VMII3P0	visitar
.	.	Fp	.
e	E	CC	e
esperuo	espero	VMIP1S0	esperar
os	os	DA0MP0	o
	,	Fc	,
q	que	PR0CN000	que
são	são	VSIP3P0	ser
na	na	SPS00+DA0FS0	em+o
feria	feira	NCFS000	feira
pa	para	SPS00	para
fazer	fazer	VMN0000	fazer
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
pa	para	SPS00	para
a	a	DA0FS0	o
leva	leva	NCFS000	leva
dos	dos	SPS00+DA0MP0	de+o
prezos	presos	NCMP000	preso
	,	Fc	,
e	e	CC	e
seguirei	seguirei	VMIF1S0	seguir
e	e	CC	e
ordenarei	ordenarei	VMIF1S0	ordenar
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
VSa	VSa	NP00000	VSa
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
e	e	CC	e
a	a	DA0FS0	o
pena	pena	NCFS000	pena
em	em	SPS00	em
a	a	DA0FS0	o
vida	vida	NCFS000	vida
q	que	PR0CN000	que
me	me	PP1CS000	me
assiste	assiste	VMIP3S0	assistir
de	de	SPS00	de
não	não	RN	não
se	se	P00CN000	se
lograr	lograr	VMN0000	lograr
em	em	SPS00	em
cheo	céu	NCMS000	céu
	.	Fp	.
tudo	Tudo	PI0NN000	tudo
ssó	só	RG	só
ds	Deus	NP00000	deus
o	o	PP3MSA00	o
sabe	sabe	VMIP3S0	saber
;	.	Fp	.
este	Este	DD0MS0	este
snor	Senhor	NP00000	senhor
gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
VSa	VSa	NP00000	VSa
sempre	sempre	RG	sempre
	.	Fp	.
Mello	Melo	NP00000	melo
	,	Fc	,
e	e	CC	e
de	de	SPS00	de
Aguosto	agosto	NCMS000	agosto
23	23	Z	23
de	de	SPS00	de
690	690	Z	690
Capellão	Capelão	NCMS000	capelão
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
Mel	Manuel	NP00000	manuel
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
Vellozo	Veloso	NP00000	veloso
Ouve	Houve	VMIS3S0	haver
equivocação	equivocação	NCFS000	equivocação
na	na	SPS00+DA0FS0	em+o
informação	informação	NCFS000	informação
q	que	PR0CN000	que
me	me	PP1CS000	me
derão	deram	VMIS3P0	dar
dos	dos	SPS00+DA0MP0	de+o
filhos	filhos	NCMP000	filho
q	que	PR0CN000	que
a	a	DA0FS0	o
VSa	VSa	NP00000	VSa
diguo	digo	VMIP1S0	dizer
,	,	Fc	,
porqto	porquanto	CS	porquanto
avizarei	avisarei	VMIF1S0	avisar
de	de	SPS00	de
çerto	certo	NCMS000	certo
q	que	CS	que
os	os	DA0MP0	o
filhos	filhos	NCMP000	filho
das	das	SPS00+DA0FP0	de+o
prezas	presas	NCFP000	presa
são	são	VSIP3P0	ser
os	os	DA0MP0	o
q	que	PR0CN000	que
estão	estão	VMIP3P0	estar
na	na	SPS00+DA0FS0	em+o
Caza	casa	NCFS000	casa
de	de	SPS00	de
Mel	Manuel	NP00000	manuel
Henriques	Henriques	NP00000	henriques
e	e	CC	e
os	os	DA0MP0	o
dos	dois	NCMS000	dois
fugidos	fugidos	VMP00PM	fugir
q	que	PR0CN000	que
assima	acima	RG	acima
relato	relato	VMIP1S0	relatar
estavão	estavam	VMII3P0	estar
em	em	SPS00	em
caza	casa	NCFS000	casa
da	da	SPS00+DA0FS0	de+o
Ma	Maria	NP00000	maria
de	de	SPS00	de
Gouvea	Gouveia	NP00000	gouveia
	,	Fc	,
sua	sua	DP3FS0	seu
tia	tia	NCFS000	tio
	,	Fc	,
e	e	CC	e
de	de	SPS00	de
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
Hieronimo	Jerónimo	NP00000	jerónimo
Cardozo	Cardoso	NP00000	cardoso
,	,	Fc	,
q	que	PR0CN000	que
me	me	PP1CS000	me
informarão	informaram	VMIS3P0	informar
estão	estão	VMIP3P0	estar
em	em	SPS00	em
caza	casa	NCFS000	casa
de	de	SPS00	de
Anto	António	NP00000	antónio
glz	Gonçalves	NP00000	gonçalves
de	de	SPS00	de
figdo	Figueiredo	NP00000	figueiredo
	,	Fc	,
christão velho	cristão-velho	NCMS000	cristão-velho
	,	Fc	,
e	e	CC	e
de	de	SPS00	de
sua	sua	DP3FS0	seu
mer	mulher	NCFS000	mulher
Mariana	Mariana	NP00000	mariana
Mendes	Mendes	NP00000	mendes
	,	Fc	,
christã Velhea	cristã-velha	NCFS000	cristão-velho
	,	Fc	,
desta	desta	SPS00+DD0FS0	de+este
Va	vila	NCFS000	vila
	.	Fp	.
e	E	CC	e
	,	Fc	,
fazendo	fazendo	VMG0000	fazer
deligençia	diligência	NCFS000	diligência
pa	para	SPS00	para
os	os	DA0MP0	o
reter	reter	VMN0000	reter
ate	até	SPS00	até
avizo	aviso	NCMS000	aviso
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
achei	achei	VMIS1S0	achar
çertamte	certamente	RG	certamente
q	que	CS	que
fugirao	fugiram	VMIS3P0	fugir
vindo	vindo	VMG0000	vir
do	do	SPS00+DA0MS0	de+o
luguar	lugar	NCMS000	lugar
de	de	SPS00	de
Nabais	Nabais	NP00000	nabais
	,	Fc	,
como	como	CS	como
lhe	lhe	PP3CSD00	lhe
disserão	disseram	VMIS3P0	dizer
estavão	estavam	VMII3P0	estar
prezas	presas	VMP00PF	prender
as	as	DA0FP0	o
tias	tias	NCFP000	tio
	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
affirmão	afirmam	VMIP3P0	afirmar
forão	foram	VMIS3P0	ir
pa	para	SPS00	para
caza	casa	NCFS000	casa
de	de	SPS00	de
Raphael	Rafael	NP00000	rafael
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
	,	Fc	,
seu	seu	DP3MS0	seu
tio	tio	NCMS000	tio
	,	Fc	,
da	da	SPS00+DA0FS0	de+o
Va	vila	NCFS000	vila
de	de	SPS00	de
Çernache	Cernache	NP00000	cernache
,	.	Fp	.
ainda	Ainda	RG	ainda
mando	mando	VMIP1S0	mandar
fazer	fazer	VMN0000	fazer
deligençia	diligência	NCFS000	diligência
q	que	CS	que
	,	Fc	,
achandoos	achando-os	VMN0000+PP3MPA00	achar+o
	,	Fc	,
os	os	PP3MPA00	o
mando	mando	VMIP1S0	mandar
reter	reter	VMN0000	reter
e	e	CC	e
depozitar	depositar	VMN0000	depositar
em	em	SPS00	em
huã	uma	DI0FS0	um
caza	casa	NCFS000	casa
até	até	SPS00	até
vir	vir	VMN0000	vir
avizo	aviso	NCMS000	aviso
de	de	SPS00	de
VSa	VSa	NP00000	VSa
por	por	SPS00	por
quẽ	quem	PR0CN000	quem
levar	levar	VMN0000	levar
os	os	DA0MP0	o
prezos	presos	NCMP000	preso
	,	Fc	,
q	que	PR0CN000	que
estarão	estarão	VMIF3P0	estar
em	em	SPS00	em
esta	esta	DD0FS0	este
Inqam	Inquisição	NP00000	inquisição
athé	até	SPS00	até
3a fra	3ª-feira	NCFS000	terça-feira
q	que	PR0CN000	que
vẽ	vem	VMIP3S0	vir
qdo	quando	CS	quando
a	a	SPS00	a
VSa	VSa	NP00000	VSa
não	não	RN	não
pareça	pareça	VMSP0S0	parecer
mandalo	mandá-lo	VMN0000+PP3MSA00	mandar+o
pzo	preso	NCMS000	preso
	.	Fp	.
