Illmos	Ilustríssimos	AQSMP0	ilustre
o	o	DA0MS0	o
Caminho	caminho	NCMS000	caminho
,	,	Fc	,
porque	porque	CS	porque
he	é	VSIP3S0	ser
mto	muito	RQ	muito
pobre	pobre	AQ0CS0	pobre
,	.	Fp	.
ella	Ela	PP3FS000	ele
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
que	que	CS	que
	,	Fc	,
em	em	SPS00	em
se	se	P00CN000	se
achando	achando	VMG0000	achar
melhor	melhor	RC	melhor
e	e	CC	e
com	com	SPS00	com
forças	forças	NCFP000	força
	,	Fc	,
logo	logo	RG	logo
obedeçeria	obedeceria	VMIC0S0	obedecer
a	à	SPS00+DA0FS0	a+o
ordem	ordem	NCFS000	ordem
de	de	SPS00	de
Vsa	VSa	NP00000	VSa
,	.	Fp	.
he	É	VSIP3S0	ser
solteira	solteira	AQ0FS0	solteiro
e	e	CC	e
tem	tem	VMIP3S0	ter
fos	filhos	NCMP000	filho
de	de	SPS00	de
diverssos	diversos	AQ0MP0	diverso
páes	pais	NCMP000	pai
,	,	Fc	,
e	e	CC	e
andou	andou	VMIS3S0	andar
sempre	sempre	RG	sempre
por	por	SPS00	por
caza	casa	NCFS000	casa
dos	dos	SPS00+DA0MP0	de+o
xnos	cristãos-novos	NCMP000	cristão-novo
	,	Fc	,
servindoos	servindo-os	VMG0000+PP3MPA00	servir+o
de	de	SPS00	de
Ama	ama	NCFS000	amo
e	e	CC	e
mossa	moça	NCFS000	moça
	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
mulher	mulher	NCFS000	mulher
q	que	PR0CN000	que
falara	falará	VMIF3S0	falar
verdade	verdade	NCFS000	verdade
,	,	Fc	,
se	se	CS	se
não	não	RN	não
he	é	VSIP3S0	ser
q	que	CS	que
seja	seja	VSSP0S0	ser
ou	ou	CC	ou
fosse	fosse	VSSI0S0	ser
induzida	induzida	VMP00SF	induzir
por	por	SPS00	por
alguma	alguma	DI0FS0	algum
pessoa	pessoa	NCFS000	pessoa
,	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
duvi-do	duvido	VMIP1S0	duvidar
daria	daria	VMIC0S0	dar
parte	parte	NCFS000	parte
a	a	SPS00	a
esta	esta	DD0FS0	este
gente	gente	NCFS000	gente
em	em	SPS00	em
como	como	CS	como
agora	agora	RG	agora
era	era	VSII0S0	ser
chamada	chamada	VMP00SF	chamar
a	a	SPS00	a
essa	essa	DD0FS0	esse
Inqcão	Inquisição	NP00000	inquisição
,	.	Fp	.
lembrome	Lembro-me	VMIP1S0+PP1CS000	lembrar+me
a	a	PP3FSA00	o
perguntei	perguntei	VMIS1S0	perguntar
na	na	SPS00+DA0FS0	em+o
defeza	defesa	NCFS000	defesa
de	de	SPS00	de
Manoel	Manuel	NP00000	manuel
Guerra	Guerra	NP00000	guerra
,	,	Fc	,
q	que	PR0CN000	que
foi	foi	VSIS3S0	ser
mto	muito	RQ	muito
seu	seu	DP3MS0	seu
Amigo	amigo	NCMS000	amigo
e	e	CC	e
compde	compadre	NCMS000	compadre
,	,	Fc	,
e	e	CC	e
no	no	SPS00+DA0MS0	em+o
tempo	tempo	NCMS000	tempo
em	em	SPS00	em
que	que	PR0CN000	que
elle	ele	PP3MS000	ele
esteve	esteve	VMIS3S0	estar
prezo	preso	VMP00SM	preso
,	,	Fc	,
em	em	SPS00	em
caza	casa	NCFS000	casa
de	de	SPS00	de
Antonio	António	NP00000	antónio
Alvres	Álvares	NP00000	álvares
Boticario	Boticário	NP00000	boticário
,	,	Fc	,
hiam	iam	VMII3P0	ir
mtos	muitos	DI0MP0	muito
christãos  velhos	cristãos-velhos	NCMP000	cristão-velho
a	a	SPS00	a
vizitalo	visitá-lo	VMN0000+PP3MSA00	visitar+o
,	,	Fc	,
comforme	conforme	CS	conforme
as	as	DA0FP0	o
notiçias	notícias	NCFP000	notícia
q	que	PR0CN000	que
ao	ao	SPS00+DA0MS0	a+o
depois	depois	RG	depois
tive	tive	VMIS1S0	ter
,	,	Fc	,
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
dizião	diziam	VMII3P0	dizer
fizesse	fizesse	VMSI0S0	fazer
suas	suas	DP3FP0	seu
inquirições	inquirições	NCFP000	inquirição
,	,	Fc	,
que	que	CS	que
todos	todos	PI0MP000	todo
jurariam	jurariam	VMIC3P0	jurar
em	em	SPS00	em
seu	seu	DP3MS0	seu
abono	abono	NCMS000	abono
e	e	CC	e
poderia	poderia	VMIC0S0	poder
ser	ser	VSN0000	ser
fosse	fosse	VSSI0S0	ser
esta	esta	DD0FS0	este
mulher	mulher	NCFS000	mulher
tambem	também	RG	também
a	a	SPS00	a
falar	falar	VMN0000	falar
com	com	SPS00	com
elle	ele	PP3MS000	ele
,	.	Fp	.
pareçeme	Parece-me	VMIP3S0+PP1CS000	parecer+me
dar	dar	VMN0000	dar
esta	esta	DD0FS0	este
conta	conta	NCFS000	conta
e	e	CC	e
avizo	aviso	NCMS000	aviso
a	a	SPS00	a
Vsa	VSa	NP00000	VSa
por	por	SPS00	por
o	o	DA0MS0	o
Rdo	reverendo	NCMS000	reverendo
Comissro	comissário	NCMS000	comissário
não	não	RN	não
estar	estar	VMN0000	estar
aqui	aqui	RG	aqui
hoje	hoje	RG	hoje
pa	para	SPS00	para
avizar	avisar	VMN0000	avisar
a	a	SPS00	a
Vsa	VSa	NP00000	VSa
	,	Fc	,
q	que	PR0CN000	que
Ds	Deus	NP00000	deus
Gde	guarde	VMSP0S0	guardar
	.	Fp	.
Trancozo	Trancoso	NP00000	trancoso
	,	Fc	,
18	18	Z	18
de	de	SPS00	de
Maio	maio	NCMS000	maio
de	de	SPS00	de
668	668	Z	668
	.	Fp	.
Criado	Criado	NCMS000	criado
de	de	SPS00	de
Vsa	VSa	NP00000	VSa
	,	Fc	,
O	o	DA0MS0	o
Pe	padre	NCMS000	padre
Estevão	Estêvão	NP00000	estêvão
Caldeira	Caldeira	NP00000	caldeira
