Ilmos	Ilustríssimos	AQSMP0	ilustre
quama	cama	NCFS000	cama
cõ	com	SPS00	com
o	o	DA0MS0	o
sentimento	sentimento	NCMS000	sentimento
de	de	SPS00	de
algumas	algumas	DI0FP0	algum
mollestias	moléstias	NCFP000	moléstia
de	de	SPS00	de
minha	minha	DP1FSS	meu
denidade	dignidade	NCFS000	dignidade
	.	Fp	.
não	Não	RN	não
havia	havia	VMII0S0	haver
de	de	SPS00	de
paçar	passar	VMN0000	passar
a	a	SPS00	a
vossas	Vossas	DP2FPP	vosso
senhorias	Senhorias	NP00000	senhorias
	.	Fp	.
peço	Peço	VMIP1S0	pedir
por	por	SPS00	por
esmola	esmola	NCFS000	esmola
huma	uma	DI0FS0	um
certidão	certidão	NCFS000	certidão
de	de	SPS00	de
Cristão velho	cristão-velho	NCMS000	cristão-velho
	,	Fc	,
achandoçe	achando-se	VMG0000+P00CN000	achar+se
partes	partes	NCFP000	parte
pera	para	SPS00	para
hyço	isso	PD0NN000	isso
	.	Fp	.
E	E	CC	e
tanbem	também	RG	também
tres	três	Z	três
sertidõis	certidões	NCFP000	certidão
como	como	CS	como
são	são	VSIP3P0	ser
duas	duas	Z	duas
Cerviços	serviços	NCMP000	serviço
do	do	SPS00+DA0MS0	de+o
brazil	Brasil	NP00000	brasil
E	e	CC	e
hũa	uma	DI0FS0	um
de	de	SPS00	de
mazagão	Mazagão	NP00000	mazagão
que	que	PR0CN000	que
forão	foram	VMIS3P0	ir
acostadas	acostadas	VMP00PF	acostar
a	a	SPS00	a
hũa	uma	DI0FS0	um
petição	petição	NCFS000	petição
que	que	PR0CN000	que
fis	fiz	VMIS1S0	fazer
ao	ao	SPS00+DA0MS0	a+o
santo	Santo	NP00000	santo
tribunal	Tribunal	NP00000	tribunal
de	de	SPS00	de
muita	muita	DI0FS0	muito
mesericordia	misericórdia	NCFS000	misericórdia
que	que	PR0CN000	que
foy	foi	VSIS3S0	ser
feita	feita	VMP00SF	fazer
a	a	DA0FS0	o
petição	petição	NCFS000	petição
e	e	CC	e
en	em	SPS00	em
7	7	Z	7
dias	dias	NCMP000	dia
do	do	SPS00+DA0MS0	de+o
mes	mês	NCMS000	mês
de	de	SPS00	de
abril	abril	NCMS000	abril
e	e	CC	e
metida	metida	VMP00SF	meter
pello	pelo	SPS00+DA0MS0	por+o
alcayde	alcaide	NCMS000	alcaide
estevão	Estêvão	NP00000	estêvão
da	da	SPS00+DA0FS0	de+o
costa	Costa	NP00000	costa
	.	Fp	.
peço	Peço	VMIP1S0	pedir
a	a	SPS00	a
vossas	Vossas	DP2FPP	vosso
senhorias	Senhorias	NP00000	senhorias
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
emcamenhar	encaminhar	VMN0000	encaminhar
hesas	essas	DD0FP0	esse
tres	três	Z	três
sertidois	certidões	NCFP000	certidão
E	e	CC	e
huma	uma	DI0FS0	um
abonada	abonada	NCFS000	abonada
de	de	SPS00	de
Cristão velho	cristão-velho	NCMS000	cristão-velho
	,	Fc	,
o	o	DA0MS0	o
que	que	PR0CN000	que
vossas	Vossas	DP2FPP	vosso
senhorias	Senhorias	NP00000	senhorias
ordenarem	ordenarem	VMM03P0	ordenar
pelo	pelo	SPS00+DA0MS0	por+o
Reverendo	Reverendo	NP00000	reverendo
padre	Padre	NP00000	padre
antonio	António	NP00000	antónio
d	de	NP00000	antónio
amaral	Amaral	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
minima	mínima	AQ0FS0	mínimo
Cõpanhia	Companhia	NP00000	companhia
de	de	SPS00	de
Jesus	Jesus	NP00000	jesus
para	para	SPS00	para
que	que	CS	que
elle	ele	PP3MS000	ele
as	as	PP3FPA00	o
encaminhe	encaminhe	VMSP0S0	encaminhar
aos	aos	SPS00+DA0MP0	a+o
padres	padres	NCMP000	padre
asistentes	assistentes	AQ0MP0	assistente
na	na	SPS00+DA0FS0	em+o
vila	vila	NCFS000	vila
de	de	SPS00	de
mazagão	Mazagão	NP00000	mazagão
	.	Fp	.
de	Dê	VMSP0S0	dar
Ds	Deus	NP00000	deus
a	a	SPS00	a
vossas	Vossas	DP2FPP	vosso
senhorias	Senhorias	NP00000	senhorias
Como	como	CS	como
pode	pode	VMIP3S0	poder
	,	Fc	,
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
dezejo	desejo	NCMS000	desejo
	.	Fp	.
feita	Feita	VMP00SF	fazer
oje	hoje	RG	hoje
	,	Fc	,
21	21	Z	21
8tro	outubro	NCMS000	outubro
de	de	SPS00	de
1642	1642	Z	1642
	,	Fc	,
Belchior	Belchior	NP00000	belchior
alvres	Álvares	NP00000	álvares
Pementel	Pimentel	NP00000	pimentel
