Pareceome	Pareceu-me	VMIS3S0+PP1CS000	parecer+me
cidade	cidade	NCFS000	cidade
	,	Fc	,
e	e	CC	e
que	que	CS	que
trata	trata	VMIP3S0	tratar
em	em	SPS00	em
traser	trazer	VMN0000	trazer
gados	gados	NCMP000	gado
de	de	SPS00	de
merchantes	marchantes	NCMP000	marchante
	,	Fc	,
que	que	PR0CN000	que
vẽ	vêm	VMIP3S0	vir
pa	para	SPS00	para
vendellos	vendê-los	VMN0000+PP1MPA00	vender+o
nella	nela	SPS00+PP3FS000	em+ele
,	.	Fp	.
não	Não	RN	não
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
o	o	DA0MS0	o
nome	nome	NCMS000	nome
q	que	PR0CN000	que
me	me	PP1CS000	me
consta	consta	VMIP3S0	constar
	.	Fp	.
E	E	CC	e
ce	se	CS	se
for	for	VSSF0S0	ser
necessario	necessário	AQ0MS0	necessário
ir	ir	VMN0000	ir
a	a	SPS00	a
esse	esse	DD0MS0	esse
tribunal	tribunal	NCMS000	tribunal
	,	Fc	,
hũ	um	DI0MS0	um
irmão	irmão	NCMS000	irmão
tem	tem	VMIP3S0	ter
que	que	PR0CN000	que
aqui	aqui	RG	aqui
vive	vive	VMIP3S0	viver
	.	Fp	.
pa	Para	SPS00	para
milhor	melhor	AQ0CS0	melhor
informação	informação	NCFS000	informação
	,	Fc	,
ira	irá	VMIF3S0	ir
;	.	Fp	.
Reparei	Reparei	VMIS1S0	reparar
em	em	SPS00	em
vir	vir	VMN0000	vir
Diogo	Diogo	NP00000	diogo
frco	Francisco	NP00000	francisco
Alfaiate	alfaiate	NCMS000	alfaiate
	,	Fc	,
Recõciliado	reconciliado	VMP00SM	reconciliar
neste	neste	SPS00+DD0MS0	em+este
ultimo	último	AO0MS0	último
acto da fee	ato-da-fé	NCMS000	ato-da-fé
	,	Fc	,
cõ	com	SPS00	com
licenca	licença	NCFS000	licença
per	por	SPS00	por
escrito	escrito	NCMS000	escrito
de	de	SPS00	de
Vmces	VMs	NP0P000	VM
pa	para	SPS00	para
Comungar	comungar	VMN0000	comungar
nesta	nesta	SPS00+DD0FS0	em+este
igra	igreja	NCFS000	igreja
	.	Fp	.
porq	Porque	CS	porque
sahindo	saindo	VMG0000	sair
outros	outros	PI0MP000	outro
mtos	muitos	DI0MP0	muito
cõ	com	SPS00	com
prova	prova	NCFS000	prova
de	de	SPS00	de
maiores	maiores	AQ0CP0	maior
culpas	culpas	NCFP000	culpa
,	,	Fc	,
nhũ	nenhum	PI0MS00N	nenhum
te	até	SPS00	até
gora	agora	RG	agora
me	me	PP1CS000	me
mostrou	mostrou	VMIS3S0	mostrar
tal	tal	DD0CS0	tal
licenca	licença	NCFS000	licença
E	e	CC	e
assi	assim	RG	assim
comungarão	comungaram	VMIS3P0	comungar
cem	sem	SPS00	sem
ella	ela	PP3FS000	ele
	,	Fc	,
nẽ	nem	CCN	nem
prohibição	proibição	NCFS000	proibição
minha	minha	DP1FSS	meu
	,	Fc	,
per	por	SPS00	por
não	não	RN	não
ter	ter	VMN0000	ter
pa	para	SPS00	para
isso	isso	PD0NN000	isso
ordem	ordem	NCFS000	ordem
,	.	Fp	.
Advirto o	Advirto-o	VMIP1S0+PP3MSA00	advertir+o
assi	assim	RG	assim
pa	para	SPS00	para
que	que	CS	que
Vmces	VMs	NP0P000	VM
o	o	PP3MSA00	o
saibão	saibam	VMSP3P0	saber
.	.	Fp	.
do	Do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
mais	mais	RC	mais
ouver	houver	VMSF0S0	haver
	,	Fc	,
avisarei	avisarei	VMIF1S0	avisar
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
nosso	Nosso	DP1MSP	nosso
Sr	Senhor	NP00000	senhor
a	a	DA0FS0	o
Vmces	VMs	NP0P000	VM
	.	Fp	.
chamusca	Chamusca	NP00000	chamusca
13	13	Z	13
de	de	SPS00	de
mco	março	NCMS000	março
.	,	Fc	,
646	646	Z	646
	.	Fp	.
João	João	NP00000	joão
Solha	Solha	NP00000	solha
Botelho	Botelho	NP00000	botelho
