jhs	Jesus	NP00000	jesus
por	por	SPS00	por
aquela	aquela	DD0FS0	aquele
conta	conta	NCFS000	conta
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
ja	já	RG	já
dei	dei	VMIS1S0	dar
delle	dele	SPS00+PP3MS000	de+ele
;	.	Fp	.
e	E	CC	e
ao	ao	SPS00+DA0MS0	a+o
samcristão	Sacristão	NCMS000	sacristão
	,	Fc	,
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
meta	meta	VMSP0S0	meter
iscrito	escrito	NCMS000	escrito
na	na	SPS00+DA0FS0	em+o
mão	mão	NCFS000	mão
pa	para	SPS00	para
me	me	PP1CS000	me
dar	dar	VMN0000	dar
	,	Fc	,
porq	porque	CS	porque
dis	diz	VMIP3S0	dizer
tudo	tudo	PI0NN000	tudo
ao	ao	SPS00+DA0MS0	a+o
vigaro	Vigário	NP00000	vigário
	.	Fp	.
mandemos	Mandemos	NP00000	mandemos
so	só	RG	só
por	por	SPS00	por
sor	Soror	NP00000	soror
isabel	Isabel	NP00000	isabel
,	.	Fp	.
e	E	CC	e
por	por	SPS00	por
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
pode	pode	VMIP3S0	poder
mandar	mandar	VMN0000	mandar
os	os	DA0MP0	o
recados	recados	NCMP000	recado
ẽ	e	CC	e
chamar	chamar	VMN0000	chamar
e	e	CC	e
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
mais	mais	NCMS000	mais
	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
ds	Deus	NP00000	deus
louvado	louvado	VMP00SM	louvar
	,	Fc	,
ando	ando	VMIP1S0	andar
agora	agora	RG	agora
bom	bom	AQ0MS0	bom
	.	Fp	.
sirvase	Sirva-se	VMSP0S0+P00CN000	servir+se
de	de	SPS00	de
mi	mim	PP1CSO00	mim
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
q	que	PR0CN000	que
quizer	quiser	VMSF0S0	querer
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
quando	quando	CS	quando
sara	será	VSIF3S0	ser
a	a	SPS00	a
nosa	nossa	DP1FSP	nosso
ida	ida	NCFS000	ida
a	à	SPS00+DA0FS0	a+o
silinha	salinha	NCFS000	salinha
	.	Fp	.
sara	Será	VSIF3S0	ser
quando	quando	CS	quando
a	a	DA0FS0	o
irmasinha	irmãzinha	NCFS00D	irmão
der	der	VMSF0S0	dar
grasa	graça	NCFS000	graça
a	a	SPS00	a
iso	isso	PD0NN000	isso
	.	Fp	.
diguo	Digo	VMIP1S0	dizer
a	a	SPS00	a
sua	sua	DP3FS0	seu
silinha	salinha	NCFS000	salinha
o	ou	CC	ou
aonde	onde	RG	onde
o	o	PP3MSA00	o
quiser	quiser	VMSF0S0	querer
	.	Fp	.
