Faço	Faço	VMIP1S0	fazer
de	de	SPS00	de
Vms	VMs	NP00000	VM
se	se	P00CN000	se
não	não	RN	não
esquesã	esqueçam	VMSP3P0	esquecer
de	de	SPS00	de
me	me	PP1CS000	me
avisar	avisar	VMN0000	avisar
e	e	CC	e
tambem	também	RG	também
me	me	PP1CS000	me
mandem	mandem	VMSP3P0	mandar
diser	dizer	VMN0000	dizer
se	se	CSI	se
Ma	Maria	NP00000	maria
Mel	Manuel	NP00000	manuel
he	é	VSIP3S0	ser
morta	morta	VMP00SF	morrer
se	se	CSI	se
viva	viva	VMSP0S0	viver
pa	para	SPS00	para
asim	assim	RG	assim
mandar	mandar	VMN0000	mandar
pedir	pedir	VMN0000	pedir
o	o	DA0MS0	o
q	que	PR0CN000	que
he	é	VSIP3S0	ser
de	de	SPS00	de
mister	mister	NCMS000	mister
e	e	CC	e
pa	para	SPS00	para
eu	eu	PP1CSN00	eu
faser	fazer	VMN0000	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
na	na	SPS00+DA0FS0	em+o
vontade	vontade	NCFS000	vontade
	.	Fp	.
he	É	VSIP3S0	ser
nesesario	necessário	AQ0MS0	necessário
q	que	CS	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
primeiro	primeiro	RG	primeiro
pa	para	SPS00	para
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
seja	seja	VSSP0S0	ser
o	o	DA0MS0	o
portador	portador	NCMS000	portador
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
he	é	VSIP3S0	ser
de	de	SPS00	de
mister	mister	NCMS000	mister
e	e	CC	e
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
oferese	oferece	VMIP3S0	oferecer
mais	mais	RC	mais
q	que	CS	que
ficar	ficar	VMN0000	ficar
esperando	esperando	VMG0000	esperar
novas	novas	NCFP000	nova
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
q	que	CS	que
novas	novas	NCFP000	nova
minhas	minhas	DP1FPS	meu
he	é	VSIP3S0	ser
ficar	ficar	VMN0000	ficar
de	de	SPS00	de
saude	saúde	NCFS000	saúde
	,	Fc	,
mto	muito	RQ	muito
as	às	SPS00+DA0FP0	a+o
suas	suas	DP3FP0	seu
ordens	ordens	NCFP000	ordem
	.	Fp	.
a	A	SPS00	a
minha	minha	DP1FSS	meu
afilhada	afilhada	NCFS000	afilhado
lhe	lhe	PP3CSD00	lhe
dei	dei	VMIS1S0	dar
minhas	minhas	DP1FPS	meu
lembrancas	lembranças	NCFP000	lembrança
q	que	CS	que
tinha	tinha	VMII0S0	ter
huns	uns	DI0MP0	um
brincos	brincos	NCMP000	brinco
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
nesta	nesta	SPS00+DD0FS0	em+este
terra	terra	NCFS000	terra
se	se	P00CN000	se
facem	fazem	VMIP3P0	fazer
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
mandar	mandar	VMN0000	mandar
	,	Fc	,
q	que	CS	que
não	não	RN	não
vam	VM	NP00000	VM
	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
sei	sei	VMIP1S0	saber
o	o	DA0MS0	o
portador	portador	NCMS000	portador
quem	quem	PR0CN000	quem
sera	será	VSIF3S0	ser
	.	Fp	.
mas	Mas	CC	mas
com	com	SPS00	com
aviso	aviso	NCMS000	aviso
de	de	SPS00	de
Vm	VM	NP00000	VM
serei	serei	VSIF1S0	ser
eu	eu	PP1CSN00	eu
mesmo	mesmo	RG	mesmo
o	o	DA0MS0	o
portador	portador	NCMS000	portador
	.	Fp	.
a	A	SPS00	a
quem	quem	PR0CN000	quem
Ds	Deus	NP00000	deus
	,	Fc	,
hoje	hoje	RG	hoje
	,	Fc	,
Faro	Faro	NP00000	faro
	,	Fc	,
21	21	Z	21
de	de	SPS00	de
setembro	setembro	NCMS000	setembro
de	de	SPS00	de
1609	1609	Z	1609
	.	Fp	.
Irmão	Irmão	NCMS000	irmão
e	e	CC	e
Criado	criado	NCMS000	criado
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
Domingos	Domingos	NP00000	domingos
Ris	Rodrigues	NP00000	rodrigues
