Ontẽ	Ontem	RG	ontem
nesa	nessa	SPS00+DD0FS0	em+esse
cadea	Cadeia	NP00000	cadeia
da	da	SPS00+DA0FS0	de+o
corte	Corte	NP00000	corte
	,	Fc	,
o	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
mto	muito	DI0MS0	muito
cuidado	cuidado	NCMS000	cuidado
	,	Fc	,
que	que	CS	que
vos	vos	PP2CP000	vos
prometo	prometo	VMIP1S0	prometer
que	que	CS	que
o	o	PP3MSA00	o
senti	senti	VMIS1S0	sentir
mto	muito	RQ	muito
	,	Fc	,
e	e	CC	e
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
o	o	DA0MS0	o
voso	vosso	DP2MSP	vosso
escrito	escrito	NCMS000	escrito
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
qual	qual	PR0CS000	qual
conheso	conheço	VMIP1S0	conhecer
não	não	RN	não
he	é	VSIP3S0	ser
cousa	coisa	NCFS000	coisa
de	de	SPS00	de
cuidado	cuidado	VMP00SM	cuidar
vosa	vossa	DP2FSP	vosso
prisão	prisão	NCFS000	prisão
	.	Fp	.
e	E	CC	e
nele	nele	SPS00+PP3MS000	em+ele
diseis	dizeis	VMIP2P0	dizer
vos	vos	PP2CP000	vos
va	vá	VMSP0S0	ir
falar	falar	VMN0000	falar
	.	Fp	.
eu	Eu	PP1CSN00	eu
fui	fui	VMIS1S0	ir
logo	logo	RG	logo
e	e	CC	e
fui	fui	VSIS1S0	ser
tão	tão	RC	tão
desgrasado	desgraçado	VMP00SM	desgraçar
que	que	CS	que
estava	estava	VMII0S0	estar
	&quot;	VMN0000	&quot;
ai	ai	I	ai
	,	Fc	,
o	o	DA0MS0	o
algoacil	alguazil	NCMS000	alguazil
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
quer	quer	VMIP3S0	querer
prender	prender	VMN0000	prender
pelo	pelo	SPS00+DA0MS0	por+o
alquiler	alquiler	NCMS000	alquiler
da	da	SPS00+DA0FS0	de+o
casa	casa	NCFS000	casa
	&quot;	VMN0000	&quot;
	,	Fc	,
como	como	CS	como
vos	vós	PP2CP000	vós
sabeis	sabeis	VMIP2P0	saber
	.	Fp	.
e	E	CC	e
por	por	SPS00	por
esta	esta	DD0FS0	este
ocasião	ocasião	NCFS000	ocasião
não	não	RN	não
emtrei	entrei	VMIS1S0	entrar
	,	Fc	,
mas	mas	CC	mais
não	não	RN	não
fas	faz	VMIP3S0	fazer
isto	isto	PD0NN000	isto
o	o	DA0MS0	o
eu	eu	PP1CSN00	eu
não	não	RN	não
acodir	acudir	VMN0000	acudir
com	com	SPS00	com
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
veras	veras	NCFP000	vera
a	a	DA0FS0	o
vosa	vossa	DP2FSP	vosso
liberdade	liberdade	NCFS000	liberdade
	.	Fp	.
fernãodo	Fernando	NP00000	fernando
nunes	Nunes	NP00000	nunes
e	e	CC	e
aquela	aquela	DD0FS0	aquele
senhora	senhora	NCFS000	senhor
me	me	PP1CS000	me
diserão	disseram	VMIS3P0	dizer
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
mandareis	mandáreis	VMIM2P0	mandar
diser	dizer	VMN0000	dizer
que	que	CS	que
a	a	DA0FS0	o
vosa	vossa	DP2FSP	vosso
prisão	prisão	NCFS000	prisão
he	é	VSIP3S0	ser
sobre	sobre	SPS00	sobre
as	as	DA0FP0	o
palavras	palavras	NCFP000	palavra
que	que	PR0CN000	que
tivestes	tivestes	VMIP2S0	ter
em	em	SPS00	em
segovea	Segóvia	NP00000	segóvia
com	com	SPS00	com
ho	o	DA0MS0	o
omẽ	homem	NCMS000	homem
que	que	PR0CN000	que
esta	está	VMIP3S0	estar
preso	preso	AQ0MSP	preso
e	e	CC	e
que	que	CS	que
o	o	DA0MS0	o
que	que	PR0CN000	que
vos	vos	PP2CP000	vos
andava	andava	VMII0S0	andar
segimdo	seguindo	VMG0000	seguir
o	o	PP3MSA00	o
devia	devia	VMII0S0	dever
faser	fazer	VMN0000	fazer
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
eles	eles	PP3MP000	ele
lhe	lhe	PP3CSD00	lhe
pesara	pesara	VMIM0S0	pesar
	,	Fc	,
como	como	CS	como
vos	vós	PP2CP000	vós
no	no	SPS00+DA0MS0	em+o
voso	vosso	DP2MSP	vosso
escrito	escrito	NCMS000	escrito
diseis	dizeis	VMIP2P0	dizer
	.	Fp	.
avisaime	Avisai-me	VMM02P0+PP1CS000	avisar+me
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
nisto	nisto	SPS00+PD0NN000	em+isto
ha	há	VMIP3S0	haver
e	e	CC	e
d	de	SPS00	de
onde	onde	PA000000	onde
vos	vós	PP2CP000	vós
temeis	temeis	VMIP2P0	temer
que	que	CS	que
posa	possa	VMSP0S0	poder
vir	vir	VMN0000	vir
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
eu	eu	PP1CSN00	eu
saiba	saiba	VMSP0S0	saber
o	o	DA0MS0	o
que	que	PR0CN000	que
ei	hei	VMIP1S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
=	.	Fp	.
ai	Aí	RG	aí
vos	vos	PP2CP000	vos
mando	mando	VMIP1S0	mandar
os	os	DA0MP0	o
seis	seis	Z	seis
reales	reais	NCMP000	real
	.	Fp	.
não	Não	RN	não
vos	vos	PP2CP000	vos
de	dê	VMSP0S0	dar
cuido	cuidado	NCMS000	cuidado
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
ei	hei	VMIP1S0	haver
de	de	SPS00	de
vemder	vender	VMN0000	vender
a	a	DA0FS0	o
capa	capa	NCFS000	capa
e	e	CC	e
quanto	quanto	PA000000	quanto
tiver	tiver	VMSF0S0	ter
emte	até	SPS00	até
vos	vos	PP2CP000	vos
por	pôr	VMN0000	pôr
na	na	SPS00+DA0FS0	em+o
rua	rua	NCFS000	rua
.	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
não	não	RN	não
falta	falta	VMIP3S0	faltar
mais	mais	RC	mais
que	que	CS	que
avisardesme	avisardes-me	VMSF2P0+PP1CS000	avisar+me
pa	para	SPS00	para
que	que	CS	que
eu	eu	PP1CSN00	eu
fasa	faça	VMSP0S0	fazer
negosio	negócio	NCMS000	negócio
	.	Fp	.
por	Por	SPS00	por
todos	todos	PI0MP000	todo
he	é	VSIP3S0	ser
seguro	seguro	AQ0MS0	seguro
	.	Fp	.
e	É	VSIP3S0	ser
pesoa	pessoa	NCFS000	pessoa
de	de	SPS00	de
comfiansa	confiança	NCFS000	confiança
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
	.	Fp	.
deos	Deus	NP00000	deus
vos	vos	PP2CP000	vos
guarde	guarde	VMSP0S0	guardar
e	e	CC	e
vos	vos	PP2CP000	vos
de	dê	VMSP0S0	dar
a	a	DA0FS0	o
liberdade	liberdade	NCFS000	liberdade
que	que	PR0CN000	que
desejais	desejais	VMSP2P0	desejar
	.	Fp	.
voso	Vosso	DP2MSP	vosso
amigo	amigo	NCMS000	amigo
	,	Fc	,
o	O	DA0MS0	o
capitão	Capitão	NP00000	capitão
sede	Sede	VSM02P0	ser
tão	tão	RC	tão
avertido	advertido	VMP00SM	advertir
que	que	CS	que
me	me	PP1CS000	me
respondas	respondas	VMSP0S0	responder
nas	nas	SPS00+DA0FP0	em+o
costas	costas	NCFP000	costa
deste	deste	SPS00+PD0MS000	de+este
pa	para	SPS00	para
que	que	CS	que
o	o	PP3MSA00	o
eu	eu	PP1CSN00	eu
rompa	rompa	VMSP0S0	romper
.	,	Fc	,
pois	pois	CS	pois
os	os	DA0MP0	o
omens	homens	NCMP000	homem
advertidos	advertidos	VMP00PM	advertir
o	o	PP3MSA00	o
an	hão	VMIP3P0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
	.	Fp	.
