jezuz	Jesus	NP00000	jesus
me	me	PP1CS000	me
fico	fico	VMIP1S0	ficar
ainda	ainda	RG	ainda
curando	curando	VMG0000	curar
;	.	Fp	.
e	E	CC	e
	,	Fc	,
quis	quis	VMIS3S0	querer
Ds	Deus	NP00000	deus
	,	Fc	,
topei	topei	VMIS1S0	topar
aqui	aqui	RG	aqui
hum	um	DI0MS0	um
capitão	capitão	NCMS000	capitão
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
conhesia	conhecia	VMII0S0	conhecer
de	de	SPS00	de
portugal	Portugal	NP00000	portugal
	,	Fc	,
q	que	CS	que
pedio	pediu	VMIS3S0	pedir
A	a	SPS00	a
hum	um	DI0MS0	um
homen	homem	NCMS000	homem
de	de	SPS00	de
huma	uma	DI0FS0	um
estalagem	estalagem	NCFS000	estalagem
tivese	tivesse	VMSI0S0	ter
cudado	cuidado	NCMS000	cuidado
de	de	SPS00	de
min	mim	PP1CSO00	mim
	.	Fp	.
e	E	CC	e
em	em	SPS00	em
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
fico	fico	VMIP1S0	ficar
e	e	CC	e
me	me	PP1CS000	me
fica	fica	VMIP3S0	ficar
dando	dando	VMG0000	dar
de	de	SPS00	de
comer	comer	VMN0000	comer
te	até	SPS00	até
ver	ver	VMN0000	ver
se	se	CS	se
Vm	VM	NP00000	VM
me	me	PP1CS000	me
escreve	escreve	VMIP3S0	escrever
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
escrevendome	escrevendo-me	VMG0000+PP1CS000	escrever+me
Vm	VM	NP00000	VM
	,	Fc	,
me	me	PP1CS000	me
mandara	mandará	VMIF3S0	mandar
algum	algum	DI0MS0	algum
salero	salero	NCMS000	salero
	,	Fc	,
q	que	CS	que
	,	Fc	,
bem	bem	RG	bem
sabe	sabe	VMIP3S0	saber
Vm	VM	NP00000	VM
	,	Fc	,
se	se	CS	se
eu	eu	PP1CSN00	eu
sabera	sabera	SPS00	sabera
ofisio	ofício	NCMS000	ofício
de	de	SPS00	de
q	que	CS	que
pudera	pudera	VMIM0S0	poder
viver	viver	VMN0000	viver
	,	Fc	,
não	não	RN	não
avia	havia	VMII0S0	haver
emfadar	enfadar	VMN0000	enfadar
maiz	mais	RC	mais
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
asim	Assim	RG	assim
não	não	RN	não
sei	sei	VMIP1S0	saber
o	o	DA0MS0	o
q	que	PR0CN000	que
fasa	faça	VMSP0S0	fazer
	.	Fp	.
nas	Nas	SPS00+DA0FP0	em+o
gurdas	guardas	NCMP000	guarda
dão	dão	VMIP3P0	dar
doiz	dois	Z	dois
vinteiz	vintéis	NCMP000	vintéis
somte	somente	RG	somente
e	e	CC	e
	,	Fc	,
tendo	tendo	VMG0000	ter
o	o	DA0MS0	o
homen	homem	NCMS000	homem
q	que	PR0CN000	que
se	se	P00CN000	se
asentou	assentou	VMIS3S0	assentar
nelas	nelas	SPS00+PP3FP000	em+ele
	,	Fc	,
foi	foi	VMIS3S0	ir
pa	para	SPS00	para
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
vida	vida	NCFS000	vida
	,	Fc	,
e	e	CC	e
	,	Fc	,
se	se	CS	se
foie	foi	VMIS3S0	ir
e	e	CC	e
o	o	DA0MS0	o
apanhão	apanham	NCMS000	apanham
	,	Fc	,
não	não	RN	não
tem	tem	VMIP3S0	ter
Remisão	remissão	NCFS000	remissão
alguma	alguma	DI0FS0	algum
de	de	SPS00	de
morer	morrer	VMN0000	morrer
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
me	me	PP1CS000	me
vou	vou	VMIP1S0	ir
pa	para	SPS00	para
flandres	Flandres	NP00000	flandres
	,	Fc	,
não	não	RN	não
poso	posso	VMIP1S0	poder
	,	Fc	,
porq	porque	CS	porque
estou	estou	VMIP1S0	estar
mto	muito	RQ	muito
fraco	fraco	AQ0MS0	fraco
	,	Fc	,
e	e	CC	e
não	não	RN	não
he	é	VSIP3S0	ser
so	só	RG	só
iso	isso	PD0NN000	isso
senão	senão	CC	senão
não	não	RN	não
tenho	tenho	VMIP1S0	ter
hum	um	DI0MS0	um
real	real	NCMS000	real
	.	Fp	.
asim	Assim	RG	assim
me	me	PP1CS000	me
rezolvo	resolvo	VMIP1S0	resolver
a	a	SPS00	a
ficar	ficar	VMN0000	ficar
aqui	aqui	RG	aqui
e	e	CC	e
pasar	passar	VMN0000	passar
como	como	CS	como
puder	puder	VMSF0S0	poder
ate	até	SPS00	até
ter	ter	VMN0000	ter
novas	novas	NCFP000	nova
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
A	A	SPS00	a
Mel	Manuel	NP00000	manuel
Lopes	Lopes	NP00000	lopes
e	e	CC	e
Andre	André	NP00000	andré
Lopes	Lopes	NP00000	lopes
mtas	muitas	DI0FP0	muito
saudades	saudades	NCFP000	saudade
e	e	CC	e
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
escrevo	escrevo	VMIP1S0	escrever
porq	porque	CS	porque
pode	pode	VMIP3S0	poder
ser	ser	VSN0000	ser
q	que	CS	que
não	não	RN	não
tenha	tenha	VMSP0S0	ter
pa	para	SPS00	para
comprar	comprar	VMN0000	comprar
papel	papel	NCMS000	papel
	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
Andre	André	NP00000	andré
Lopez	Lopes	NP00000	lopes
