Muitas	Muitas	DI0FP0	muito
dito	dito	VMP00SM	dizer
silva	Silva	NP00000	silva
e	e	CC	e
hũa	uma	DI0FS0	um
amaseca	ama-seca	NCFS000	ama-seca
e	e	CC	e
hum	um	DI0MS0	um
criado	criado	NCMS000	criado
	,	Fc	,
por	por	SPS00	por
nome	nome	NCMS000	nome
barboza	Barbosa	NP00000	barbosa
;	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
gama	Gama	NP00000	gama
	,	Fc	,
que	que	PR0CN000	que
ja	já	RG	já
do	do	SPS00+DA0MS0	de+o
tempo	tempo	NCMS000	tempo
da	da	SPS00+DA0FS0	de+o
prisão	prisão	NCFS000	prisão
de	de	SPS00	de
seu	seu	DP3MS0	seu
irmão	irmão	NCMS000	irmão
corria	corria	VMII0S0	correr
com	com	SPS00	com
elle	ele	PP3MS000	ele
com	com	SPS00	com
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
correspondençia	correspondência	NCFS000	correspondência
	.	Fp	.
e	E	CC	e
seja	seja	VSSP0S0	ser
a	a	DA0FS0	o
diligençia	diligência	NCFS000	diligência
que	que	PR0CN000	que
se	se	P00CN000	se
fiser	fizer	VMSF0S0	fazer
nesta	nesta	SPS00+DD0FS0	em+este
materia	matéria	NCFS000	matéria
de	de	SPS00	de
qualidade	qualidade	NCFS000	qualidade
que	que	CS	que
não	não	RN	não
possa	possa	VMSP0S0	poder
falar	falar	VMN0000	falar
nenhũa	nenhuma	DI0FS0	nenhum
destas	destas	SPS00+DD0FP0	de+este
pessoas	pessoas	NCFP000	pessoa
hua	uma	PI0FS000	um
com	com	SPS00	com
outra	outra	PI0FS000	outro
,	.	Fp	.
e	E	CC	e
	,	Fc	,
dispois	depois	RG	depois
de	de	SPS00	de
feita	feita	VMP00SF	fazer
esta	esta	DD0FS0	este
dilligençia	diligência	NCFS000	diligência
,	,	Fc	,
e	e	CC	e
posto	posto	VMP00SM	pôr
remedio	remédio	NCMS000	remédio
neste	neste	SPS00+DD0MS0	em+este
desemparo	desamparo	NCMS000	desamparo
	,	Fc	,
da	da	SPS00+DA0FS0	de+o
parte	parte	NCFS000	parte
do	do	SPS00+DA0MS0	de+o
mesmo	mesmo	AQ0MS0	mesmo
senhor	senhor	NCMS000	senhor
lhe	lhe	PP3CSD00	lhe
pormeto	prometo	VMIP1S0	prometer
a	a	SPS00	a
VSas	VSas	NP00000	VSa
advertençias	advertências	NCFP000	advertência
de	de	SPS00	de
differente	diferente	AQ0CS0	diferente
caledade	qualidade	NCFS000	qualidade
desta	desta	SPS00+PD0FS000	de+este
e	e	CC	e
de	de	SPS00	de
mto	muito	RQ	muito
maior	maior	AQ0CS0	maior
serviço	serviço	NCMS000	serviço
de	de	SPS00	de
Deus	Deus	NP00000	deus
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
sancto	Santo	AQ0MS0	santo
offiçio	Ofício	NP00000	ofício
,	.	Fp	.
e	E	CC	e
que	que	CS	que
dem	deem	VMSP3P0	dar
a	a	SPS00	a
VSas	VSas	NP00000	VSa
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
mundo	mundo	NCMS000	mundo
ocazião	ocasião	NCFS000	ocasião
de	de	SPS00	de
grande	grande	AQ0CS0	grande
admiração	admiração	NCFS000	admiração
	.	Fp	.
e	E	CC	e
com	com	SPS00	com
ellas	elas	PP3FP000	ele
entenderão	entenderam	VMIM3P0	entender
os	os	DA0MP0	o
malvados	malvados	AQ0MP0	malvado
judeus	judeus	NCMP000	judeu
que	que	CS	que
	,	Fc	,
por	por	SPS00	por
mto	muito	RQ	muito
que	que	CS	que
seja	seja	VSSP0S0	ser
seu	seu	DP3MS0	seu
dro	dinheiro	NCMS000	dinheiro
	,	Fc	,
que	que	CS	que
com	com	SPS00	com
elle	ele	PP3MS000	ele
nem	nem	CC	nem
a	a	SPS00	a
deus	Deus	NP00000	deus
nem	nem	CC	nem
ao	ao	SPS00+DA0MS0	a+o
samto	Santo	AQ0MS0	santo
offiçio	Ofício	NP00000	ofício
podem	podem	VMIP3P0	poder
enganar	enganar	VMN0000	enganar
	,	Fc	,
que	que	CS	que
a	a	SPS00	a
troco	troco	NCMS000	troco
delle	dele	SPS00+PP3MS000	de+ele
andão	andam	VMIP3P0	andar
VSas	VSas	NP00000	VSa
vendidos	vendidos	VMP00PM	vender
ha	há	VMIP3S0	haver
mto	muito	DI0MS0	muito
tempo	tempo	NCMS000	tempo
,	.	Fp	.
mas	Mas	CC	mas
quis	quis	VMIS3S0	querer
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
sr	Senhor	NP00000	senhor
que	que	CS	que
tomasse	tomasse	VMSI0S0	tomar
eu	eu	PP1CSN00	eu
por	por	SPS00	por
minha	minha	DP1FSS	meu
conta	conta	NCFS000	conta
o	o	DA0MS0	o
desenpenho	desempenho	NCMS000	desempenho
de	de	SPS00	de
materia	matéria	NCFS000	matéria
tanto	tanto	RC	tanto
sua	sua	DP3FS0	seu
	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
as	as	DA0FP0	o
couzas	coisas	NCFP000	coisa
se	se	P00CN000	se
forem	forem	VMSF3P0	ir
pondo	pondo	VMG0000	pôr
em	em	SPS00	em
via	via	NCFS000	via
	,	Fc	,
eu	eu	PP1CSN00	eu
buscarei	buscarei	VMIF1S0	buscar
a	a	DA0FS0	o
VSas	VSas	NP00000	VSa
	,	Fc	,
ainda	ainda	RG	ainda
que	que	CS	que
seja	seja	VSSP0S0	ser
fora	fora	RG	fora
do	do	SPS00+DA0MS0	de+o
tribunal	tribunal	NCMS000	tribunal
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
acabem	acabem	VMSP3P0	acabar
de	de	SPS00	de
se	se	P00CN000	se
dezenganar	desenganar	VMN0000	desenganar
com	com	SPS00	com
estes	estes	DD0MP0	este
judeus	judeus	NCMP000	judeu
de	de	SPS00	de
lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
que	que	CS	que
outros	outros	PI0MP000	outro
estão	estão	VMIP3P0	estar
vendendo	vendendo	VMG0000	vender
a	a	SPS00	a
VSas	VSas	NP00000	VSa
e	e	CC	e
comprando	comprando	VMG0000	comprar
com	com	SPS00	com
dro	dinheiro	NCMS000	dinheiro
o	o	DA0MS0	o
secreto	secreto	NCMS000	secreto
e	e	CC	e
pureza	pureza	NCFS000	pureza
do	do	SPS00+DA0MS0	de+o
sto	Santo	AQ0MS0	santo
offiçio	Ofício	NP00000	ofício
,	.	Fp	.
ponhão	Ponham	VMSP3P0	pôr
VSas	VSas	NP00000	VSa
logo	logo	RG	logo
remedio	remédio	NCMS000	remédio
neste	neste	SPS00+DD0MS0	em+este
primro	primeiro	AO0MS0	primeiro
ponto	ponto	NCMS000	ponto
dos	dos	SPS00+DA0MP0	de+o
escritos	escritos	NCMP000	escrito
	,	Fc	,
e	e	CC	e
logo	logo	RG	logo
passaremos	passaremos	VMIF1P0	passar
ao	ao	SPS00+DA0MS0	a+o
segundo	segundo	AO0MS0	segundo
e	e	CC	e
mais	mais	RC	mais
esençial	essencial	AQ0CS0	essencial
e	e	CC	e
importante	importante	AQ0CS0	importante
,	.	Fp	.
não	Não	RN	não
digo	digo	VMIP1S0	dizer
quem	quem	PR0CN000	quem
he	é	VSIP3S0	ser
o	o	DA0MS0	o
mensageiro	mensageiro	NCMS000	mensageiro
dos	dos	SPS00+DA0MP0	de+o
escritos	escritos	NCMP000	escrito
porque	porque	CS	porque
não	não	RN	não
estou	estou	VMIP1S0	estar
bem	bem	RG	bem
serto	certo	RG	certo
se	se	CSI	se
he	é	VSIP3S0	ser
o	o	DA0MS0	o
alcaide	alcaide	NCMS000	alcaide
do	do	SPS00+DA0MS0	de+o
carçere	cárcere	NCMS000	cárcere
(	(	Fc	(
que	que	PR0CN000	que
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
o	o	DA0MS0	o
mais	mais	RC	mais
serto	certo	AQ0MS0	certo
)	)	Fbt	)
	,	Fc	,
se	se	CSI	se
guarda	guarda	NCFS000	guarda
	.	Fp	.
mas	Mas	CC	mas
dar	dar	VMN0000	dar
logo	logo	RG	logo
varego	varejo	NCMS000	varejo
a	a	SPS00	a
Ro	Rodrigo	NP00000	rodrigo
Aires	Aires	NP00000	aires
e	e	CC	e
dute	Duarte	NP00000	duarte
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
	,	Fc	,
tirandoos	tirando-os	VMG0000+PP3MPA00	tirar+o
dos	dos	SPS00+DA0MP0	de+o
carçeres	cárceres	NCMP000	cárcere
pa	para	SPS00	para
fora	fora	RG	fora
,	,	Fc	,
e	e	CC	e
em	em	SPS00	em
suas	suas	DP3FP0	seu
pessoas	pessoas	NCFP000	pessoa
	:	Fd	:
calçöis	calções	NCMP000	calção
,	,	Fc	,
jubõis	gibões	NCMP000	gibão
e	e	CC	e
mais	mais	RC	mais
corpo	corpo	NCMS000	corpo
em	em	SPS00	em
pro	primeiro	AO0MS0	primeiro
lugar	lugar	NCMS000	lugar
;	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
molher	mulher	NCFS000	mulher
em	em	SPS00	em
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
,	,	Fc	,
por	por	SPS00	por
ministros	ministros	NCMP000	ministro
rectos	retos	AQ0MP0	reto
;	.	Fp	.
e	E	CC	e
na	na	SPS00+DA0FS0	em+o
segunda	segunda	AO0FS0	segundo
instançia	instância	NCFS000	instância
e	e	CC	e
pa	para	SPS00	para
o	o	DA0MS0	o
segundo	segundo	AO0MS0	segundo
ponto	ponto	NCMS000	ponto
que	que	PR0CN000	que
prometo	prometo	VMIP1S0	prometer
,	,	Fc	,
lhe	lhe	PP3CSD00	lhe
darei	darei	VMIF1S0	dar
a	a	SPS00	a
VSas	VSas	NP00000	VSa
sinais	sinais	NCMP000	sinais
e	e	CC	e
provas	provas	NCFP000	prova
tão	tão	RC	tão
evidentes	evidentes	AQ0CP0	evidente
e	e	CC	e
conheçidas	conhecidas	VMP00PF	conhecer
ao	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
da	da	SPS00+DA0FS0	de+o
letra	letra	NCFS000	letra
que	que	CS	que
não	não	RN	não
seja	seja	VSSP0S0	ser
necessaria	necessária	AQ0FS0	necessário
mais	mais	RC	mais
diligençia	diligência	NCFS000	diligência
	.	Fp	.
em	Em	SPS00	em
tanto	tanto	RC	tanto
gde	guarde	VMSP0S0	guardar
Deus	Deus	NP00000	deus
as	as	DA0FP0	o
catholicas	católicas	AQ0FP0	católico
pessoas	pessoas	NCFP000	pessoa
de	de	SPS00	de
VSas	VSas	NP00000	VSa
	.	Fp	.
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
mes	mês	NCMS000	mês
de	de	SPS00	de
abril	abril	NCMS000	abril
de	de	SPS00	de
1651	1651	Z	1651
	.	Fp	.
