hoferesese	Oferece-se	VMIP3S0+P00CN000	oferecer+se
dro	dinheiro	NCMS000	dinheiro
que	que	PR0CN000	que
se	se	P00CN000	se
devia	devia	VMII0S0	dever
a	a	SPS00	a
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
	.	Fp	.
ho	O	DA0MS0	o
portador	portador	NCMS000	portador
deste	deste	SPS00+DD0MS0	de+este
leva	leva	NCFS000	leva
huã	uma	DI0FS0	um
precurasão	procuração	NCFS000	procuração
pa	para	SPS00	para
quem	quem	PR0CN000	quem
aa	a	PP3FSA00	o
for	for	VMSF0S0	ir
aRecade	arrecade	VMSP0S0	arrecadar
todo	todo	DI0MS0	todo
ho	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
	.	Fp	.
e	E	CC	e
emteirese	inteire-se	VMSP0S0+P00CN000	inteirar+se
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
ho	o	DA0MS0	o
que	que	PR0CN000	que
for	for	VSSF0S0	ser
devido	devido	VMP00SM	dever
e	e	CC	e
ho	o	DA0MS0	o
mais	mais	NCMS000	mais
dara	dará	VMIF3S0	dar
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
a	a	SPS00	a
quem	quem	PR0CN000	quem
lhe	lhe	PP3CSD00	lhe
pareser	parecer	VMN0000	parecer
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
não	não	RN	não
quizer	quiser	VMSF0S0	querer
mãdar	mandar	VMN0000	mandar
	,	Fc	,
avizeme	avise-me	VMSP0S0+PP1CS000	avisar+me
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
por	por	SPS00	por
este	este	DD0MS0	este
portador	portador	NCMS000	portador
pa	para	SPS00	para
que	que	CS	que
posa	possa	VMSP0S0	poder
eu	eu	PP1CSN00	eu
fazer	fazer	VMN0000	fazer
de	de	SPS00	de
qua	cá	RG	cá
diligensia	diligência	NCFS000	diligência
pa	para	SPS00	para
que	que	CS	que
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
esteja	esteja	VMSP0S0	estar
pago	pago	VMP00SM	pagar
	.	Fp	.
nosso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
guarde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
pesoa	pessoa	NCFS000	pessoa
de	de	SPS00	de
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
por	por	SPS00	por
mtos	muitos	DI0MP0	muito
anos	anos	NCMP000	ano
	.	Fp	.
desta	Desta	SPS00+DD0FS0	de+este
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
	,	Fc	,
oje	hoje	RG	hoje
	,	Fc	,
10	10	Z	10
de	de	SPS00	de
outubro	outubro	NCMS000	outubro
Egas	Egas	NP00000	egas
monis	Moniz	NP00000	moniz
Da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
Coronel	Coronel	NP00000	coronel
