Ando	Ando	VMIP1S0	andar
qual	qual	PR0CS000	qual
não	não	RN	não
tornou	tornou	VMIS3S0	tornar
,	,	Fc	,
nẽ	nem	CC	nem
tive	tive	VMIS1S0	ter
mais	mais	RC	mais
recado	recado	NCMS000	recado
algũ	algum	DI0MS0	algum
	.	Fp	.
Vendo	Vendo	VMG0000	ver
eu	eu	PP1CSN00	eu
isto	isto	PD0NN000	isto
,	,	Fc	,
e	e	CC	e
vendo	vendo	VMG0000	ver
q	que	CS	que
foi	foi	VSIS3S0	ser
sabado	sábado	NCMS000	sábado
lua	lua	NCFS000	lua
	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
com	com	SPS00	com
os	os	DA0MP0	o
zorros	zorros	NCMP000	zorro
em	em	SPS00	em
caza	casa	NCFS000	casa
e	e	CC	e
Com	com	SPS00	com
as	as	DA0FP0	o
chaves	chaves	NCFP000	chave
sẽ	sem	SPS00	sem
ver	ver	VMN0000	ver
recado	recado	NCMS000	recado
de	de	SPS00	de
vm	VM	NP00000	VM
nẽ	nem	CC	nem
do	do	SPS00+DA0MS0	de+o
Castelhano	Castelhano	NP00000	castelhano
,	,	Fc	,
feis	fiz	VMIS1S0	fazer
esse	esse	DD0MS0	esse
esCrito	escrito	NCMS000	escrito
a	a	SPS00	a
vm	VM	NP00000	VM
q	que	PR0CN000	que
Com	com	SPS00	com
este	este	PD0MS000	este
vai	vai	VMIP3S0	ir
,	,	Fc	,
Cudando	cuidando	VMG0000	cuidar
q	que	CS	que
não	não	RN	não
seria	seria	VSIC0S0	ser
ido	ido	VMP0000	ir
e	e	CC	e
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
estaria	estaria	VMIC0S0	estar
em	em	SPS00	em
mão	mão	NCFS000	mão
do	do	SPS00+DA0MS0	de+o
Castelhano	Castelhano	NP00000	castelhano
,	.	Fp	.
acharão	Acharam	VMIS3P0	achar
ser	ser	VSN0000	ser
vm	VM	NP00000	VM
ido	ido	VMP0000	ir
,	.	Fp	.
fis	Fiz	VMIS1S0	fazer
entam	então	RG	então
hum	um	DI0MS0	um
escrito	escrito	NCMS000	escrito
ao	ao	SPS00+DA0MS0	a+o
Castelhano	Castelhano	NP00000	castelhano
de	de	SPS00	de
minhas	minhas	DP1FPS	meu
queixas	queixas	NCFP000	queixa
,	.	Fp	.
elle	Ele	PP3MS000	ele
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
esse	esse	PD0MS000	esse
q	que	PR0CN000	que
vm	VM	NP00000	VM
ahi	aí	RG	aí
vera	verá	VMIF3S0	ver
,	.	Fp	.
Vendo	Vendo	VMG0000	ver
eu	eu	PP1CSN00	eu
isto	isto	PD0NN000	isto
,	,	Fc	,
quis	quis	VMIS1S0	querer
lá	lá	RG	lá
mandar	mandar	VMN0000	mandar
	.	Fp	.
como	Como	CS	como
chegou	chegou	VMIS3S0	chegar
o	o	DA0MS0	o
Carceres	Cáceres	NP00000	cáceres
q	que	PR0CN000	que
se	se	P00CN000	se
offereceo	ofereceu	VMIS3S0	oferecer
a	a	SPS00	a
hir	ir	VMN0000	ir
,	,	Fc	,
e	e	CC	e
deve	deve	VMIP3S0	dever
ser	ser	VSN0000	ser
o	o	DA0MS0	o
portador	portador	NCMS000	portador
,	,	Fc	,
vm	VM	NP00000	VM
veja	veja	VMSP0S0	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
ha	há	VMIP3S0	haver
de	de	SPS00	de
faser	fazer	VMN0000	fazer
,	,	Fc	,
ou	ou	CC	ou
q	que	CS	que
dezordem	desordem	NCFS000	desordem
foi	foi	VSIS3S0	ser
a	a	DA0FS0	o
de	de	SPS00	de
não	não	RN	não
ficar	ficar	VMN0000	ficar
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
,	,	Fc	,
ou	ou	CC	ou
se	se	CS	se
teve	teve	VMIS3S0	ter
vm	VM	NP00000	VM
outro	outro	DI0MS0	outro
aCordo	acordo	NCMS000	acordo
,	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
isto	isto	PD0NN000	isto
feito	feito	VMP0000	fazer
mais	mais	RC	mais
doente	doente	AQ0CS0	doente
do	do	SPS00+DA0MS0	de+o
q	que	CS	que
estava	estava	VMII0S0	estar
,	.	Fp	.
e	E	CC	e
Com	com	SPS00	com
isto	isto	PD0NN000	isto
	,	Fc	,
nosso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
J	Jesus	NP00000	jesus
,	,	Fc	,
man-deme	mande-me	VMSP0S0+PP1CS000	mandar+me
vm	VM	NP00000	VM
boas novas	boas-novas	NCFP000	boa-nova
de	de	SPS00	de
sua	sua	DP3FS0	seu
saude	saúde	NCFS000	saúde
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
sra	Senhora	NP00000	senhor
dona	Dona	NP00000	dona
Violante	Violante	NP00000	violante
;	.	Fp	.
Criado	Criado	NCMS000	criado
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
o	o	DA0MS0	o
padre	padre	NCMS000	padre
Anto	António	NP00000	antónio
alvres	Álvares	NP00000	álvares
cardozo	Cardoso	NP00000	cardoso
