Snros	Senhores	NP00000	senhores
elle	Ele	PP3MS000	ele
antam	então	RG	então
se	se	P00CN000	se
veo	veio	VMIS3S0	vir
pa	para	SPS00	para
esta	esta	DD0FS0	este
Cidade	cidade	NCFS000	cidade
	,	Fc	,
adomde	onde	PA000000	onde
jurou	jurou	VMIS3S0	jurar
por	por	SPS00	por
esCrito	escrito	NCMS000	escrito
a	a	SPS00	a
huma	uma	DI0FS0	um
ma	Maria	NP00000	maria
gomes	Gomes	NP00000	gomes
	,	Fc	,
Criada	criada	NCFS000	criado
q	que	CS	que
foi	foi	VSIS3S0	ser
de	de	SPS00	de
moniqua	Mónica	NP00000	mónica
da	da	SPS00+DA0FS0	de+o
Crus	Cruz	NP00000	cruz
	,	Fc	,
e	e	CC	e
o	o	PP3MSA00	o
demandou	demandou	VMIS3S0	demandar
diente	diante	RG	diante
do	do	SPS00+DA0MS0	de+o
Vigairo geral	vigário-geral	NCMS000	vigário-geral
desta	desta	SPS00+DD0FS0	de+este
Cidade	cidade	NCFS000	cidade
	.	Fp	.
e	E	CC	e
	,	Fc	,
não	não	RN	não
querendo	querendo	VMG0000	querer
elle	ele	PP3MS000	ele
Cazar	casar	VMN0000	casar
	,	Fc	,
o	o	PP3MSA00	o
presegirão	perseguiram	VMIP3P0	perseguir
Con	com	SPS00	com
sensurias	censuras	NCFP000	censura
e	e	CC	e
se	se	P00CN000	se
foi	foi	VMIS3S0	ir
Cazar	casar	VMN0000	casar
Contihnamente	continuamente	RG	continuamente
Con	com	SPS00	com
huma	uma	DI0FS0	um
ma	Maria	NP00000	maria
Varela	Varela	NP00000	varela
en	em	SPS00	em
hũ	um	DI0MS0	um
lugar	lugar	NCMS000	lugar
que	que	PR0CN000	que
chamão	chamam	VMIP3P0	chamar
Covas	Covas	NCFP000	covas
	,	Fc	,
defronte	defronte	RG	defronte
de	de	SPS00	de
Antr anbos  os Rios	Entre-ambos-os-Rios	NP00000	entre-ambos-os-rios
	,	Fc	,
Bispo	bispado	NCMS000	bispado
de	de	SPS00	de
Lamego	Lamego	NP00000	lamego
	.	Fp	.
Vive	Vive	VMIP3S0	viver
agora	agora	RG	agora
nesta	nesta	SPS00+DD0FS0	em+este
Cidade	cidade	NCFS000	cidade
	,	Fc	,
Con	com	SPS00	com
a	a	DA0FS0	o
d	dona	NCFS000	o
ma	Maria	NP00000	maria
Varela	Varela	NP00000	varela
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
das	das	SPS00+DA0FP0	de+o
aldas	Aldas	NP00000	aldas
	.	Fp	.
diseme	Disse-me	VMIS3S0+PP1CS000	dizer+me
hũn	um	DI0MS0	um
Antonio	António	NP00000	antónio
moreira	Moreira	NP00000	moreira
das	das	SPS00+DA0FP0	de+o
povos	Povos	NCMP000	povo
	,	Fc	,
morador	morador	NCMS000	morador
nesta	nesta	SPS00+DD0FS0	em+este
Cidade	cidade	NCFS000	cidade
	,	Fc	,
q	que	CS	que
domingos	Domingos	NP00000	domingos
Varela	Varela	NP00000	varela
Barca	Barca	NP00000	barca
que	que	CS	que
veo	veio	VMIS3S0	vir
da	da	SPS00+DA0FS0	de+o
baia	Baía	NP00000	baía
a	à	SPS00+DA0FS0	a+o
sidade	cidade	NCFS000	cidade
de	de	SPS00	de
Lxa	Lxa	NP00000	lisboa
en	em	SPS00	em
hũ	um	DI0MS0	um
patacho	patacho	NCMS000	patacho
	.	Fp	.
este	Este	DD0MS0	este
domingos	Domingos	NP00000	domingos
Varela	Varela	NP00000	varela
he	é	VSIP3S0	ser
familiar	familiar	NCMS000	familiar
do	do	SPS00+DA0MS0	de+o
santo	Santo	NP00000	santo
offo	Ofício	NP00000	ofício
que	que	PR0CN000	que
dezia	dizia	VMII0S0	dizer
q	que	CS	que
esta	esta	DD0FS0	este
pra	primeira	AO0FS0	primeiro
mulher	mulher	NCFS000	mulher
hera	era	VSII0S0	ser
viva	viva	VMP00SF	viver
e	e	CC	e
que	que	CS	que
estava	estava	VMII0S0	estar
na	na	SPS00+DA0FS0	em+o
baia	Baía	NP00000	baía
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
	,	Fc	,
mais	mais	RC	mais
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
hũ	um	DI0MS0	um
domingos	Domingos	NP00000	domingos
nunes	Nunes	NP00000	nunes
	,	Fc	,
morador	morador	NCMS000	morador
a	a	SPS00	a
santa	Santa	NP00000	santa
anna	Ana	NP00000	ana
	,	Fc	,
nesta	nesta	SPS00+DD0FS0	em+este
Cidade	cidade	NCFS000	cidade
	,	Fc	,
q	que	CS	que
huma	uma	DI0FS0	um
sua	sua	DP3FS0	seu
Criada	criada	NCFS000	criado
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
que	que	CS	que
domingos	Domingos	NP00000	domingos
varela	Varela	NP00000	varela
desera	dissera	VMIM0S0	dizer
q	que	CS	que
a	a	DA0FS0	o
mulher	mulher	NCFS000	mulher
de	de	SPS00	de
bertolameu	Bartolomeu	NP00000	bartolomeu
dias	Dias	NP00000	dias
estava	estava	VMII0S0	estar
na	na	SPS00+DA0FS0	em+o
baia	Baía	NP00000	baía
viva	viva	VMP00SF	viver
	.	Fp	.
isto	Isto	PD0NN000	isto
he	é	VSIP3S0	ser
o	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
diserão	disseram	VMIS3P0	dizer
	.	Fp	.
vosasms	VMs	NP00000	VM
farão	farão	VMIF3P0	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
foren	forem	VMSF3P0	ir
servido	servido	VMP00SM	servir
	.	Fp	.
Portto	Porto	NP00000	porto
	,	Fc	,
14	14	Z	14
de	de	SPS00	de
outubro	outubro	NCMS000	outubro
de	de	SPS00	de
644	644	Z	644
@	anos	NCMP000	ano
testemunhas	Testemunhas	NCFP000	testemunha
q	que	PR0CN000	que
saberão	saberão	VMIF3P0	saber
disto	disto	SPS00+PD0NN000	de+isto
	:	Fd	:
Jeronimo	Jerónimo	NP00000	jerónimo
Pinheiro	Pinheiro	NP00000	pinheiro
	,	Fc	,
morador	morador	NCMS000	morador
na	na	SPS00+DA0FS0	em+o
Rua	Rua	NP00000	rua
Cam	Cão	NP00000	cão
desta	desta	SPS00+DD0FS0	de+este
Cidade	cidade	NCFS000	cidade
	,	Fc	,
manoel	Manuel	NP00000	manuel
varela	Varela	NP00000	varela
BraCa	Barca	NP00000	barca
	,	Fc	,
familiar	familiar	NCMS000	familiar
do	do	SPS00+DA0MS0	de+o
santo	Santo	NP00000	santo
offo	Ofício	NP00000	ofício
	,	Fc	,
o	o	DA0MS0	o
mester	mester	NCMS000	mester
que	que	PR0CN000	que
veo	veio	VMIS3S0	vir
no	no	SPS00+DA0MS0	em+o
patacho	patacho	NCMS000	patacho
de	de	SPS00	de
dos	Domingos	NP00000	domingos
varela	Varela	NP00000	varela
	,	Fc	,
frCo	Francisco	NP00000	francisco
Ribeiro	Ribeiro	NP00000	ribeiro
	,	Fc	,
morador	morador	NCMS000	morador
en	em	SPS00	em
san	São	NP00000	são
joão	João	NP00000	joão
da	da	SPS00+DA0FS0	de+o
fos	Foz	NP00000	foz
	.	Fp	.
este	Este	DD0MS0	este
Bretolameu	Bartolomeu	NP00000	bartolomeu
dias	Dias	NP00000	dias
esta	está	VMIP3S0	estar
agora	agora	RG	agora
em	em	SPS00	em
Lxa	Lxa	NP00000	lisboa
que	que	CS	que
	,	Fc	,
tanto	tanto	CC	tanto
q	que	CS	que
ho	o	PP3MSA00	o
soube	soube	VMIS1S0	saber
	,	Fc	,
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
Jeronimo	Jerónimo	NP00000	jerónimo
Pinheiro	Pinheiro	NP00000	pinheiro
q	que	CS	que
se	se	P00CN000	se
apartara	apartara	VMSI0S0	apartar
da	da	SPS00+DA0FS0	de+o
mulher	mulher	NCFS000	mulher
	.	Fp	.
Criado	Criado	NCMS000	criado
de	de	SPS00	de
vosasms	VMs	NP00000	VM
	,	Fc	,
Anto	António	NP00000	antónio
Andre	André	NP00000	andré
de	de	SPS00	de
Barros	Barros	NP00000	barros
	,	Fc	,
familiar	familiar	NCMS000	familiar
de	de	SPS00	de
santo	Santo	NP00000	santo
offo	Ofício	NP00000	ofício
