Estimarei	Estimarei	VMIF1S0	estimar
mto	muito	DI0MS0	muito
dro	dinheiro	NCMS000	dinheiro
E	e	CC	e
que	que	CS	que
meu	meu	DP1MSS	meu
fo	filho	NCMS000	filho
que	que	PR0CN000	que
viera	viera	VMIM0S0	vir
do	do	SPS00+DA0MS0	de+o
brazil	Brasil	NP00000	brasil
com	com	SPS00	com
mto	muito	DI0MS0	muito
dro	dinheiro	NCMS000	dinheiro
e	e	CC	e
que	que	CS	que
elle	ele	PP3MS000	ele
dera	dera	VMIM0S0	dar
o	o	DA0MS0	o
dote	dote	NCMS000	dote
As	às	SPS00+DA0FP0	a+o
freiras	freiras	NCFP000	freira
e	e	CC	e
que	que	CS	que
o	o	DA0MS0	o
testamto	testamento	NCMS000	testamento
que	que	PR0CN000	que
tinha	tinha	VMII0S0	ter
mtos	muitos	DI0MP0	muito
pontinhos	pontinhos	NCMP00D	ponto
e	e	CC	e
que	que	CS	que
inda	ainda	RG	ainda
que	que	CS	que
não	não	RN	não
puxou	puxou	VMIS3S0	puxar
pelo	pelo	SPS00+DA0MS0	por+o
dro	dinheiro	NCMS000	dinheiro
das	das	SPS00+DA0FP0	de+o
negras	negras	NCFP000	negra
	.	Fp	.
Estou	Estou	VMIP1S0	estar
cö	com	SPS00	com
estas	estas	DD0FP0	este
couzas	coisas	NCFP000	coisa
mto	muito	RQ	muito
emfadada	enfadada	VMP00SF	enfadar
	,	Fc	,
que	que	CS	que
bem	bem	RG	bem
mostra	mostra	VMIP3S0	mostrar
ter	ter	VMN0000	ter
eu	eu	PP1CSN00	eu
nele	nele	SPS00+PP3MS000	em+ele
gde	grande	AQ0CS0	grande
inimigo	inimigo	NCMS000	inimigo
	.	Fp	.
se	Se	CS	se
vm	VM	NP00000	VM
amenhã	amanhã	RG	amanhã
não	não	RN	não
ectivera	estivera	VMIM0S0	estar
de	de	SPS00	de
purga	purga	NCFS000	purga
	,	Fc	,
la	lá	RG	lá
ouvera	houvera	VMIM0S0	haver
de	de	SPS00	de
chaegar	chegar	VMN0000	chegar
oje	hoje	RG	hoje
	.	Fp	.
Rasgue	Rasgue	VMSP0S0	rasgar
vm	VM	NP00000	VM
logo	logo	RG	logo
este	este	DD0MS0	este
	.	Fp	.
