Estimarei	Estimarei	VMIF1S0	estimar
ds	Deus	NP00000	deus
dai	daí	SPS00+RG	de+aí
sabe	sabe	VMIP3S0	saber
a	a	DA0FS0	o
verdade	verdade	NCFS000	verdade
Como	como	CS	como
quẽ	quem	PR0CN000	quem
conhese	conhece	VMIP3S0	conhecer
os	os	DA0MP0	o
Corasoins	corações	NCMP000	coração
,	.	Fp	.
importunado	Importunado	VMP00SM	importunar
do	do	SPS00+DA0MS0	de+o
escrito	escrito	NCMS000	escrito
qe	que	PR0CN000	que
asima	acima	RG	acima
dixe	disse	VMIS3S0	dizer
	,	Fc	,
fis	fiz	VMIS1S0	fazer
esta	esta	PD0FS000	este
porque	porque	CS	porque
não	não	RN	não
quisera	quisera	VMIM0S0	querer
tomar	tomar	VMN0000	tomar
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
a	a	SPS00	a
quem	quem	PR0CN000	quem
Ds	Deus	NP00000	deus
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
Como	como	CS	como
dezejo	desejo	VMIP1S0	desejar
	.	Fp	.
deste	Deste	SPS00+DD0MS0	de+este
seu	seu	DP3MS0	seu
Convto	convento	NCMS000	convento
	,	Fc	,
oje	hoje	RG	hoje
	,	Fc	,
20	20	Z	20
abril	abril	NCMS000	abril
1633	1633	Z	1633
	.	Fp	.
seu	Seu	DP3MS0	seu
capellão	Capelão	NCMS000	capelão
	,	Fc	,
Fr	Frei	NP00000	frei
Franco	Francisco	NP00000	francisco
d	de	SPS00	de
almpoem	Alpoim	NP00000	alpoim
	.	Fp	.
