Sobrinha	Sobrinha	NCFS000	sobrinho
paresse	parece	VMIP3S0	parecer
que	que	CS	que
não	não	RN	não
meresso	mereço	VMIP1S0	merecer
ouvirme	ouvir-me	VMN0000+PP1CS000	ouvir+me
ella	ela	PP3FS000	ele
,	.	Fp	.
não	Não	RN	não
desagradessesse	desagradecesse	RN	não
as	as	DA0FP0	o
muitas	muitas	DI0FP0	muito
mersse	mercê	NCFS000	mercê
que	que	PR0CN000	que
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
feito	feito	NCMS000	feito
	,	Fc	,
e	e	CC	e
fas	faz	VMIP3S0	fazer
	,	Fc	,
em	em	SPS00	em
mo	mo	PP1CS000+PP3MSA00	me+o
guar-dar	guardar	VMN0000	guardar
de	de	SPS00	de
tantos	tantos	DI0MP0	tanto
constrastes	constrastes	NCMP000	constraste
,	,	Fc	,
como	como	CS	como
oje	hoje	RG	hoje
vemos	vemos	VMIP3S0	ver
nas	nas	SPS00+DA0FP0	em+o
em-barcassois	embarcações	NCFP000	embarcação
por	por	SPS00	por
orassois	orações	NCFP000	oração
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
me	Me	PP1CS000	me
fara	fará	VMIF3S0	fazer
ds	Deus	NP00000	deus
muitas	muitas	DI0FP0	muito
mersses	mercês	NCFP000	mercê
e	e	CC	e
dessas	dessas	SPS00+DD0FP0	de+esse
senhoras	senhoras	NCFP000	senhor
	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
pesso	peço	VMIP1S0	pedir
se	se	CS	se
sirvão	sirvam	VMSP3P0	servir
desta	desta	SPS00+DD0FS0	de+este
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
	.	Fp	.
nosso	Nosso	NP00000	nosso
snor	Senhor	NP00000	senhor
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
pa	para	SPS00	para
seu	seu	DP3MS0	seu
sancto	santo	NCMS000	santo
servisso	serviço	NCMS000	serviço
	.	Fp	.
24	24	Z	24
de	de	SPS00	de
setembro	setembro	NCMS000	setembro
de	de	SPS00	de
1617	1617	Z	1617
Annos	anos	NCMP000	ano
	,	Fc	,
tia	Tia	NP00000	tia
e	e	CC	e
mto	muito	RQ	muito
amigua	amiga	NCFS000	amigo
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
Cna	Catarina	NP00000	catarina
mẽdes	Mendes	NP00000	mendes
dis	Dias	NP00000	dias
