hesta	Esta	PD0FS000	este
	.	Fp	.
não	Não	RN	não
tenho	tenho	VMIP1S0	ter
tpo	tempo	NCMS000	tempo
pa	para	SPS00	para
mais	mais	RC	mais
largo	largo	RG	largo
escrever	escrever	VMN0000	escrever
	.	Fp	.
ho	O	DA0MS0	o
portador	portador	NCMS000	portador
destas	destas	SPS00+DD0FP0	de+este
	,	Fc	,
que	que	PR0CN000	que
he	é	VSIP3S0	ser
hũo	um	DI0MS0	um
moso	moço	NCMS000	moço
por	por	SPS00	por
nome	nome	NCMS000	nome
mel	Manuel	NP00000	manuel
	,	Fc	,
natural	natural	AQ0CS0	natural
da	da	SPS00+DA0FS0	de+o
grasioza	Graciosa	NP00000	graciosa
	,	Fc	,
dara	dará	VMIF3S0	dar
meudamte	miudamente	RG	miudamente
novas	novas	NCFP000	nova
minhas	minhas	DP1FPS	meu
	.	Fp	.
he	E	CC	e
diga	diga	VMSP0S0	dizer
a	a	SPS00	a
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
que	que	CS	que
ho	o	PP3MSA00	o
favoresa	favoreça	VMSP0S0	favorecer
he	e	CC	e
recolha	recolha	VMSP0S0	recolher
pa	para	SPS00	para
caza	casa	NCFS000	casa
	.	Fp	.
querendo	Querendo	VMG0000	querer
ele	ele	PP3MS000	ele
estar	estar	VMN0000	estar
he	e	CC	e
servir	servir	VMN0000	servir
	,	Fc	,
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
fasa	faça	VMSP0S0	fazer
bon	bom	AQ0MS0	bom
partido	partido	NCMS000	partido
pelo	pelo	SPS00+DA0MS0	por+o
amor	amor	NCMS000	amor
de	de	SPS00	de
min	mim	PP1CSO00	mim
	,	Fc	,
porque	porque	CS	porque
heu	eu	PP1CSN00	eu
so	só	RF	só
fiz	fiz	VMIS1S0	fazer
abalar	abalar	VMN0000	abalar
pa	para	SPS00	para
essa	essa	DD0FS0	esse
ylha	ilha	NCFS000	ilha
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
me	me	PP1CS000	me
levar	levar	VMN0000	levar
estas	estas	DD0FP0	este
cartas	cartas	NCFP000	carta
he	e	CC	e
dar	dar	VMN0000	dar
novas	novas	NCFP000	nova
meudas	miúdas	AQ0FP0	miúdo
minhas	minhas	DP1FPS	meu
	.	Fp	.
he	E	CC	e
ela	ela	PP3FS000	ele
tãoben	também	RG	também
o	o	PP3MSA00	o
favoresa	favoreça	VMSP0S0	favorecer
encoãto	enquanto	CS	enquanto
ca	cá	RG	cá
estiver	estiver	VMSF0S0	estar
	.	Fp	.
não	Não	RN	não
ha	há	VMIP3S0	haver
mais	mais	RC	mais
	.	Fp	.
agora	Agora	RG	agora
lhe	lhe	PP3CSD00	lhe
peso	peço	VMIP1S0	pedir
me	me	PP1CS000	me
perdoe	perdoe	VMSP0S0	perdoar
ho	o	DA0MS0	o
ero	erro	NCMS000	erro
en	em	SPS00	em
que	que	PR0CN000	que
ate	até	SPS00	até
gora	agora	RG	agora
ãdei	andei	VMIS1S0	andar
	,	Fc	,
que	que	PR0CN000	que
foi	foi	VSIS3S0	ser
segeira	cegueira	NCFS000	cegueira
que	que	PR0CN000	que
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
	.	Fp	.
não	Não	Fp	.
se	se	Fp	.
oferese	oferece	Fp	.
mais	mais	Fp	.
	.	Fp	.
noso	Nosso	Fp	.
sor	Senhor	Fp	.
ma	ma	Fp	.
traga	traga	Fp	.
diente	diante	Fp	.
de	de	Fp	.
meus	meus	Fp	.
olhos	olhos	Fp	.
como	como	Fp	.
ela	ela	Fp	.
dezeja	deseja	Fp	.
	.	Fp	.
sesta	Sexta	Fp	.
	,	Fp	.
nesta	nesta	Fp	.
cadea	cadeia	Fp	.
da	da	Fp	.
ylha	ilha	Fp	.
de	de	Fp	.
São	São	Fp	.
migel	Miguel	Fp	.
aos	aos	Fp	.
9	9	Fp	.
de	de	Fp	.
julho	julho	Fp	.
de	de	Fp	.
603	603	Fp	.
a	anos	Fp	.
	.	Fp	.
De	De	Fp	.
seu	seu	Fp	.
marido	marido	Fp	.
	,	Fp	.
afonso	Afonso	Fp	.
gez	Gonçalves	Fp	.
