Snor	Senhor		
dous	dois	Z	dois
annos	anos	NCMP000	ano
	,	Fc	,
pouco	pouco	RQ	pouco
mais	mais	RC	mais
ou	ou	CC	ou
menos	menos	RC	menos
	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
ditto	dito	VMP00SM	dizer
Pheppe	Filipe	NP00000	filipe
Brabo	Bravo	NP00000	bravo
par-tio	partiu	VMIS3S0	partir
d	de	SPS00	de
onde	onde	PA000000	onde
ficava	ficava	VMII0S0	ficar
meu	meu	DP1MSS	meu
hirmão	irmão	NCMS000	irmão
con	com	SPS00	com
saude	saúde	NCFS000	saúde
,	.	NCFS000	saúde
E	E	CC	e
de	de	SPS00	de
como	como	PA000000	como
asim	assim	RG	assim
o	o	PP3MSA00	o
dice	disse	VMIS3S0	dizer
e	e	CC	e
q	que	CC	que
o	o	PP3MSA00	o
conhecia	conhecia	VMII0S0	conhecer
por	por	SPS00	por
serẽ	serem	VSN03P0	ser
ambos	ambos	PI0MP000	ambos
naturaes	naturais	AQ0CP0	natural
desta	desta	SPS00+DD0FS0	de+este
Cidade	cidade	NCFS000	cidade
,	,	Fc	,
e	e	CC	e
q	que	CS	que
o	o	DA0MS0	o
ditto	dito	VMP00SM	dizer
Anto	António	NP00000	antónio
de	de	SPS00	de
Araujo	Araújo	NP00000	araújo
ficava	ficava	VMII0S0	ficar
con	com	SPS00	com
vida	vida	NCFS000	vida
?	,	NCFS000	vida
o	o	PP3MSA00	o
afirmo	afirmo	VMIP1S0	afirmar
in	in	SPS00	in
verbo	verbo	NCMS000	verbo
saçerdotis	sacerdotis	NCMS000	sacerdotis
.	.	Fp	.
E	E	CC	e
	,	Fc	,
juntamte	juntamente	RG	juntamente
	,	Fc	,
ahi	aí	RG	aí
vai	vai	VMIP3S0	ir
hũa	uma	DI0FS0	um
carta	carta	NCFS000	carta
en	em	SPS00	em
duas	duas	Z	duas
folhas	folhas	NCFP000	folha
de	de	SPS00	de
papel	papel	NCMS000	papel
q	que	PR0CN000	que
foi	foi	VSIS3S0	ser
escripta	escrita	VMP00SF	escrever
fes	fez	VMIS3S0	fazer
en	em	SPS00	em
agosto	agosto	NCMS000	agosto
passado	passado	VMP00SM	passar
sinco	cinco	Z	cinco
annos	anos	NCMP000	ano
	,	Fc	,
como	como	CS	como
consta	consta	VMIP3S0	constar
da	da	SPS00+DA0FS0	de+o
era	era	VSII0S0	ser
en	em	SPS00	em
ella	ela	PP3FS000	ele
escripta	escrita	VMP00SF	escrever
	,	Fc	,
da	da	SPS00+DA0FS0	de+o
quoal	qual	DT0CS0	qual
carta	carta	NCFS000	carta
eu	eu	PP1CSN00	eu
ja	já	RG	já
afirmei	afirmei	VMIS1S0	afirmar
debaixo	debaixo	RG	debaixo
de	de	SPS00	de
juramto	juramento	NCMS000	juramento
en	em	SPS00	em
hũa	uma	DI0FS0	um
carta	carta	NCFS000	carta
q	que	PR0CN000	que
a	a	SPS00	a
Vm	VM	NP00000	VM
escrevi	escrevi	VMIS1S0	escrever
,	.	VMIS1S0	escrever
E	E	CC	e
o	o	PP3MSA00	o
afirmo	afirmo	VMIP1S0	afirmar
ser	ser	VSN0000	ser
a	a	DA0FS0	o
letra	letra	NCFS000	o
sua	sua	DP3FS0	seu
	,	Fc	,
por	por	SPS00	por
a	a	PP3FSA00	o
conhesser	conhecer	VMN0000	conhecer
	,	Fc	,
porqto	porquanto	CS	porquanto
o	o	PP3MSA00	o
ensinei	ensinei	VMIS1S0	ensinar
a	a	SPS00	a
ler	ler	VMN0000	ler
E	e	CC	e
ser	ser	VSN0000	ser
meu	meu	DP1MSS	meu
hirmão	irmão	NCMS000	irmão
,	.	NCMS000	irmão
E	E	CC	e
constando	constando	VMG0000	constar
q	que	CS	que
he	é	VSIP3S0	ser
elle	ele	PP3MS000	ele
vivo	vivo	AQ0MS0	vivo
,	,	Fc	,
e	e	CC	e
obrigalla	obrigá-la	VMN0000+PP3FSA00	obrigar+o
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
os	os	DA0MP0	o
bens	bens	NCMP000	bem
d	de	SPS00	de
alma	alma	NCFS000	alma
,	,	Fc	,
E	e	CC	e
depois	depois	RG	depois
se	se	P00CN000	se
segue	segue	VMIP3S0	seguir
fazerlhe	fazer-lhe	VMN0000+PP3CSD00	fazer+lhe
inventario	inventário	NCMS000	inventário
,	,	Fc	,
e	e	CC	e
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
mais	mais	RC	mais
q	que	PR0CN000	que
dahi	daí	SPS00+RG	de+aí
se	se	P00CN000	se
segue	segue	VMIP3S0	seguir
	,	Fc	,
paresseme	parece-me	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
	,	Fc	,
en	em	SPS00	em
conçiençia	consciência	NCFS000	consciência
	,	Fc	,
não	não	RN	não
pode	pode	VMIP3S0	poder
ser	ser	VSN0000	ser
.	.	Fp	.
isto	Isto	PD0NN000	isto
faço	faço	VMIP1S0	fazer
a	a	SPS00	a
saber	saber	VMN0000	saber
a	a	SPS00	a
Vm	VM	NP00000	VM
pa	para	SPS00	para
q	que	CS	que
Vm	VM	NP00000	VM
não	não	RN	não
fassa	faça	VMSP0S0	fazer
gastar	gastar	VMN0000	gastar
a	a	SPS00	a
essa	essa	DD0FS0	esse
pobre	pobre	NCFS000	pobre
en	em	SPS00	em
justificar	justificar	VMN0000	justificar
juridicamte	juridicamente	RG	juridicamente
	,	Fc	,
visto	visto	VMP00SM	ver
afirmado	afirmado	VMP00SM	afirmar
con	com	SPS00	com
esta	esta	DD0FS0	este
verdade	verdade	NCFS000	verdade
	,	NCFS000	verdade
q	que	CS	que
ao	ao	SPS00+DA0MS0	a+o
saber	saber	VMN0000	saber
ou	ou	CC	ou
constarme	constar-me	VMN0000+PP1CS000	constar+me
a	a	SPS00	a
min	mim	PP1CSO00	mim
q	que	CS	que
meu	meu	DP1MSS	meu
hirmão	irmão	NCMS000	irmão
era	era	VSII0S0	ser
falecido	falecido	VMP00SM	falecer
	,	Fc	,
eu	eu	PP1CSN00	eu
mesmo	mesmo	RF	mesmo
avia	havia	VMII0S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
en	em	SPS00	em
mta	muita	DI0FS0	muito
ajuda	ajuda	NCFS000	ajuda
pa	para	SPS00	para
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
fizessem	fizessem	VMSI3P0	fazer
os	os	DA0MP0	o
bens	bens	NCMP000	bem
d	de	SPS00	de
alma	alma	NCFS000	alma
,	,	Fc	,
e	e	CC	e
	,	Fc	,
não	não	RN	não
bastando	bastando	VMG0000	bastar
isto	isto	PD0NN000	isto
	,	Fc	,
se	se	P00CN000	se
justificara	justificará	VMIF3S0	justificar
pello	pelo	SPS00+DA0MS0	por+o
homen	homem	NCMS000	homem
q	que	PR0CN000	que
trouxe	trouxe	VMIS1S0	trazer
a	a	DA0FS0	o
carta	carta	NCFS000	carta
q	que	PR0CN000	que
ahi	aí	RG	aí
vai	vai	VMIP3S0	ir
escripta	escrita	VMP00SF	escrever
en	em	SPS00	em
o	o	DA0MS0	o
anno	ano	NCMS000	ano
de	de	SPS00	de
1679	1679	Z	1679
ad	AD	NCMS000	ad
	,	Fc	,
e	e	CC	e
con	com	SPS00	com
o	o	DA0MS0	o
ditto	dito	VMP00SM	dizer
Phellippe	Filipe	NP00000	filipe
Brabo	Bravo	NP00000	bravo
,	,	Fc	,
E	e	CC	e
con	com	SPS00	com
reconhecimto	reconhecimento	NCMS000	reconhecimento
da	da	SPS00+DA0FS0	de+o
letra	letra	NCFS000	letra
dessa	dessa	SPS00+DD0FS0	de+esse
carta	carta	NCFS000	carta
!	.	NCFS000	carta
porem	Porém	RG	porém
	,	Fc	,
se	se	CS	se
Vm	VM	NP00000	VM
puder	puder	VMSF0S0	poder
evitar	evitar	VMN0000	evitar
estes	estes	DD0MP0	este
gastos	gastos	NCMP000	gasto
e	e	CC	e
travalhos	trabalhos	NCMP000	trabalho
	,	Fc	,
fas	faz	VMIP3S0	fazer
esmolla	esmola	NCFS000	esmola
a	à	SPS00+DA0FS0	a+o
ditta	dita	VMP00SF	dizer
Das	Domingas	NP00000	domingas
de	de	SPS00	de
Araujo	Araújo	NP00000	araújo
,	,	Fc	,
E	e	CC	e
a	a	SPS00	a
min	mim	PP1CSO00	mim
favor	favor	NCMS000	favor
	.	Fp	.
ficando	Ficando	Fp	.
sempre	sempre	Fp	.
serto	certo	Fp	.
pa	para	Fp	.
o	o	Fp	.
q	que	Fp	.
se	se	Fp	.
offeresser	oferecer	Fp	.
do	do	Fp	.
serviço	serviço	Fp	.
de	de	Fp	.
Vm	VM	NP00000	VM
.	.	NP00000	VM
dezbro	Dezembro	NP00000	VM
	,	NP00000	VM
1	1	NP00000	VM
de	de	NP00000	VM
1684	1684	NP00000	VM
	.	NP00000	VM
Capellam	Capelão	NP00000	VM
de	de	NP00000	VM
Vm	VM	NP00000	VM
	,	NP00000	VM
O	o	NP00000	VM
Pe	Padre	NP00000	VM
Manoel	Manuel	NP00000	VM
de	de	NP00000	VM
Araujo	Araújo	NP00000	VM
	,	NP00000	VM
etc.	etc	NP00000	VM
En	Em	NP00000	VM
Orgães	Orgães	NP00000	VM
