Rdo	Reverendo	NP00000	reverendo
	,	Fc	,
fazendo	fazendo	VMG0000	fazer
mtas	muitas	DI0FP0	muito
desordeis	desordens	NCFP000	desordem
	,	Fc	,
que	que	CS	que
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
podera	poderá	VMIF3S0	poder
saber	saber	VMN0000	saber
d	do	SPS00	de
outrem	outrem	PI0NN000	outrem
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
posa	possa	VMSP0S0	poder
dar	dar	VMN0000	dar
mais	mais	RC	mais
credito	crédito	NCMS000	crédito
	.	Fp	.
que	Que	CS	que
a	a	SPS00	a
mĩ	mim	PP1CSO00	mim
so	só	RG	só
lhe	lhe	PP3CSD00	lhe
diguo	digo	VMIP1S0	dizer
que	que	CS	que
o	o	PP3MSA00	o
mande	mande	VMSP0S0	mandar
daqui	daqui	SPS00+RG	de+aqui
pera	para	SPS00	para
onde	onde	PA000000	onde
lhe	lhe	PP3CSD00	lhe
pareser	parecer	VMN0000	parecer
,	,	Fc	,
porque	porque	CS	porque
são	são	VSIP3P0	ser
tantas	tantas	DI0FP0	tanto
as	as	DA0FP0	o
cousas	coisas	NCFP000	coisa
que	que	PR0CN000	que
fas	faz	VMIP3S0	fazer
que	que	CS	que
não	não	RN	não
são	são	VSIP3P0	ser
pera	para	SPS00	para
cõtar	contar	VMN0000	contar
e	e	CC	e
a	há	VMIP3S0	haver
mister	mister	NCMS000	mister
mto	muito	DI0MS0	muito
tenpo	tempo	NCMS000	tempo
e	e	CC	e
mais	mais	RC	mais
papel	papel	NCMS000	papel
pera	para	SPS00	para
iso	isso	PD0NN000	isso
	,	Fc	,
porque	porque	CS	porque
ali	ali	RG	ali
o	o	PP3MSA00	o
achão	acham	VMIP3P0	achar
,	,	Fc	,
a quo,la	acolá	RG	acolá
o	o	PP3MSA00	o
achão	acham	VMIP3P0	achar
	.	Fp	.
isto	Isto	PD0NN000	isto
baste	baste	VMSP0S0	bastar
pera	para	SPS00	para
me	me	PP1CS000	me
entender	entender	VMN0000	entender
,	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
portador	portador	NCMS000	portador
desta	desta	SPS00+PD0FS000	de+este
o	o	PP3MSA00	o
pode	pode	VMIP3S0	poder
dizer	dizer	VMN0000	dizer
,	,	Fc	,
se	se	CS	se
quiger	quiser	VMSF0S0	querer
	.	Fp	.
ao	Ao	SPS00+DA0MS0	a+o
padre	padre	NP00000	padre
Mro	Mauro	NP00000	mauro
mande	mande	VMSP0S0	mandar
avizar	avisar	VMN0000	avisar
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
que	que	CS	que
da	da	SPS00+DA0FS0	de+o
condisão	condição	NCFS000	condição
	,	Fc	,
ja	já	RG	já
que	que	CS	que
he	é	VSIP3S0	ser
a	a	DA0FS0	o
primeira	primeira	NCFS000	primeira
judicatura	judicatura	NCFS000	judicatura
	,	Fc	,
porque	porque	CS	porque
a	à	SPS00+DA0FS0	a+o
conta	conta	NCFS000	conta
dos	dos	SPS00+DA0MP0	de+o
meus	meus	DP1MPS	meu
lasos	laços	NCMP000	laço
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
fas	faz	VMIP3S0	fazer
de	de	SPS00	de
mĩ	mim	PP1CSO00	mim
o	o	DA0MS0	o
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
parese	parece	VMIP3S0	parecer
	.	Fp	.
se	Se	CS	se
la	lá	RG	lá
for	for	VMSF0S0	ir
a	à	SPS00+DA0FS0	a+o
prezensa	presença	NCFS000	presença
de	de	SPS00	de
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
	,	Fc	,
não	não	RN	não
se	se	P00CN000	se
espante	espante	VMSP0S0	espantar
	,	Fc	,
e	e	CC	e
mais	mais	RC	mais
não	não	RN	não
he	é	VSIP3S0	ser
de	de	SPS00	de
ir	ir	VMN0000	ir
so	só	RG	só
.	.	Fp	.
Sou	Sou	VSIP1S0	ser
mto	muito	RQ	muito
amiguo	amigo	NCMS000	amigo
seu	seu	DP3MS0	seu
e	e	CC	e
não	não	RN	não
quigera	quisera	VMIM0S0	querer
que	que	CS	que
emfadara	enfadara	VMIM0S0	enfadar
porque	porque	CS	porque
lhe	lhe	PP3CSD00	lhe
faso	faço	VMIP1S0	fazer
por	por	SPS00	por
tres	três	Z	três
frades	frades	NCMP000	frade
e	e	CC	e
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
poso	posso	VMIP1S0	poder
o	o	DA0MS0	o
ajudo	ajudo	VMIP1S0	ajudar
	.	Fp	.
e	E	CC	e
ainda	ainda	RG	ainda
lhe	lhe	PP3CSD00	lhe
devẽ	devem	VMIP3P0	dever
dinheiro	dinheiro	NCMS000	dinheiro
cõ	com	SPS00	com
todo	tudo	PI0NN000	tudo
isso	isso	PD0NN000	isso
	,	Fc	,
porq	porque	CS	porque
sem	cem	Z	cem
alqrs	alqueires	NCMP000	alqueire
de	de	SPS00	de
pão	pão	NCMS000	pão
lhe	lhe	PP3CSD00	lhe
meti	meti	VMIS1S0	meter
ẽ	em	SPS00	em
casa	casa	NCFS000	casa
eu	eu	PP1CSN00	eu
	.	Fp	.
isso	Isso	PD0NN000	isso
e	e	CC	e
outras	outras	DI0FP0	outro
cousas	coisas	NCFP000	coisa
de	de	SPS00	de
que	que	PR0CN000	que
me	me	PP1CS000	me
não	não	RN	não
guardo	guardo	VMIP1S0	guardar
	.	Fp	.
e	E	CC	e
cõ	com	SPS00	com
isto	isto	PD0NN000	isto
nosso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
de	dê	VMSP0S0	dar
a	a	SPS00	a
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
pode	pode	VMIP3S0	poder
	.	Fp	.
não	Não	RN	não
estava	estava	VMII0S0	estar
o	o	DA0MS0	o
cordão	cordão	NCMS000	cordão
guarnesido	guarnecido	VMP00SM	guarnecer
	,	Fc	,
por	por	SPS00	por
isso	isso	PD0NN000	isso
,	,	Fc	,
o	o	PP3MSA00	o
levou	levou	VMIS3S0	levar
	.	Fp	.
oje	Hoje	RG	hoje
	,	Fc	,
120	12	Z	12
de	de	SPS00	de
outubro	outubro	NCMS000	outubro
de	de	SPS00	de
600	600	Z	600
	.	Fp	.
Menor	Menor	AQ0CS0	menor
subdito	súbdito	NCMS000	súbdito
de	de	SPS00	de
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
,	,	Fc	,
fr	frei	NP00000	frei
Miguel	Miguel	NP00000	miguel
d	da	SPS00+DA0FS0	de+o
anũciacão	Anunciação	NP00000	anunciação
